[2026-08-19 09:26:21] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-08-18
正在获取论文...
[arXiv] 2026-08-18 | Quantum simulation of slow analytic time-dependent Hamiltonians
[arXiv] 2026-08-18 | An Emulation Anchored Digital Twin Testbed for Cyberattack and Defense Analysis in Hospital IT OT Environments
[arXiv] 2026-08-18 | LLM-Derived Preference Judgments Are Not Self-Consistent
[arXiv] 2026-08-18 | Iterative Grasp Pose Refinement: A Deep Reinforcement Learning Approach for 2D Vision
[arXiv] 2026-08-18 | Quantized Spin Hall Effect in Three-Dimensional Nodal-Ring Semimetal: Geometric Scaling and Symmetry-Engineered Spin Response
[arXiv] 2026-08-18 | On the Probability of Network States with Gaussian Connectivity Functions
[arXiv] 2026-08-18 | Irradiation-Induced Spin Bath Evolution and as-Grown Hydrogen Defects in CVD Diamond Revealed by NV-Based DEER Spectroscopy
[arXiv] 2026-08-18 | Once Generated, Ranked: End-to-End Generative Slate Recommendation with Unified Semantic-Collaborative IDs
[arXiv] 2026-08-18 | Operational thresholds of Bell mixtures with complex X noise
[arXiv] 2026-08-18 | Tasty Chocolate Games
[arXiv] 2026-08-18 | HarnessRisk: A Lifecycle-Oriented Benchmark for Agent Harness Safety
[arXiv] 2026-08-18 | Complex morphology and kinematics at the heart of the very low luminosity object IRAM 04191+1522
[arXiv] 2026-08-18 | Communication Reduction via Semantic-Based Encoding in DMPC Using LSTMs
[arXiv] 2026-08-18 | Auditing Exposure to Harmful Content on TikTok using Multimodal Language Models: A Cross-National, Age-Stratified Study
[arXiv] 2026-08-18 | Parallel single-pixel imaging based on modulation region expansion and overlapping reconstruction
[arXiv] 2026-08-18 | Mixed Finite Element Methods for a Dirac Source: Divergence-Form Splitting and L^p Error Analysis
[arXiv] 2026-08-18 | No extension of the Quantum Tensor Product admits a Superposition principle
[arXiv] 2026-08-18 | Homogenization of a relaxed compressible viscous two-phase fluid model in a domain with very tiny holes
[arXiv] 2026-08-18 | Reflex-Guard: A Low-Latency Guardrail for LLM Prompt Safety Using Dense Semantic Embeddings
[arXiv] 2026-08-18 | Field deployment of a laser wakefield accelerator for on-site application
[arXiv] 2026-08-18 | Code as Representation: A Compilable Parsing Paradigm for Academic Documents
[arXiv] 2026-08-18 | Channel2World: A Wireless Foundation Model for RF Environment Representation
[arXiv] 2026-08-18 | From Variability to SED Modeling: A Multiwavelength Study of the Neutrino Blazar TXS 0506+056
[arXiv] 2026-08-18 | Shape Theory of $\infty$-Topoi: Inverse Limits, Products, and (Co)homology
[arXiv] 2026-08-18 | Explainable AI-Powered Framework for Video-Based Skill Assessment in Cataract Surgery
[arXiv] 2026-08-18 | Operator-based data embedding for data-driven control of continuous-time systems from noisy data
[arXiv] 2026-08-18 | Growth of Altermagnetic α-MnTe Films: Substrate Variation and Surface Modification
[arXiv] 2026-08-18 | Conditional-path Monte Carlo for rare stochastic dynamics on networks: Details and derivations
[arXiv] 2026-08-18 | Modelling mountains on accreting magnetized neutron stars
[arXiv] 2026-08-18 | Engineering of Dual Wavelength, Polarization Selective Metalenses in Silicon Carbide
[arXiv] 2026-08-18 | Unconventional Pressure Evolution of Spin-Density-Wave State in La$_{3}$Ni$_{2}$O$_{7}$
[arXiv] 2026-08-18 | Agentic Porting, Construction and Initial Verification and Validation of Libraries within the Open Source Unified TRAnsient Multi-Phase Advanced Reactor simulation Kit (Outram Park) Part I: Thermal Hydraulics
[arXiv] 2026-08-18 | Predict Before Replay: Joint FEC and Flight Control for Reliable Scale-Up Links
[arXiv] 2026-08-18 | SGHA: Evidence-Grounded Research Problem Discovery with Local Language Models
[arXiv] 2026-08-18 | Towards Better Agents for Multi-Turn User Interaction: The Next User Turn Is More Than Context
[arXiv] 2026-08-18 | KeyPooling: Measuring Where LLM API Relay Paths Collapse Prompt Cache Isolation
[arXiv] 2026-08-18 | Modelling s-process chemical clocks: insights from high-precision Kepler data
[arXiv] 2026-08-18 | Impact of Upstream Clumpiness on Supernova Remnant Forward Shock Evolution in Molecular Cloud Environments
[arXiv] 2026-08-18 | S$^3$AM: A Single-Stream SAM with Reliability-Calibrated Frequency Adapter for Multi-modal Salient Object Detection
[arXiv] 2026-08-18 | Propagation phenomena in KPP-bistable periodic patchy environments
[arXiv] 2026-08-18 | Absorption-emission quantum repeater using diamond quantum memories
[arXiv] 2026-08-18 | Ejecta clumps revealed by study of reverse-shocked ejecta through MUSE integral field spectroscopy of SNR 0509-67.5
