[2026-09-04 13:04:00] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-09-03
正在获取论文...
[arXiv] 2026-09-03 | Data-Based Clustering and Control of Similar Biological Systems
[arXiv] 2026-09-03 | OctWorld: Long-Range World-Consistent Video Generation with Octree-Based 3D Mapping
[arXiv] 2026-09-03 | Grounding GUI Design in Computational Psychology
[arXiv] 2026-09-03 | RuleMem: Active Rule Memory for Long-Term Conversational Agents
[arXiv] 2026-09-03 | Electromechanical Domain Wall Propagation in Dielectric Elastomers: An Exact Geometric Resolution via Conformal Mapping
[arXiv] 2026-09-03 | CROCODIL: Cross-Model Code Editing with LLMs
[arXiv] 2026-09-03 | FWBC-VLA: Force-Aware Whole-Body Compensation for Contact-Rich Loco-Manipulation
[arXiv] 2026-09-03 | Beyond Shallow Alignment: How Post-Training Methods Determine Refusal Circuits And Steering Robustness
[arXiv] 2026-09-03 | Interferometric Survey of Stellar Parameters: Mass of the metallic A-type binary $β$ Aur
[arXiv] 2026-09-03 | Properties of Seasonal Ice at Sisyphi Cavi and Implications for Current Modification of Martian Gullies
[arXiv] 2026-09-03 | Measure theory without infinities
[arXiv] 2026-09-03 | Bioinfoysis Technical Report
[arXiv] 2026-09-03 | GazeFS: Target-Centered Gaze-Trajectory Forecasting and Stabilization from Gaze-Head History
[arXiv] 2026-09-03 | Adapting to Evolving Requirements: Agentic AI for Retail Supply Chain Operations
[arXiv] 2026-09-03 | A Fejér--Riesz inequality for Dirichlet series
[arXiv] 2026-09-03 | Universal Driven Critical Dynamics of Entanglement Entropy
[arXiv] 2026-09-03 | Bridging Formal and Perceived Fairness: Development of an Interdisciplinary Framework in Algorithmic Decision-Making
[arXiv] 2026-09-03 | The mean-field limit of the Schrödinger-Lohe model and emergent dynamics
[arXiv] 2026-09-03 | EF1-Constrained Nash Social Welfare with Identical Additive Valuations: Complexity, Guarantees, and Experiments
[arXiv] 2026-09-03 | Flip, Don't Shuffle: Watermarking LLMs at the Speed of Inference
[arXiv] 2026-09-03 | On flows generated by square-integrable vector fields
[arXiv] 2026-09-03 | Parabolic Poincaré inequalities and maximal function estimates for systems of partial differential equations
[arXiv] 2026-09-03 | The impact of phase information for few-shot fine-grained image classification
[arXiv] 2026-09-03 | Energetic Costs of Subspace Quantum Error Correction
[arXiv] 2026-09-03 | Optimisation of importance sampling implementation in rare-event shielding simulations using Geant4
[arXiv] 2026-09-03 | Select, Compress, Reinvest: A Controlled Study of Visual-Token Allocation in Long-Video MLLMs
[arXiv] 2026-09-03 | Is Collision-Free Backoff Worth It in Wi-Fi?
[arXiv] 2026-09-03 | VisCAD: A Foundation Model Suite with Multimodal Industrial CAD Intelligence
[arXiv] 2026-09-03 | Free Pause Tokens
[arXiv] 2026-09-03 | Auditing Contextual Bias in Human Ball-Strike Calls Using KBO's Automated Umpiring Transition
[arXiv] 2026-09-03 | Rethinking World Models for Safety-Critical Embodied Systems
[arXiv] 2026-09-03 | Effects of the Direct Space Charge on Transverse Coupled-Bunch Instabilities
[arXiv] 2026-09-03 | OBER+: Continuity-Aware Reporting and Traceable Continuous Improvement in Outcome-Based Education
[arXiv] 2026-09-03 | Lifetime Profit-Maximising Co-optimisation of Multi-Service Stacking for Battery Storage
[arXiv] 2026-09-03 | Ground-State Phase Diagram, Higher-Winding Topology, and Lifshitz Criticality in an Anisotropic Four-Spin XX Chain
[arXiv] 2026-09-03 | Coherent interaction of WS$_2$ and quasi-2D perovskite excitons over micrometer distances via a cavity field
[arXiv] 2026-09-03 | Robot Aware Computational Design of Object Specific Passive Grippers for Additive Manufacturing
[arXiv] 2026-09-03 | Ion-Engineered Insulator-to-Semiconductor Transition in Natural 2D Biotite
[arXiv] 2026-09-03 | Rent-a-RAG: Embedding-Space Watermarks for Auditing Third-Party RAG
[arXiv] 2026-09-03 | Beyond BLEU: A Case for Redefining Sign Language Translation Benchmarks
[arXiv] 2026-09-03 | Proactive Service Agents: A Unified Decision Framework, Methods, and Evaluation
[arXiv] 2026-09-03 | Fractalizing spacetime: Floquet codes with fractonic excitations that are immobile in space and time
[arXiv] 2026-09-03 | On the Finiteness of Anosov flows on $3$-manifolds via Contact Geometry
[arXiv] 2026-09-03 | Synchronization of directed hypergraphs with heterogeneities via dynamic coupling
[arXiv] 2026-09-03 | Symmetries and Causality: Causal Effect Identification Beyond IID Data
[arXiv] 2026-09-03 | ToPO: Token-Conditioned Preference Routing for Attention-Based Latent Diffusion Models
[arXiv] 2026-09-03 | Hidden Magnetic Octupolar Order driven by Spin-Orbit coupling in KFeF$_3$
[arXiv] 2026-09-03 | Convolution Sum-Product Queries
[arXiv] 2026-09-03 | PlanePivoting: Exploration and Optimization of Gaze-Mouse Cursor Alignment for Spatial Object Translation
