[2026-08-28 20:35:19] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-08-27
正在获取论文...
[arXiv] 2026-08-27 | Bochner Stability for B-stable DIRK Schemes
[arXiv] 2026-08-27 | Hankel determinants of Catalan-like sequences
[arXiv] 2026-08-27 | Vision-centric generative AI models: A software-hardware perspective
[arXiv] 2026-08-27 | Optimal transport regularized dynamic radio interferometric reconstruction
[arXiv] 2026-08-27 | Personalized Federated Learning for Tensor Regression
[arXiv] 2026-08-27 | Threshold Pricing for Distributed Scheduling of Flexible Demands in Energy Communities
[arXiv] 2026-08-27 | X-WAD: eXplainable Web Anomaly Detection
[arXiv] 2026-08-27 | Calibrated Enough to Know, Not Calibrated to Act: Fabricated Evidence Makes LLM Agents Commit to the Unknowable
[arXiv] 2026-08-27 | Traveling Waves in Equity Markets with Rank-Based Entry and Exit
[arXiv] 2026-08-27 | ReViCo: Unveiling the Limitations of VLMs in Visual Text Understanding via Error Correction
[arXiv] 2026-08-27 | ANTShapes Benchmarking Datasets for Event-Based Neuromorphic Object Classification
[arXiv] 2026-08-27 | Thomson: Continual Learning of Frontier Models for SovereignAI
[arXiv] 2026-08-27 | Counting Successor-Closed Subsets of Functional Digraphs
[arXiv] 2026-08-27 | Feature Transformation Enhanced Jacobi Polynomial Graph Filtering for Graph Anomaly Detection
[arXiv] 2026-08-27 | An approximate zero bias transformation for random sums: Applications to sampling with outliers, auto insurance, and generative AI
[arXiv] 2026-08-27 | 3D- (H-theta-phi) magnetic phase diagram of antiferromagnetic metal GdB6 with electron and lattice instability
[arXiv] 2026-08-27 | Programmable Cavity Squeezing for Distributed Sensing in a Tweezer Array
[arXiv] 2026-08-27 | On variants of Pólya's conjecture
[arXiv] 2026-08-27 | AROMA+: A Study of Factors Affecting Reproducible Builds in the Maven Ecosystem
[arXiv] 2026-08-27 | TRACE-CRC: Trajectory-Adaptive Conformal Risk Control for Multi-Step Channel State Information Prediction
[arXiv] 2026-08-27 | How AI Experiences Art: Emergent Aesthetic Structure in a Self-Supervised Multimodal Embedding Space
[arXiv] 2026-08-27 | Animarium: an open, reproducible pipeline for synthetic populations of Italian cities, from ISTAT sources to open data (Tech Report v1)
[arXiv] 2026-08-27 | pro-team at LLMs4OL 2026 Tasks Flagship and Reuse: Retrieval-Augmented Generation and Vocabulary-Constrained Filtering for Ontology Learning
[arXiv] 2026-08-27 | Randomized Quasi-Gauss--Newton Methods for Solving General Nonlinear Equations
[arXiv] 2026-08-27 | Laser induced ultrafast Co 3d and Ho 4f spin dynamics in CoHo ferrimagnetic alloys
[arXiv] 2026-08-27 | Tabular Deep Learning for Algorithmic Trading: Cross-Regime Bayesian Optimisation for Equity Signal Generation
[arXiv] 2026-08-27 | On the Levi map of nondegenerate CR submanifolds
[arXiv] 2026-08-27 | SpatialCrafter: Single Image World Modeling with Generative 3D Proxies
[arXiv] 2026-08-27 | Qualitative Properties of Ground States for the Stationary Magnetopolaron with a Weak Magnetic Field
[arXiv] 2026-08-27 | Ternary-Valued Finite-Difference Time-Domain Method: Equivalence with the Yee Scheme Through Noise-Shaped Quantisation
[arXiv] 2026-08-27 | Beyond Classification: Task-Dependent Learnability under Privacy-Motivated Image Transformations
[arXiv] 2026-08-27 | Video-OPSD: Exploiting Privileged Visual Evidence for On-Policy Self-Distillation in Video Large Language Models
[arXiv] 2026-08-27 | Giant bulk photovoltaic effect driven by interfacial symmetry breaking in MoS2/Ta2NiSe5 heterostructures
[arXiv] 2026-08-27 | How far can symmetry help? Phase transitions and symmetry selection in sparse functional data analysis
[arXiv] 2026-08-27 | Anatomy-Guided Foundation Model Adaptation with Within-Case Prototype Supervision for Standard Plane Detection in Fetal Ultrasound Blind Sweeps
[arXiv] 2026-08-27 | Neighborhood Watch: Privacy Risks in Seeded Local Combination Synthetic Data
[arXiv] 2026-08-27 | Conformal Cyclic Cosmology from Varying Fundamental Constants
[arXiv] 2026-08-27 | Magnon-induced phononic Chern insulator
[arXiv] 2026-08-27 | Topology-Masked Unified Backbone for Joint Feature Interaction and Multi-Domain Sequence Modeling
[arXiv] 2026-08-27 | Prayer-Gait-Auth: Smartphone IMU-based Behavioral Biometrics from Structured Islamic Prayer Movements
[arXiv] 2026-08-27 | Selfless Reduced Crossed Product $C^{*}$-Algebras Arising from Almost Periodic Actions
[arXiv] 2026-08-27 | Perturbations of black holes with primary hair: time evolutions, quasinormal modes and greybody factors
[arXiv] 2026-08-27 | JudgeStealer: Extracting LLM Judging Capabilities across Evaluation Protocols
[arXiv] 2026-08-27 | The Randomized Query Complexity of Finding Minimal Elements in Bounded-Width Posets
[arXiv] 2026-08-27 | Why not to use the Gaussian kernel
[arXiv] 2026-08-27 | TEMPLAR Wales: A georeferenced environmental and toponymic dataset of Welsh settlements
[arXiv] 2026-08-27 | Scalable conformal electronics based on roll-to-roll exfoliated van der Waals semiconductors
[arXiv] 2026-08-27 | Turbulent diffusivity and effective rise velocity of buoyant particles in a free-surface boundary layer
[arXiv] 2026-08-27 | An Exponential Lower Bound for the Permanent of Random Bernoulli Matrix
[arXiv] 2026-08-27 | Towards Expert Financial QA via Self-Improving RAG
[arXiv] 2026-08-27 | Non-Hermitian Skin Effect from Radiative Coupling in a Reciprocal Chiral Medium
[arXiv] 2026-08-27 | Accelerating Scientific Research with Gemini in the Real-World
[arXiv] 2026-08-27 | Relational Over-Regularization: Graph-Based AI-Generated Text Detection via Sentence Transition Deviation
[arXiv] 2026-08-27 | High-Dimensional Spectral Limits for Gaussian KL-Unbalanced Optimal Transport
