[2026-04-03 09:47:23] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-04-02
正在获取论文...
[arXiv] 2026-04-02 | Analysis of Efficient Transmission Methods of Grid Maps for Intelligent Vehicles
[arXiv] 2026-04-02 | Functional relations in renormalization group methods for a class of ordinary differential equations
[arXiv] 2026-04-02 | Liouville integrable Lotka-Volterra systems
[arXiv] 2026-04-02 | Eyes Can't Always Tell: Fusing Eye Tracking and User Priors for User Modeling under AI Advice Conditions
[arXiv] 2026-04-02 | DDCL: Deep Dual Competitive Learning: A Differentiable End-to-End Framework for Unsupervised Prototype-Based Representation Learning
[arXiv] 2026-04-02 | Setup-Independent Full Projector Compensation
[arXiv] 2026-04-02 | From BM25 to Corrective RAG: Benchmarking Retrieval Strategies for Text-and-Table Documents
[arXiv] 2026-04-02 | Phase-Shifted Pilot Design for NOMA-Empowered Uplink ISAC Systems
[arXiv] 2026-04-02 | On expectations and variances in the hard-core model
[arXiv] 2026-04-02 | Blinded Radiologist and LLM-Based Evaluation of LLM-Generated Japanese Translations of Chest CT Reports: Comparative Study
[arXiv] 2026-04-02 | Random-Subspace Sequential Quadratic Programming for Constrained Zeroth-Order Optimization
[arXiv] 2026-04-02 | Towards Position-Robust Talent Recommendation via Large Language Models
[arXiv] 2026-04-02 | A Pragmatist Understanding of Quantum Mechanics
[arXiv] 2026-04-02 | What can be computed in average anonymous networks?
[arXiv] 2026-04-02 | TRU: Targeted Reverse Update for Efficient Multimodal Recommendation Unlearning
[arXiv] 2026-04-02 | Adam's Law: Textual Frequency Law on Large Language Models
[arXiv] 2026-04-02 | Simulations of internal kink modes and sawtooth crashes for SPARC baseline-like scenarios using the M3D-C1 code
[arXiv] 2026-04-02 | Reflection Generation for Composite Image Using Diffusion Model
[arXiv] 2026-04-02 | Data-Driven Tube-Based Zonotopic Predictive Control With Nonconvex Layered Terminal Sets
[arXiv] 2026-04-02 | Conservative flux reconstruction for an elliptic interface problem using CutFEM
[arXiv] 2026-04-02 | TRACE-Bot: Detecting Emerging LLM-Driven Social Bots via Implicit Semantic Representations and AIGC-Enhanced Behavioral Patterns
