[2026-06-21 11:40:29] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-06-20
正在获取论文...
[ACM] 2026-6-20 | Trellising as a Design Metaphor to Support Organic Learning Interactions
[ACM] 2026-6-20 | Supporting Parents’ Playfulness With Their Preschool Children Using Generative AI
[ACM] 2026-6-20 | Rhyme Island: A Multi-Sensory Tangible Interface for Young Children's Music Learning
[ACM] 2026-6-20 | STEM Charades: encouraging reflection on the role of gesture in early years science
[ACM] 2026-6-20 | Digital Inequality in the Age of GenAI: How Rural versus Urban Parents Differ in AI Perceptions and Adoption
[ACM] 2026-6-20 | FM4EAD: Towards Training-Free Energy Anomaly Detection with Large Language Models and Time-Series Foundation Models
[ACM] 2026-6-20 | Bayesian Experimental Design-Guided LLM for Active Trainset Selection in Model Fine-Tuning for Energy Prediction
[ACM] 2026-6-20 | Engagement Is Not Transfer: A Withdrawal Study of a Consumer Social Robot with Autistic Children at Home
[ACM] 2026-6-20 | Child-Involved Group Prioritization: Effects of Group Composition on Experience, Participation Level, and Interaction
[ACM] 2026-6-20 | Inside Voice, Outside Voice
[ACM] 2026-6-20 | Navigating the AI Era: A Multi-Step Approach to Family AI Literacy and Mediation for Young Children
[ACM] 2026-6-20 | ABODES: An Agent-Based Framework for Evaluating Hybrid Work Policies Across Energy and Social Infrastructure
[ACM] 2026-6-20 | Designing Extended Reality (XR) Tools for Autistic Children: A Literature Review
[ACM] 2026-6-20 | From Clicking to Moving: Embodied Micro-Movements as an Interaction Modality for Data Literacy Learning
[ACM] 2026-6-20 | Exploring Student Perspectives on Interacting with Social Robots for Homework
[ACM] 2026-6-20 | “Because It was on the Computer!” Young Children’s Perceived Humanness of Conversational AI
[ACM] 2026-6-20 | Proceedings of the 2026 ACM Sustainability Week
[ACM] 2026-6-20 | Trust in Human-Cyber-Physical Energy Systems: Vision &amp; State of the Art
[ACM] 2026-6-20 | Beyond Adoption: Early Insights on Iterative Technology Appropriation in Early Childhood Classrooms
[ACM] 2026-6-20 | Using 3D Printing to Develop Adolescents’ Self-Directed and 21st-Century Skills in Classrooms: Initial Findings from a Pilot Study
[ACM] 2026-6-20 | SCALFLEX: A Scalable Heuristic Framework for Distributed Energy Flexibility and Grid Tariff Optimization
[ACM] 2026-6-20 | Bayesian-Calibrated Posterior-Ensemble Reinforcement Learning for Robust HVAC Control under Model Uncertainty
[ACM] 2026-6-20 | Social Understanding, Placeness, and Identity Alignment: A Design Framework for Friendship-Supportive Youth Social Media
[ACM] 2026-6-20 | Exploring children’s visions for an AI-enabled education
[ACM] 2026-6-20 | Designing Robots to Support Parent-Child Connections: Opportunities Through Robot-Mediated Communication
[ACM] 2026-6-20 | Participation and Power: A Case Study of Using Ecological Momentary Assessment to Engage Adolescents in Academic Research
[ACM] 2026-6-20 | GATHER TO GLOW: AN AUTONOMY-SUPPORTIVE GAME FOR PARENT–CHILD CO-PLAY
[ACM] 2026-6-20 | Semantic Interoperability Enhancement Framework for Energy Data Management
[ACM] 2026-6-20 | Asynchronous Coordination in Local Energy Systems
[ACM] 2026-6-20 | Is Wildfire Smoke a Voltage Regulation Risk in PV-rich Distribution Grids?
[ACM] 2026-6-20 | From critique to action? Reflections on transformative agency in school-based computational empowerment
[ACM] 2026-6-20 | Understanding Deception: A qualitative study of children's interactions with deceptive design in digital games
[ACM] 2026-6-20 | Linking Occupant Preferences, Space Selection Behavior, and Experienced IEQ to Well-Being in a Flexible Workplace
[ACM] 2026-6-20 | Simulation of Temperature in a Naturally Ventilated Office Space Using Machine Learning and Comparison with Traditional Whole-Building Temperature Modelling
[ACM] 2026-6-20 | FlowGuard: Flow Matching for Identity-Independent Detection of Data-Free Model Stealing Attacks on Energy System Intrusion Detection Systems
[ACM] 2026-6-20 | Jumping over Proprietary Gaps - Assessing security features in MCUs for Smart Inverters
[ACM] 2026-6-20 | Designing Interactive, Adaptive and Immersive Spaces for Children with Neuro-developmental Disorders and Children with Special Educational Needs
[ACM] 2026-6-20 | Explainable AI and Robots for Children: Why Transparency Alone is Not Enough
[ACM] 2026-6-20 | Evaluating Supports for Group Play-Based Therapy with Social Validity
[ACM] 2026-6-20 | Digital Eco-Inquirers: Triggering children's sustainability competences through inquiry-based learning involving physical computing
[ACM] 2026-6-20 | When Institutional Structures Become Child-Facing: A Work-in-Progress Case from Singapore's National Learning Platform
[ACM] 2026-6-20 | Uxy the Friendly Sensor: Making Inertial Sensors Child-Acceptable
[ACM] 2026-6-20 | NZHR: An EnergyPlus-Integrated Serious Game with AI Teammate for Residential Retrofit Decision-Making
[ACM] 2026-6-20 | Investigating Calibration Challenges in Probabilistic Electricity Price Forecasting
[ACM] 2026-6-20 | Retrieval‑Augmented LLM Framework for Robust Automated Generation of HVAC Diagnostic Models
[ACM] 2026-6-20 | “Guardians of the Planet”: A Multi-Realm Robot Bridging Learning and Real-World Sustainability for Children
[ACM] 2026-6-20 | Micro:bit Apps: Inclusive and Sustainable Physical Computing for Children
[ACM] 2026-6-20 | Digital Parenting among Cybersecurity Leaders: Balancing Technical Safeguards and Relational Trust
[ACM] 2026-6-20 | Designing Play from Everyday Objects: Shape-Based Playfication for Anticipating Children's Play
[ACM] 2026-6-20 | TD404: Tangible and interactive tool for digital literacy classes
[ACM] 2026-6-20 | Sustainable Care: Designing Technologies That Support Children's Long-Term Engagement with Social Issues
[ACM] 2026-6-20 | Play or Learn? Differentiating Play and Learning Elements in Children’s Game-Based Learning Using Multimodal Sensing
[ACM] 2026-6-20 | Fort Vox: A Tangible Device for Exploring Voice Authentication with Children
[ACM] 2026-6-20 | PhD Forum Abstract: Degradation-Aware Adaptive Design of Multi-Use Battery Energy Storage under Deep Uncertainty
[ACM] 2026-6-20 | Youth Prompting in Microsoft Copilot: Learning with Generative AI at 4-H STEM Camps
[ACM] 2026-6-20 | “Surveys are pointless”: Co-designing a new generation of surveys with children that fulfill their needs
[ACM] 2026-6-20 | Part of the show: Discussing and designing pseudo-interactions in educational screen media for preschoolers with parents and elementary-aged children
[ACM] 2026-6-20 | SingSys: acoustic vibration sensing for strength monitoring and characterization of Engineered Biopolymer Composite (EBC)
[ACM] 2026-6-20 | Heterogeneous Mixture-of-Experts Adaptation for Finetuning Pretrained Time-series Foundation Models
[ACM] 2026-6-20 | Spatio-Temporal Modelling of Electric Vehicle Charging Demand
[ACM] 2026-6-20 | LLM-GreenServe: Optimized Power Consumption with Power-aware Prefill-Decoding Scheduling
[ACM] 2026-6-20 | Protection or Empowerment? Perspectives on Youth-Inclusive Responsible AI
[ACM] 2026-6-20 | Write, Fold, Pass: Many Voices, One Odyssey, and AI-Supported Scaffolding to Foster Children’s Creative Writing Engagement
[ACM] 2026-6-20 | Social Proximity and Data Sensitivity: An Exploratory Study of Children’s Privacy Spheres Configurations in Urban and Rural Peru
[ACM] 2026-6-20 | Examining Feasibility of STL for Enforcing Safe Building Control
[ACM] 2026-6-20 | Enhancing Urban Building Energy Models through Activity Based Occupancy Generation
[ACM] 2026-6-20 | PhD Forum Abstract: Integrating data-driven and human-centric approaches for scalable and flexible building management
[ACM] 2026-6-20 | Multi-market value-stacking: Battery control for combined imbalance participation and non-uniform FCR bidding
[ACM] 2026-6-20 | Weather-Driven Power Outage Prediction Using Transfer Learning and Interpretable Pattern Discovery
[ACM] 2026-6-20 | Shadows, Doodles and Dice: Three Demos for Inter-generational Interactions around AI Literacy
[ACM] 2026-6-20 | "We listen, we don't judge": Exploring Design Opportunities for Emotional Literacy and Normalization in Parent-Child Interactions
[ACM] 2026-6-20 | PlayScape: Designing with Children Through Child-Led Nature-Play
[ACM] 2026-6-20 | The Evil Bird and the Right to Disconnect: Children’s Vulnerability to Exit Dark Patterns in Gamified Educational Apps
[ACM] 2026-6-20 | Reclaiming Creative Exploration: An In Situ Study to Support Process-based Learning Through Digital Making in Low Socioeconomic Schools
[ACM] 2026-6-20 | A Gamified AR System for Children’s Disaster Preparedness: Supporting Engagement through Multi-Scenario Learning
[ACM] 2026-6-20 | Towards Meaningful Smart Rooms for Children: IoT Prototypes Designed to Encourage Self-Appropriation
[ACM] 2026-6-20 | Robots For Everyday Life: Children’s Visions on Roles of Robots
[ACM] 2026-6-20 | Power Compression: Peak Power Aware Workflow Optimization for Agentic AI
[ACM] 2026-6-20 | BuilDyn: Excitation-Driven Data Generation for Building Thermal Dynamics Modeling and Control
[ACM] 2026-6-20 | A Modular Digital Twin Framework for Waste Heat Recovery and Workload Orchestration in Data Centres
[ACM] 2026-6-20 | PhD Forum Abstract: A Causal Lens Toward Occupant-Centric Buildings
[ACM] 2026-6-20 | Hierarchical Battery Anomaly Detection in Uninterruptible Power Supply Systems via Contrastive Learning
[ACM] 2026-6-20 | Parental Judgment as a Design Lens for AI Scaffolding in Early Childhood Reading
[ACM] 2026-6-20 | Emergent Technology, Emergent Critique: Students and Teachers Developing Critical AI Literacy Through Participatory Design Around Generative AI
[ACM] 2026-6-20 | A Closed-Loop Hybrid Stochastic-Robust Framework for Health-Aware PV–BESS Sizing
[ACM] 2026-6-20 | Projecting the Consequences of Climate Change on the Operation of European Data Centers
[ACM] 2026-6-20 | Rethinking Machine Learning Performance Metrics in Distributed Energy Resource Systems: A Concise Review
[ACM] 2026-6-20 | The Everything Tool Problem: A Scoping Review of Empirical Research with Young People and Generative AI
[ACM] 2026-6-20 | Growing Up with AI: Approaches to Community-centered AI Literacy
[ACM] 2026-6-20 | “Are You OK, Dr. Scratch?” Bridging the Gap Between Automated Computational Thinking Metrics and Classroom Realities
[ACM] 2026-6-20 | Research of Residential Occupant Behavior Establishment for Building Energy Simulation
[ACM] 2026-6-20 | PIRS: Physics-Informed Reward Shaping for SAC-Based Building Energy Management
[ACM] 2026-6-20 | Inter-Data-Center Workload Migration for Grid-Interactive Balancing Services: A Field Demonstration
[ACM] 2026-6-20 | Designing for broken-hammer-pedagogy
[ACM] 2026-6-20 | Orbiting the VirtueVerse: A Game for Practicing and Reflecting on AI Ethics
[ACM] 2026-6-20 | Poster Abstract: Can LLMs Replace In-domain Training Data? Cold-Start Thermal Comfort Prediction Across Unseen Building Contexts
[ACM] 2026-6-20 | Lightweight Acoustic-Based Unsupervised Monitoring of Daily Routines
[ACM] 2026-6-20 | Investigating Hands-on AI Literacy Activities for Empowering Youth with Technological Agency for the Future of Work
[ACM] 2026-6-20 | A Preschooler-Friendly Picture Book Recommender System with Robotic Guidance Based on Illustration Style and Theme Preferences
[ACM] 2026-6-20 | Pufff: a touch-sensitive interactive toy for purposeful hand use in children with Rett Syndrome
共写入 100 条记录，保存到 papers/paper2026-06-20.json。
论文获取成功，文件路径: papers/paper2026-06-20.json
正在筛选、翻译并发送邮件...
[NO] 1/100 | Trellising as a Design Metaphor to Support Organic Learning Interactions
[NO] 2/100 | Supporting Parents’ Playfulness With Their Preschool Children Using Generative AI
[NO] 3/100 | Rhyme Island: A Multi-Sensory Tangible Interface for Young Children's Music Learning
[NO] 4/100 | STEM Charades: encouraging reflection on the role of gesture in early years science
[NO] 5/100 | Digital Inequality in the Age of GenAI: How Rural versus Urban Parents Differ in AI Perceptions and Adoption
[NO] 6/100 | FM4EAD: Towards Training-Free Energy Anomaly Detection with Large Language Models and Time-Series Foundation Models
