[2026-08-31 16:36:35] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-08-30
正在获取论文...
[ACM] 2026-8-31 | PDCA-MMA: A Multi-Agent Framework with Iterative Optimization for Multi-Modal Long Document QA
[ACM] 2026-8-31 | Hybrid Expert–Crowd Scoring Under Partial Observability: Constrained Vote Inference and Mechanism Benchmarking
[ACM] 2026-8-31 | A Bilateral Matching Method for Maximizing Incubator and Startup Satisfaction Based on Linear Weighted Integer Programming
[ACM] 2026-8-31 | Robust Scalar-on-Function Regression with Type-2 Fuzzy Systems: A Framework for Visual and Spectral Signal Analysis
[ACM] 2026-8-31 | An Improved Model for Substation Meter Defect Detection Based on Focal-EIoU and Flow-Aligned Feature Pyramid Network
[ACM] 2026-8-31 | MSAV schemes for the Navier-Stokes/Allen-Cahn system
[ACM] 2026-8-31 | An improved autofocusing method for lens-coupled Micro-CT
[ACM] 2026-8-31 | Research on the Application of Linear Algebra in Quantum Mechanics
[ACM] 2026-8-31 | Short-term Photovoltaic Power Prediction Based on HD-TCN-Attention-GRU
[ACM] 2026-8-31 | Rigid-Flexible Coupled Ascent Trajectory Optimization for Tethered Variable-Payload Firefighting UAVs
[ACM] 2026-8-31 | A Study on the Equal-Interval LogMAR Quantification Model for Counting Fingers (CF) Visual Acuity in Extremely Low Vision
[ACM] 2026-8-31 | Two-Stage Stochastic Crop Planting Planning Model Based on Correlation Covariance Matrix and CVaR
[ACM] 2026-8-31 | Quadratic Programming-Monte Carlo Algorithm for Vote Data Inversion and Bias Prediction
[ACM] 2026-8-31 | Research on Cooperative Smoke Screen Deployment Strategy for Multi-UAV Interference Based on Effective Occlusion Detection and Hybrid Optimization
[ACM] 2026-8-31 | Research and Application of BREP Conversion for BIM Models Based on 3DEXPERIENCE
[ACM] 2026-8-31 | Comparative Analysis of Classification Algorithms-Assisted Prediction for Diabetic Retinopathy
[ACM] 2026-8-31 | Multivariate Water Quality Time Series Prediction Using an Bi-LSTM Model: A Case Study of the Tuo River
[ACM] 2026-8-31 | Design of a Personalized Teaching Scheme for Ideological and Political Courses Based on the Multidimensional Quantitative Portrait and Intelligent Clustering Computing
[ACM] 2026-8-31 | Unsupervised Learning of Aluminum Solidification Pathways via MACE Features
[ACM] 2026-8-31 | Inertial-Link-Based Event-Triggered Output Feedback Control for Nonlinear Systems with Measurement Noise
[ACM] 2026-8-31 | Physics-Informed Continuous-Time Modeling for Interpretable Smartphone Battery SOC and TTE Prediction
[ACM] 2026-8-31 | Personalized Optimization of NIPT Detection Gestational Week for Male Fetuses Based on Y-Chromosome Concentration, XGBoost Regression, and Risk Minimization Model
[ACM] 2026-8-31 | Dynamic Response Analysis of Non-Bonded Flexible Piping Considering Full-Process Bending Hysteresis Characteristics
[ACM] 2026-8-31 | Dynamic Race Detection with O(1) Samples
[ACM] 2026-8-31 | Research on the receding contact problem of gradient piezoelectric coating based on laminate model
[ACM] 2026-8-31 | Rolling bearing defect expansion dynamics modeling
[ACM] 2026-8-31 | Mechanistic Study of Multi-Component and Multi-Target Effects of Traditional Chinese Medicine Formulae Based on Artificial Intelligence and Network Pharmacology
[ACM] 2026-8-31 | Two-Stage Identification of Track Damage Based on Wavelet Transform and Convolutional Neural Networks
[ACM] 2026-8-31 | Fairness-Aware Credit Scoring: Bias Mitigation under Scorecard Structural Constraints
[ACM] 2026-8-31 | Study on the Variable-Amplitude Structure and Hydrodynamic Performance of a Gradient-Type Undulating Fin
[ACM] 2026-8-31 | Efficient Collision Detection and Path Optimization for Multi-Node Systems Using Vector Cross Product and Neural Regression
[ACM] 2026-8-31 | Nonlinear Dynamics of Stock Market Volatility: Insights from an LSTM-Based Framework
[ACM] 2026-8-31 | Fully higher order multipoint flux mixed finite element methods for the Poisson-Nernst-Planck equations
