[2026-03-01 09:23:54] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-02-28
正在获取论文...
[ACM] 2026-2-28 | Designing a Question-Asking AI to Cultivate Epistemic Curiosity in Information Seeking
[ACM] 2026-2-28 | "I don't know anything about laptops!" – User Perception of Digital Product Advisors Adapting to Their Knowledge Levels
[ACM] 2026-2-28 | The Bayesian Storyteller: An Interactive System for Human-AI Collaborative Pitch Book Narrative Generation
[ACM] 2026-2-28 | From SERPs to Agents: A Platform for Comparative Studies of Information Interaction
[ACM] 2026-2-28 | Information Overload in Information Seeking with Conversational Agents: A Survey and Design Considerations
[ACM] 2026-2-28 | High-Efficiency Bidirectional Translator between SystemC and Verilog
[ACM] 2026-2-28 | Quantification of dissimilarity between valued directed networks
[ACM] 2026-2-28 | Rethinking Human-AI Collaboration in Information Seeking: Why Epistemic Incompatibility Demands New Design Paradigms
[ACM] 2026-2-28 | The Influence of the Communication Medium on Data Storytelling
[ACM] 2026-2-28 | Supporting Humans in Evaluating AI Summaries of Legal Depositions
[ACM] 2026-2-28 | ImmiGo - An Adaptive Multilingual Chatbot for Immigration Assistance
[ACM] 2026-2-28 | Exploring Art through Internet Aesthetics
[ACM] 2026-2-28 | Implicit Humanization in Everyday LLM Moral Judgments
[ACM] 2026-2-28 | Improving Data Reusability in Interactive IR: Insights from the Community
[ACM] 2026-2-28 | Seek and You Shall Find: Design &amp; Evaluation of a Context-Aware Interactive Search Companion
[ACM] 2026-2-28 | Privacy Discourse and Emotional Dynamics in Mental Health Information Interaction on Reddit
[ACM] 2026-2-28 | Confirmation, Framing, and Position Biases in LLM Responses
[ACM] 2026-2-28 | The impact of generative AI search result design on user perceptions and information adoption
[ACM] 2026-2-28 | Motion Intention Decoding and Training Effect Evaluation in Robot-assisted Upper Limb Rehabilitation based on MR-BCI
[ACM] 2026-2-28 | The Effects of Thinking Aloud on Participants during Search and Sensemaking
[ACM] 2026-2-28 | Simulation of Interactive Information Retrieval: A Guided Tour
[ACM] 2026-2-28 | Hyperspectral Pansharpening using 3D VolumeNet and 2.5D Texture Transfer
