[2026-06-25 11:35:15] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-06-24
正在获取论文...
[arXiv] 2026-06-24 | Euclid Quick Data Release (Q2) -- The Euclid Galactic Bulge Survey
[arXiv] 2026-06-24 | Topology-Dependent Emergence of Polychronous Neuronal Groups: A Recurrence-Plot Characterization
[arXiv] 2026-06-24 | Sequential and Generative Models for Vehicular Distributed MIMO Channel Prediction
[arXiv] 2026-06-24 | First-Principles Quantum-Spectral framework for Elementary Vortex Pinning in superconductors
[arXiv] 2026-06-24 | Sensitivity-optimal coplanar waveguide design for broadband magnetic resonance spectroscopy: a Beer--Lambert framework
[arXiv] 2026-06-24 | JWST resolves jet-driven H2 and ionized outflows in radio galaxy 3C305
[arXiv] 2026-06-24 | A resolution of Erdős Problem 1061 on the sum-of-divisors function
[arXiv] 2026-06-24 | Rational (quasi-)elliptic surfaces with global vector fields in odd characteristic
[arXiv] 2026-06-24 | Kinetic metric for basins of attraction of RNA secondary structures and analysis of the ultrametricity of the energy landscape
[arXiv] 2026-06-24 | Extremal Deletion-Ball Intersections under Run-Count and Lower-Order Deletion-Ball Intersection Constraints
[arXiv] 2026-06-24 | Shift Variant Image Degradation and Restoration Using Singular Value Decomposition
[arXiv] 2026-06-24 | On-Sky Single-photon Time resolution of 35 ps with White Rabbit synchronization: towards the measurement of the size of a White Dwarf star
[arXiv] 2026-06-24 | Implementation and Extension of the Variance-Reduced BGK Method in PICLas
[arXiv] 2026-06-24 | Designing Trustworthy LLM-based Wellbeing Recommendation through Controllable Interaction
[arXiv] 2026-06-24 | Massive fields in 3D Minkowski space and boundary correlators
[arXiv] 2026-06-24 | ROAD-VLA: Robust Online Adaptation via Self-Distillation for Vision-Language-Action Models
[arXiv] 2026-06-24 | Peak-Robust Voting Rules
[arXiv] 2026-06-24 | Non-uniqueness of weak solutions to cross-diffusion systems with advection
[arXiv] 2026-06-24 | Approaching the Quantum Limit of Optical Rotatory Dispersion: From First-Principles to Single-Photon Monochromators
[arXiv] 2026-06-24 | Equilibrium states for non relativistic Bose gases and the Gross-Pitaevskii limit
[arXiv] 2026-06-24 | Pointwise Hurst Estimation via Scale Accumulation: A Noise-Robust Approach for Rough Volatility
[arXiv] 2026-06-24 | NEURON-Fabric: Architecture-Runtime Co-Design for Controlled Low-Bit Gradient Communication
[arXiv] 2026-06-24 | Stage-Aware and Roughness-Constrained Diffusion Policy for Multi-Stage Robotic Polishing
[arXiv] 2026-06-24 | Black-Box Assisted Regression: Phase Transitions and Minimax Optimality
[arXiv] 2026-06-24 | Radial Schmidt mode detector of entangled photons
[arXiv] 2026-06-24 | Tracing Target Answers in Poisoned Retrieval Corpora via Token Influence Attribution
[arXiv] 2026-06-24 | What Does the Brain See? Multiview Neural Representations to Demystify the Brain-Visual Alignment
[arXiv] 2026-06-24 | Gap-Aware Exact Nonnegative Matrix Factorization: A Two-Sided SVD Gauge and a Three-Regime W-Rank Taxonomy
[arXiv] 2026-06-24 | Frequency-Aware Self-Supervised Music Representation Learning
[arXiv] 2026-06-24 | Cellular Predictions on the Move: What about Data?
[arXiv] 2026-06-24 | Asymmetry-Induced Chiral Dynamics in Coupled Self-Propelled Robots: Spinning and Circular Motion
[arXiv] 2026-06-24 | $K^-$-Driven Direct Urca Cooling in Rotating Neutron Stars: A Bayesian Study
[arXiv] 2026-06-24 | A Quadratic $G^1$ Spline Approximation of the Sphere over Uniform Polyhedra
[arXiv] 2026-06-24 | A Two-Stage Decision Support System for Sustainability-Aware Long Short Portfolio Optimization
[arXiv] 2026-06-24 | The weighted $L^2$-Caffarelli-Kohn-Nirenberg inequalities for the curl-free vector fields and second order derivatives: The sharp constants and stability estimates
[arXiv] 2026-06-24 | Choosing What to Calibrate and What to Estimate in Structural Models
[arXiv] 2026-06-24 | Unveiling the Trans-Neptunian Region with the SKA
[arXiv] 2026-06-24 | Opinion Dynamics over Migration Networks
[arXiv] 2026-06-24 | Rate Programmable Ionic-Redox Switching with Tunable Volatility in CuCrP2S6
[arXiv] 2026-06-24 | Towards a Dynamic and Fixed-budget Memory Bank for Efficient Streaming Video Understanding
[arXiv] 2026-06-24 | Calousel: Extrinsic Calibration of Non-overlapping Multi-camera Systems from Pure Rotation
[arXiv] 2026-06-24 | Towards Robust Optimal Measurements Against Noise in Quantum Metrology
[arXiv] 2026-06-24 | A Wideband Millimeter-wave Receiver at 120-350 GHz for LMT-FINER
[arXiv] 2026-06-24 | Staying In Character: Perspective-Bounded Memory For Book-Based Role-Playing Agents
[arXiv] 2026-06-24 | Local existence and blow-up behavior for the diffusive Hamilton-Jacobi equation in a half-space with unbounded initial data
[arXiv] 2026-06-24 | Times of arrival (TOA) of signals in the Kerr-MOG black hole
[arXiv] 2026-06-24 | Evolved massive stars and their impact on their environment
[arXiv] 2026-06-24 | Low-Complexity Policy Tessellations in Structured Markov Decision Processes
[arXiv] 2026-06-24 | Leaking Circuit Secrets: Gradient Leakage Attacks on Graph Neural Networks
[arXiv] 2026-06-24 | ML-MAWS: Alignment-Free Maximum Likelihood Phylogeny Estimation Using Minimal Absent Words
[arXiv] 2026-06-24 | Cross-Attention Multimodal Learning for Predicting Response to Neoadjuvant Imatinib in Gastrointestinal Stromal Tumors: A Multicenter Retrospective Study
[arXiv] 2026-06-24 | Extremal Effective Cycles and Nef Line Bundles on \(\overline{\rm{M}}_{g,n}\)
[arXiv] 2026-06-24 | Riazi-8B: An Urdu Large Language Model for Mathematical Reasoning
[arXiv] 2026-06-24 | Galactic microlensing by acoustic Schwarzschild black holes
[arXiv] 2026-06-24 | Developing fast, accurate and spin pure calculations of organic diradical electronic structure
[arXiv] 2026-06-24 | Disease-Centric Vision-Language Pretraining with Hybrid Visual Encoding for 3D Computed Tomography
[arXiv] 2026-06-24 | Compact Objects Revealed by SKA and SKA-VLBI
[arXiv] 2026-06-24 | Mode-locking in a colloidal ring driven by power-modulated optical tweezers
[arXiv] 2026-06-24 | STEB: A Speech-to-Speech Translation Expressiveness Benchmark for Evaluating Beyond Translation Fidelity
[arXiv] 2026-06-24 | The impact of artificial intelligence on enterprise software user roles
[arXiv] 2026-06-24 | A Path-Survival Analytical Framework for SCL Decoding of Polar Code
[arXiv] 2026-06-24 | Efficient Krylov solvers for inverse source problem in 2D space-time fractional diffusion equation
[arXiv] 2026-06-24 | Physical Characteristics of the Asteroid (469219) Kamo'oalewa as a target of the Chinese Tianwen-2 mission
[arXiv] 2026-06-24 | Generalized convexity of spectral functions on Euclidean Jordan algebras
[arXiv] 2026-06-24 | Implementation of DIS at N$^3$LO for PDF determination
[arXiv] 2026-06-24 | Understanding Geopolitical Alignments Through Covariate Augmented Spectral Clustering of Heterogeneous UNGA Voting Data
[arXiv] 2026-06-24 | Towards analysis-aware geometry defeaturing for inception voltage predictions
[arXiv] 2026-06-24 | An inequality for Jacobi polynomials: a complement to Finite Increment Theorem
[arXiv] 2026-06-24 | Blasto-Net: An Explainable Multi-Task Learning for Blastocyst Segmentation, Grading, and Implantation Prediction
[arXiv] 2026-06-24 | Fully Differentiable Neural Forced Alignment via Soft Dynamic Programming
[arXiv] 2026-06-24 | Abstract Orlicz-Morrey spaces and applications
[arXiv] 2026-06-24 | Delta-Position Estimation-Based IMU Odometry: A Comparison of MLP and Kolmogorov-Arnold Networks
[arXiv] 2026-06-24 | Reclaim Evaluation: A Lossy Memory Is Worse Than an Empty One
