[2025-12-25 09:12:47] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2025-12-24
正在获取论文...
[arXiv] 2025-12-24 | UniPR-3D: Towards Universal Visual Place Recognition with Visual Geometry Grounded Transformer
[arXiv] 2025-12-24 | Classical reservoir approach for efficient molecular ground state preparation
[arXiv] 2025-12-24 | Agentic Explainable Artificial Intelligence (Agentic XAI) Approach To Explore Better Explanation
[arXiv] 2025-12-24 | Language-Guided Grasp Detection with Coarse-to-Fine Learning for Robotic Manipulation
[arXiv] 2025-12-24 | Beyond Pixel Simulation: Pathology Image Generation via Diagnostic Semantic Tokens and Prototype Control
[arXiv] 2025-12-24 | Optical Flow-Guided 6DoF Object Pose Tracking with an Event Camera
[arXiv] 2025-12-24 | Energy-Gain Control of Time-Varying Systems: Receding Horizon Approximation
[arXiv] 2025-12-24 | Matrix Completion Via Reweighted Logarithmic Norm Minimization
[arXiv] 2025-12-24 | zkFL-Health: Blockchain-Enabled Zero-Knowledge Federated Learning for Medical AI Privacy
[arXiv] 2025-12-24 | Measurement-driven Quantum Approximate Optimization
[arXiv] 2025-12-24 | Tracing Energy Flow: Learning Tactile-based Grasping Force Control to Prevent Slippage in Dynamic Object Interaction
[arXiv] 2025-12-24 | Passive scalar cascade in the intermediate layer of turbulent channel flow for $Pr\leq 1$
[arXiv] 2025-12-24 | Partitioned robustness analysis of networks with uncertain links
[arXiv] 2025-12-24 | Magneto-optical Skyrmion for manipulation of arbitrary light polarization
[arXiv] 2025-12-24 | Learning from Neighbors with PHIBP: Predicting Infectious Disease Dynamics in Data-Sparse Environments
[arXiv] 2025-12-24 | MVInverse: Feed-forward Multi-view Inverse Rendering in Seconds
[arXiv] 2025-12-24 | Distilling the Essence: Efficient Reasoning Distillation via Sequence Truncation
[arXiv] 2025-12-24 | Trisections and Lefschetz fibrations with $(-n)$-sections
[arXiv] 2025-12-24 | LLM-Empowered Agentic AI for QoE-Aware Network Slicing Management in Industrial IoT
[arXiv] 2025-12-24 | IMPACTX: An X-ray Spectral Model for Polar Dust and Clumpy Torus
[arXiv] 2025-12-24 | Multimodal Sensing for Robot-Assisted Sub-Tissue Feature Detection in Physiotherapy Palpation
[arXiv] 2025-12-24 | PUFM++: Point Cloud Upsampling via Enhanced Flow Matching
[arXiv] 2025-12-24 | Low-Altitude ISAC with Rotatable Active and Passive Arrays
[arXiv] 2025-12-24 | AegisAgent: An Autonomous Defense Agent Against Prompt Injection Attacks in LLM-HARs
[arXiv] 2025-12-24 | Automatic Replication of LLM Mistakes in Medical Conversations
[arXiv] 2025-12-24 | Reconfigurable Intelligent Surface-Enhanced Satellite Networks: Deployment Strategies, Key Capabilities, Practical Solutions, and Future Directions
[arXiv] 2025-12-24 | Spectral extremal problems for $(a,b,k)$-critical and fractional $(a,b,k)$-critical graphs
[arXiv] 2025-12-24 | Neutralization of IMU-Based GPS Spoofing Detection using external IMU sensor and feedback methodology
[arXiv] 2025-12-24 | Information-Backed Currency (IBC): Designing a Resilient, Transparent, and Information-Centric Monetary Ecosystem
