[2026-05-22 11:40:35] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-05-21
正在获取论文...
[arXiv] 2026-05-21 | Information-Theoretic Decentralized Secure Aggregation with User Dropouts
[arXiv] 2026-05-21 | The Limitations of the Notion of `Observable' in Diffeomorphism-Invariant Models
[arXiv] 2026-05-21 | An Evidence Hierarchy for Bayesian Object Classification via OSINT-Aided Heterogeneous Sensor Fusion
[arXiv] 2026-05-21 | Harder to Defend: Towards Chinese Toxicity Attacks via Implicit Enhancement and Obfuscation Rewriting
[arXiv] 2026-05-21 | A question on klt type varieties of Han and Jiang
[arXiv] 2026-05-21 | D3Seg: Dependency-Aware Diffusion for Brain Tumor Segmentation with Missing Modalities
[arXiv] 2026-05-21 | No Epoch Like the Present: Robust Climate Emulation Requires Out-of-Distribution Generalisation
[arXiv] 2026-05-21 | Unlocking Proactivity in Task-Oriented Dialogue
[arXiv] 2026-05-21 | An Architecture for Decentralised Deployment and Operation of Blockchain Applications
[arXiv] 2026-05-21 | Beyond descendants: integrable observables for cohomological field theories
[arXiv] 2026-05-21 | Silicate cosmic dust grain collisions in the interstellar medium: A molecular dynamics study
[arXiv] 2026-05-21 | A Robust Semantic Segmentation Pipeline for the CVPR 2026 8th UG2+ Challenge Track 2
[arXiv] 2026-05-21 | Towards a compositional semantics for quantitative confidence assessment in assurance arguments
[arXiv] 2026-05-21 | GALAR-TemporalNet v2: Anatomy-Guided Dual-Branch Temporal Classification with Bidirectional Mamba and Dual-Graph GCN for Video Capsule Endoscopy -- after competition results
[arXiv] 2026-05-21 | Zero-Shot Temporal Action Localization Through Textual Guidance
[arXiv] 2026-05-21 | Reinforced Graph of Thoughts: RL-Driven Adaptive Prompting for LLMs
[arXiv] 2026-05-21 | Quasi-Simultaneous Broadband Spectral Energy Distributions of a Sample of Fermi Blazars -- I. Correlation Results
[arXiv] 2026-05-21 | LLM-Metrics: Measuring Research Impact Through Large Language Model Memory
[arXiv] 2026-05-21 | Dark photon -- Assisted Primordial Magnetogenesis
[arXiv] 2026-05-21 | IdleSpec: Exploiting Idle Time via Speculative Planning for LLM Agents
[arXiv] 2026-05-21 | One Sentence, One Drama: Personalized Short-Form Drama Generation via Multi-Agent Systems
[arXiv] 2026-05-21 | Psy-Chronicle:A Structured Pipeline for Synthesizing Long-Horizon Campus Psychological Counseling Dialogues
[arXiv] 2026-05-21 | EventGait: Towards Robust Gait Recognition with Event Streams
[arXiv] 2026-05-21 | Cross-Lingual Consensus: Aligning Multilingual Cultural Knowledge via Multilingual Self-Consistency
[arXiv] 2026-05-21 | Beyond Pixels: Learning Invariant Rewards for Real-World Robotics From a Few Demonstrations
[arXiv] 2026-05-21 | Effective User-defined Keyword Spotting with Dual-stage Matching, Multi-modal Enrollment, and Continual Adaptation
[arXiv] 2026-05-21 | On defective spans of singular vector tuples beyond the boundary format
[arXiv] 2026-05-21 | Diagonal Ramsey numbers for wheels
[arXiv] 2026-05-21 | Self-Supervised ConvLSTM for Fermi Large Area Telescope Transient Detection
[arXiv] 2026-05-21 | Full Turbulence Simulation of Channel Flow at $Re_τ \approx 1000$
[arXiv] 2026-05-21 | On the Shafranov shift in stellarators
[arXiv] 2026-05-21 | Competing incommensurability, electronic correlations, and superconductivity in a hybrid transition metal dichalcogenide
[arXiv] 2026-05-21 | Quantifying Full-Body Immersion
[arXiv] 2026-05-21 | Observation of magnetically switchable quantum geometric photocurrents
[arXiv] 2026-05-21 | Revisiting the high-field phase diagram of the topological cubic helimagnet SrFeO$_{3}$
[arXiv] 2026-05-21 | LACO: Adaptive Latent Communication for Collaborative Driving
[arXiv] 2026-05-21 | BeLink: Biomedical Entity Linking Meets Generative Re-Ranking
[arXiv] 2026-05-21 | Two photon decay width of the fully charmed tetraquarks: revisiting prospects for ultraperipheral collisions
[arXiv] 2026-05-21 | A condensed proof of the pro-étale and étale exodromy theorems
[arXiv] 2026-05-21 | Training-Free Fine-Grained Semantic Segmentations in Low Data Regimes: A FungiTastic Baseline
[arXiv] 2026-05-21 | Represented Is Not Computed: A Causal Test of Candidate Algorithmic Intermediates in a Transformer
[arXiv] 2026-05-21 | When Stronger Triggers Backfire: A High-Dimensional Theory of Backdoor Attacks
[arXiv] 2026-05-21 | Implicit Regularization of Mini-Batch Training in Graph Neural Networks
[arXiv] 2026-05-21 | Structured-Sparse Attention for Entity Tracking with Subquadratic Sequence Complexity
[arXiv] 2026-05-21 | Lost in Tokenization: Fundamental Trade-offs in Graph Tokenization for Transformers
[arXiv] 2026-05-21 | Reinforcement learning for ion shuttling on trapped-ion quantum computers
[arXiv] 2026-05-21 | Reduced Dynamical Maps in Finite Temperature Vibronic Coupling Models via Choi Matrices: Numerical Methods and Applications
[arXiv] 2026-05-21 | A Complete Characterization of Heron Triangles with Two Perfect Square Sides and the All-Square Equivalence Condition
[arXiv] 2026-05-21 | Don't Forget the Critic: Value-Based Data Rehearsal for Multi-Cyclic Continual Reinforcement Learning
[arXiv] 2026-05-21 | Transport Enhancement and In Situ Control of Electronic Correlation via Photoinduced Modulation Doping of van der Waals Heterostructures
[arXiv] 2026-05-21 | A Constant-Time Implementation Methodology for Activation Functions on Microcontrollers
[arXiv] 2026-05-21 | Characterizing the Fault Response of the Intel Neural Compute Stick 2 Under Single-Pulse Electromagnetic Fault Injection
[arXiv] 2026-05-21 | Assisted Counterspeech Writing at the Crossroads of Hate Speech and Misinformation
[arXiv] 2026-05-21 | A quick distributional way to reproduce some results of the Riemann zeta function
[arXiv] 2026-05-21 | The inflation functor in pluripotential homological algebra
[arXiv] 2026-05-21 | The Neglected Baseline in Model Interpretation
[arXiv] 2026-05-21 | DeferMem: Query-Time Evidence Distillation via Reinforcement Learning for Long-Term Memory QA
[arXiv] 2026-05-21 | Quantum invariants of flat 2-bundles over 3-manifolds
[arXiv] 2026-05-21 | STARFIRE-2: Can we detect the global redshifted 21-cm signal from the cosmic dawn in Earth orbit?
[arXiv] 2026-05-21 | Extrinsic characterizations of biconservative surfaces in the $4$-dimensional hyperbolic space
[arXiv] 2026-05-21 | Nf-PEAK: Process-Based Energy Attribution for Nextflow Workflows on Kubernetes Clusters
[arXiv] 2026-05-21 | The relative entropy of magic and its nonadditivity
[arXiv] 2026-05-21 | Aggregation-Fragmentation Processes with Broken Detailed Balance
[arXiv] 2026-05-21 | Multi-Stage Training for Abusive Comment Detection in Indic Languages
[arXiv] 2026-05-21 | Towards Explainability of SLMs by investigating Token Level Activation
[arXiv] 2026-05-21 | TimeGuard: Channel-wise Pool Training for Backdoor Defense in Time Series Forecasting
[arXiv] 2026-05-21 | GazePrior: Zero-Shot AR/VR Eye Tracking via Learned 3D Gaze Reconstruction
[arXiv] 2026-05-21 | Modeling Pathology-Like Behavioral Patterns in Language Models Through Behavioral Fine-Tuning
[arXiv] 2026-05-21 | Spatiotemporal dynamics and ecological risk factors of highly pathogenic avian influenza A(H5N1) in Canadian wildlife: A One Health surveillance analysis
[arXiv] 2026-05-21 | Departure from Regularity: Degree Heterogeneity and Eigengap as the Structural Drivers of ASE-LSE Latent Subspace Disagreement
[arXiv] 2026-05-21 | Sibyl-AutoResearch: Autonomous Research Needs Self-Evolving Trial-and-Error Harnesses, Not Paper Generators
[arXiv] 2026-05-21 | Physics-Informed Generative Solver: Bridging Data-Driven Priors and Conservation Laws for Stable Spatiotemporal Field Reconstruction
[arXiv] 2026-05-21 | A First Measurement Study on Authentication Security in Real-World Remote MCP Servers
[arXiv] 2026-05-21 | PACT: Reducing Alert Fatigue in Low-Prevalence SOC Streams with Triggered Active Learning
[arXiv] 2026-05-21 | Cross-domain benchmarks reveal when coordinated AI agents improve scientific inference from partial evidence
[arXiv] 2026-05-21 | Data-Driven Reduced Modeling of Delayed Dynamical Systems via Spectral Submanifolds
[arXiv] 2026-05-21 | Mid-infrared temporal ghost imaging via two-photon structured encoding
[arXiv] 2026-05-21 | Detection of Virus and Small Cell Patches in Foci Images Using Switchable Convolution and Feature Pyramid Networks
[arXiv] 2026-05-21 | Randomized Flexible LSQR and LSMR with applications to inverse problems
[arXiv] 2026-05-21 | Cellular resolutions of second powers of square-free monomial ideals with divisibility relations
[arXiv] 2026-05-21 | Topological semimetals: surface transport and spin effects
[arXiv] 2026-05-21 | Adaptive Measurement Allocation for Learning Kernelized SVMs Under Noisy Observations
[arXiv] 2026-05-21 | MPDocBench-Parse: Benchmarking Practical Multi-page Document Parsing
[arXiv] 2026-05-21 | Q-PhotoNAS: Hybrid Quantum Neural Architecture Search Framework on Photonic Devices
[arXiv] 2026-05-21 | VISTA: Validation-Guided Integration of Spatial and Temporal Foundation Models with Anatomical Decoding for Rare-Pathology VCE Event Detection -- after competition results
[arXiv] 2026-05-21 | A path-finding algorithm for computing minimal-weight-matching centrosymmetry parameter
[arXiv] 2026-05-21 | Can Breath Biomarkers Causally Influence Blood Glucose? Investigating VOC-Mediated Modulation in Diabetes
[arXiv] 2026-05-21 | From Reasoning Chains to Verifiable Subproblems: Curriculum Reinforcement Learning Enables Credit Assignment for LLM Reasoning
[arXiv] 2026-05-21 | Behavior-Guided Candidate Calibration for Multimodal Recommendation
[arXiv] 2026-05-21 | Duality theory for categorical theories
[arXiv] 2026-05-21 | Hy-MT2: A Family of Fast, Efficient and Powerful Multilingual Translation Models in the Wild
[arXiv] 2026-05-21 | On the structure of fine Mordell-Weil groups over a $\mathbb{Z}_p$-extension and its intermediate subextensions
[arXiv] 2026-05-21 | Closed geodesics in short intervals for random hyperbolic surfaces
[arXiv] 2026-05-21 | FlyRoute: Self-Evolving Agent Profiling via Data Flywheel for Adaptive Task Routing
[arXiv] 2026-05-21 | Active Evidence-Seeking and Diagnostic Reasoning in Large Language Models for Clinical Decision Support
[arXiv] 2026-05-21 | Achieving Directional-Stationarity from a Single Random Direction Step
[arXiv] 2026-05-21 | Modelling hydroelastic flexure of arbitrarily shaped ice shelves forced by long ocean waves
[arXiv] 2026-05-21 | SO-Mamba: State-Ownership Mamba for Unrolled MRI Reconstruction
[arXiv] 2026-05-21 | Eigen for Statistical and Machine Learning Computing: A Lightweight C++ Tutorial with Python Bindings
[arXiv] 2026-05-21 | Replay-guided Test-time Adaptation for Fault Diagnosis Under Unseen Operating Conditions
[ACM] 2026-5-21 | Evaluation of Monolingual and Multilingual Transformer Models for Nepali Headline Generation
[ACM] 2026-5-21 | Causality-Driven Test Case Minimisation for Cyber-Physical Systems
[IEEE] 2026-5-21 | Robust Wearable Motion Recognition Using a Two-Stage FMG Pipeline with Rest Filtering and Placement Adaptation_supp1-3674514.pdf
[IEEE] 2026-5-21 | FSS-DT: Secure Division-free Decision Tree Training and Inference via Function Secret Sharing
[IEEE] 2026-5-21 | High-efficiency stacked Blumlein pulse generator using a multi-Boost topology with magnetic coupling suppression
[IEEE] 2026-5-21 | Computational Empathy in Affective LLMs: Architectures, Evaluation, and Clinical Deployment Challenges
[IEEE] 2026-5-21 | ANEP: Adaptive Newton Ego Planner for Multi-Waypoint UAV Trajectory Optimization in Constrained Environments
[IEEE] 2026-5-21 | Optical Parametric Amplifier-enabled Wavelength-tunable Information Management across IQ Complex Plane
[IEEE] 2026-5-21 | IEEE Transactions on Nuclear Science Information for Authors
