[2026-03-05 09:36:59] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-03-04
正在获取论文...
[arXiv] 2026-03-04 | New Robotic Telescope: The big eye to observe the transient Universe
[arXiv] 2026-03-04 | Nine-element machine-learned interatomic potentials for multiphase refractory alloys
[arXiv] 2026-03-04 | HBRB-BoW: A Retrained Bag-of-Words Vocabulary for ORB-SLAM via Hierarchical BRB-KMeans
[arXiv] 2026-03-04 | Generating Exceptional Knots and Links with Arbitrary Braiding Topology
[arXiv] 2026-03-04 | Atomic-scale Stark-shift spectroscopy and microscopy of organic molecules
[arXiv] 2026-03-04 | Precise measurement of the form factors in $D^0\rightarrow K^*(892)^-\ell^+ν_{\ell}$ and observation of $D^0\rightarrow K_2^*(1430)^-\ell^+ν_{\ell}$
[arXiv] 2026-03-04 | Two-Stage Photovoltaic Forecasting: Separating Weather Prediction from Plant-Characteristics
[arXiv] 2026-03-04 | Mask-Guided Attention Regulation for Anatomically Consistent Counterfactual CXR Synthesis
[arXiv] 2026-03-04 | Irradiation Studies of TGC Electronics Components for the ATLAS Experiment at High-Luminosity LHC
[arXiv] 2026-03-04 | Sharp regularity near the grazing set for kinetic Fokker-Planck equations
[arXiv] 2026-03-04 | An analytical-numerical coupled model of liquid droplet impact on solid material surfaces
[arXiv] 2026-03-04 | Understanding Sources of Demographic Predictability in Brain MRI via Disentangling Anatomy and Contrast
[arXiv] 2026-03-04 | A trick to ensure positive Mordell-Weil rank
[arXiv] 2026-03-04 | Post-inflationary axion constraints from the Lyman-$α$ forest
[arXiv] 2026-03-04 | Accurate and Efficient Hybrid-Ensemble Atmospheric Data Assimilation in Latent Space with Uncertainty Quantification
[arXiv] 2026-03-04 | A framework for missing-energy searches with anomalous light vectors
[arXiv] 2026-03-04 | Unital $3$-dimensional structurable algebras: classification, properties and $\rm{AK}$-construction
[arXiv] 2026-03-04 | The Gaussian Wave for Graphs of Finite Cone Type
[arXiv] 2026-03-04 | TaxonRL: Reinforcement Learning with Intermediate Rewards for Interpretable Fine-Grained Visual Reasoning
[arXiv] 2026-03-04 | Formalization in Lean of faithfully flat descent of projectivity
[arXiv] 2026-03-04 | $τ$-Knowledge: Evaluating Conversational Agents over Unstructured Knowledge
[arXiv] 2026-03-04 | Volumetric effects in viscous flows in circular and annular tubes with wavy walls
[arXiv] 2026-03-04 | Dissecting Quantization Error: A Concentration-Alignment Perspective
[arXiv] 2026-03-04 | Pointer-CAD: Unifying B-Rep and Command Sequences via Pointer-based Edges & Faces Selection
[arXiv] 2026-03-04 | What Does Flow Matching Bring To TD Learning?
[arXiv] 2026-03-04 | Study on the Effect of Annealing on Ga$_2$O$_3$ Thin Films Deposited on Silicon by RF Sputtering
[arXiv] 2026-03-04 | Hunting for methanol in the water rich, planet forming disk around HL Tau
[arXiv] 2026-03-04 | MOO: A Multi-view Oriented Observations Dataset for Viewpoint Analysis in Cattle Re-Identification
[arXiv] 2026-03-04 | CRESTomics: Analyzing Carotid Plaques in the CREST-2 Trial with a New Additive Classification Model
[arXiv] 2026-03-04 | Activation Outliers in Transformer Quantization: Reproduction, Statistical Analysis, and Deployment Tradeoffs
[arXiv] 2026-03-04 | Dual Diffusion Models for Multi-modal Guided 3D Avatar Generation
[arXiv] 2026-03-04 | Perception-Aware Time-Optimal Planning for Quadrotor Waypoint Flight
[arXiv] 2026-03-04 | The Company You Keep: How LLMs Respond to Dark Triad Traits
[arXiv] 2026-03-04 | Hanle lineshapes and spin-rotation signatures from in-plane anisotropic spin relaxation in heterogeneous spin devices
[arXiv] 2026-03-04 | Gaussian Wardrobe: Compositional 3D Gaussian Avatars for Free-Form Virtual Try-On
[arXiv] 2026-03-04 | IPD: Boosting Sequential Policy with Imaginary Planning Distillation in Offline Reinforcement Learning
[arXiv] 2026-03-04 | A multi-center analysis of deep learning methods for video polyp detection and segmentation
[arXiv] 2026-03-04 | The effect of chemical vapor infiltration process parameters on flexural strength of porous α-SiC: A numerical model
[arXiv] 2026-03-04 | Maintenance optimization of a two-component system with mixed observability
[arXiv] 2026-03-04 | Continuity of Magnitude at Skew Finite Subsets of $\ell_1^N$
[arXiv] 2026-03-04 | Joint tomographic measurement of thermal Sunyaev Zeldovich and the cosmic infrared background
[arXiv] 2026-03-04 | Atmospheric effects on cosmic-ray muon rate at high latitude (78.9°N)
[arXiv] 2026-03-04 | Atmospheric neutrino constraints on Lorentz invariance violation with the first six detection units of KM3NeT/ORCA
[arXiv] 2026-03-04 | Cluster-Level Experiments using Temporal Switchback Designs: Precision Gains in Pricing A/B Tests at LATAM Airlines
[arXiv] 2026-03-04 | FeedAIde: Guiding App Users to Submit Rich Feedback Reports by Asking Context-Aware Follow-Up Questions
[arXiv] 2026-03-04 | Optomicrofluidic measurement of particle-encapsulated droplet system
[arXiv] 2026-03-04 | Minimum Weight Decoding in the Colour Code is NP-hard
[arXiv] 2026-03-04 | Semi-Supervised Generative Learning via Latent Space Distribution Matching
[arXiv] 2026-03-04 | Constructing Arbitrary Coherent Rearrangements in Optical Lattices
[arXiv] 2026-03-04 | Arnold tongues in the forced Kuramoto model with matrix coupling
[arXiv] 2026-03-04 | On the defect in the generalized Grunwald--Wang problem
[arXiv] 2026-03-04 | Excursion-set for Primordial Black Holes I: white noise and moving barrier
[arXiv] 2026-03-04 | On Hamilton Jacobi equations with time measurable Hamiltonians posed on a 1-dimensional junction
[arXiv] 2026-03-04 | Scalable Join Inference for Large Context Graphs
[arXiv] 2026-03-04 | A baryon-calibrated unified quark-diquark effective mass formalism for heavy multiquarks
[arXiv] 2026-03-04 | Degradation-based augmented training for robust individual animal re-identification
[arXiv] 2026-03-04 | Representation theorems for actual and alpha powers over two-agent general concurrent game frames
[arXiv] 2026-03-04 | Strong Approximation for the Character Variety of the Four-Times Punctured Sphere
[arXiv] 2026-03-04 | EgoPoseFormer v2: Accurate Egocentric Human Motion Estimation for AR/VR
[arXiv] 2026-03-04 | A Digital Twin of the FPGA Digital Signal Processing Chain for MKIDs Readout: Root-Cause Analysis and Mitigation of Spurs
[arXiv] 2026-03-04 | Doubly Robust Estimation of Treatment Effects in Staggered Difference-in-Differences with Time-Varying Covariates
[arXiv] 2026-03-04 | Limiting empirical spectral measure of the normalized Laplacian in preferential attachment graphs
[arXiv] 2026-03-04 | (Quantum) reference frames, relational observables, gauge reduction and physical interpretation
[arXiv] 2026-03-04 | Tuning Just Enough: Lightweight Backdoor Attacks on Multi-Encoder Diffusion Models
[arXiv] 2026-03-04 | Fermi-Dirac thermal measurements: A framework for quantum hypothesis testing and semidefinite optimization
[arXiv] 2026-03-04 | Long-Term Visual Localization in Dynamic Benthic Environments: A Dataset, Footprint-Based Ground Truth, and Visual Place Recognition Benchmark
[arXiv] 2026-03-04 | Low-Altitude Agentic Networks for Optical Wireless Communication and Sensing: An Oceanic Scenario
[arXiv] 2026-03-04 | OPTIMus - a survey of massive star-forming regions at OPTical, Infrared, and Millimeter wavelengths
[arXiv] 2026-03-04 | Force-Aware Residual DAgger via Trajectory Editing for Precision Insertion with Impedance Control
[arXiv] 2026-03-04 | Second-order supporting quadric method for designing freeform refracting surfaces generating prescribed irradiance distributions
[arXiv] 2026-03-04 | Who Judges the Judge? Evaluating LLM-as-a-Judge for French Medical open-ended QA
[arXiv] 2026-03-04 | Self-adapting Robotic Agents through Online Continual Reinforcement Learning with World Model Feedback
[arXiv] 2026-03-04 | Performance Optimization in Stream Processing Systems: Experiment-Driven Configuration Tuning for Kafka Streams
[arXiv] 2026-03-04 | Weak Lensing by Photometric Density Ridges
[arXiv] 2026-03-04 | Probing pure spin-rotation quantum geometry in persistent spin textures via nonlinear transport
[arXiv] 2026-03-04 | Rethinking the Efficiency and Effectiveness of Reinforcement Learning for Radiology Report Generation
[arXiv] 2026-03-04 | On the Computational Content of Moduli of Regularity and their Logical Strength
[arXiv] 2026-03-04 | Non-Derivability Results in Polymorphic Dependent Type Theory
[arXiv] 2026-03-04 | STEM Faculty Perspectives on Generative AI in Higher Education
[arXiv] 2026-03-04 | Spectrally Corrected Polynomial Approximation for Quantum Singular Value Transformation
[arXiv] 2026-03-04 | Bandwidth Selection for Spatial HAC Standard Errors
[arXiv] 2026-03-04 | Global Structure of Accretion Flows in Sgr A*
[arXiv] 2026-03-04 | SORT: A Systematically Optimized Ranking Transformer for Industrial-scale Recommenders
[arXiv] 2026-03-04 | Bayesian structured additive quantile regression for inflated bounded data
[arXiv] 2026-03-04 | Dielectric Barrier Corona Discharge Anomaly by Ionic Wind under Unipolar Voltage Excitation
[arXiv] 2026-03-04 | GeoSeg: Training-Free Reasoning-Driven Segmentation in Remote Sensing Imagery
[arXiv] 2026-03-04 | BLOCK: An Open-Source Bi-Stage MLLM Character-to-Skin Pipeline for Minecraft
[arXiv] 2026-03-04 | ProFound: A moderate-sized vision foundation model for multi-task prostate imaging
[arXiv] 2026-03-04 | Distributed vs. Centralized Precoding in Cell-Free Systems: Impact of Realistic Per-AP Power Limits
[arXiv] 2026-03-04 | Selecting Offline Reinforcement Learning Algorithms for Stochastic Network Control
[arXiv] 2026-03-04 | Demonstration of robust chiral edge transport in Chern insulator MnBi2Te4 devices with engineered geometric defects
[arXiv] 2026-03-04 | Local observers in stationary axisymmetric dust spacetimes
[arXiv] 2026-03-04 | Hierarchical Inference and Closure Learning via Adaptive Surrogates for ODEs and PDEs
[arXiv] 2026-03-04 | When Safety Becomes a Vulnerability: Exploiting LLM Alignment Homogeneity for Transferable Blocking in RAG
[arXiv] 2026-03-04 | Ultrabubble enumeration via a lowest common ancestor approach
[arXiv] 2026-03-04 | Angular distribution of Kα x rays following nonradiative double electron capture in relativistic collisions of Xe54+ ions with Kr and Xe atoms
[arXiv] 2026-03-04 | PatchDecomp: Interpretable Patch-Based Time Series Forecasting
[arXiv] 2026-03-04 | Competitive tumor growth modeling and optimal radiotherapy control via logistic equations
[arXiv] 2026-03-04 | Remote Plasma Polymers of Iron (II) Phthalocyanine in Polyacrylonitrile-Derived Carbon Electrospun Fibers as Electrode for Supercapacitors
[arXiv] 2026-03-04 | IROSA: Interactive Robot Skill Adaptation using Natural Language
[ACM] 2026-3-4 | LLM-Based Long-Term Life Task Planning to Reduce Human Uncertainty
[IEEE] 2026-3-4 | A 3D-Printing Wideband Circumferentially Foldable Dual-Polarized Spherical Luneburg Lens Antenna
[IEEE] 2026-3-4 | E-YOLO to OMOD: An Enhanced YOLO Framework for Small Moving Object Detection in Omnidirectional Videos
[IEEE] 2026-3-4 | Neighborhood-Aware Fuzzy Graph Convolutional Networks for Improved Information Fusion
[IEEE] 2026-3-4 | APCIT 2025 Contributor Page
[IEEE] 2026-3-4 | End-to-End Multimedia Protection for Consumer-Centric Digital Twins via Blockchain and Hardware-Rooted Trust
[IEEE] 2026-3-4 | Accurate Soft Switching Technique for Wireless Power Transfer System Based on State Trajectory Analysis
[IEEE] 2026-3-4 | Symmetric Phase-Engineered Hf₁₋ₓZrₓO₂ Enabling Reliable Non-Destructive Memory Readout
[IEEE] 2026-3-4 | Dual-Branch Token Selection Fusion Network for Hyperspectral Image Classification with Few Labeled Samples
[IEEE] 2026-3-4 | Overengineering BRC: Distributed-System Solution for Automating Compute-Heavy Data-Processing Competitions
