[2026-01-17 09:09:56] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-01-16
正在获取论文...
[IEEE] 2026-1-16 | Resilient Control Design for EV Fast Charging Unit Consisting of Multiple SAB Converter Modules
[IEEE] 2026-1-16 | Discriminant Analysis of Organizational and Personal Factors Affecting Employee Well-Being in the Hospitality Industry
[IEEE] 2026-1-16 | Multi Channel Fusion Framework for Tomato Leaf Disease Classification Using Modified Cnn Backbones and Preprocessing Aware Input Design
[IEEE] 2026-1-16 | LASFNet: A Lightweight Attention-Guided Self-Modulation Feature Fusion Network for Multimodal Object Detection
[IEEE] 2026-1-16 | Table of Contents
[IEEE] 2026-1-16 | Evaluating NB-IoT and Sigfox for Energy-Efficient Data Loggers in Sewer Infrastructure
[IEEE] 2026-1-16 | RF-3DGS: Wireless Channel Modeling With Radio Radiance Field and 3D Gaussian Splatting
[IEEE] 2026-1-16 | Real-Time Radar Pulse Parameter Extraction on FPGA Platforms
[IEEE] 2026-1-16 | Sensor Placement Strategies for 3-D AOA Localization under General Convex Deployment Constraints
[IEEE] 2026-1-16 | Robust Image Semantic Communication via Wavelet-Attentive JSCC Under Adversarial and Channel Perturbations
[IEEE] 2026-1-16 | A Hybrid LBM-FVM Solver for Simulating Multiphase Multi-Component Fluids_supp2-3644004.mp4
[IEEE] 2026-1-16 | Characterizing the Dynamic Hosting Capacity of Distribution Networks Integrated with Distributed GAI Data Center
[IEEE] 2026-1-16 | Order-Aware Deep Learning for Drug Combination Benefit Prediction in Cancer Cell Lines
[IEEE] 2026-1-16 | Outliers Adaptation Exploration and Centroids Matching Label Refinement for Unsupervised Person Re-identification
[IEEE] 2026-1-16 | Grid Frequency Stability Support Potential of Data Center: A Quantitative Assessment of Flexibility
[IEEE] 2026-1-16 | Survey of AI-enabled IoT for Wildfire Prediction, Detection, and Post-Operations
[IEEE] 2026-1-16 | From Edge to Edge: A Flow-Inspired Scheduling Planner for Multi-Robot Systems
[IEEE] 2026-1-16 | Weather-Driven Machine Learning Approach for Predicting Rice Production in East Java
[IEEE] 2026-1-16 | Like Human Rethinking: Contour Transformer AutoRegression for Referring Remote Sensing Interpretation
[IEEE] 2026-1-16 | Clustering of Regencies/Cities in Java Island Based on Decent Housing Indicators in 2024 Using K-Medoids and DBSCAN
[IEEE] 2026-1-16 | Extending the Technology Acceptance Model (TAM) in Mobile Language Learning: The Role of Information Quality and Autonomy
[IEEE] 2026-1-16 | IBKA-CEEMDAN-SPMF Algorithm for Denoising Electromagnetic Radiation in Loaded Coal-Rock
[IEEE] 2026-1-16 | Unveiling Consumer Behaviour Insights via KMeans Customer Segmentation
[ACM] 2026-1-16 | Diagnosis of Benign Positional Vertigo: A Systematic Review of Machine Learning and Deep Learning within Videonystagmography
[IEEE] 2026-1-16 | Development of an IoT-Based Wearable Device for Real-Time Posture Monitoring and Correction
[IEEE] 2026-1-16 | A Comparative Study of Machine Learning Models for Identification of Antiviral Peptides Using Various Encoded Features_supp1-3654071.pdf
[IEEE] 2026-1-16 | Vision Enhancing LLMs: Empowering Multimodal Knowledge Storage and Sharing in LLMs
