[2026-08-12 09:54:54] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-08-11
正在获取论文...
arXiv 请求失败: HTTPSConnectionPool(host='export.arxiv.org', port=443): Max retries exceeded with url: /api/query?search_query=lastUpdatedDate%3A%5B202608110000+TO+202608112359%5D&sortBy=relevance&sortOrder=descending&max_results=100 (Caused by ResponseError('too many 429 error responses'))
[ACM] 2026-8-11 | DWasm: Portable Debugging for the Web
[ACM] 2026-8-11 | VL-DNA: Enhance DNA Storage Capacity with Variable Payload/Strand Lengths
[ACM] 2026-8-11 | Poster: One-Prompt Censorship Evasion via Generative Diffusion Models
[ACM] 2026-8-11 | Prefetching for Short Video Streaming: Experiences from a Longitudinal Evolution at Planetary Scale
[ACM] 2026-8-11 | Explainable Network Verification via Localized Subspecification
[ACM] 2026-8-11 | From Nimitz to NetPila: The Evolution of Production-Scale Container Network
[IEEE] 2026-8-11 | Multi-Label Disease Detection in Chest X-Ray Images Using CheXFound: Loss Function Analysis
[IEEE] 2026-8-11 | Sample-Efficient Autonomous Surface Vehicle Navigation with Enhanced Experience Replay
[IEEE] 2026-8-11 | Deep Learning Approaches for Bearing Fault Diagnosis Using Motor Current Signals
[IEEE] 2026-8-11 | Efficient Optic Disc and Cup Segmentation for Glaucoma Assessment
[IEEE] 2026-8-11 | HAPS for Maritime Communications: Performance Comparison of Relaying Techniques
[IEEE] 2026-8-11 | Low-Cost Integrated Sensing and Communication System Design with Ultrasonic Sound Waves
[IEEE] 2026-8-11 | Comparative Analysis of 700 MHz and 2600 MHz Frequency Bands in Mobile Private LTE Networks in Terms of Performance Parameters
[IEEE] 2026-8-11 | Learning Discrete Relational Symbols for Compound Object Affordances
[IEEE] 2026-8-11 | Instruction-Tuned Translation Language Model Focused On Turkish
[IEEE] 2026-8-11 | Spatio-Temporal Time Series Forecasting with Graph-Enhanced Embeddings
[IEEE] 2026-8-11 | Improving UAV-derived nearshore bathymetry using geospatial machine learning
[IEEE] 2026-8-11 | Statistical Channel Fingerprint Construction for Massive MIMO: A Unified Tensor Learning Framework
[IEEE] 2026-8-11 | Bottom Door State Estimation for Coal Hopper Wagons: A Recursive Kalman Filtering Algorithm Under Amplify-and-Forward Relays and Deception Attacks
[IEEE] 2026-8-11 | Modulating Retroreflector-Aided UAV-Based FSO/QKD Systems
