[2026-08-20 09:26:45] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-08-19
正在获取论文...
[arXiv] 2026-08-19 | Realizing Logical Diagonal Gates via Transversal Physical $Z$-Rotations in CSS Codes
[arXiv] 2026-08-19 | The Equality Cases of the Weak Simplex Conjecture
[arXiv] 2026-08-19 | Non-Local Search-to-Decision Reduction over F2
[arXiv] 2026-08-19 | Learning Random Geometric Graphs Drawn in Probabilistic Metric Spaces
[arXiv] 2026-08-19 | Asteroseismology of the multiperiodic field SX Phe pulsator BL Camelopardalis
[arXiv] 2026-08-19 | Exploring the limits of high-energy proton-pion separation in granular calorimeters
[arXiv] 2026-08-19 | Computational Features for Symbolic Melody Analysis
[arXiv] 2026-08-19 | Distinct Modes of Quantum Information Transfer in Power-Law Long-Range Spin Networks
[arXiv] 2026-08-19 | A Ginzburg-Landau approximation theorem for quasilinear pattern-forming systems in uniformly local Sobolev spaces
[arXiv] 2026-08-19 | Molecular Implementation of the Machine-Learned Skala Exchange-Correlation Functional in CP2K through GauXC
[arXiv] 2026-08-19 | Counterfactual Contrastive Analysis
[arXiv] 2026-08-19 | A Search for helium in the atmospheres of three sub-Neptunes and a super-Earth around M-dwarfs
[arXiv] 2026-08-19 | A trace theorem for spherical kinetic Sobolev spaces on $ρ$-convex domains
[arXiv] 2026-08-19 | Scalable Amortized Variational Inference for Non-Poisson Buy-'Til-You-Die Models
[arXiv] 2026-08-19 | Quantifying uncertainty in the neutron-star equation of state using point estimates and posterior distributions
[arXiv] 2026-08-19 | One-Stage Object Detectors in Autonomous Driving
[arXiv] 2026-08-19 | From Threat Intelligence to Detection: Knowledge-driven Enrichment and Template-based Rule Grounding for Automated Sigma Rule Generation
[arXiv] 2026-08-19 | Gradient Flow Structure of the Spontaneous Aggregation Model
[arXiv] 2026-08-19 | A Sharp Joint Bias-Energy Envelope for Radial Clipping
[arXiv] 2026-08-19 | Quadrupole White-light Sources in an X1.2 Flare Observed by ASO-S/LST/WST and SDO/HMI
[arXiv] 2026-08-19 | Towards a Deductive Verification Infrastructure for Weighted Programming
[arXiv] 2026-08-19 | Universal domination and idealized forcing
[arXiv] 2026-08-19 | An ultra-bright, highly-scalable, squeezed light source for hybrid quantum photonics
[arXiv] 2026-08-19 | On $\textbf{u}$-substitutions for group presentations
[arXiv] 2026-08-19 | Near-optimal Turán densities of $r$-graphs on $r+1$ vertices
[arXiv] 2026-08-19 | Time-Decay Estimates for Two-Dimensional Fourth-Order Schrödinger Operators with Threshold Singularities
[arXiv] 2026-08-19 | On the Slow Convergence to Trivial Solutions of Algorithms for Hard Optimization Problems
[arXiv] 2026-08-19 | Remarkable Enhancement of High Harmonic Generation from Superhard Material under High Pressure
[arXiv] 2026-08-19 | New Constructions of Additive MDS TRS Codes
[arXiv] 2026-08-19 | Syntactic Simplification of OWL Class Expressions
[arXiv] 2026-08-19 | The efficient star-forming regions of stripped-envelope supernovae
[arXiv] 2026-08-19 | Optimal control of a class of nonlinear heat conduction models
[arXiv] 2026-08-19 | Triangle Feynman diagram in the timelike region
[arXiv] 2026-08-19 | Graph-Based Approaches to Learning Epileptogenic Zone Localization Using Stereo-EEG Recordings
[arXiv] 2026-08-19 | Spectral Fingerprints of Resonant Defect Scattering by Substitutional Mn in Graphene
[arXiv] 2026-08-19 | DentAgent: Evidence-Centric Multi-Agent Coordination for Multimodal Dental Reasoning
[arXiv] 2026-08-19 | Estimation of systematic error from bulk deformation of end test mass induced by photon calibrator for LIGO post-O5 gravitational wave projects
[arXiv] 2026-08-19 | Secure Medical Data Transmission Using Quantum Key Distribution and Post-Quantum Cryptography in Real-World Fiber Networks
[arXiv] 2026-08-19 | Functional forms in joint models for longitudinal and time-to-event data: A practical guide with application and interpretation
[arXiv] 2026-08-19 | SkillGate: Training In-Policy Skill Selection in Long-Horizon Agents
[arXiv] 2026-08-19 | A metallicity sweet spot for disc fragmentation and planet formation
[arXiv] 2026-08-19 | Detecting Feedback-path Delay Injection Attacks Using Interacting Multiple Model Filtering
