[2026-07-10 11:45:07] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-07-09
正在获取论文...
[arXiv] 2026-07-09 | Wat3R: Underwater 3D Geometry Learning without Annotations
[arXiv] 2026-07-09 | Plaquette: A hardware-aware design platform for fault-tolerant quantum computers
[arXiv] 2026-07-09 | Irreducible Geometry of Higher-Order Correlator Families
[arXiv] 2026-07-09 | Decoupling Limit of Quiver Theories and the Angular Spectra of Extreme C-metrics
[arXiv] 2026-07-09 | Tilted thin accretion disks in the full Kerr spacetime and their implications
[arXiv] 2026-07-09 | Force convergence in Monte Carlo Lyman-alpha radiative transfer
[arXiv] 2026-07-09 | Deep Learning for Joint Narrowband Interference Cancellation and Soft Demodulation in OFDM Systems
[arXiv] 2026-07-09 | Asymmetric high-harmonic generation from subwavelength bianisotropic resonators
[arXiv] 2026-07-09 | Approaching Carnot Efficiency at Finite Power in an Experimentally Feasible Quantum Heat Engine
[arXiv] 2026-07-09 | Robust One-Sided Device-Independent Quantum Key Distribution via High-Dimensional Steering
[arXiv] 2026-07-09 | Directional AI Advice: Experimental Evidence from Healthcare
[arXiv] 2026-07-09 | MPFlow: Learning Budgeted Max-Flow Optimization on the Lightning Network with Deep Graph Reinforcement Learning
[arXiv] 2026-07-09 | Entanglement Wedge Reconstruction without Holographic Quantum Error Correction
[arXiv] 2026-07-09 | Multi-Resolution Feature Stem for Diabetic Retinopathy lesion segmentation
[arXiv] 2026-07-09 | Drift of interfaces in forced stably-stratified turbulence and the role of vertically-sheared helical structures
[arXiv] 2026-07-09 | Microwave Studies of Single Crystal TeO2 at Cryogenic Temperatures
[arXiv] 2026-07-09 | Best Practices for First-Principles Modeling of Amorphous Oxide Semiconductors: A Statistical Framework and Application to Zn-Sn-O
[arXiv] 2026-07-09 | Resample or Reroute? Budget-Aware Test-Time Model Selection for Large Language Models
[arXiv] 2026-07-09 | WebSwarm: Recursive Multi-Agent Orchestration for Deep-and-Wide Web Search
[arXiv] 2026-07-09 | Cantor measures with odd base do not admit Fourier frames
[arXiv] 2026-07-09 | Temperature Beyond Equilibrium in Isolated Quantum Many-Body Systems and Their Subsystems
[arXiv] 2026-07-09 | Can Distance Duality Violation Save Late-time Solutions to the Hubble Tension?
[arXiv] 2026-07-09 | Extracting conformal data from Loschmidt echoes after critical quenches
[arXiv] 2026-07-09 | Multi-Modal, Multi-Environment Machine Teaching for Robust Reward Learning
[arXiv] 2026-07-09 | DominoTree: Conditional Tree-Structured Drafting with Domino for Speculative Decoding
[arXiv] 2026-07-09 | A Design-Based Approach to Testing and Inference in (Quasi-)Experiments with Spillovers
[arXiv] 2026-07-09 | Perfect Matchings with Prescribed Differences Beyond Hall: The Two-Hole Problem
[arXiv] 2026-07-09 | Lectures on lepton-nucleus quasielastic scattering with relativistic models
[arXiv] 2026-07-09 | Stochastic dynamics of particles in correlated fields
[arXiv] 2026-07-09 | The Three Hundred Project: validating $H_0$ inference from mock X-ray and millimetre analyses of galaxy clusters
[arXiv] 2026-07-09 | Adaptive Wavelet Division Multiplexing for Heterogeneous Mobility Users
[arXiv] 2026-07-09 | An Efficient Method for Gibbs Free Energy Evaluation under Volume Compression
[arXiv] 2026-07-09 | Localized gradient enhancement near anisotropic scatterers
[arXiv] 2026-07-09 | Classification of blazars based on data-driven approaches
[arXiv] 2026-07-09 | Why Do You Say It Like That? A Phoneme-Level Framework for Explainable Speech Deepfake Detection
[arXiv] 2026-07-09 | DP vertex-arboricity of sparse graphs
[arXiv] 2026-07-09 | Spectral Stability of Pseudoinverse-Based Extreme Learning Machine
[arXiv] 2026-07-09 | Unconstrained Scheme for Geometrically Constrained Gradient Flows
[arXiv] 2026-07-09 | Disentangling the dark and stellar mass through precise lens modelling of the JWST observation of lensed quasar WFI2033--4723
[arXiv] 2026-07-09 | Renormalization flows for 1D mixed states and a quantum Goursat lemma
[arXiv] 2026-07-09 | SMetric: Rethink LLM Scheduling for Serving Agents with Balanced Session-centric Scheduling
[arXiv] 2026-07-09 | XShooter DESI Lens Program: Sample characterization
[arXiv] 2026-07-09 | Broadband silicon photonic phase shifters driven by gradient optical forces
[arXiv] 2026-07-09 | Heterostructuring as Gateway to Electron Doping of Nickelate Superconductors
[arXiv] 2026-07-09 | ESBMC-Arduino: Closing the Deployment Gap for Formal Verification of Open-Hardware PLCs
[arXiv] 2026-07-09 | Potential Functions as Types
[arXiv] 2026-07-09 | Soft edge limit of the Laguerre beta-ensemble at the lower edge
[arXiv] 2026-07-09 | When the Judge Changes, So Does the Measurement: Auditing LLM-as-Judge Reliability
[arXiv] 2026-07-09 | Open-source MRI-informed computational model of human cortical folding
[arXiv] 2026-07-09 | Log-Insight: Automating Microservice Incident Diagnosis via Neuro-Symbolic Log Analysis
[arXiv] 2026-07-09 | A Quantized Native Runtime for On-Device Semantic Audio Generation
[arXiv] 2026-07-09 | Fundamental Sensing Limits of 6G Cooperative MIMO-ISAC Networks: Joint Position-Velocity CRLB and Decoupling Analysis
[arXiv] 2026-07-09 | Cross-seed explainability using Procrustes-conditioned Joint End-to-end Top-K Sparse Autoencoders
[arXiv] 2026-07-09 | The Fock Space Dynamics of Causal Fermion Systems: Non-Abelian Gauge Fields
[arXiv] 2026-07-09 | Quantum corrections to the near-extremal thermodynamics of (warped) BTZ black holes
[arXiv] 2026-07-09 | Multiplicity of negative one of independence polynomials of graphs
[arXiv] 2026-07-09 | Charge radii of calcium isotopes within relativistic configuration-interaction density functional theory
[arXiv] 2026-07-09 | The charge density fluctuations and the Shrinking Fermi Liquid scenario for strange metallicity in cuprates
[arXiv] 2026-07-09 | Layer-resolved Electronic Structure and Correlation of Low-$n$ Square-planar Nickelates: A DFT+DMFT Prediction of Superconducting Candidates
[arXiv] 2026-07-09 | Charge carrier flow through trimmed graphene nanoribbon junctions
[arXiv] 2026-07-09 | Long-term speckle interferometric monitoring of binary systems II: 2007-2025 positional measurements and improvement of orbits
[arXiv] 2026-07-09 | Search for strong lensing of gravitational waves in the binary black hole events from O1-O4a
[arXiv] 2026-07-09 | HETDEX [OII] galaxies at $z \le 0.48$: Volume-limited samples and their power spectra
[arXiv] 2026-07-09 | Does online sustainability communication shape public discourse? Insights from six years of tenant-housing provider interactions
[arXiv] 2026-07-09 | Quantum and Classical Potts Criticality in Driven-Dissipative Bosonic Lattices
[arXiv] 2026-07-09 | Fourier imaging of collective spontaneous emission modes in superradiant cold atomic clouds
[arXiv] 2026-07-09 | Efficient photo-ionizing elimination of detrimental electric fields for Rydberg atoms
[arXiv] 2026-07-09 | Relativistic Mean Field Approach with Chiral Symmetry Breaking and Quark Confinement in the light of Astrophysical Observations
[arXiv] 2026-07-09 | Beyond Backpropagation: Monte Carlo Method Can Train Deep Neural Networks
[arXiv] 2026-07-09 | Prompt Compression via Activation Aggregation
[arXiv] 2026-07-09 | Joint Discrete-Continuous Flow Matching for Open-Vocabulary Inverse Design of Multilayer Optical Coatings
[arXiv] 2026-07-09 | Splitting methods for nonlinear Schrödinger equation without order reduction
[arXiv] 2026-07-09 | Classical versus Deep Mirror-Symmetry Scoring: A Benchmark of Thirteen Methods
[arXiv] 2026-07-09 | Roman domination on subclasses of bipartite graphs
[arXiv] 2026-07-09 | Certified Interventional Fidelity: Anytime-Valid, Adaptive Evaluation of Causal Claims in Mechanistic Interpretability
[arXiv] 2026-07-09 | Grounded Event Extraction from SEC 8-K Filings with a Fine-Grained Taxonomy
[arXiv] 2026-07-09 | Spectral Analysis of Dueling Q-Learning
[arXiv] 2026-07-09 | Intrinsic Instantaneous Coarse-to-Fine Recoverability in the Lorenz-96 System
[arXiv] 2026-07-09 | Approximate eigenfunctions for some aperiodic crystals
[arXiv] 2026-07-09 | Magnetic control of Goos-Hänchen shifts and group delay time in monolayer WSe$_2$
[arXiv] 2026-07-09 | Tracking the boundary between absolute/convective instability using adjoint equations
[arXiv] 2026-07-09 | A Study Of Skew-Polycyclic Codes Over A Non-Chain Ring
[arXiv] 2026-07-09 | Interplay of Quasiperiodic Criticality and the Non-Hermitian Skin Effect
[arXiv] 2026-07-09 | Sufficientarian Grading Rules and Rankings: Characterizations and Implementation
[arXiv] 2026-07-09 | Understanding Axes of Difficulty For Long Context Tasks Via PredicateLongBench
[arXiv] 2026-07-09 | TFP: Temporally Conditioned Memory-Fusion Policies for Visuomotor Learning
[arXiv] 2026-07-09 | Engineering Nonclassical States via the Dynamical Casimir Effect
[arXiv] 2026-07-09 | Progression as Latent Drift: Generative Forecasting of Slow-Evolving Pathologies
[arXiv] 2026-07-09 | PolyUQuest: Verifiable Structure-Aware Web RAG over Heterogeneous Graphs
[arXiv] 2026-07-09 | X-ACTA: eXtended Analytic Center Tension distribution Algorithm for fixed and mobile cable-driven-parallel-robot
[arXiv] 2026-07-09 | Subaru meets JWST: A Direct Measurement of Ly$\boldsymbolα$ Escape Fraction at $\boldsymbol{z\simeq6.2}$ with Dual Narrow-Band Imaging
[arXiv] 2026-07-09 | Optimal Sparsifiers for Abelian Cayley Graphs
[arXiv] 2026-07-09 | A graph theoretic view on small signal stability of inverter-based power grids
[arXiv] 2026-07-09 | THÉMIS: a calibration-free solar telescope
[arXiv] 2026-07-09 | On the Etzion-Silberstein conjecture for block Ferrers diagrams
[arXiv] 2026-07-09 | Structure Learning on Clustered Data
[arXiv] 2026-07-09 | Static regular black holes in Horndeski theories: analytic no-go and nonanalytic obstructions
[arXiv] 2026-07-09 | Trapping-loss transition via a saddle-node bifurcation in thermophoretic particle transport driven by a time-periodic vortex
