[2025-11-20 09:10:57] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2025-11-19
正在获取论文...
arXiv 请求失败: HTTPSConnectionPool(host='export.arxiv.org', port=443): Max retries exceeded with url: /api/query?search_query=lastUpdatedDate%3A%5B202511190000+TO+202511192359%5D&sortBy=relevance&sortOrder=descending&max_results=1000 (Caused by ReadTimeoutError("HTTPSConnectionPool(host='export.arxiv.org', port=443): Read timed out. (read timeout=20)"))
[ACM] 2025-11-19 | Towards Generalizable Deepfake Detection by Primary Region Regularization
[IEEE] 2025-11-19 | Channel-Informed RIS Analysis and Optimization Using Hybrid Ray-Tracing and Full-Wave Simulation Framework
[IEEE] 2025-11-19 | Communication Efficient Federated Learning with Quantization-Aware Training Design
[IEEE] 2025-11-19 | Hybrid-driven Disc-shaped Autonomous Underwater Vehicle with High Maneuverability and Gliding Capability: Design and Experiments
[IEEE] 2025-11-19 | Equal-Time-and-Magnitude Shaping Enhanced ADRC for Precise Liquid Handling in Biglide Parallel Robotic Systems
[IEEE] 2025-11-19 | CPERE 2025 Preface
[IEEE] 2025-11-19 | CME 2025 Cover Page
[IEEE] 2025-11-19 | SNI-SLAM++: Tightly-Coupled Semantic Neural Implicit SLAM
[IEEE] 2025-11-19 | Spatial Attention-based Convoluted Gazelle Neural Network (SACGNN): Advanced Clutter Removal Across Diverse Surfaces_supp1-3634200.pdf
[IEEE] 2025-11-19 | A Pulsed Tumor Treating Fields Protocol to Improve Glioblastoma Therapy
[IEEE] 2025-11-19 | 2025 24th International Symposium on Communications and Information Technologies (ISCIT)
[IEEE] 2025-11-19 | A 3:1 Bandwidth Bifilar Helix with Monolithic Self-supporting Feed
[IEEE] 2025-11-19 | Online Optimization of Robust Polarized Beamforming for Smart Skin Antenna Array
[IEEE] 2025-11-19 | Genetic-Firefly Algorithm Based Approach in Image Steganography
[IEEE] 2025-11-19 | Cosmic radiation exposure calculation for domestic flights departs from Fez
[IEEE] 2025-11-19 | UPS Lifetime: Calculation Method and Design Rules for its Extension
[IEEE] 2025-11-19 | Towards a behavioral model of hybrid leadership in Morocco: between performance, human relations and cultural roots
[IEEE] 2025-11-19 | A Comparative Study of RNN Improved Algorithms for Rolling Bearing Life Prediction
[IEEE] 2025-11-19 | Dynamic SLAM Based on Instance Segmentation and Enhanced Geometric Constraints
[IEEE] 2025-11-19 | Transient Thermal Analysis of Laser Cladding Process on Curved Substrates
[IEEE] 2025-11-19 | Automatic Ultrasonic Field Scanning and Processing System based on LabVIEW
