[2026-08-08 09:30:36] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-08-07
正在获取论文...
[IEEE] 2026-8-7 | Resolving Cognitive Dissonance for Agentic AI via Self-Distilled Collaborative Perception
[IEEE] 2026-8-7 | A Two Stage Optimal Power Flow Coordination for PVs, Batteries, and EVs in Unbalanced Low Voltage Distribution Networks
[ACM] 2026-8-7 | FLEDA: Forecasting-Based Data Partition Placement for Efficient Deep Learning Recommendation Model Training
[ACM] 2026-8-7 | The Entropic Overhead of Conformal Correction
[ACM] 2026-8-7 | GaussTrap: Stealthy Backdoor Attacks on 3D Gaussian Splatting for Targeted Scene Misperception
[ACM] 2026-8-7 | TTMC: Brain-Inspired Test-Time Memory Calibration with Orthogonal Projection for Online Continual Learning
[ACM] 2026-8-7 | The 7th International Workshop on Talent and Management Computing (TMC 2026)
[ACM] 2026-8-7 | Bounded-Abstention Pairwise Learning to Rank
[ACM] 2026-8-7 | TMallGS: Scaling Unified Feature and Sequence Modeling for Generative E-commerce Search
[ACM] 2026-8-7 | C
                    <sup>2</sup>
                    KV: Compressed and Composable KV Cache Reuse for Efficient LLM Inference
[ACM] 2026-8-7 | DyGADBench: A Comprehensive Benchmark for Anomaly Detection in Dynamic Graphs
[ACM] 2026-8-7 | Ranking Anomalous Subsequences in Large Scale Streaming Data for Efficient Triage
[ACM] 2026-8-7 | HIVE: Hierarchical Generation of Integrated and Varied Ensembles for Efficient Out-of-Distribution Generalization
[ACM] 2026-8-7 | Synthetic Interaction Data for Scalable Personalization in Large Language Models
[ACM] 2026-8-7 | G-STAR: Graph-based Scheduling with Trace-driven Adaptive Routing for Industrial LLM-based Multi-Agent Systems
[ACM] 2026-8-7 | MDL: A Unified Multi-Distribution Learner in Large-scale Industrial Recommendation through Tokenization
[ACM] 2026-8-7 | CMF-ELN: A Cross-Modal-Fused End-to-end Learning Network for Cold-Start Drug-Drug Interaction Prediction
[IEEE] 2026-8-7 | PDR-Enabled Edge of Chaos in Locally Active Memristors and Their Oscillators
[IEEE] 2026-8-7 | Journal of Microelectromechanical Systems Publication Information
[IEEE] 2026-8-7 | Design-to-Prototype of Axial-Flux Induction Motor for Line-Start Application
[IEEE] 2026-8-7 | Proximal Interaction-Driven Rank- Block-Term Decomposition for Multimedia Data Recovery_supp1-3721314.pdf
[IEEE] 2026-8-7 | Quantum Noise Mitigation with Adaptive Zero-Noise Extrapolation: A Contextual Multi-Armed Bandits Approach
[IEEE] 2026-8-7 | Power-Efficient XL-MIMO Design for Mixed Near-and Far-Field SWIPT Systems
[IEEE] 2026-8-7 | A Robust DPCC Method with Disturbance Observation for PMSM Drives Based on Adaptive Parameter Updating
[IEEE] 2026-8-7 | Copyright Page
[IEEE] 2026-8-7 | Object-Motion-Aware Grasp Pose Refinement for Stable and Collision-Free Real-Robot Grasping
[IEEE] 2026-8-7 | Channel Estimation and Relay Selection for Space-Air-Ground-Sea Integrated Networks
[IEEE] 2026-8-7 | Amniotic Fluid Volume Estimation using an Array of UWB Antennas
[IEEE] 2026-8-7 | Improved IQC covers for sample-and-hold
[IEEE] 2026-8-7 | A Survey and an Analysis of Conflict Management in O-RAN
[IEEE] 2026-8-7 | Performance Analysis of an Optimally Controlled Wave Energy Converter with an Active Mechanical Motion Rectifier
[IEEE] 2026-8-7 | Research on Dynamic Early Warning Model of Neurological Disease Nursing Risk Based on Deep Reinforcement Learning
[IEEE] 2026-8-7 | Monotonic Output Regulation of Discrete-Time MIMO Systems with Repeated Unit Zeros and Input Delays
[IEEE] 2026-8-7 | A Study on Expanding Expressive and Innovative Thinking in Furniture Design Education Through Digital Technology
[IEEE] 2026-8-7 | Research on Information Visualization Design of Intangible Cultural Heritage of Traditional Craftsmanship
[IEEE] 2026-8-7 | Research on the Protection and Application of Virtual Reality Technology in Inner Mongolia Cultural Heritage
[IEEE] 2026-8-7 | An AI-Driven Campus Attendance System Using Lightweight Face Recognition Models
[IEEE] 2026-8-7 | Real Time Approximation of Tsunami Source
[IEEE] 2026-8-7 | Distributed Control and Coordination of Multi-Robot Trajectories Modeled by Timed Petri Nets
[IEEE] 2026-8-7 | Dynamics of Multi-Domain Robots at the Air-Water Interface
[IEEE] 2026-8-7 | Ecological Design of Huishan Clay Figure Packaging Based on Image Narration
[IEEE] 2026-8-7 | Implementation of an OSINT-Based Dark Web Monitoring Tool for Stolen Personally Identifiable Information (PII)
[IEEE] 2026-8-7 | Contact Material Recognition Device Based on Electronegativity Difference
[IEEE] 2026-8-7 | Behaviour-Driven Temporal Intrusion Detection Using Hybrid CNN-BiLSTM-Attention Networks for IoT Traffic
[IEEE] 2026-8-7 | A Research on the Current Application Status of Generative AI Tools Among Deaf and Hard-of-Hearing(DHH) College Students
[IEEE] 2026-8-7 | Optimizing AHP for Autonomous Vehicle Risk Evaluation in Mixed Traffic
[IEEE] 2026-8-7 | Assessment of Seismic Behaviour of RCC Buildings with and without Infill Walls
[IEEE] 2026-8-7 | Performance Analysis of AI-Based Adaptive Beamforming Techniques in 5G Wireless Communication Systems
[IEEE] 2026-8-7 | An Edge-Guided Mixture-of-Experts Network for Arbitrary-Scale Multi-Contrast MRI Super-Resolution
[IEEE] 2026-8-7 | Uncertainty-guided Whitening for Unsupervised Generalizable Person Re-identification
[IEEE] 2026-8-7 | Enhancing Straight-Line Stability of a Dual Flapping, Caudal Fin-Propelled Biomimetic AUV by Design Modifications
[IEEE] 2026-8-7 | Input-Complete Finite State Machines with Explicit Failure States: A Verification-Oriented Approach for ROPS Control Systems
                    <sup>*</sup>
[IEEE] 2026-8-7 | Practical Exploration of the Youthful Inheritance of Dalian Intangible Cultural Heritage Driven by Digital Intelligence
[IEEE] 2026-8-7 | A Hybrid Machine Learning Approach for Scalable VLSI Testing
[IEEE] 2026-8-7 | Strategic Deployment and Optimization of Cloud-RAN Architectures for Future Wireless Networks
[IEEE] 2026-8-7 | A Study of the Role of Immersive Intelligent Virtual Environments and Digital Avatars in Enhancing Students' Sense of Belonging
[IEEE] 2026-8-7 | Traffic Density Estimation from Real-Time Video Streams using Convolutional Neural Networks
[IEEE] 2026-8-7 | Parameter Identification of a Macroscopic Crowd Model Governed by a Hyperbolic PDE Using Physics-Informed Neural Networks
[IEEE] 2026-8-7 | Personalized Reverse Iontophoresis-based Non-Invasive Continuous Glucose Monitoring via Multi-Parameters Coupled Machine Learning
[IEEE] 2026-8-7 | Research on Human-Centered Cultural Tourism Project Design Based on Sustainable Operation
[IEEE] 2026-8-7 | Research on the Design Path of Urban Rewilding Renewal Under the TSD Model: A Case Study of Huaxi Park Area in Guiyang City
[IEEE] 2026-8-7 | Using Genetic Algorithms to Optimize the Construction Strategy of Customer Relationship Management Platforms for Industrial and Commercial Enterprises
[IEEE] 2026-8-7 | Three-Dimensional Reconstruction and Geometric Parameterization Modeling Method of Architectural Structure of Dunhuang Murals
[IEEE] 2026-8-7 | Shift Scheduling for Electric Service Vehicles: A Public Transportation Case Study
[IEEE] 2026-8-7 | Research and Application of Intelligent Heating Control Platform Based on Digital Technologies
[IEEE] 2026-8-7 | AIGC Reshaping: A New Era in Interior Design Workflow
[IEEE] 2026-8-7 | A Full-Stack API Performance Monitoring Middleware: Design and Implementation Using the MERN Stack
[IEEE] 2026-8-7 | Lightweight Stress Detection Framework Using Wearable Bio-Signals and Machine Learning
[IEEE] 2026-8-7 | Based on Bibliometric Method Research on Visualisation Analysis and Development Trend of Cultural Tourism
[IEEE] 2026-8-7 | A Study on College Students' Repurchase Intention of Urban Cultural and Creative Products from the Perspective of Cultural Identity
[IEEE] 2026-8-7 | Real-World Water-Scene Image Dehazing Based on Vision-Language Model and Density Difference Information
[IEEE] 2026-8-7 | Safe Navigation in Narrow Channels Using Smooth Minkowski Barrier Function
[IEEE] 2026-8-7 | A Combined Image Matching Method for Multi-Beam Sonar Image
[IEEE] 2026-8-7 | MQTT-Enabled IoT Framework for Real-Time Environmental Monitoring and Employee Safety in Industries
[IEEE] 2026-8-7 | Research on AR Interaction Design of Jade Culture
[IEEE] 2026-8-7 | Adaptive Auto-Scaling Using CNN-Based Workload Classification for Reliable Cloud Resource Provisioning
[IEEE] 2026-8-7 | CGFE-UNet: Cross-Group-Feature-Enhanced U-Net for Medical Image Segmentation
[IEEE] 2026-8-7 | Simplifying Flow Matching Transformations with Low-Rank Mixture Models
[IEEE] 2026-8-7 | Cultural Design of South Liaoning Shadow Puppetry via Consumption Value Theory and Eye-Tracking
[IEEE] 2026-8-7 | Simulation of Metasurface Structures for Mid-Infrared Narrowband Filter
[IEEE] 2026-8-7 | Machine Learning Soft Sensor for Predicting the Product Quality of a Hydrogen Reduction Furnace
[IEEE] 2026-8-7 | Optimizing Oil Palm Detection: A Deep Dive into Algorithm Performance and Software Metrics
[IEEE] 2026-8-7 | A Method for Ocean Wave Classification from X-Band Marine Radar Images
[IEEE] 2026-8-7 | Logistic Regression Integrated Autoencoder Framework for Intelligent Acoustic Anomaly Detection in Industrial Environments
[IEEE] 2026-8-7 | High-Precision Orange Leaf Disease Detection Using Edge-Optimized Lightweight YOLO nano models
[IEEE] 2026-8-7 | Multi-Objective Deterministic Ambulance Routing: Exact MILP Benchmarking and Metaheuristic Optimization
[IEEE] 2026-8-7 | Towards An Agile Business Intelligence Dashboard for Bandwidth and Subscription Transparency in the Starlink Reseller Ecosystem
[IEEE] 2026-8-7 | Thiolated TiO
                    <sub>2</sub>
                    Thin Films Based Flexible Patch for Real-time Detection of L-cysteine in Sweat
[IEEE] 2026-8-7 | 3D Object Detection Method Based on BEV Feature Fusion
[IEEE] 2026-8-7 | Spatiotemporal Characteristics of Waves and Wave Energy Resources in the South China Sea
[IEEE] 2026-8-7 | The Interdisciplinary Nature of Stochastic Systems: Challenges and Opportunities in STEM Education
[IEEE] 2026-8-7 | Research on the Design of Mobility Aid Products for the Elderly Based on Emotional Permanence Theory
[IEEE] 2026-8-7 | On the Incremental Stability of PIDE-based Stochastic Gene Regulatory Networks under Switching Inducer Profiles
[IEEE] 2026-8-7 | Simulation-Generated Data for Fault Detection and Diagnosis in Mobile Robots
[IEEE] 2026-8-7 | Personalized Depression Analysis Using EBFRFS-Net from Facial Emotion Variations
[IEEE] 2026-8-7 | Quantifying Similarity Between Nonlinear Systems From Data Using Matrix Profiles
[IEEE] 2026-8-7 | Digital Intervention for the Living Inheritance of Jun Porcelain Culture
[IEEE] 2026-8-7 | Research on Intrusion Detection and Anomaly Recognition Algorithm Based on Multi-Source Sensor Data Fusion
[IEEE] 2026-8-7 | On the fixed-time control of systems with mismatched perturbations: An application to Quadrotor Unmanned Aerial Vehicles
[IEEE] 2026-8-7 | The Application of Artistic Style Interpretation and Cultural Communication Enhancement in the Transportation Landscape Design of Historical and Cultural Cities
共写入 100 条记录，保存到 papers/paper2026-08-07.json。
论文获取成功，文件路径: papers/paper2026-08-07.json
正在筛选、翻译并发送邮件...
[NO] 1/100 | Resolving Cognitive Dissonance for Agentic AI via Self-Distilled Collaborative Perception
[NO] 2/100 | A Two Stage Optimal Power Flow Coordination for PVs, Batteries, and EVs in Unbalanced Low Voltage Distribution Networks
[NO] 3/100 | FLEDA: Forecasting-Based Data Partition Placement for Efficient Deep Learning Recommendation Model Training
[NO] 4/100 | The Entropic Overhead of Conformal Correction
[NO] 5/100 | GaussTrap: Stealthy Backdoor Attacks on 3D Gaussian Splatting for Targeted Scene Misperception
[NO] 6/100 | TTMC: Brain-Inspired Test-Time Memory Calibration with Orthogonal Projection for Online Continual Learning
[NO] 7/100 | The 7th International Workshop on Talent and Management Computing (TMC 2026)
[NO] 8/100 | Bounded-Abstention Pairwise Learning to Rank
[NO] 9/100 | TMallGS: Scaling Unified Feature and Sequence Modeling for Generative E-commerce Search
[NO] 10/100 | C
                    <sup>2</sup>
                    KV: Compressed and Composable KV Cache Reuse for Efficient LLM Inference
[NO] 11/100 | DyGADBench: A Comprehensive Benchmark for Anomaly Detection in Dynamic Graphs
[NO] 12/100 | Ranking Anomalous Subsequences in Large Scale Streaming Data for Efficient Triage
[NO] 13/100 | HIVE: Hierarchical Generation of Integrated and Varied Ensembles for Efficient Out-of-Distribution Generalization
[NO] 14/100 | Synthetic Interaction Data for Scalable Personalization in Large Language Models
[NO] 15/100 | G-STAR: Graph-based Scheduling with Trace-driven Adaptive Routing for Industrial LLM-based Multi-Agent Systems
[NO] 16/100 | MDL: A Unified Multi-Distribution Learner in Large-scale Industrial Recommendation through Tokenization
[NO] 17/100 | CMF-ELN: A Cross-Modal-Fused End-to-end Learning Network for Cold-Start Drug-Drug Interaction Prediction
[NO] 18/100 | PDR-Enabled Edge of Chaos in Locally Active Memristors and Their Oscillators
[NO] 19/100 | Journal of Microelectromechanical Systems Publication Information
[NO] 20/100 | Design-to-Prototype of Axial-Flux Induction Motor for Line-Start Application
[NO] 21/100 | Proximal Interaction-Driven Rank- Block-Term Decomposition for Multimedia Data Recovery_supp1-3721314.pdf
[NO] 22/100 | Quantum Noise Mitigation with Adaptive Zero-Noise Extrapolation: A Contextual Multi-Armed Bandits Approach
[YES] 23/100 | Power-Efficient XL-MIMO Design for Mixed Near-and Far-Field SWIPT Systems
[NO] 24/100 | A Robust DPCC Method with Disturbance Observation for PMSM Drives Based on Adaptive Parameter Updating
[NO] 25/100 | Copyright Page
[NO] 26/100 | Object-Motion-Aware Grasp Pose Refinement for Stable and Collision-Free Real-Robot Grasping
[NO] 27/100 | Channel Estimation and Relay Selection for Space-Air-Ground-Sea Integrated Networks
[NO] 28/100 | Amniotic Fluid Volume Estimation using an Array of UWB Antennas
[NO] 29/100 | Improved IQC covers for sample-and-hold
[NO] 30/100 | A Survey and an Analysis of Conflict Management in O-RAN
[NO] 31/100 | Performance Analysis of an Optimally Controlled Wave Energy Converter with an Active Mechanical Motion Rectifier
[NO] 32/100 | Research on Dynamic Early Warning Model of Neurological Disease Nursing Risk Based on Deep Reinforcement Learning
[NO] 33/100 | Monotonic Output Regulation of Discrete-Time MIMO Systems with Repeated Unit Zeros and Input Delays
[NO] 34/100 | A Study on Expanding Expressive and Innovative Thinking in Furniture Design Education Through Digital Technology
[NO] 35/100 | Research on Information Visualization Design of Intangible Cultural Heritage of Traditional Craftsmanship
[NO] 36/100 | Research on the Protection and Application of Virtual Reality Technology in Inner Mongolia Cultural Heritage
[NO] 37/100 | An AI-Driven Campus Attendance System Using Lightweight Face Recognition Models
[NO] 38/100 | Real Time Approximation of Tsunami Source
[NO] 39/100 | Distributed Control and Coordination of Multi-Robot Trajectories Modeled by Timed Petri Nets
[NO] 40/100 | Dynamics of Multi-Domain Robots at the Air-Water Interface
[NO] 41/100 | Ecological Design of Huishan Clay Figure Packaging Based on Image Narration
[NO] 42/100 | Implementation of an OSINT-Based Dark Web Monitoring Tool for Stolen Personally Identifiable Information (PII)
[NO] 43/100 | Contact Material Recognition Device Based on Electronegativity Difference
[NO] 44/100 | Behaviour-Driven Temporal Intrusion Detection Using Hybrid CNN-BiLSTM-Attention Networks for IoT Traffic
[NO] 45/100 | A Research on the Current Application Status of Generative AI Tools Among Deaf and Hard-of-Hearing(DHH) College Students
[NO] 46/100 | Optimizing AHP for Autonomous Vehicle Risk Evaluation in Mixed Traffic
[NO] 47/100 | Assessment of Seismic Behaviour of RCC Buildings with and without Infill Walls
[NO] 48/100 | Performance Analysis of AI-Based Adaptive Beamforming Techniques in 5G Wireless Communication Systems
[NO] 49/100 | An Edge-Guided Mixture-of-Experts Network for Arbitrary-Scale Multi-Contrast MRI Super-Resolution
[NO] 50/100 | Uncertainty-guided Whitening for Unsupervised Generalizable Person Re-identification
[NO] 51/100 | Enhancing Straight-Line Stability of a Dual Flapping, Caudal Fin-Propelled Biomimetic AUV by Design Modifications
[NO] 52/100 | Input-Complete Finite State Machines with Explicit Failure States: A Verification-Oriented Approach for ROPS Control Systems
                    <sup>*</sup>
[NO] 53/100 | Practical Exploration of the Youthful Inheritance of Dalian Intangible Cultural Heritage Driven by Digital Intelligence
[NO] 54/100 | A Hybrid Machine Learning Approach for Scalable VLSI Testing
[NO] 55/100 | Strategic Deployment and Optimization of Cloud-RAN Architectures for Future Wireless Networks
[NO] 56/100 | A Study of the Role of Immersive Intelligent Virtual Environments and Digital Avatars in Enhancing Students' Sense of Belonging
[NO] 57/100 | Traffic Density Estimation from Real-Time Video Streams using Convolutional Neural Networks
[NO] 58/100 | Parameter Identification of a Macroscopic Crowd Model Governed by a Hyperbolic PDE Using Physics-Informed Neural Networks
[NO] 59/100 | Personalized Reverse Iontophoresis-based Non-Invasive Continuous Glucose Monitoring via Multi-Parameters Coupled Machine Learning
[NO] 60/100 | Research on Human-Centered Cultural Tourism Project Design Based on Sustainable Operation
[NO] 61/100 | Research on the Design Path of Urban Rewilding Renewal Under the TSD Model: A Case Study of Huaxi Park Area in Guiyang City
[NO] 62/100 | Using Genetic Algorithms to Optimize the Construction Strategy of Customer Relationship Management Platforms for Industrial and Commercial Enterprises
[NO] 63/100 | Three-Dimensional Reconstruction and Geometric Parameterization Modeling Method of Architectural Structure of Dunhuang Murals
[NO] 64/100 | Shift Scheduling for Electric Service Vehicles: A Public Transportation Case Study
[NO] 65/100 | Research and Application of Intelligent Heating Control Platform Based on Digital Technologies
[NO] 66/100 | AIGC Reshaping: A New Era in Interior Design Workflow
[NO] 67/100 | A Full-Stack API Performance Monitoring Middleware: Design and Implementation Using the MERN Stack
[NO] 68/100 | Lightweight Stress Detection Framework Using Wearable Bio-Signals and Machine Learning
[NO] 69/100 | Based on Bibliometric Method Research on Visualisation Analysis and Development Trend of Cultural Tourism
[NO] 70/100 | A Study on College Students' Repurchase Intention of Urban Cultural and Creative Products from the Perspective of Cultural Identity
[NO] 71/100 | Real-World Water-Scene Image Dehazing Based on Vision-Language Model and Density Difference Information
[NO] 72/100 | Safe Navigation in Narrow Channels Using Smooth Minkowski Barrier Function
[NO] 73/100 | A Combined Image Matching Method for Multi-Beam Sonar Image
[NO] 74/100 | MQTT-Enabled IoT Framework for Real-Time Environmental Monitoring and Employee Safety in Industries
[NO] 75/100 | Research on AR Interaction Design of Jade Culture
[NO] 76/100 | Adaptive Auto-Scaling Using CNN-Based Workload Classification for Reliable Cloud Resource Provisioning
[NO] 77/100 | CGFE-UNet: Cross-Group-Feature-Enhanced U-Net for Medical Image Segmentation
[NO] 78/100 | Simplifying Flow Matching Transformations with Low-Rank Mixture Models
[NO] 79/100 | Cultural Design of South Liaoning Shadow Puppetry via Consumption Value Theory and Eye-Tracking
[NO] 80/100 | Simulation of Metasurface Structures for Mid-Infrared Narrowband Filter
[NO] 81/100 | Machine Learning Soft Sensor for Predicting the Product Quality of a Hydrogen Reduction Furnace
[NO] 82/100 | Optimizing Oil Palm Detection: A Deep Dive into Algorithm Performance and Software Metrics
[NO] 83/100 | A Method for Ocean Wave Classification from X-Band Marine Radar Images
[NO] 84/100 | Logistic Regression Integrated Autoencoder Framework for Intelligent Acoustic Anomaly Detection in Industrial Environments
[NO] 85/100 | High-Precision Orange Leaf Disease Detection Using Edge-Optimized Lightweight YOLO nano models
[NO] 86/100 | Multi-Objective Deterministic Ambulance Routing: Exact MILP Benchmarking and Metaheuristic Optimization
[NO] 87/100 | Towards An Agile Business Intelligence Dashboard for Bandwidth and Subscription Transparency in the Starlink Reseller Ecosystem
[NO] 88/100 | Thiolated TiO
                    <sub>2</sub>
                    Thin Films Based Flexible Patch for Real-time Detection of L-cysteine in Sweat
[NO] 89/100 | 3D Object Detection Method Based on BEV Feature Fusion
[NO] 90/100 | Spatiotemporal Characteristics of Waves and Wave Energy Resources in the South China Sea
[NO] 91/100 | The Interdisciplinary Nature of Stochastic Systems: Challenges and Opportunities in STEM Education
[NO] 92/100 | Research on the Design of Mobility Aid Products for the Elderly Based on Emotional Permanence Theory
[NO] 93/100 | On the Incremental Stability of PIDE-based Stochastic Gene Regulatory Networks under Switching Inducer Profiles
[NO] 94/100 | Simulation-Generated Data for Fault Detection and Diagnosis in Mobile Robots
[NO] 95/100 | Personalized Depression Analysis Using EBFRFS-Net from Facial Emotion Variations
[NO] 96/100 | Quantifying Similarity Between Nonlinear Systems From Data Using Matrix Profiles
[NO] 97/100 | Digital Intervention for the Living Inheritance of Jun Porcelain Culture
[NO] 98/100 | Research on Intrusion Detection and Anomaly Recognition Algorithm Based on Multi-Source Sensor Data Fusion
[NO] 99/100 | On the fixed-time control of systems with mismatched perturbations: An application to Quadrotor Unmanned Aerial Vehicles
[NO] 100/100 | The Application of Artistic Style Interpretation and Cultural Communication Enhancement in the Transportation Landscape Design of Historical and Cultural Cities
筛选完成：共 100 篇；Yes = 1 篇；已保存到 papers/select_paper2026-08-07.json。
邮件发送成功！
[2026-08-08 09:46:12] 任务执行成功！
