[2026-06-05 11:57:48] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-06-04
正在获取论文...
[arXiv] 2026-06-04 | Phenomenology of Inflaton-Driven Early QCD Confinement and Solution to Axion Isocurvature Problem
[arXiv] 2026-06-04 | Pretraining Recurrent Networks without Recurrence
[arXiv] 2026-06-04 | Self-Augmenting Retrieval for Diffusion Language Models
[arXiv] 2026-06-04 | How abundant are good interpolators?
[arXiv] 2026-06-04 | You Only Index Once: Cross-Layer Sparse Attention with Shared Routing
[arXiv] 2026-06-04 | Superconducting triode effect in a quantum-dot Josephson junction with a biased top gate
[arXiv] 2026-06-04 | Will the Agent Recuse Itself? Measuring LLM-Agent Compliance with In-Band Access-Deny Signals
[arXiv] 2026-06-04 | Quantum element-wise transforms
[arXiv] 2026-06-04 | USAD 2.0: Scaling Representation Distillation for Universal Audio Understanding
[arXiv] 2026-06-04 | Revising Context, Shifting Simulated Stance: Auditing LLM-Based Stance Simulation in Online Discussions
[arXiv] 2026-06-04 | Nanostructure modelling with early fault tolerant quantum computers
[arXiv] 2026-06-04 | Leveraging External Controls for Treatment Switching in Randomized Controlled Trials: A Weighted Causal Inference Framework for Overall Survival
[arXiv] 2026-06-04 | Recovering stable kernels from exterior measurements
[arXiv] 2026-06-04 | RiskFlow: Fast and Faithful Safety-Critical Traffic Scenario Generation
[arXiv] 2026-06-04 | Quantitative eigenvector universality for generalized Wigner matrices
[arXiv] 2026-06-04 | Double Preconditioning (DoPr): Optimization for Test-Time Performance, not Validation Loss
[arXiv] 2026-06-04 | Doubly Totally-Umbilical Statistical Submanifolds in the Probability Simplex
[arXiv] 2026-06-04 | Wave-Tide Locking in Thin Stellar Streams: A Phenomenological Mass Spectrometer for an Intermediate Ultralight Axion
[arXiv] 2026-06-04 | Proper Scoring Rules for Right-Censored Survival Data
[arXiv] 2026-06-04 | On GPU Implementation for Multi-Precision Integer Division
[arXiv] 2026-06-04 | Rethinking Infrastructure Inspection as Image Difference Classification: A Traffic Sign Case Study
[arXiv] 2026-06-04 | Visual Commonsense Driven Knowledge Refinements for Scene Graph Generation
[arXiv] 2026-06-04 | A framework for low-overhead quantum fault tolerance via spacetime lifting
[arXiv] 2026-06-04 | GMBFormer: An NDVI-Guided Global Memory Bank Transformer for Urban Green-Space Extraction from Ultra-High-Resolution Imagery
[arXiv] 2026-06-04 | Physics in 2-Steps: Locking Motion Priors Before Visual Refinement Erases Them
[arXiv] 2026-06-04 | Maximising the Set-Piece Return: Optimising Football Corner Tactics with Graph Reinforcement Learning
[arXiv] 2026-06-04 | "Chi nas dal soch el sent de legn" -- Auditing Text Corpora for Lombard
[arXiv] 2026-06-04 | Bilateral and multilateral international scientific collaboration of EU member states: OpenAlex vs Scopus (2000-2024)
[arXiv] 2026-06-04 | Subspace-Aware Sparse Autoencoders for Effective Mechanistic Interpretability
