[2026-04-18 09:41:38] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-04-17
正在获取论文...
[ACM] 2026-4-17 | A Hybrid Chebyshev Chaotic Map-based Authentication Protocol for Industrial Internet of Things
[ACM] 2026-4-17 | Parasite: A Steganography-based Backdoor Attack Framework for Diffusion Models
[ACM] 2026-4-17 | Unraveling the Key of Machine Learning-based Android Malware Detection
[IEEE] 2026-4-17 | Data Feminisms for Intersectional Climate Justice in Artificial Intelligence
[IEEE] 2026-4-17 | Analysis of the Relationship Between Visual Cognitive Impairment and Neural Network Damage
[IEEE] 2026-4-17 | Automatic Enhancement of Cell Models to Enable Conditional Stuck-at Fault Simulation and Pattern Generation
[IEEE] 2026-4-17 | IoT and Mobile Application for Visualization and Control for Drum-Type Hydroponic System
[IEEE] 2026-4-17 | Adaptive Power Allocation and User Scheduling for LEO Satellites using Channel Predictions
[IEEE] 2026-4-17 | Early-Stage Detection of Encrypted Malware Traffic via Multi-flow Temporal Graph Learning
[IEEE] 2026-4-17 | DRL-Optimized UAV-Relayed 6G Multicast/Broadcast for Over-the-Air IoT Firmware Updates
[IEEE] 2026-4-17 | UAV-Enabled Multi-Tier Mobile Edge Computing for Heterogeneous Dual-Source Multi-Modal Tasks
[IEEE] 2026-4-17 | Change-LISA: Language-Guided Reasoning for Remote Sensing Change Detection_supp1-3684817.pdf
[IEEE] 2026-4-17 | Seismic Inversion by Integrating Rock Physics Modeling and Deep Learning
[IEEE] 2026-4-17 | Miniature intraoral robot (MIR) for minimally invasive tooth preparation_supp1-3682629.pdf
[IEEE] 2026-4-17 | Advancing Pre-trained Teacher: Towards Robust Feature Discrepancy for Anomaly Detection
[IEEE] 2026-4-17 | An Interpretable Multi-Scale Temporal Residual Framework for Gender-Specific EEG-Based Emotion Recognition
[IEEE] 2026-4-17 | Joint Optimization in Heterogeneous Mobile Edge-Satellite-Cloud Continuum
[IEEE] 2026-4-17 | Counting Minimal Unique-Cause MC/DC Test Suites for Boolean Decisions
[IEEE] 2026-4-17 | A Machine Learning Approach for Telemetry-Based Frequency Stability Estimation of High Precision Clocks
[IEEE] 2026-4-17 | HMU: Heuristic Memory Utilization for Multi-Agent Reinforcement Learning
[IEEE] 2026-4-17 | Downscaling Method for Ground Flash Density in Transmission Line Corridors Considering Terrain Effects
[IEEE] 2026-4-17 | HSD: Hough-Based Structure-Aware Detection of B-Lines in Lung Ultrasound
[IEEE] 2026-4-17 | AttriReBoost: A Gradient-Free Propagation Optimization Method for Cold-Start Mitigation in Attribute Missing Graphs_supp1-3681613.pdf
[IEEE] 2026-4-17 | A Review of Active Thermal Control for Power Devices: Advances, Challenges, and Applicability in Intelligent Power Modules
[IEEE] 2026-4-17 | Leveraging Graph Attention Embedding and Mutual Prompting for CSI Drift Suppression Localization
[IEEE] 2026-4-17 | Battery-Assisted Backscatter Devices: Energy Management and Outage Performance Analysis
[IEEE] 2026-4-17 | Vulnerabilities in AI-Generated Image Detection: The Challenge of Adversarial Attacks_supp1-3682154.pdf
[IEEE] 2026-4-17 | Surface Water Mapping and Flood Dynamics Monitoring Using CYGNSS and Deep Learning
[IEEE] 2026-4-17 | Nodal Frequency Nadir Chance-Constrained Economic Dispatch Considering Contingency Frequency Service from Hydrogen Electrolysis
[IEEE] 2026-4-17 | Contrastive Feature Reasoning for EEG Classification in Asynchronous BCI-Controlled Humanoid Robot
[IEEE] 2026-4-17 | Reverberation-based Features for Sound Event Localization and Detection with Distance Estimation
[IEEE] 2026-4-17 | Autonomous Design of Micro-Calorimetric Flow Sensors: A Bayesian-Optimized Machine Learning Framework_supp1-3680338.pdf
[IEEE] 2026-4-17 | A Compact Via-Assisted Dual-Band Circularly Polarized Antenna With Dual-Mode Radiation for Health Monitoring Devices
[IEEE] 2026-4-17 | IEEE Photonics Technology Letters publication information
[IEEE] 2026-4-17 | Table of Contents
