[2026-03-06 09:32:41] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-03-05
正在获取论文...
[arXiv] 2026-03-05 | FaceCam: Portrait Video Camera Control via Scale-Aware Conditioning
[arXiv] 2026-03-05 | POET-X: Memory-efficient LLM Training by Scaling Orthogonal Transformation
[arXiv] 2026-03-05 | Calculating trace distances of bosonic states in Krylov subspace
[arXiv] 2026-03-05 | cuRoboV2: Dynamics-Aware Motion Generation with Depth-Fused Distance Fields for High-DoF Robots
[arXiv] 2026-03-05 | Towards Multimodal Lifelong Understanding: A Dataset and Agentic Baseline
[arXiv] 2026-03-05 | SurvHTE-Bench: A Benchmark for Heterogeneous Treatment Effect Estimation in Survival Analysis
[arXiv] 2026-03-05 | Finding Short Paths on Simple Polytopes
[arXiv] 2026-03-05 | Quantum Simulation of Coupled Harmonic Oscillators: From Theory to Implementation
[arXiv] 2026-03-05 | Thresholds for colouring the random Borsuk graph
[arXiv] 2026-03-05 | Obata's rigidity theorem in free probability
[arXiv] 2026-03-05 | HALP: Detecting Hallucinations in Vision-Language Models without Generating a Single Token
[arXiv] 2026-03-05 | Heuristics for Shuttling Sequence Optimization for a Linear Segmented Trapped-Ion Quantum Computer
[arXiv] 2026-03-05 | EdgeDAM: Real-time Object Tracking for Mobile Devices
[arXiv] 2026-03-05 | Equilibrium for max-plus payoff
[arXiv] 2026-03-05 | Beyond Scattered Acceptance: Fast and Coherent Inference for DLMs via Longest Stable Prefixes
[arXiv] 2026-03-05 | Accelerating Feynman Integral Evaluation by Avoiding Contour Deformation
[arXiv] 2026-03-05 | On-Policy Self-Distillation for Reasoning Compression
[arXiv] 2026-03-05 | An interpretable prototype parts-based neural network for medical tabular data
[arXiv] 2026-03-05 | Decay Rates in Interleaved Benchmarking with Single-Qubit References
[arXiv] 2026-03-05 | Dissociating Direct Access from Inference in AI Introspection
[arXiv] 2026-03-05 | Resolving the sub-parsec circumnuclear density profiles of quiescent galaxies: Evidence for Bondi accretion flows in tidal disruption event hosts
[arXiv] 2026-03-05 | Soliton dynamics in the Ostrovsky equation with anomalous dispersion
[arXiv] 2026-03-05 | PhysiFlow: Physics-Aware Humanoid Whole-Body VLA via Multi-Brain Latent Flow Matching and Robust Tracking
[arXiv] 2026-03-05 | Controlled fields, rough stochastic calculus, and Itô-Wentzell-Alekseev-Gröbner identities
[arXiv] 2026-03-05 | Evidence for Vortex Rings with Multiquantum Circulation in He II
[arXiv] 2026-03-05 | MQED-QD: An Open-Source Package for Quantum Dynamics Simulation in Complex Dielectric Environments
[arXiv] 2026-03-05 | Connecting Flavor and Baryon Asymmetry via Leptogenesis in Effective Froggatt-Nielsen Theory
[arXiv] 2026-03-05 | Radiation Hydrodynamics at Scale: Comparing MPI and Asynchronous Many-Task Runtimes with FleCSI
[arXiv] 2026-03-05 | Detection of C3 in Titan with VLT-ESPRESSO
[arXiv] 2026-03-05 | PACE: A Personalized Adaptive Curriculum Engine for 9-1-1 Call-taker Training
[arXiv] 2026-03-05 | A Shift-Invariant Deep Learning Framework for Automated Analysis of XPS Spectra
[arXiv] 2026-03-05 | Impact of scissors-correction schemes on second-harmonic generation in ultraviolet nonlinear-optical crystals
[arXiv] 2026-03-05 | Building AI Coding Agents for the Terminal: Scaffolding, Harness, Context Engineering, and Lessons Learned
[arXiv] 2026-03-05 | Observation of Superfluidity and Meissner Effect of Composite Bosons in GaAs Quantum Hall System
[arXiv] 2026-03-05 | Bayes with No Shame: Admissibility Geometries of Predictive Inference
[arXiv] 2026-03-05 | FairFinGAN: Fairness-aware Synthetic Financial Data Generation
[arXiv] 2026-03-05 | Comparison of data-driven symmetry-preserving closure models for large-eddy simulation
[arXiv] 2026-03-05 | Designing for Adolescent Voice in Health Decisions: Embodied Conversational Agents for HPV Vaccination
[arXiv] 2026-03-05 | Simplified circuit-level decoding using Knill error correction
[arXiv] 2026-03-05 | Dyson Brownian motion on a Jordan curve
[arXiv] 2026-03-05 | Latent-Mark: An Audio Watermark Robust to Neural Resynthesis
[arXiv] 2026-03-05 | HD 188101: A Spotted B Star with Abundance Anomalies
[arXiv] 2026-03-05 | The eV-Scale Sterile Neutrino and Neutrinoless Double Beta Decay
[arXiv] 2026-03-05 | SLICE: Speech Enhancement via Layer-wise Injection of Conditioning Embeddings
[arXiv] 2026-03-05 | Besov regularity of solutions to the Dirichlet problem for the Bessel $(p,s)$-Laplacian
[arXiv] 2026-03-05 | Dynamic Wettability Modulation of Textured, Soft and LIS Interfaces Using Electrowetting
[arXiv] 2026-03-05 | Latent Policy Steering through One-Step Flow Policies
[arXiv] 2026-03-05 | STRUCTUREDAGENT: Planning with AND/OR Trees for Long-Horizon Web Tasks
[arXiv] 2026-03-05 | Drone Air Traffic Control: Tracking a Set of Moving Objects with Minimal Power
[arXiv] 2026-03-05 | Probing vacuum birefringence in an Ultrastrong Laser Field via High-energy Gamma-ray Polarimetry
[arXiv] 2026-03-05 | Extensions to the Wealth Tax Neutrality Framework
[arXiv] 2026-03-05 | Whispering to a Blackbox: Bootstrapping Frozen OCR with Visual Prompts
[arXiv] 2026-03-05 | VietJobs: A Vietnamese Job Advertisement Dataset
[arXiv] 2026-03-05 | Extreme Value Analysis for Finite, Multivariate and Correlated Systems with Finance as an Example
[arXiv] 2026-03-05 | Wiki-R1: Incentivizing Multimodal Reasoning for Knowledge-based VQA via Data and Sampling Curriculum
[arXiv] 2026-03-05 | CATNet: Collaborative Alignment and Transformation Network for Cooperative Perception
[arXiv] 2026-03-05 | Algebraic Characterization of Reversible First Degree Cellular Automata over $\mathbb{Z}_d$
[arXiv] 2026-03-05 | ICHOR: A Robust Representation Learning Approach for ASL CBF Maps with Self-Supervised Masked Autoencoders
[arXiv] 2026-03-05 | Estimates of eigenvalues of elliptical differential problems in divergence form
[arXiv] 2026-03-05 | GCAgent: Enhancing Group Chat Communication through Dialogue Agents System
[arXiv] 2026-03-05 | Multi-fidelity Machine Learning Interatomic Potentials for Charged Point Defects
[arXiv] 2026-03-05 | Boosting ASR Robustness via Test-Time Reinforcement Learning with Audio-Text Semantic Rewards
[arXiv] 2026-03-05 | Implicit Bias and Loss of Plasticity in Matrix Completion: Depth Promotes Low-Rankness
[arXiv] 2026-03-05 | KARL: Knowledge Agents via Reinforcement Learning
