[2026-08-07 09:54:34] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-08-06
正在获取论文...
[arXiv] 2026-08-06 | Periods of E-operators
[arXiv] 2026-08-06 | Hybrid Machine Learning Framework for Herd-Level Cattle Growth Pattern and Weight Gain Forecasting in Grazing-Based Production Systems
[arXiv] 2026-08-06 | Convergent Evolution in Neural Representation Space: Emergent Order in Deep Belief Networks
[arXiv] 2026-08-06 | Clinical Communication Processing with Models Trained on LLM-Generated Synthetic Data: A Structured Survey and Novel Application Case Studies
[arXiv] 2026-08-06 | Convergent Evolution in Algorithmic Space
[arXiv] 2026-08-06 | Geometry-Only CSL/DP Ratios and the Nonuniqueness of Decoherence Kernels
[arXiv] 2026-08-06 | The Institutional Window: Occupation- and Jurisdiction-Specific Calibration of Liability Signaling for Preserved Human Fallback Capability
[arXiv] 2026-08-06 | M$^3$Prune: Hierarchical Collaborative Pruning for Efficient Multi-Modal Multi-Agent Retrieval-Augmented Generation
[arXiv] 2026-08-06 | Stability of Ranking-dependent Pair-wise Comparison Patterns in the Analytic Hierarchy Process
[arXiv] 2026-08-06 | Certifying Collective Reasoning in Multi-Agent Systems via Koopman Spectral Analysis
[arXiv] 2026-08-06 | Erdős--Ko--Rado and Hilton--Milner Theorems in the Partition Lattice
[arXiv] 2026-08-06 | Implicit Computation of Filtered Prime Implicants
[arXiv] 2026-08-06 | Exponential Speedup of Entanglement Generation by Quantum Mpemba Effects
[arXiv] 2026-08-06 | Chernoff-Stein-Type Exponent in Testing Between Two Outlier Distributions
[arXiv] 2026-08-06 | Harnessing thermo-optic dynamics for frequency-agile soliton microcombs
[arXiv] 2026-08-06 | Floating Radiance Networks
[arXiv] 2026-08-06 | Jsymm: A Python package for symmetry analysis of exchange tensors in magnetic Hamiltonians
[arXiv] 2026-08-06 | Escaping the Self-Repair Trap: Improving Test Oracle Generation via Dual-Context Awareness
[arXiv] 2026-08-06 | Phase-resolved QPO Analysis of GX 339-4: Improved Technique and Consistent Behaviors between QPOs and Broadband Noise
[arXiv] 2026-08-06 | Reduced Basis Method for Simulating Thermal Transients in Electric Machines
[arXiv] 2026-08-06 | Robust-WAM: Bridging Generative Pretraining and Semantic Foresight in World-Action Models
[arXiv] 2026-08-06 | Tool Demo: Topology analysis with GPML for detection of cyberattacks in Water Distribution Networks
[arXiv] 2026-08-06 | Chaos in large genus surfaces
[arXiv] 2026-08-06 | Correlated topological-polarization surface states in the narrow-gap insulator FeSb2
[arXiv] 2026-08-06 | Personalized Deep Research Query Refinement with Graph-Scaffolded Evidence Grounding
[arXiv] 2026-08-06 | Descoped and Upscoped FCC-ee Running Scenarios in the SMEFT
[arXiv] 2026-08-06 | A sharp fixed-size spectral bound for $kK_3$-free graphs
[arXiv] 2026-08-06 | NestyNet. I. Physics Functions Are Hard to Fit with Neural Networks: A Framework for Accurate Surrogates and Analytic Derivatives
[arXiv] 2026-08-06 | Multiple Distance Ramsey Bounds For Graphs in Euclidean Spaces
[arXiv] 2026-08-06 | A broadband outburst of the compact steep-spectrum quasar 3C 138 in 2024-2026
[arXiv] 2026-08-06 | MameLoshnLM: Yiddish Language Model and Evaluation Benchmark
[arXiv] 2026-08-06 | A neural operator view on U-Nets for inverse imaging problems
[arXiv] 2026-08-06 | Ruffled Feathers: Merger-driven galaxy size growth and structural transformation in EAGLE
[arXiv] 2026-08-06 | Controllable Clothing: Precise Labels and Generation for Virtual Try-On with Latent Diffusion Models
[arXiv] 2026-08-06 | ViSR-KGC: Visual Subgraph Reasoning with Vision-Language Models for Multimodal Knowledge Graph Completion
[arXiv] 2026-08-06 | A Unified Analytical Framework for LYSO-SiPM Scintillation Pulse Dynamics
[arXiv] 2026-08-06 | Agent-Based Test Assertion Generation via Diverse Perspective Aggregation
[arXiv] 2026-08-06 | Quantum error correction with global control
[arXiv] 2026-08-06 | Noise-aware Verification and Synthesis of Quantum Programs
[arXiv] 2026-08-06 | XEWorld: Can Action-Conditioned World Models Generalize to Unseen Robot Embodiments?
[arXiv] 2026-08-06 | KVAE: Family of Tokenizers for Multimodal Generative Models
[arXiv] 2026-08-06 | A Two-Tier Perspective on Inference-Time Parallelism in Multi-Agent LLM Systems
