[2026-06-24 11:40:55] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-06-23
正在获取论文...
[arXiv] 2026-06-23 | Application of Deep Learning to Jet Charge Discrimination
[arXiv] 2026-06-23 | Visualizing "We the People": Bridging the Perception Gap through Pluralistic Data Storytelling
[arXiv] 2026-06-23 | The Warrant Gap: Claim-Conditioned Re-scoring for Fact-Checking
[arXiv] 2026-06-23 | Privacy-Preserving RAG via Multi-Agent Semantic Rewriting: Achieving Confidentiality Without Compromising Contextual Fidelity
[arXiv] 2026-06-23 | When CQs Go Wrong: Challenges in CQ Verification with OE-Assist
[arXiv] 2026-06-23 | Dynamics and stability of inertial flexible chains under follower activity
[arXiv] 2026-06-23 | Norm of infinite doubly stochastic matrices
[arXiv] 2026-06-23 | To Compare, or Not to Compare: On Methodological Practices in Evaluating Social Bias
[arXiv] 2026-06-23 | MEMPROBE: Probing Long-Term Agent Memory via Hidden User-State Recovery
[arXiv] 2026-06-23 | Evolution of Stars During the Main Sequence and the Transition to the Red Giant Phase
[arXiv] 2026-06-23 | EERLoss: A Novel Loss Function for Training Deep Biometric Models. A Case Study in Keystroke Dynamics
[arXiv] 2026-06-23 | First evidence of $X(3872)\toπ^0χ_{c0}(1P)$ and search for $X(3915)\toπ^0χ_{c1}(1P)$
[arXiv] 2026-06-23 | Anomalously long-delayed afterpulses in large-area photomultipliers
[arXiv] 2026-06-23 | Jolia: Concept-Level Vision-Language Alignment for 3D CT Contrastive Learning
[arXiv] 2026-06-23 | Multilevel Stochastic Plug-and-Play for Sparse-View CT Reconstruction
[arXiv] 2026-06-23 | An observationally constrained probabilistic trigger for organized deep convection in an NWP ensemble
[arXiv] 2026-06-23 | Quantum CT via Dynamic Interval Encoding and Prior-Balanced QUBO Reconstruction
[arXiv] 2026-06-23 | Decomposition-Based Constructive Heuristics for the Linear Ordering Problem
[arXiv] 2026-06-23 | Heterogeneous Knowledge Distillation via Geometry Decoupling and Momentum-Aware Gradient Regulation
[arXiv] 2026-06-23 | Partial Wavelet Canonical Coherence for Nonstationary Signals with High Dimensional Confounders
[arXiv] 2026-06-23 | Strong field lensing and shadows of $\boldsymbol{f(Q,\mathcal{B})}$ gravity black holes
[arXiv] 2026-06-23 | Unified Position-Invariant Random Access Through Two Compression Layers via Absolute-Offset Coordinates: A Bit-Perfect Device-Resident Proof
[arXiv] 2026-06-23 | AGORA: An Archive-Grounded Benchmark for Agentic Workplace Document Reasoning
[arXiv] 2026-06-23 | No-deleting principle for two unitary copies
[arXiv] 2026-06-23 | ICSpyLab: A Python package for invariant coordinate selection
[arXiv] 2026-06-23 | Rigidity of McMullen Julia sets
[arXiv] 2026-06-23 | What Do Flow-Based Inverse Solvers Approximate? A Posterior-Transport View
[arXiv] 2026-06-23 | Dynamic Response Functions for Cavity Quantum Electrodynamics Hartree-Fock Theory
[arXiv] 2026-06-23 | Asymptotics for Toeplitz operators with symbol and indicator function
[arXiv] 2026-06-23 | More on Kashaev limits of the quantum $A$-polynomials
[arXiv] 2026-06-23 | Red-Teaming the Agentic Red-Team
[arXiv] 2026-06-23 | Well-posedness of the weakly singular Burton-Miller equation for Helmholtz transmission problems
[arXiv] 2026-06-23 | CABS-flex standalone 3: an open command-line platform for protein flexibility simulation, peptide structure modeling, and protein-peptide docking
[arXiv] 2026-06-23 | On the convex hull of a planar Brownian bridge with a random Gaussian endpoint
[arXiv] 2026-06-23 | The Latent Bridge: A Continuous Slow-Fast Channel for Real-Time Game Agents
[arXiv] 2026-06-23 | FT-WBC: Learning Fault-Tolerant Whole-Body Control for Legged Loco-Manipulation
[arXiv] 2026-06-23 | Boosting Text-Driven Video Segmentation via Geometry-Aware Distillation
[arXiv] 2026-06-23 | An LLM-based Two-Stage Transformer Framework for Cross-Domain Bearing Fault Diagnosis with Limited Data
[arXiv] 2026-06-23 | Free-Space CV-QKD with Single-Mode Fiber Reception: Effective Coupling Statistics and Protocol-Dependent Reference Noise
[arXiv] 2026-06-23 | Detecting AI Coding Agents in Open Source: A Validated Multi-Method Census of 180 Million Repositories
[arXiv] 2026-06-23 | Beyond Logprobs: A Multi-Signal Confidence Engine for LLM-Based Document Field Extraction
[arXiv] 2026-06-23 | Agentic AI for Bilevel Long-Term Optimization of Policy-Driven Physical Layer Systems
[arXiv] 2026-06-23 | Cycle-Consistent Neural Explanation of Formal Verification Certificates
[arXiv] 2026-06-23 | The Space Debris Tracking and Surveillance program of the IAC80 telescope
[arXiv] 2026-06-23 | RE4: Transformation-aware Imitation of Object Interactions Using Manipulation Modes
[arXiv] 2026-06-23 | Energy Poverty as a Structural Trap: The Role of Housing Efficiency and Non-Convex Technology
[arXiv] 2026-06-23 | Discovery of a nebula associated with a high proper motion sdB star
[arXiv] 2026-06-23 | Average Rankings Mask Per-Subject Optimality: A Friedman-Nemenyi Benchmark of EEG Motor-Imagery BCI Decoders
[arXiv] 2026-06-23 | BRAVR: An AP-Assisted Online DRL Mechanism for Interactive VR Bitrate Adaptation over Wi-Fi
[arXiv] 2026-06-23 | AutoSpecNER: A Fine-Grained Named Entity Recognition Dataset for Vehicle Specification Extraction
[arXiv] 2026-06-23 | The Physics of Topological Defects in Glasses
[arXiv] 2026-06-23 | On the Sharpness of Khovanskii's Bezout-type Bound for Pfaffian Functions
[arXiv] 2026-06-23 | Intrinsic spectral structure of bipartite nonlocal magic resource
[arXiv] 2026-06-23 | $p$-adic integrable systems: from biquadratic equations to local models
[arXiv] 2026-06-23 | Multipartite synchronization residuals in driven-dissipative spin networks
[arXiv] 2026-06-23 | Magnetized Coulomb crystals in neutron star crusts
[arXiv] 2026-06-23 | PETRA: Transforming Web Text for Petroleum-Engineering Domain Adaptation
[arXiv] 2026-06-23 | What Does ODRL Mean? A Cross-Level Ontological Grounding of Permissions, Prohibitions, and Duties in UFO-L
[arXiv] 2026-06-23 | Managing Task Execution for Unknown Workloads in Batteryless IoT: A Hardware-Agnostic Evaluation
[arXiv] 2026-06-23 | Wigner's Phase Space Current for Variable Beam Splitters -- Phase Space Rotations and Newtonian Trajectories
[arXiv] 2026-06-23 | Transformer-Based Language Models Across Domain Verticals: Architectures, Applications and Critical Assessment
[arXiv] 2026-06-23 | REDI-Match: Rotation-Equivariant Distillation for Efficient and Robust Dense Matching
[arXiv] 2026-06-23 | Securing LLM-Agent Long-Term Memory Against Poisoning: Non-Malleable, Origin-Bound Authority with Machine-Checked Guarantees
[arXiv] 2026-06-23 | Chinese Sunspot Drawings and Their Digitization-(VIII) Release of a Machine Readable Parameters Catalog
[arXiv] 2026-06-23 | Thin accretion disks around a Schwarzschild acoustic black hole
[arXiv] 2026-06-23 | PROTECT-90: A Fault Dataset for Power System Protection
[arXiv] 2026-06-23 | ActiveScope: Actively Seeking and Correcting Perception for MLLMs
[arXiv] 2026-06-23 | UniRED: Unified RGB-D Video Frame Interpolation with Event Guidance
[arXiv] 2026-06-23 | How to~Peel Fully Convex Digital Sets
[arXiv] 2026-06-23 | Equivariant Interpolations in Topological Holography
[arXiv] 2026-06-23 | The 4-move kills the Alexander polynomial
[arXiv] 2026-06-23 | MotifGen: Spatiotemporal interpolation of misaligned satellite images via multi-source generative modeling, in an application to tropical cyclones
[arXiv] 2026-06-23 | Social Structure Matters in 3D Human-Human Interaction Generation
[arXiv] 2026-06-23 | Doppler-enhanced superheterodyne Rydberg microwave receiver
[arXiv] 2026-06-23 | One-dimensional self-organization of water molecules in proton conducting Andersson-Wadsley titanates
[arXiv] 2026-06-23 | Ground-State Energy Solutions of the Lithium Atom: Zeroth-, First-, and Second-Order Perturbation Theory and the Variational Method
[arXiv] 2026-06-23 | SP-Mind: An Autonomous Reasoning Agent for Spatial Proteomics Analysis
[arXiv] 2026-06-23 | FlowR2A: Learning Reward-to-Action Distribution for Multimodal Driving Planning
[arXiv] 2026-06-23 | Semi-asynchronous Federated Learning in Flower: Framework Extension and Performance Assessment
[arXiv] 2026-06-23 | Nonradiative Multiphonon Model of Deep-Level Transient Spectroscopy: Beyond Henry-Lang Model
[arXiv] 2026-06-23 | Addressing the lightest $S$-wave strange $K_0^*(700)/κ$ resonance in four-body semileptonic $\bar{B}_s^0 \to K^0π^+ \ell^-\barν_\ell$ decays
[arXiv] 2026-06-23 | Decoherence as Defence and the Magnitude of Noise Regularisation: A Rigorous N -Qubit Theory of Stochastic Quantum Neural Networks for Adversarially Robust Network Intrusion Detection
[arXiv] 2026-06-23 | Path Space Robust Bayesian Portfolio Selection
[arXiv] 2026-06-23 | MMed-Bench-IR: A Heterogeneous Benchmark for Multilingual Medical Information Retrieval
[arXiv] 2026-06-23 | New Tower-Type Lower Bounds for Hypergraph Ramsey Numbers
[arXiv] 2026-06-23 | Co-occurring associated retained concepts in Diffusion Unlearning
