[2026-01-28 09:29:10] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-01-27
正在获取论文...
[arXiv] 2026-01-27 | Evaluation of Oncotimia: An LLM based system for supporting tumour boards
[arXiv] 2026-01-27 | Magnetization Plateaus in the Spin-Orbit Coupled Bilayer Triangular Lattice Antiferromagnet Rb2Co2(SeO3)3
[arXiv] 2026-01-27 | Symmetric polynomials: DIM integrable systems versus twisted Cherednik systems
[arXiv] 2026-01-27 | RHSIA: Real-time Hemodynamics Surrogation for Non-idealized Intracranial Aneurysms
[arXiv] 2026-01-27 | Mass, staticity, and a Riemannian Penrose inequality for weighted manifolds
[arXiv] 2026-01-27 | Reflective Translation: Improving Low-Resource Machine Translation via Structured Self-Reflection
[arXiv] 2026-01-27 | A Cool Earth-sized Planet Candidate Transiting a Tenth Magnitude K-dwarf From K2
[arXiv] 2026-01-27 | Bandits in Flux: Adversarial Constraints in Dynamic Environments
[arXiv] 2026-01-27 | Discovery of Galactic center ejected star in DESI DR1
[arXiv] 2026-01-27 | Prompt cusps in hierarchical dark matter halos: Implications for annihilation boost
[arXiv] 2026-01-27 | Calibration without Ground Truth
[arXiv] 2026-01-27 | Symmetric and Antisymmetric Quantum States from Graph Structure and Orientation
[arXiv] 2026-01-27 | Estimating Trust in Human-Robot Collaboration through Behavioral Indicators and Explainability
[arXiv] 2026-01-27 | HexFormer: Hyperbolic Vision Transformer with Exponential Map Aggregation
[arXiv] 2026-01-27 | Identifying and Transferring Reasoning-Critical Neurons: Improving LLM Inference Reliability via Activation Steering
[arXiv] 2026-01-27 | Self-Sovereign Identity and eIDAS 2.0: An Analysis of Control, Privacy, and Legal Implications
[arXiv] 2026-01-27 | Numerical simulations of simultaneous pair-drop impacts and their energetics
[arXiv] 2026-01-27 | Visual Generation Unlocks Human-Like Reasoning through Multimodal World Models
[arXiv] 2026-01-27 | The extensibility of the Diophantine triple $\{2, b, c\}$
[arXiv] 2026-01-27 | A general theory of nonlocal elasticity based on nonlocal gradients and connections with Eringen's model
[arXiv] 2026-01-27 | Atomic imaging of 2D transition metal dihalides
[arXiv] 2026-01-27 | Knowledge-Aware Evolution for Streaming Federated Continual Learning with Category Overlap and without Task Identifiers
[arXiv] 2026-01-27 | Resolving Gauge Ambiguities of the Berry Connection in Non-Hermitian Systems
[arXiv] 2026-01-27 | PaW-ViT: A Patch-based Warping Vision Transformer for Robust Ear Verification
[arXiv] 2026-01-27 | Inter-branch message transfer on superconducting quantum processors: a multi-architecture benchmark
[arXiv] 2026-01-27 | 6-mJ, 4-ns Pulse Generation at 2.09 $μ$m from a Diode-Pumped Ho:YAG Thin-Disk Laser
[arXiv] 2026-01-27 | Unique Preference Aggregation in Design and Decision Making
[arXiv] 2026-01-27 | Integral torsion points on abelian varieties over function fields
[arXiv] 2026-01-27 | Regularized $f$-Divergence Kernel Tests
[arXiv] 2026-01-27 | Agentic Design Patterns: A System-Theoretic Framework
[arXiv] 2026-01-27 | A two-mode model for black hole evaporation and information flow
[arXiv] 2026-01-27 | Combinatorial proofs of some identities on overpartitions with repeated smallest non-overlined part
[arXiv] 2026-01-27 | Quantum Light Detection with Enhanced Photonic Neural Network
[arXiv] 2026-01-27 | Optimally Driven Dressed Qubits
[arXiv] 2026-01-27 | Rethinking Divisive Hierarchical Clustering from a Distributional Perspective
[arXiv] 2026-01-27 | Physics-Aware Novel-View Acoustic Synthesis with Vision-Language Priors and 3D Acoustic Environment Modeling
[arXiv] 2026-01-27 | Differentiable Semantic ID for Generative Recommendation
[arXiv] 2026-01-27 | A study of dark matter-dark energy interaction under the DESI DR2 data constraint
[arXiv] 2026-01-27 | Fundamental Relations as the Leading Order in Nonlinear Thermoelectric Responses with Time-Reversal Symmetry
[arXiv] 2026-01-27 | Local environmental dependence on weak-lensing shear statistics
[arXiv] 2026-01-27 | Development of a comprehensive PMT optical model for the JUNO experiment
[arXiv] 2026-01-27 | DSTCS: Dual-Student Teacher Framework with Segment Anything Model for Semi-Supervised Pubic Symphysis Fetal Head Segmentation
[arXiv] 2026-01-27 | Spectroscopy of $^4$He at 0.25 ppt Uncertainty and Improved Alpha-Helion Charge-Radius Difference Determination
[arXiv] 2026-01-27 | eHMI for All -- Investigating the Effect of External Communication of Automated Vehicles on Pedestrians, Manual Drivers, and Cyclists in Virtual Reality
[arXiv] 2026-01-27 | OSIRIS: Bridging Analog Circuit Design and Machine Learning with Scalable Dataset Generation
[arXiv] 2026-01-27 | Large-scale Modeling of the Observed Power Spectrum Multipoles
[arXiv] 2026-01-27 | On Dirichlet Series Involving $ζ(s)$ and Extensions of the Euler-Mascheroni Constant
[arXiv] 2026-01-27 | ProVoice: Designing Proactive Functionality for In-Vehicle Conversational Assistants using Multi-Objective Bayesian Optimization to Enhance Driver Experience
[arXiv] 2026-01-27 | RPO:Reinforcement Fine-Tuning with Partial Reasoning Optimization
[arXiv] 2026-01-27 | Residual Tokens Enhance Masked Autoencoders for Speech Modeling
[arXiv] 2026-01-27 | Lepton flavor violating signals driven by CP symmetry of order 4
[arXiv] 2026-01-27 | DSP-Reg: Domain-Sensitive Parameter Regularization for Robust Domain Generalization
[arXiv] 2026-01-27 | Nanomechanical sensor resolving impulsive forces below its zero-point fluctuations
[arXiv] 2026-01-27 | High-quality data augmentation for code comment classification
[arXiv] 2026-01-27 | Optimal Asynchronous Stochastic Nonconvex Optimization under Heavy-Tailed Noise
[arXiv] 2026-01-27 | Inertial effects on the interphase drag force and rheology of dilute suspensions of buoyant droplets at low Reynolds number
[arXiv] 2026-01-27 | Green's Function Formalism for Impurity-Induced Resonances in Sub-barrier Proton-Nucleus Scattering
[arXiv] 2026-01-27 | Deterministic non-local parity control and supercurrent-based detection in an Andreev molecule
[arXiv] 2026-01-27 | Cooperative Double IRS aided Secure Communication for MIMO-OFDM Systems
[arXiv] 2026-01-27 | Pareto-Guided Optimization for Uncertainty-Aware Medical Image Segmentation
[arXiv] 2026-01-27 | Revisiting Parameter Server in LLM Post-Training
[arXiv] 2026-01-27 | A sharp monomial Caffarelli-Kohn-Nirenberg inequality
[arXiv] 2026-01-27 | Experimental High-Accuracy and Broadband Quantum Frequency Sensing via Geodesic Control
[arXiv] 2026-01-27 | Continuous-mode analysis of improved two-way CV-QKD
[arXiv] 2026-01-27 | GeoSSA: Geometric Sparrow Search Algorithm for UAV Path Planning and Engineering Design Optimization
[arXiv] 2026-01-27 | Probing multipolar order in the candidate altermagnet MnF$_2$ through the elastocaloric effect under strain
[arXiv] 2026-01-27 | Robust Uncertainty Estimation under Distribution Shift via Difference Reconstruction
[arXiv] 2026-01-27 | CaseMaster: Designing and Evaluating a Probe for Oral Case Presentation Training with LLM Assistance
[arXiv] 2026-01-27 | A Unified Framework for Equilibrium Selection in DSGE Models
[arXiv] 2026-01-27 | A generalization of Boppana's entropy inequality
[arXiv] 2026-01-27 | Graphene Josephson Junctions for Engineering Motional Quanta
[arXiv] 2026-01-27 | Positive autocorrelation at unit lag for stationary random walk Metropolis-Hastings in ${\mathbb R}^d$
[arXiv] 2026-01-27 | Predictive Accuracy versus Interpretability in Energy Markets: A Copula-Enhanced TVP-SVAR Analysis
[arXiv] 2026-01-27 | Instance-Guided Radar Depth Estimation for 3D Object Detection
[arXiv] 2026-01-27 | Balancing Sustainability And Performance: The Role Of Small-Scale Llms In Agentic Artificial Intelligence Systems
[arXiv] 2026-01-27 | Beyond Shadows: A Large-Scale Benchmark and Multi-Stage Framework for High-Fidelity Facial Shadow Removal
[arXiv] 2026-01-27 | Composition operators on weighted Bergman spaces of the polydisc
[arXiv] 2026-01-27 | Hematopoiesis as a continuum: from stochastic compartmental model to hydrodynamic limit
[arXiv] 2026-01-27 | Voice-Based Chatbots for English Speaking Practice in Multilingual Low-Resource Indian Schools: A Multi-Stakeholder Study
[arXiv] 2026-01-27 | Understanding Dominant Themes in Reviewing Agentic AI-authored Code
[arXiv] 2026-01-27 | Gazeify Then Voiceify: Physical Object Referencing Through Gaze and Voice Interaction with Displayless Smart Glasses
[arXiv] 2026-01-27 | Tactile Memory with Soft Robot: Robust Object Insertion via Masked Encoding and Soft Wrist
[arXiv] 2026-01-27 | On an improved restricted reverse weak-type bound for the maximal operator
[arXiv] 2026-01-27 | Etude des morphismes pr{é}servant les mots primitifs
[arXiv] 2026-01-27 | Confinement and Chiral Phase Transitions: The Role of Polyakov Loop Kinetics Terms
[arXiv] 2026-01-27 | Learning Collective Medication Effects via Multi-level Abstraction for Medication Recommendation
[arXiv] 2026-01-27 | E-QRGMM: Efficient Generative Metamodeling for Covariate-Dependent Uncertainty Quantification
[arXiv] 2026-01-27 | Beyond In-Domain Detection: SpikeScore for Cross-Domain Hallucination Detection
[arXiv] 2026-01-27 | Physics-Informed Neuro-Symbolic Recommender System: A Dual-Physics Approach for Personalized Nutrition
[arXiv] 2026-01-27 | Intersections of Cantor sets with hyperbolas and continuous images
[arXiv] 2026-01-27 | Reevaluating Bluetooth Low Energy for Ingestible Electronics
[arXiv] 2026-01-27 | Structure-based RNA Design by Step-wise Optimization of Latent Diffusion Model
[arXiv] 2026-01-27 | Excluding surfaces as minors in graphs
[arXiv] 2026-01-27 | Towards Pixel-Level VLM Perception via Simple Points Prediction
[arXiv] 2026-01-27 | Nonlocal Kramers-Moyal formulas and data-driven discovery of stochastic dynamical systems with multiplicative Lévy noise
[arXiv] 2026-01-27 | UniPCB: A Unified Vision-Language Benchmark for Open-Ended PCB Quality Inspection
[arXiv] 2026-01-27 | Singular field redefinition between Witten's string field theory and Witten's theory deformed by Ellwood invariant
[arXiv] 2026-01-27 | SE Journals in 2036: Looking Back at the Future We Need to Have
[arXiv] 2026-01-27 | Desingularizations of Conformally Kaehler, Einstein Orbifolds
[arXiv] 2026-01-27 | Contrastive Spectral Rectification: Test-Time Defense towards Zero-shot Adversarial Robustness of CLIP
[IEEE] 2026-1-27 | Asynchronous Grid Connections Providing Fast-Frequency Response: System Integration Study
[IEEE] 2026-1-27 | Optical Radiation Source Encoding for Long-Range Multispectral Communication
[IEEE] 2026-1-27 | Unified Local and Global Transformer for Infrared Small UAV Tracking
[IEEE] 2026-1-27 | Leveraging Early Diagnosis of Alzheimer's Disease Using Deep Learning and XAI
[IEEE] 2026-1-27 | AI-Driven Predictive Maintenance in Smart Manufacturing Using Cyber-Physical Systems and Industrial IoT
[IEEE] 2026-1-27 | A systematic review of recent models for agri-food supply chain management with emphasis on the application of artificial intelligence and sustainability
[IEEE] 2026-1-27 | ProMoT: Progressive Prompting of Modality and Temporal Dynamics for RGB-T Tracking
[IEEE] 2026-1-27 | RIS-based Communication Enhancement and Location Privacy Protection in UAV Networks
[IEEE] 2026-1-27 | Revisiting The Cramer-Rao Lower Bound via Wiener Filtering
[IEEE] 2026-1-27 | Deep Learning-Based Phishing Email Spam Detection with Region Attention Convolution and Adaptive Optimization
[IEEE] 2026-1-27 | DLDSS: Dual-Layered Decision Support System for Retail Recommendation
[IEEE] 2026-1-27 | Image Processing Algorithm Based on Prior Information Entropy Coupled with Equalized Machine Learningaper
[IEEE] 2026-1-27 | Risk-Tunable Safe Adaptive Control for Nonlinear Systems Under Dynamical Uncertainties
[IEEE] 2026-1-27 | Experimental Validation Of Information-Theoretic Physical Layer Security
[IEEE] 2026-1-27 | An Improved OS-CFAR Algorithm based on Otsu’s Preprocessing
[IEEE] 2026-1-27 | Joint 3D Parameter Estimation in ISAC Systems Based on OTFS Modulation
[IEEE] 2026-1-27 | EEG Insights into Visual Attention and Affective Prosody Processing in Children with Autism Spectrum Disorder: Examining the Theta/Alpha Ratio
[IEEE] 2026-1-27 | Leprosy Patient's Chronic Wounds Detection and Segmentation Using Different Yolo Versions and Unet Algorithm
[IEEE] 2026-1-27 | Super-Twisting Current Regulator for a Six-Phase Induction Motor in Field Weakening Conditions
[IEEE] 2026-1-27 | AWSUM Filter Aided ADMM for Reverberation Suppression in Very Shallow Water
[IEEE] 2026-1-27 | fMRI-Based Brain Tumor Classification Using Deep Learning
[IEEE] 2026-1-27 | High-Sensitivity TMR Sensor System for Magnetic Field Detection for Biomedical Applications
[IEEE] 2026-1-27 | Self-Distillation for Nonlinear Process Monitoring
[IEEE] 2026-1-27 | Towards Robust Agents: A Survey of Adversarial Attacks and Defenses in Deep Reinforcement Learning
[IEEE] 2026-1-27 | Sentiment Analysis of Empathetic Dialogues- A Comprehensive Study on Machine Learning Algorithms and End-to-End Implementation
[IEEE] 2026-1-27 | Efficient Classification of Multi-Lesion Brain Tumors Using Vision Transformer (ViT) Models
[IEEE] 2026-1-27 | Pneumonia Classification from X-ray Images with Convolutional Neural Network
[IEEE] 2026-1-27 | An Efficient Continual Learning Grasp Detection Method With Lightweight RGB-D Fusion and Automated Data Annotation for Kitchen Waste Sorting_supp1-3650331.mp4
[IEEE] 2026-1-27 | Accelerated Aging of HV Metallized Polypropylene Film Capacitors at Sub-kHz Pulsing and Elevated Temperature
[IEEE] 2026-1-27 | A MQTT-Based Infrastructure to Support COIL Activities Through Real Remote Labs
[IEEE] 2026-1-27 | Client Side Experimenting with uDAQ28/LT
[IEEE] 2026-1-27 | Real-Time Resilient Traffic Prediction for LEO Access Networks via Adjacent Satellite Collaboration
[IEEE] 2026-1-27 | Manifold Subspace Projection-Based MIG Detectors in Sample-Starved Clutter
[IEEE] 2026-1-27 | HLIF: A History-Aware Model Boosting Neuronal Heterogeneity in SNNs
[IEEE] 2026-1-27 | A Distributed Brute-Force Attack and Misleading Countermeasure for Securing ModbusTCP Implementations in PLCs
[IEEE] 2026-1-27 | Boosting Brain Tumor Classification with Attention-Enhanced Xception Architecture
[IEEE] 2026-1-27 | Leveraging Blockchain for Secure Mobile Payment Systems: A Privacy Centric Approach
[IEEE] 2026-1-27 | Conference General Information
[ACM] 2026-1-27 | Change and be changed: Looking back at ten years of the soma design research program
[IEEE] 2026-1-27 | Is Deciphering Cell Types in Complex Tissues the Next Frontier for Protein Language Models?
[IEEE] 2026-1-27 | Meta Learning Technique for Few-Shot Image Recognition
[IEEE] 2026-1-27 | Time-Domain Modeling and Power Decoupling of the Cross-Coupled Active Power Flow in a Multi Active Bridge (MAB) Converter
[IEEE] 2026-1-27 | Secure Sum-Rate Optimization in RIS-Assisted RSMA HAP Systems With Untrusted Users
[IEEE] 2026-1-27 | Manufacturer-Oriented Risk Assessment of Imaging Systems with Multi-Criteria Decision Making and Machine Learning
[IEEE] 2026-1-27 | Transformer-Based Fusion of Time-Domain and Time-Frequency Features for Robust Radar Jamming Recognition
[IEEE] 2026-1-27 | Foundations of a Developmental Design Paradigm for Integrated Continual Learning, Deliberative Behavior, and Comprehensibility_supp1-3628744.pdf
[IEEE] 2026-1-27 | Penetration Testing of a Merchant Payment Platform; Systemic Vulnerabilities and Compliance-Centric Mitigation
[IEEE] 2026-1-27 | Sentiment Analysis of Hazardous Events and Disasters
[IEEE] 2026-1-27 | Securing Smart Supply Chains with Adaptive AI Agents: A Virtual Simulation Framework
[IEEE] 2026-1-27 | A Comprehensive Exploration of Machine Learning Models for Banknote Authentication
[IEEE] 2026-1-27 | Detecting GAN-Generated Fake Images Using Deep Learning and Feature Analysis
[IEEE] 2026-1-27 | Generalization Error Analysis for Attack-Free and Byzantine-Resilient Decentralized Learning with Data Heterogeneity_supp1-3657395.pdf
[IEEE] 2026-1-27 | 2025 7th Experiment@ International Conference (exp.at'25)
[IEEE] 2026-1-27 | Exploiting CRUSAP: An Adversarial Security Evaluation of a Lightweight RFID Protocol
[IEEE] 2026-1-27 | A 0.018-mm
                    <sup>2</sup>
                    0.05-2 GHz Balun-LNA With Post-Linearization and Balanced Loads Achieving 33.5-dBm OIP3 and 3.7-dB NF
[IEEE] 2026-1-27 | E-mode P-GaN/AlGaN/GaN HEMT with Diode-Engineered Gate Configuration for Extended Gate Voltage Swing
[IEEE] 2026-1-27 | A Two-Board Design for Interconnected Intelligence in Tiny IoT
[IEEE] 2026-1-27 | Treating the Filter Weights as Learnable Functions: An Efficient Nonlinear Filtering Framework and Its Adaptive Algorithms
[IEEE] 2026-1-27 | Effects of sequential dual-target TMS on the dynamic characteristics of brain networks as revealed by fNIRS
[ACM] 2026-1-27 | Human-Autonomous System Interaction Graphical Notation (HASIGN): How Do We Design for Human-Multi-AGV Interaction in Manufacturing Intralogistics?
[ACM] 2026-1-27 | Voice-Powered Assembly: Boosting Self-Efficacy in Older Adults with “Build2Race”
[IEEE] 2026-1-27 | A Blockchain Based Decentralized Identifiers for Entity Authentication in Electronic Health Records
[IEEE] 2026-1-27 | A Blockchain-Based IoT Framework for Smart Homes: Enhancing Energy Prediction and Security with LSTM and Equilibrium Optimization
[IEEE] 2026-1-27 | A Target Detection Method of Pulse Group Frequency Agile Radar
[IEEE] 2026-1-27 | Research on Obstacle Avoidance Maneuver Decision-Making Technology Based on Safety Reinforcement Learning
[IEEE] 2026-1-27 | Multi-Modal Semantic Segmentation Based on Spike Encoding and Early Fusion with Events and Images
[IEEE] 2026-1-27 | A Smart Clinical Application for Early Diagnosis of Progressive Diseases Using Machine Learning
[IEEE] 2026-1-27 | Secrecy Performance Analysis of AmBC-assisted MEC System with Backscatter Device Selection
[IEEE] 2026-1-27 | Large-Scale Planar Array Near-Field Calibration Based on Plane Wave Spectrum Maclaurin Expansion
[IEEE] 2026-1-27 | Robustness of Question Answering Systems in the Biomedical Domain: a study of the BioASQ dataset
[IEEE] 2026-1-27 | Event-Triggered Model-Free Adaptive Predictive Control for Networked Wind-Power Microgrids Subject to Aperiodic DoS Attacks
[IEEE] 2026-1-27 | Networkless Collision Avoidance for Multiple Vehicles Using Joint Spatial–Temporal Chance-Constrained Optimization_supp1-3651393.mp4
[IEEE] 2026-1-27 | QoE-Aware Quantization in Buffer-Based Adaptive Bitrate Control with PD Controller for MPEG-DASH
[IEEE] 2026-1-27 | Augmented Reality as a Transformative Tool in Engineering Education: Analysing its Impact on Learning and Engagement
[IEEE] 2026-1-27 | SFI: A Practical and Efficient Backdoor Attack Framework against Split Learning
[IEEE] 2026-1-27 | Medical Data Security in Blockchain: A telemedicine data sharing scheme based on custom OPE and 4D-YG hyperchaotic
[IEEE] 2026-1-27 | A Finite State Automaton for the Tsetlin Machine Using High-Capacity Resettable D Flip-Flop Cells
[IEEE] 2026-1-27 | A Set-Membership Filter for Group Target Tracking Using Bounded Bearing-Only Measurements
[IEEE] 2026-1-27 | Enhancing Process Mining on Sparse Event Logs: A Simulation-Driven Academic Case Study
[IEEE] 2026-1-27 | Evolutionary Nanorobotic Design Based on Bioinformation Feedback
[IEEE] 2026-1-27 | A Survey of Domain-specific Fine-tuned Large Language Models
[IEEE] 2026-1-27 | Quantification of Major Depressive Disorder via Spectrogram-Based Analysis of Electroencephalography Signals
[IEEE] 2026-1-27 | Technology-Enhanced Dual-Task Testing for Alzheimer’s Disease and Related Dementias: A Review of Trends, Tools, and Emerging Directions
[IEEE] 2026-1-27 | A Graph Neural Network-Based Method for Dynamic Path Scheduling in AGV Systems
[IEEE] 2026-1-27 | An Immersive Virtual Reality Platform for First Aid and Emergency Training
[IEEE] 2026-1-27 | Measurement of 5G-NR Signal in V2I Environment in 5 GHz Band by Software-defined Radio System
[IEEE] 2026-1-27 | AI-Driven Exterior Damage Assessment for Shared Vehicle Systems: A Benchmarking Study of Segmentation and Detection Models
[IEEE] 2026-1-27 | Frame-Correlation Exploitation for Secure Audio Watermarking: A Parallel Multi-Watermarking Framework with Enhanced Robustness
[IEEE] 2026-1-27 | A Median Enhancement Attention Network for Highway Traffic Hazy Image Enhancement
