[2026-07-29 11:18:29] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-07-28
正在获取论文...
[arXiv] 2026-07-28 | OmniQEC: discovering practical quantum error-correcting codes by an AI scientist
[arXiv] 2026-07-28 | The Winding Number at the Critical Hölder Exponent 1/3: Failure of Universal Fourier Summation
[arXiv] 2026-07-28 | Calibration of scintillator-based X-ray detectors for broadband laser-driven X-ray radiation
[arXiv] 2026-07-28 | Mori-Zwanzig formalism: An existence proof for weak solutions of the orthogonal dynamics equation
[arXiv] 2026-07-28 | Rician Distribution as a Physically Interpretable Model for Wind-Speed Statistics
[arXiv] 2026-07-28 | WarmTuner: Program-Specific Warm Starts for Compiler Autotuning via Offline-to-Online Reinforcement Learning
[arXiv] 2026-07-28 | Shear interaction and acceleration of a corotating stream detected by Parker Solar Probe
[arXiv] 2026-07-28 | Hypothesis-Driven Shelf Generation for Personalised Recommendation
[arXiv] 2026-07-28 | Ly$α$ Escape in JWST/NIRCam F430M-Selected H$α$ Emitters at $z\simeq5.5$
[arXiv] 2026-07-28 | HI Depletion Begins Well Beyond the Virial Radius: A FAST Stacking Study of 36 Galaxy Clusters to 5R200
[arXiv] 2026-07-28 | High-Frequency Magnetohydrodynamic Waves with Substantial Energy in the Solar Polar Corona
[arXiv] 2026-07-28 | SpectONet: A Physics-Guided Spectral Deep Operator Network for Euler-Bernoulli Beam Dynamics
[arXiv] 2026-07-28 | Tripody: An Overconstrained 3-SPR-like Parallel Robot for High-Reach Construction Tasks
[arXiv] 2026-07-28 | A Hierarchical Optimisation Framework for Integrated Electric-Hydrogen-Transport Systems
[arXiv] 2026-07-28 | Multi-Sensor Alignment for Weather Simulations
[arXiv] 2026-07-28 | From Markovian actions to Anosov flows
[arXiv] 2026-07-28 | Projective Ore-Degree Conditions for Intersection Theorems in Vector Spaces
[arXiv] 2026-07-28 | Ferroelectricity and antiferroelectricity in the BaS-PbS system with the rocksalt structure
[arXiv] 2026-07-28 | Evaluation of forced alignment of code-mixed speech: the case of Hindi-English
[arXiv] 2026-07-28 | Establishing a national masters programme in high-energy physics: lessons from a Romanian case study
[arXiv] 2026-07-28 | Growth gaps and exponential genericity in acylindrically hyperbolic groups
[arXiv] 2026-07-28 | Few-Shot Open-Vocabulary Remote Sensing Segmentation via Textual Inversion
[arXiv] 2026-07-28 | Joint Channel Estimation and Data Detection for Multi-LEO-Satellite Cell-Free OTFS Uplinks
[arXiv] 2026-07-28 | Interaction-Endowed PT-Symmetry and its Effects on Decoherence, Einselection, and Non-Markovianity in a Central Spin Model
[arXiv] 2026-07-28 | Sublinear projection tracking in acylindrically hyperbolic groups
[arXiv] 2026-07-28 | The Influence of Dust Composition on Accretion Outbursts
[arXiv] 2026-07-28 | From real polymers to random graphs: percolation thresholds in associative polymer solutions
[arXiv] 2026-07-28 | Multi-Scale Structural Features for Continual, Comprehensible Visual Recognition in a Developmental Learning Framework
[arXiv] 2026-07-28 | Error Estimates for a Linear Fully-Discrete Finite Element Method for the Ferromagnetic Magnetohydrodynamical Model
[arXiv] 2026-07-28 | A Causality-aware Infer-diagnose-refine Framework for Test-time Modality Adaptation in VLA Models
[arXiv] 2026-07-28 | Chemistry of Dark Molecular Clouds
[arXiv] 2026-07-28 | Group Equivariant Diffusion for Anomaly Detection in Computational Cytology
[arXiv] 2026-07-28 | Anti-Backdoor Coreset Selection via Cumulative Entropy
[arXiv] 2026-07-28 | Beyond Prefill-Decode Disaggregation: Dissecting LLM Inference for Heterogeneous Platforms via Dynamic Operator Scheduling
[arXiv] 2026-07-28 | Automated Numerical Stability Analysis of Deep Learning Operators
[arXiv] 2026-07-28 | Quantum Speedups for Stochastic Optimization with Heavy-Tailed Noise
[arXiv] 2026-07-28 | CoTinyVLA: Chain-of-Thought Distillation for a Sub-Billion-Parameter Vision-Language-Action Model
[arXiv] 2026-07-28 | Integrated Framework for Long-term Elective Surgery Management under Uncertainty: From Strategic to Tactical Planning
[arXiv] 2026-07-28 | Photon Gas Thermodynamics in Doubly Special Relativity at the Planck Scale
[arXiv] 2026-07-28 | Algorithm-Driven Information Similarity and Collective Action: An Experimental Study
[arXiv] 2026-07-28 | Initial algebras from constructive ordinals
[arXiv] 2026-07-28 | Disconnectivity in Multistationarity Regions of Cascade of Goldbeter--Koshland Loops
[arXiv] 2026-07-28 | Reading Legends on Ancient Coins: An Object Detection Approach for Character Recognition on a Novel Roman Republican Dataset
[arXiv] 2026-07-28 | Memory Effect for deformed gravitational waves
[arXiv] 2026-07-28 | CoRenew: A large language model agent-based policy simulation platform for multifamily residential redevelopment
[arXiv] 2026-07-28 | Quantum estimates for classical polynomial optimization
[arXiv] 2026-07-28 | On an asymmetric additive energy inequality
[arXiv] 2026-07-28 | Robust Unsupervised Network Intrusion Detection via Federated Learning with Selective Aggregation under Anomalous Sample Contamination
[arXiv] 2026-07-28 | On the Cost of Entrainment in Protein Translation
[arXiv] 2026-07-28 | SafeStats: Efficient 2PC Protocols for Data Statistic-Related Functions
[arXiv] 2026-07-28 | Salient Knowledge Pathways: Sparse Cross-Modal Routing for Efficient Knowledge-Intensive Multimodal Question Answering
[arXiv] 2026-07-28 | A Hierarchical Stochastic Model Predictive Control Framework for Integrated Request-aware Charge Scheduling and Service Allocation
[arXiv] 2026-07-28 | A Numerical Investigation of the Rayleigh-Faber-Krahn Inequality for Polyhedral Domains
[arXiv] 2026-07-28 | A Control System, a Dataset, and a Recipe for Making Frozen LLM Agents Learn a Domain
[arXiv] 2026-07-28 | A minimally nonperfectly divisible graph with a bisimplicial vertex
[arXiv] 2026-07-28 | Polaris: a flexible stellarator demonstration experiment with simple modular coils
[arXiv] 2026-07-28 | Extreme values of quadratic Dirichlet $L$-functions with prime-related moduli
[arXiv] 2026-07-28 | Raikov Remainders of Quotients by Raikov-Complete Almost Metrizable Normal Subgroups
[arXiv] 2026-07-28 | COVENANT: Natural-Language Workflow Compilation for Aligned Agent Execution
[arXiv] 2026-07-28 | Decompose and Reorganize: Planning with Primitives and Visuomotor Policies Learned from Demonstrations
[arXiv] 2026-07-28 | Noise-Free One-Step LoRA for Task-Driven Image Restoration with Diffusion Priors
[arXiv] 2026-07-28 | Reciprocal theorem for ion-releasing colloidal particles
