[2026-04-29 10:49:41] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-04-28
正在获取论文...
[arXiv] 2026-04-28 | Online combinatorial optimization with stochastic decision sets and adversarial losses
[arXiv] 2026-04-28 | Variable Fusion and Selection via a Spike-and-Slab Approach with Nonlocal Priors
[arXiv] 2026-04-28 | Numerical approximation of a transient thermo-electromagnetic problem in axisymmetric geometries
[arXiv] 2026-04-28 | Revealing a Systematic High-latitude Current Sheet at Jupiter
[arXiv] 2026-04-28 | Chebyshev quotients, Demazure multiplicities, and Dyck-path models
[arXiv] 2026-04-28 | Categorical Optimization with Bayesian Anchored Latent Trust Regions for Structural Design under High-Dimensional Uncertainty
[arXiv] 2026-04-28 | VLM Judges Can Rank but Cannot Score: Task-Dependent Uncertainty in Multimodal Evaluation
[arXiv] 2026-04-28 | A nonabelian Wilson surface on a lattice
[arXiv] 2026-04-28 | ValueAlpha: Agreement-Gated Stress Testing of LLM-Judged Investment Rationales Before Returns Are Observable
[arXiv] 2026-04-28 | DATAREEL: Automated Data-Driven Video Story Generation with Animations
[arXiv] 2026-04-28 | Size-4 Counterexamples to the Sidon-Extension Conjecture
[arXiv] 2026-04-28 | Functional Autoregression Without Truncation: A Continuous-Regularization Approach
[arXiv] 2026-04-28 | Accelerating unrest at Campi Flegrei signals a critical transition within the next decade
[arXiv] 2026-04-28 | The local Langlands correspondence of essentially unipotent supercuspidal representations for disconnected reductive groups
[arXiv] 2026-04-28 | Shearlet Neural Operators for Anisotropic-Shock-Dominated and Multi-scale parametric partial differential equations
[arXiv] 2026-04-28 | Tiling of Hyperbolic Surface by Multiple Tiles
[arXiv] 2026-04-28 | Quantitative Analyticity for Lyapunov Exponents of Random Products of Matrices with Explicit Polydiscs and Cauchy Coefficient Bounds
[arXiv] 2026-04-28 | On the Role of Prompt Photons in the Anisotropic Emission of Direct Photons -- Direct Photons from Au+Au collisions at $\sqrt{s_{NN}}=200$ GeV with IP-Glasma Initial Condition
[arXiv] 2026-04-28 | A Continuous-Time Ensemble Kalman-Bucy Smoother for Causal Inference and Model Discovery
