[2026-01-14 09:18:02] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-01-13
正在获取论文...
[arXiv] 2026-01-13 | Gyral-Sulcal-Net: An Integrated Network Representation of Brain Folding Patterns
[arXiv] 2026-01-13 | Agent Contracts: A Formal Framework for Resource-Bounded Autonomous AI Systems
[arXiv] 2026-01-13 | Unstable synthetic deformations II: Infinitesimal extensions
[arXiv] 2026-01-13 | APEX-SWE
[arXiv] 2026-01-13 | Identifying Latent Intentions via Inverse Reinforcement Learning in Repeated Linear Public Good Games
[arXiv] 2026-01-13 | Black hole entropy from the quantum atmosphere of bound gravitational fluctuations
[arXiv] 2026-01-13 | A precessing jet from an active galactic nucleus drives gas outflow from a disk galaxy
[arXiv] 2026-01-13 | Simple repair policies and decompositions for semi-coherent systems with simultaneous failures
[arXiv] 2026-01-13 | Fast and explainable clustering in the Manhattan and Tanimoto distance
[arXiv] 2026-01-13 | LWM-Spectro: A Foundation Model for Wireless Baseband Signal Spectrograms
[arXiv] 2026-01-13 | Reliable Graph-RAG for Codebases: AST-Derived Graphs vs LLM-Extracted Knowledge Graphs
[arXiv] 2026-01-13 | Upper moderate deviation probabilities for the maximum of a branching random walk
[arXiv] 2026-01-13 | Majority-Logic Decoding of Binary Locally Recoverable Codes: A Probabilistic Analysis
[arXiv] 2026-01-13 | FusID: Modality-Fused Semantic IDs for Generative Music Recommendation
[arXiv] 2026-01-13 | Phenomenological study of $Ω_c\rightarrow Ω^-π^+$ at polarized electron-positron collider
[arXiv] 2026-01-13 | Spatial Context Improves the Integration of Text with Remote Sensing for Mapping Environmental Variables
[arXiv] 2026-01-13 | Search for Cosmic Ray Electron Boosted Dark Matter with the CDEX-10 Experiment
[arXiv] 2026-01-13 | Frolov Black Hole Surrounded by a Cloud of Strings
[arXiv] 2026-01-13 | QCD phase-transition under the light of Thermofractal
[arXiv] 2026-01-13 | Bipartite structure and dynamics of political corruption networks
[arXiv] 2026-01-13 | Evolution and afterglow emission of gamma-ray burst jets from binary neutron star mergers
[arXiv] 2026-01-13 | Fragility of Optimal Measurements due to Noise in Probe States for Quantum Sensing
[arXiv] 2026-01-13 | The Unification Type of an Equational Theory May Depend on the Instantiation Preorder: From Results for Single Theories to Results for Classes of Theories
[arXiv] 2026-01-13 | Multi-Preconditioned LBFGS for Training Finite-Basis PINNs
[arXiv] 2026-01-13 | "Where is My Troubleshooting Procedure?": Studying the Potential of RAG in Assisting Failure Resolution of Large Cyber-Physical System
[arXiv] 2026-01-13 | Automated Lesion Segmentation of Stroke MRI Using nnU-Net: A Comprehensive External Validation Across Acute and Chronic Lesions
[arXiv] 2026-01-13 | Stellar masses of optically dark galaxies: uncertainty introduced by the attenuation law and star-formation histories
[arXiv] 2026-01-13 | All Required, In Order: Phase-Level Evaluation for AI-Human Dialogue in Healthcare and Beyond
[arXiv] 2026-01-13 | QuantEval: A Benchmark for Financial Quantitative Tasks in Large Language Models
[arXiv] 2026-01-13 | Spectral Fusion Deformations for Locally Compact Quantum Groups
[arXiv] 2026-01-13 | Search for charm rare decays at BESIII
[arXiv] 2026-01-13 | Why AI Alignment Failure Is Structural: Learned Human Interaction Structures and AGI as an Endogenous Evolutionary Shock
[arXiv] 2026-01-13 | The Ergodic Linear-Quadratic Optimal Control Problems with Random Periodic Coefficients
[arXiv] 2026-01-13 | NEVO-GSPT: Population-Based Neural Network Evolution Using Inflate and Deflate Operators
[arXiv] 2026-01-13 | Reliability Modeling of Single-Sided Aluminized Polyimide Films during Storage Considering Stress-Induced Degradation Mechanism Transition
[arXiv] 2026-01-13 | Examples of critically cyclic functions in the Dirichlet spaces of the ball
[arXiv] 2026-01-13 | Subdiffusive fractional limit of a jump-renewal equation
[arXiv] 2026-01-13 | Provably Safe Reinforcement Learning using Entropy Regularizer
[arXiv] 2026-01-13 | Conjugation Theorem For Affine Kac-Moody Superalgebras
[arXiv] 2026-01-13 | Quantum CSS LDPC Codes based on Dyadic Matrices for Belief Propagation-based Decoding
[arXiv] 2026-01-13 | The connection between electromagnetic stress tensors and the dielectric constant in a medium
[arXiv] 2026-01-13 | Moral Lenses, Political Coordinates: Towards Ideological Positioning of Morally Conditioned LLMs
[arXiv] 2026-01-13 | The symplectic groupoid for Adler-Gelfand-Dikii Poisson structure
[arXiv] 2026-01-13 | Get away with less: Need of source side data curation to build parallel corpus for low resource Machine Translation
[arXiv] 2026-01-13 | GraphSearch: Agentic Search-Augmented Reasoning for Zero-Shot Graph Learning
[arXiv] 2026-01-13 | ViDoRe V3: A Comprehensive Evaluation of Retrieval Augmented Generation in Complex Real-World Scenarios
[arXiv] 2026-01-13 | VeriTaS: The First Dynamic Benchmark for Multimodal Automated Fact-Checking
[arXiv] 2026-01-13 | Exciton-Exciton and Exciton-Photon Annihilation in Polaritonic Systems
[arXiv] 2026-01-13 | ExpSeek: Self-Triggered Experience Seeking for Web Agents
[arXiv] 2026-01-13 | Systemic Risk Surveillance
[arXiv] 2026-01-13 | Stratifying moduli spaces of Higgs bundles and the Hitchin morphism
[arXiv] 2026-01-13 | Sample Complexity of Composite Quantum Hypothesis Testing
[arXiv] 2026-01-13 | Kinetic Blockade and Filamentary Pair Density Waves in Strain-Engineered Graphene
[arXiv] 2026-01-13 | Excitonic Landscape of Monolayer Transition-Metal Dichalcogenides: Experimental Discrepancies, Theoretical Advances, and Strain Dependence
[arXiv] 2026-01-13 | Extending Qubit Coherence Time via Hybrid Dynamical Decoupling
[arXiv] 2026-01-13 | Two-sided bounds for dihedral angle sums of path and 4-ball tetrahedra
[arXiv] 2026-01-13 | Enhancing Sentiment Classification and Irony Detection in Large Language Models through Advanced Prompt Engineering Techniques
[arXiv] 2026-01-13 | ReCo-KD: Region- and Context-Aware Knowledge Distillation for Efficient 3D Medical Image Segmentation
[arXiv] 2026-01-13 | Variable-Length Wideband CSI Feedback via Loewner Interpolation and Deep Learning
[arXiv] 2026-01-13 | Self-Certification of High-Risk AI Systems: The Example of AI-based Facial Emotion Recognition
[arXiv] 2026-01-13 | OpenMic: A Multi-Agent-Based Stand-Up Comedy Generation System
[arXiv] 2026-01-13 | Estimating Treatment Effects in Panel Data Without Parallel Trends
[arXiv] 2026-01-13 | Greedy Is Enough: Sparse Action Discovery in Agentic LLMs
[arXiv] 2026-01-13 | Matrix-PIC: Harnessing Matrix Outer-product for High-Performance Particle-in-Cell Simulations
[arXiv] 2026-01-13 | Discovery and Reinforcement of Tool-Integrated Reasoning Chains via Rollout Trees
[arXiv] 2026-01-13 | Slit-Induced Reflection Mode Conversion Between Fundamental Lamb Modes in Elastic Plates with Low-Frequency and Broadband Response
[arXiv] 2026-01-13 | Terahertz Communications Using Effective-Medium-Slot Waveguides
[arXiv] 2026-01-13 | Unleashing Tool Engineering and Intelligence for Agentic AI in Next-Generation Communication Networks
[arXiv] 2026-01-13 | T3: Benchmarking Sycophancy and Skepticism in Causal Judgment
[arXiv] 2026-01-13 | LDLT L-Lipschitz Network Weight Parameterization Initialization
[arXiv] 2026-01-13 | A brain-inspired information fusion method for enhancing robot GPS outages navigation
[arXiv] 2026-01-13 | Large room temperature anomalous Nernst effect coupled with topological Nernst effect from incommensurate spin structure in a Kagome antiferromagnet
[arXiv] 2026-01-13 | Tiny-Twin: A CPU-Native Full-stack Digital Twin for NextG Cellular Networks
[arXiv] 2026-01-13 | Scalable Multiagent Reinforcement Learning with Collective Influence Estimation
[arXiv] 2026-01-13 | Generation-Augmented Generation: A Plug-and-Play Framework for Private Knowledge Injection in Large Language Models
[arXiv] 2026-01-13 | Lattice Boltzmann methods for simulating non-Newtonian fluids: A comprehensive review
[arXiv] 2026-01-13 | Pressure-Induced Martensitic Phase Transformation and Microstructure Evolution in nanograined $\text{Fe}\text{-}7\%\text{Mn}$ Alloy
[arXiv] 2026-01-13 | Nodal Superconductivity of UTe$_2$ Probed by Field-Angle-Resolved Specific Heat on a Crystal with $T_{\rm c}=2.1$ K
[arXiv] 2026-01-13 | A natural explanation of the Galactic Magnetic Fields from multistate Scalar Field Dark Matter
[arXiv] 2026-01-13 | Route, Retrieve, Reflect, Repair: Self-Improving Agentic Framework for Visual Detection and Linguistic Reasoning in Medical Imaging
[arXiv] 2026-01-13 | GI-Bench: A Panoramic Benchmark Revealing the Knowledge-Experience Dissociation of Multimodal Large Language Models in Gastrointestinal Endoscopy Against Clinical Standards
[arXiv] 2026-01-13 | Towards Cross-Platform Generalization: Domain Adaptive 3D Detection with Augmentation and Pseudo-Labeling
[arXiv] 2026-01-13 | Representation Learning with Semantic-aware Instance and Sparse Token Alignments
[arXiv] 2026-01-13 | An Investigation into the Applicability of Friction Velocity Estimation Methods for the Channel with A Deposit Body
[arXiv] 2026-01-13 | SwiftMem: Fast Agentic Memory via Query-aware Indexing
[arXiv] 2026-01-13 | Tropical Kummer quartic surfaces
[arXiv] 2026-01-13 | WISE-Flow: Workflow-Induced Structured Experience for Self-Evolving Conversational Service Agents
[arXiv] 2026-01-13 | Instance-Aligned Captions for Explainable Video Anomaly Detection
[arXiv] 2026-01-13 | Joint Communication and Sensing in RIS-Assisted MIMO System Under Mutual Coupling
[arXiv] 2026-01-13 | Reverse Flow Matching: A Unified Framework for Online Reinforcement Learning with Diffusion and Flow Policies
[arXiv] 2026-01-13 | How Reliable are Confidence Estimators for Large Reasoning Models? A Systematic Benchmark on High-Stakes Domains
[arXiv] 2026-01-13 | How Do Optical Flow and Textual Prompts Collaborate to Assist in Audio-Visual Semantic Segmentation?
