[2026-02-24 09:44:56] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-02-23
正在获取论文...
arXiv 请求失败: HTTPSConnectionPool(host='export.arxiv.org', port=443): Max retries exceeded with url: /api/query?search_query=lastUpdatedDate%3A%5B202602230000+TO+202602232359%5D&sortBy=relevance&sortOrder=descending&max_results=100 (Caused by ResponseError('too many 429 error responses'))
[ACM] 2026-2-23 | WiFi-Based Assessment of Scoliosis-Related Spinal Postures
[ACM] 2026-2-23 | Balancing Fairness and High Match Rates in Reciprocal Recommender Systems: A Nash Social Welfare Approach
[ACM] 2026-2-23 | TUG-IoT: A Mobile Integrated IoT based Timed Up and Go Test
[ACM] 2026-2-23 | Reproducibility Report for ACM SIGMOD 2025 Paper: 'SuSe: Summary Selection for Regular Expression Subsequence Aggregation over Streams'
[IEEE] 2026-2-23 | Cuffless Noninvasive Continuous Blood Pressure Monitoring Using Superficial Temporal Arterial Tonometry
[IEEE] 2026-2-23 | A Tutorial on AI-Empowered Integrated Sensing and Communications
[IEEE] 2026-2-23 | Reconstructing Sparse-view Indoor Scenes in View Space with Global Monocular Prior Alignment
[IEEE] 2026-2-23 | On the Mitigation of Dead Time With Photon-Counting Detector Arrays for FSO Inter-Satellite Links
[IEEE] 2026-2-23 | A Learned-PPR Decoding Scheme for Partial Packet Recovery in Network Coding
[IEEE] 2026-2-23 | Development of a Novel Synchronized Servo Control System for Lathe Machining of Globoid Worm Gears
[IEEE] 2026-2-23 | The Impact of Artificial Intelligence on the Quality of Strategic Decisions: The Mediating Role of Organizational Data Readiness
[IEEE] 2026-2-23 | G-DMAD: Group-based Diverse Multi-Agent Debate for Robust Reasoning
[IEEE] 2026-2-23 | Integrated Spherical Ray-Tracing and Spectral Guard-Band Analysis for K/Ka-Band Earth–Space Links
[IEEE] 2026-2-23 | Direction Prediction Error-Prioritized Experience Replay (DPE-PER) for Adversarial UAV Interception under Partial Observability
[IEEE] 2026-2-23 | Carbon-Aware Dynamic Task Scheduling in Hierarchical Cloud–Edge Systems for IoT Devices
[IEEE] 2026-2-23 | AGRO-YOLO-V: Hybrid Instance Segmentation and Geometric Modeling for Single-View Orange Volume Estimation
[IEEE] 2026-2-23 | A Spectral Clustering-Based Approach for Balancing Data in TF-Target Gene Interaction Prediction Using Heterogeneous Network Embedding
