[2026-06-17 12:47:32] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-06-16
正在获取论文...
[arXiv] 2026-06-16 | OmniDroneX: An LLM-Assisted Holistic Drone-as-a-Service Ecosystem
[arXiv] 2026-06-16 | When the Next Step Is Not One Step: Distribution-Aware Execution Modeling for Concurrent Go Programs
[arXiv] 2026-06-16 | Future Dynamic 3D Reconstruction: A 3D World Model with Disentangled Ego-Motion
[arXiv] 2026-06-16 | A Joint Optimal Search for Gravitational Waves from Resolved and Unresolved Supermassive Binary Black Holes with Pulsar Timing Arrays
[arXiv] 2026-06-16 | LGNO: A Local-Global Neural Operator for Hyperbolic Conservation Laws
[arXiv] 2026-06-16 | Finite-Time Queue Peak Laws in Stochastic Networks: Logarithmic Scaling After Geometric Thresholds
[arXiv] 2026-06-16 | Conformal Prediction Intervals with Tail-Specific Guarantees
[arXiv] 2026-06-16 | Receiver-Aware Analysis and Verification of the Spectral Separation Coefficient Under Interference-Induced Degradation
[arXiv] 2026-06-16 | A Red-Team Study of Anthropic Fable 5 & Opus 4.8 Models
[arXiv] 2026-06-16 | Kolmogorov Regression for Robust Diffusion Policies
[arXiv] 2026-06-16 | An Encoder-Transformer Architecture for Recognition of the Jordan Structure of a Matrix
[arXiv] 2026-06-16 | Beyond Plane Waves: Coherent Network Response to Collimated Gravitational-Wave Wavepackets
[arXiv] 2026-06-16 | A Diffusion Approximation for Temporal-Difference Learning with Linear Features under Markovian Noise
[arXiv] 2026-06-16 | Optimal Probe State for Phase Estimation Under Covariant Measurement
[arXiv] 2026-06-16 | Learning Cardiac Electrophysiology Digital Twins Through Agentic Discovery of Hybrid Structure
[arXiv] 2026-06-16 | A new class of Euler explosions
[arXiv] 2026-06-16 | How Sparse and How Noisy? Systematic Benchmarking of Inverse Physics-Informed Neural Networks for Manning Friction Estimation in Shallow Water Equations
[arXiv] 2026-06-16 | Behind Python: The Languages That Power AI
[arXiv] 2026-06-16 | The Value of Adaptivity in LSM Bloom-Filter Tuning: A Log-Law and a Two-Clock Frontier
[arXiv] 2026-06-16 | Productivity of maximal eventually different families
[arXiv] 2026-06-16 | ComPart: Community-Guided Post-Coarsening for High-Quality Hypergraph Partitioning
[arXiv] 2026-06-16 | The free boundary problem in general relativity
[arXiv] 2026-06-16 | Decentralized Decision-Making for Finite-State Systems over Finite Alphabets is Undecidable
[arXiv] 2026-06-16 | Unintended Effects of Geographic Conditioning in Large Language Models
[arXiv] 2026-06-16 | Predicting Immune Biomarkers with MultiModal Mixture-of-Expert Pathology Foundation Models Empowers Precision Oncology
[arXiv] 2026-06-16 | Verifiable computations for dynamic encrypted control
[arXiv] 2026-06-16 | Querying an astronomical database using large language models: the ALeRCE text-to-SQL system
[arXiv] 2026-06-16 | Trust the Right Teacher: Quality-Aware Self-Distillation for GUI Grounding
[arXiv] 2026-06-16 | Probing jet evolution with charged energy correlators in small systems
[arXiv] 2026-06-16 | One-Step Token-to-Waveform Generation with MeanFlow in Latent Space
[arXiv] 2026-06-16 | Blended Chart Surfaces: A Seamless Explicit Representation for Smooth Surface Fitting
[arXiv] 2026-06-16 | When AI Says "I have been in similar situations": Synthetic Lived Experience in Peer-Like Caregiver Support
[arXiv] 2026-06-16 | ConSA: Controllable Sparsity in Hybrid Attention via Learnable Allocation
[arXiv] 2026-06-16 | A Hybrid Optimization Framework for Grasp Synthesis under Partial Observations
[arXiv] 2026-06-16 | An Empirical Analysis of AI Slop in Music Streaming
