[2026-02-27 09:35:03] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-02-26
正在获取论文...
[arXiv] 2026-02-26 | The regularity of the boundary of vortex patches for the quasi-geostrophic shallow-water equations
[arXiv] 2026-02-26 | Evaluating and Improving Automated Repository-Level Rust Issue Resolution with LLM-based Agents
[arXiv] 2026-02-26 | Towards a microscopic description of 12C+12C fusion at stellar energies
[arXiv] 2026-02-26 | Towards Simulating Social Media Users with LLMs: Evaluating the Operational Validity of Conditioned Comment Prediction
[arXiv] 2026-02-26 | Uniformly elliptic boundary value problems
[arXiv] 2026-02-26 | AMLRIS: Alignment-aware Masked Learning for Referring Image Segmentation
[arXiv] 2026-02-26 | HulluEdit: Single-Pass Evidence-Consistent Subspace Editing for Mitigating Hallucinations in Large Vision-Language Models
[arXiv] 2026-02-26 | Replacing Multi-Step Assembly of Data Preparation Pipelines with One-Step LLM Pipeline Generation for Table QA
[arXiv] 2026-02-26 | Interpreting and Steering State-Space Models via Activation Subspace Bottlenecks
[arXiv] 2026-02-26 | RLHFless: Serverless Computing for Efficient RLHF
[arXiv] 2026-02-26 | SoPE: Spherical Coordinate-Based Positional Embedding for Enhancing Spatial Perception of 3D LVLMs
[arXiv] 2026-02-26 | KMT-2024-BLG-3237: Another Free-Floating Planet Candidate with Angular Einstein Radius Measurement
[arXiv] 2026-02-26 | Mayer--Vietoris and Twisted Čech Spectral Sequences for C$^*$-Algebras with Free Quantum Group Coefficients
[arXiv] 2026-02-26 | IMMACULATE: A Practical LLM Auditing Framework via Verifiable Computation
[arXiv] 2026-02-26 | Reinforcing Real-world Service Agents: Balancing Utility and Cost in Task-oriented Dialogue
[arXiv] 2026-02-26 | No Caption, No Problem: Caption-Free Membership Inference via Model-Fitted Embeddings
[arXiv] 2026-02-26 | Relativistic Tidal Dissipation and the Gravitational-wave Signal of a White Dwarf Orbiting an Intermediate-Mass Black Hole
[arXiv] 2026-02-26 | SUPERGLASSES: Benchmarking Vision Language Models as Intelligent Agents for AI Smart Glasses
[arXiv] 2026-02-26 | Automated Identification of the Tip of the Red Giant Branch in Globular Clusters with Gaia Data
[arXiv] 2026-02-26 | Monocular Open Vocabulary Occupancy Prediction for Indoor Scenes
[arXiv] 2026-02-26 | Rethinking the Practicality of Vision-language-action Model: A Comprehensive Benchmark and An Improved Baseline
[arXiv] 2026-02-26 | Scaling Audio-Visual Quality Assessment Dataset via Crowdsourcing
[arXiv] 2026-02-26 | Deepfake Word Detection by Next-token Prediction using Fine-tuned Whisper
[arXiv] 2026-02-26 | Exact mapping of a spin glass with correlated disorder to the pure Ising model
[arXiv] 2026-02-26 | Gyrokinetic turbulent transport simulations on steady burning condition in D-T-He plasmas
[arXiv] 2026-02-26 | Uniform Stability of Oscillatory Shocks for KdV-Burgers Equation
[arXiv] 2026-02-26 | MUG: Meta-path-aware Universal Heterogeneous Graph Pre-Training
[arXiv] 2026-02-26 | Topological entropy, mean dimension, and weakly equivalent flows
[arXiv] 2026-02-26 | QuadSync: Quadrifocal Tensor Synchronization via Tucker Decomposition
[arXiv] 2026-02-26 | Vibration induced transparency and absorption with two ion ensembles in a linear trap
[arXiv] 2026-02-26 | SYK thermal expectations are classically easy at any temperature
[arXiv] 2026-02-26 | A Multi-Diagnostic Observational Framework for Magnetosonic Solitary Waves During Geomagnetic Storms in Solar Cycles 24 and 25 using Cluster II Mission
[arXiv] 2026-02-26 | Mitigating Membership Inference in Intermediate Representations via Layer-wise MIA-risk-aware DP-SGD
[arXiv] 2026-02-26 | DP-aware AdaLN-Zero: Taming Conditioning-Induced Heavy-Tailed Gradients in Differentially Private Diffusion
[arXiv] 2026-02-26 | A Thermodynamic Structure of Asymptotic Inference
[arXiv] 2026-02-26 | Mean-field games with rough common noise: the compactification approach
[arXiv] 2026-02-26 | Relating the Neural Representations of Vocalized, Mimed, and Imagined Speech
[arXiv] 2026-02-26 | BetterScene: 3D Scene Synthesis with Representation-Aligned Generative Model
[arXiv] 2026-02-26 | FLYING SERVING: On-the-Fly Parallelism Switching for Large Language Model Serving
[arXiv] 2026-02-26 | Correcting Human Labels for Rater Effects in AI Evaluation: An Item Response Theory Approach
[arXiv] 2026-02-26 | FuxiShuffle: An Adaptive and Resilient Shuffle Service for Distributed Data Processing on Alibaba Cloud
[arXiv] 2026-02-26 | S2O: Early Stopping for Sparse Attention via Online Permutation
[arXiv] 2026-02-26 | Directional first order approach for a class of bilevel programs
[arXiv] 2026-02-26 | Addressing Climate Action Misperceptions with Generative AI
[arXiv] 2026-02-26 | Layer-Targeted Multilingual Knowledge Erasure in Large Language Models
[arXiv] 2026-02-26 | Operationalizing Fairness: Post-Hoc Threshold Optimization Under Hard Resource Limits
[arXiv] 2026-02-26 | CourtGuard: A Model-Agnostic Framework for Zero-Shot Policy Adaptation in LLM Safety
[arXiv] 2026-02-26 | Coarse-to-Fine Learning of Dynamic Causal Structures
[arXiv] 2026-02-26 | Interpretable self-driving sputter epitaxy: from black-box optimization to human-usable growth rules
[arXiv] 2026-02-26 | Systems-Level Attack Surface of Edge Agent Deployments on IoT
[arXiv] 2026-02-26 | Cognitive Models and AI Algorithms Provide Templates for Designing Language Agents
[arXiv] 2026-02-26 | TEFL: Prediction-Residual-Guided Rolling Forecasting for Multi-Horizon Time Series
[arXiv] 2026-02-26 | Multiplicative Diophantine Approximation on Planar Lines with Restricted Denominators
[arXiv] 2026-02-26 | Fluctuations in the weakly coupled 4D Anderson Hamiltonian
[arXiv] 2026-02-26 | A Perfectoid Duality Between M-Theory and F-Theory
[arXiv] 2026-02-26 | Syzygies and Koszul modules in geometry
[arXiv] 2026-02-26 | From Shallow Bayesian Neural Networks to Gaussian Processes: General Convergence, Identifiability and Scalable Inference
[arXiv] 2026-02-26 | Highly Efficient Second/Third Harmonic Generation in van der Waals Layered Material AgScP2S6 with Anisotropic Polarization and Temperature Dependence
[arXiv] 2026-02-26 | Merging of zonal flows in gyrofluid resistive drift-wave turbulence
[arXiv] 2026-02-26 | Regular Fourier Features for Nonstationary Gaussian Processes
[arXiv] 2026-02-26 | Managing Uncertainty in LLM-based Multi-Agent System Operation
[arXiv] 2026-02-26 | Local boundedness for weak solutions to fractional porous medium equation
[arXiv] 2026-02-26 | CFT derivation of entanglement phase transition in pseudo entropy
[arXiv] 2026-02-26 | Understanding Older Adults' Experiences of Support, Concerns, and Risks from Kinship-Role AI-Generated Influencers
[arXiv] 2026-02-26 | Holomorphic Quantization in Constant Curvature Backgrounds
[arXiv] 2026-02-26 | Obscure but Effective: Classical Chinese Jailbreak Prompt Optimization via Bio-Inspired Search
[arXiv] 2026-02-26 | Chalcogen Impurity Barriers in 2D Systems via Semi-Empirical/Machine Learning Modeling: A Survey over 4000 Materials
[arXiv] 2026-02-26 | Coupling between Phase Separation and Geometry on a Closed Elastic Curve: Free Energy Minimization and Dynamics
[arXiv] 2026-02-26 | Modeling Expert AI Diagnostic Alignment via Immutable Inference Snapshots
[arXiv] 2026-02-26 | Scaling Laws of Global Weather Models
[arXiv] 2026-02-26 | MM-NeuroOnco: A Multimodal Benchmark and Instruction Dataset for MRI-Based Brain Tumor Diagnosis
[arXiv] 2026-02-26 | Automated Robotic Needle Puncture for Percutaneous Dilatational Tracheostomy
[arXiv] 2026-02-26 | A Comparative Study of Structural Representations for 2D Materials: Insights from Dynamic Collision Fingerprint and Matminer
[arXiv] 2026-02-26 | A quantum feasibility preserving modeling for the min cut problem
[arXiv] 2026-02-26 | A Holistic Framework for Robust Bangla ASR and Speaker Diarization with Optimized VAD and CTC Alignment
[arXiv] 2026-02-26 | Quantum Oppenheimer-Snyder Black Holes with a Cloud of Strings Surrounded by Perfect Fluid Dark Matter
[arXiv] 2026-02-26 | Exact Rheology of Uniform Shear Flow in a Gas of Inelastic and Rough Maxwell Particles
[arXiv] 2026-02-26 | Refined wave breaking for the generalized Fornberg-Whitham equation
[arXiv] 2026-02-26 | Coherence squeezing in optical interference
[arXiv] 2026-02-26 | OSDaR-AR: Enhancing Railway Perception Datasets via Multi-modal Augmented Reality
[arXiv] 2026-02-26 | Light propagation and gravitational lensing effects in charged Kalb-Ramond spacetime in nonlinear electrodynamics
[arXiv] 2026-02-26 | PSQE: A Theoretical-Practical Approach to Pseudo Seed Quality Enhancement for Unsupervised MMEA
[arXiv] 2026-02-26 | A fusion of concepts
[arXiv] 2026-02-26 | Information and coherence as resources for work extraction from unknown quantum state and providing quantum advantages
[arXiv] 2026-02-26 | Projection depth for functional data: Practical issues, computation and applications
[arXiv] 2026-02-26 | Learning Tangent Bundles and Characteristic Classes with Autoencoder Atlases
