[2026-09-11 13:09:33] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-09-10
正在获取论文...
[arXiv] 2026-09-10 | Qubit-Qutrit Quantum Tomography of hadronic $Λφ$ and $ΛK^{\ast 0}$ systems
[arXiv] 2026-09-10 | Radio Map Construction with Post-Hoc Location Calibration under Quasi-Static Positioning Errors: Joint Estimation, Performance Bounds, and GNSS-Based Evaluation
[arXiv] 2026-09-10 | Fingerprints of Excitonic Collective Modes in the Two-Dimensional Electron Gas
[arXiv] 2026-09-10 | LAION-Mobile: Evaluating Deepfake Detectors On One Million Smartphone Photos
[arXiv] 2026-09-10 | Beyond Benchmarks: Using VLMs to Reveal Systematic Classification Failures Under Real World Conditions
[arXiv] 2026-09-10 | Cooperative Integer Programming Games: Core Stability and Optimal Coalition Structures
[arXiv] 2026-09-10 | A Novel Multi-fidelity Surrogate for Efficient Turbine Design Optimization
[arXiv] 2026-09-10 | But How Would AI Agents Run a Town's Economy?
[arXiv] 2026-09-10 | The two-dimensional Matkowski--Sutô equation with holomorphic and strictly increasing generators
[arXiv] 2026-09-10 | Modified wave operators for nonlinear Schrödinger equations in the full subcritical long range regime
[arXiv] 2026-09-10 | Visual-Motion-Induced Modulation of Pedestrian Trajectories Using Spatially Distributed Multi-Display Signage in Public Spaces
[arXiv] 2026-09-10 | A Framework for Discharge Time Prediction of Energy Storage Units Based on Coupled Dynamics and Multi-Factor Aging Models
[arXiv] 2026-09-10 | A counterexample to the wrapping number conjecture
[arXiv] 2026-09-10 | TailProp: content-adaptive light- and heavy-tailed propagation for vision
[arXiv] 2026-09-10 | X-Hinges: 3D Printing Self-Sensing Compliant Mechanisms for Continuous and Multi-DOF Motion Sensing
[arXiv] 2026-09-10 | EMMI: Edge Multi-Modal Intelligence for Communication-Efficient MLLM Inference via Fused Representation Compression
[arXiv] 2026-09-10 | Search for the process $e^+e^-\to f_1(1285)$ at the SND detector
[arXiv] 2026-09-10 | Ordinary 3-Isogeny Graphs and Improvement of Supersingularity Testing for Twisted Hessian Curves over Prime Fields
[arXiv] 2026-09-10 | Load Balancing in Multi-Shell LEO Satellite Networks with Successive Interference Cancellation
[arXiv] 2026-09-10 | Admissible Fourier Lengths, KAM Reducibility, and Spectral Applications
[arXiv] 2026-09-10 | Work, Wellbeing, and Choice: Empirical Lessons for AI Futures
[arXiv] 2026-09-10 | Spectral properties of Random Matrices
[arXiv] 2026-09-10 | Bar cohomology of links: beyond Milnor invariants
[arXiv] 2026-09-10 | The Cartan-Hadamard conjecture in dimension five
[arXiv] 2026-09-10 | ShellVis: Sandboxed Live Programming for Shell Scripts
[arXiv] 2026-09-10 | Science operation, data handling, and ground support system of the SOLAR-C mission
[arXiv] 2026-09-10 | Importance Weighting for Unlabeled-unlabeled Learning under Distribution Shift
[arXiv] 2026-09-10 | Full Inseparability and Genuine Multipartite Entanglement Coincide for Finite-Mode Gaussian States
[arXiv] 2026-09-10 | Thompson Sampling for Non-Monotone Convex Ridge Bandits: Monotonicity Is Not Needed for Polynomial Regret
[arXiv] 2026-09-10 | Timelike Entanglement from Spacetime Density Matrices: A Lattice Realization
[arXiv] 2026-09-10 | Low-cost algorithm-to-execution framework for surface-code quantum computing
[arXiv] 2026-09-10 | MMS Allocation for Chores with Online Agent Arrivals
[arXiv] 2026-09-10 | CamPilot: A Multi-Agent Cinematic Assistant for Camera-Controlled Movie Generation
[arXiv] 2026-09-10 | "Coder first, advocate second, college student third": The Liminality of Going to College as a Blind Computing Student
[arXiv] 2026-09-10 | Well-posedness of the two-dimensional unsteady Prandtl system in Sobolev space with degenerate critical points
[arXiv] 2026-09-10 | Empirical Evaluation of Membership Inference Attacks on NLP Text Classifiers: A Baseline Study on SST-2
[arXiv] 2026-09-10 | Improving the Sensitivity of Gravitational Wave Detection with Weighted Conformal Prediction
[arXiv] 2026-09-10 | TransClean: A Benchmark for Detecting and Extracting Clean Translations from Large Language Model Outputs
[arXiv] 2026-09-10 | Influence of magnetic fields on the performance of spin-orbit torque magnetic random-access memory
[arXiv] 2026-09-10 | Buyer Artificial Intelligence-Enabled Environmental Governance and Supplier Environmental Controversies: An Organizational Information Processing and Signaling
[arXiv] 2026-09-10 | Delay-engineered dynamical phases in a programmable non-Markovian spin oscillator
[arXiv] 2026-09-10 | DINO-Med: A Unified Patch-Based Adaptation Framework for Multi-Modal Medical Image Analysis Applied to Liver Fibrosis Staging
[arXiv] 2026-09-10 | Generic vanishing conjecture for divisors
[arXiv] 2026-09-10 | Deep operator learning for efficient sampling from invariant measures of stochastic differential equations
[arXiv] 2026-09-10 | The tubal Arnoldi method for tensor function approximation
[arXiv] 2026-09-10 | A Tight Second-Order Converse Bound for Variable-Length Feedback Codes
[arXiv] 2026-09-10 | GeoTrussRover: Morphological Computation with Contact-Semantic Control Primitives
[arXiv] 2026-09-10 | Taming Bitwise Behavior in GPU Kernels with Tensor Core: Black-Box Reconstruction, Compiler Enforcement, and Static Verification
[arXiv] 2026-09-10 | Correlation enhanced altermagnetism mediated by spin-lattice coupling in CrSb
[arXiv] 2026-09-10 | InFlow: entropic stochastic dual dynamic programming with HJB cross-certification for seasonal energy storage
[arXiv] 2026-09-10 | E-CONAN (Entailment, CONtradition And Neutral) Benchmarks: Arabic Textual Entailment and Natural Inference Datasets
[arXiv] 2026-09-10 | Estimating Inconsistency Response Surfaces under Uncertainty in Cyber-Physical System Development
[arXiv] 2026-09-10 | Mr.LHDR: A Benchmark for Multimodal Real-World Long-Horizon Deep Research Agents
[arXiv] 2026-09-10 | Your Model Already Knows Don't Teach It, Learn to Ask It: Soft Prompting for Few-Shot Adaptation of Vision-Language Models
[arXiv] 2026-09-10 | Byzantine-tolerant distributed learning of finite mixture models under partial corruptions
[arXiv] 2026-09-10 | Broad p-Wave Sommerfeld Resonances From Dimensional Deconstruction
[arXiv] 2026-09-10 | Fold First, Detect Directly: Communication Symbol Detection Without Unfolding for Low-Bitrate Modulo-ADCs
[arXiv] 2026-09-10 | Geometric Analysis of Doppler-Based Navigation with Low Earth Orbit Satellites
[arXiv] 2026-09-10 | Bio-inspired Learning and Decision-Making with Probabilistic In-Memory Computing Hardware: Part 2
[arXiv] 2026-09-10 | Bio-inspired Learning and Decision-Making with Probabilistic In-Memory Computing Hardware: Part 1
[arXiv] 2026-09-10 | Predicting Train Delays in Finland Using Machine Learning and Weather Data
[arXiv] 2026-09-10 | Order-Aware 2.5D Multiple Instance Learning for Preoperative MRI-Based Perineural Invasion Risk Assessment in Intrahepatic Cholangiocarcinoma
[arXiv] 2026-09-10 | Beyond Noise Steering: Dual-Latent Space Reinforcement Learning for Generative Robot Policy
[arXiv] 2026-09-10 | Scientific Promise
[arXiv] 2026-09-10 | AI-Powered Flare Combustion Efficiency Estimation
[arXiv] 2026-09-10 | Preference Optimization with LALM Feedback for Continuous Autoregressive Non-Verbal Vocalization Generation
[arXiv] 2026-09-10 | SoulAuth: An Actor-native Identity Architecture and Rust Reference Implementation for Humans and Long-lived AI Actors
[arXiv] 2026-09-10 | Node-Shift-Encoding Genetic Algorithm with fuzzy-enhanced reference tour to solve the bi-objective service-oriented TSP
[arXiv] 2026-09-10 | You've Got a BUD in Me: Authenticated Reads from Per-Block Write Logs
[arXiv] 2026-09-10 | A Geometrically Parameterized Quasi-Stationary 3D Model for High-Frequency Induction Tube Welding
[arXiv] 2026-09-10 | OmniHallu: Unified Hallucination Detection for Cross-Modal Comprehension and Generation in Multimodal Large Language Models
[arXiv] 2026-09-10 | Quadruples and cubes
[arXiv] 2026-09-10 | Optically induced metallic state with persistent monoclinic symmetry in NdNiO$_3$
[arXiv] 2026-09-10 | SCINTILLA-SNN: A Spiking Multi-Scale Selective Aggregation Network for Perineural Invasion Prediction
[arXiv] 2026-09-10 | Crystals and sign-reversing involutions for set-valued skew tableaux and decorated states of the five-vertex model
[arXiv] 2026-09-10 | A Voice-Interactive Multi-Agent System for Smart Operating Rooms: Architecture Design and Key Technologies
