[2025-12-24 09:14:32] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2025-12-23
正在获取论文...
[arXiv] 2025-12-23 | Avoiding the Price of Adaptivity: Inference in Linear Contextual Bandits via Stability
[arXiv] 2025-12-23 | Electrical Drive of a Josephson Junction Array using a Cryogenic BiCMOS Pulse Pattern Generator: Towards a Fully Integrated Josephson Arbitrary Waveform Synthesizer
[arXiv] 2025-12-23 | Intercalant-induced Kekule ordering and gap opening in quasi-free-standing graphene
[arXiv] 2025-12-23 | From the planar Ising model to quasiconformal mappings
[arXiv] 2025-12-23 | Co$_2$MnZ (Z = Al, Si, Ga, Ge, Sn) Heusler alloys as candidate materials for spintronic and microelectronic applications: Electronic structure, transport, and magnetism
[arXiv] 2025-12-23 | Allocating Students to Schools: Theory, Methods, and Empirical Insights
[arXiv] 2025-12-23 | Implicit-explicit schemes for compressible Cahn-Hilliard-Navier-Stokes equations on staggered grids
[arXiv] 2025-12-23 | The devil is in the details: Enhancing Video Virtual Try-On via Keyframe-Driven Details Injection
[arXiv] 2025-12-23 | Up-down chains and scaling limits: application to permuton- and graphon-valued diffusions
[arXiv] 2025-12-23 | Macroscopic quantum states, quantum phase transition for $N$ three-level atoms in an optical cavity -- Gauge principle and non-Hermitian Hamiltonian
[arXiv] 2025-12-23 | Novel Light Dark Matter Detection with Quantum Parity Detector Using Qubit Arrays
[arXiv] 2025-12-23 | SpidR: Learning Fast and Stable Linguistic Units for Spoken Language Models Without Supervision
[arXiv] 2025-12-23 | From the Two-Capacitor Paradox to Electromagnetic Side-Channel Mitigation in Digital Circuits
[arXiv] 2025-12-23 | Ferroelectric FET-based Logic-in-Memory Encoder for Hyperdimensional Computing
[arXiv] 2025-12-23 | Characterizations of quasihyperbolic John domains and uniform domains in metric spaces
[arXiv] 2025-12-23 | Patterns vs. Patients: Evaluating LLMs against Mental Health Professionals on Personality Disorder Diagnosis through First-Person Narratives
[arXiv] 2025-12-23 | Multiple topological phases of magnons induced by Dzyaloshinskii-Moriya and pseudodipolar anisotropic exchange interactions in Kagome ferromagnets
[arXiv] 2025-12-23 | Ionization-based search for magnetic monopoles using the NOvA Far Detector
[arXiv] 2025-12-23 | SlideTailor: Personalized Presentation Slide Generation for Scientific Papers
[arXiv] 2025-12-23 | Spatiotemporal Chaos and Defect Proliferation in Polar-Apolar Active Mixture
[arXiv] 2025-12-23 | Krylov complexity in ergodically constrained nonintegrable transverse-field Ising model
[arXiv] 2025-12-23 | Dynamics of Marangoni-Driven Elliptical Janus Particles
[arXiv] 2025-12-23 | $\mathcal{PT}$-Symmetric Spin--Boson Model with a Continuous Bosonic Spectrum: Exceptional Points and Dynamics
[arXiv] 2025-12-23 | Automated Training of Learned Database Components with Generative AI
[arXiv] 2025-12-23 | Presence of solar inner F-corona and coronal heating
[arXiv] 2025-12-23 | Super-Eddington Accretion through a Multiwavelength Lens: Searching for Counterparts of Ultraluminous X-ray Sources
[arXiv] 2025-12-23 | Data-based Moving Horizon Estimation under Irregularly Measured Data
[arXiv] 2025-12-23 | Degradation-Aware Metric Prompting for Hyperspectral Image Restoration
[arXiv] 2025-12-23 | A Fourier-RKHS approach for characterizing equivalent Gaussian distributions for stationary processes on homogeneous spaces
[arXiv] 2025-12-23 | Memory as Resonance: A Biomimetic Architecture for Infinite Context Memory on Ergodic Phonetic Manifolds
[arXiv] 2025-12-23 | Post-Quantum Cryptography in the 5G Core
[arXiv] 2025-12-23 | Adaptive Multi-task Learning for Probabilistic Load Forecasting
[arXiv] 2025-12-23 | A Pick function approach for designing energy-decay preserving schemes of the Maxwell equations in Havriliak-Negami dispersive media
[arXiv] 2025-12-23 | Evaluating Moderation in Online Social Network
[arXiv] 2025-12-23 | Fractional hypocoercivity in bounded domains in the anomalous diffusion limit
[arXiv] 2025-12-23 | Generalisation in Multitask Fitted Q-Iteration and Offline Q-learning
[arXiv] 2025-12-23 | Quantitative Financial Modeling for Sri Lankan Markets: Approach Combining NLP, Clustering and Time-Series Forecasting
[arXiv] 2025-12-23 | Tree tensor network states represent low-energy states faithfully
[arXiv] 2025-12-23 | Deterministic exciton confinement in 2D semiconductors via local dielectric engineering for scalable quantum light sources
[arXiv] 2025-12-23 | Network-based prediction of drug combinations with quantum annealing
[arXiv] 2025-12-23 | Turing Pattern Engineering Enables Kinetically Ultrastable yet Ductile Metallic Glasses
