[2026-09-03 13:10:11] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-09-02
正在获取论文...
[arXiv] 2026-09-02 | A Survey of Decentralized Physical Infrastructure Network,Research Directions, and Open Challenges
[arXiv] 2026-09-02 | Groups of Transverse Stratifications and the Hierarchy of Configuration Spaces
[arXiv] 2026-09-02 | Synergistic Information Disentanglement for Omni-modal Slide Representation Learning in Computational Pathology
[arXiv] 2026-09-02 | text2ql: Multi-Target Natural Language Querying via a Language-Agnostic Intermediate Representation
[arXiv] 2026-09-02 | A Unified Rate-Distortion Perspective on Vector, Product, and Scalar Quantization
[arXiv] 2026-09-02 | Git4Data: Database-Native Version Control for AI Agents
[arXiv] 2026-09-02 | Contact fundamental forms and adjoint varieties
[arXiv] 2026-09-02 | Conformal Ricci Curvature and Spectral Estimates
[arXiv] 2026-09-02 | READY or Not: Reliable Enterprise Agent Deployment
[arXiv] 2026-09-02 | Compositional Spectral Prompts for LLM-based Online Time Series Forecasting
[arXiv] 2026-09-02 | Beyond Outcome Gaps: Process-Aware Fairness Diagnosis for LLM-based Multi-Agent Decision Systems
[arXiv] 2026-09-02 | Calculating the squeezed bispectrum in stochastic inflation by Monte Carlo simulation
[arXiv] 2026-09-02 | Lightweight Soft X-ray Imager (LSXI) with glass-based coded mask
[arXiv] 2026-09-02 | HyGRAIL: Cost-Aware and Evidence-Grounded Scientific Hypothesis Discovery over Knowledge Graphs
[arXiv] 2026-09-02 | Privacy Washing: Detecting Internal Contradictions in Privacy Policies
[arXiv] 2026-09-02 | Phase-delays shape multistability and basin sizes in Kuramoto networks: analytical estimates from network structure
[arXiv] 2026-09-02 | Analytic Maximal Violation of Extended MABK Inequalities for Generalized GHZ States
[arXiv] 2026-09-02 | Act More, Decide Less: Skill-Guided Adaptive Action Chunking for Long-Horizon LLM Agents
[arXiv] 2026-09-02 | Implicit Manipulation for Skill Selection in LLM Agents with Semantic Matching
[arXiv] 2026-09-02 | Search for the baryonic decay $ D_{s}^{*+} \to \ p \bar{n} $
[arXiv] 2026-09-02 | Pinching-Antenna Systems-enabled Secure ISAC: A Two-Timescale Optimization Framework
[arXiv] 2026-09-02 | Source-Free Class Relearning: Diagnosing Forgetting in Class Unlearning
[arXiv] 2026-09-02 | Insights on Time-consistent Deep Hedging under Elicitable Dynamic Risk Measures
[arXiv] 2026-09-02 | Seed-Anchored Budget-Bounded Graph Rendering for Question Answering on Industry-Standard Power-Grid Information and Exchange Models
[arXiv] 2026-09-02 | Symmetry-enforced third-order nonlinear thermal Hall effects in altermagnets
[arXiv] 2026-09-02 | Train What You Deploy: Closing the MLP Reachability Gap in Low-Rank Clone Distillation
[arXiv] 2026-09-02 | InstEditSeg: Instruction-Driven Image Editing for Polyp and Skin Lesion Segmentation
[arXiv] 2026-09-02 | ClaimReceipt: Verifying Evidence Sufficiency and Coverage in Agent Evaluations
[arXiv] 2026-09-02 | Rainbow Berge Hamiltonicity in edge-colored random $k$-uniform hypergraphs
[arXiv] 2026-09-02 | Benchmarking Language Models for Statistical Problem Formulation
[arXiv] 2026-09-02 | Dimension-Reduced ADP for Real-Time Microgrid Operation with Massive Air-Conditioning Loads under Multiple Uncertainties
[arXiv] 2026-09-02 | Sequential Certification of Threshold Decisions in Rare-Event Risk Prediction
[arXiv] 2026-09-02 | A Unified Particle Filter LSTM for Data-Driven Process Simulation
[arXiv] 2026-09-02 | Data-Efficient Networks for Multi-Contrast MRI Reconstruction based on a Generalized Content/Style Prior
[arXiv] 2026-09-02 | Merging Modal Clusters via Significance Assessment
[arXiv] 2026-09-02 | FlashKAN: B-Spline KANs via Truncated Power Form
[arXiv] 2026-09-02 | When Fibonacci and Lucas Meet Smith: A Computational Exploration
[arXiv] 2026-09-02 | Source Distribution Estimation by Posterior Averaging
[arXiv] 2026-09-02 | Ruelle--Pollicott Theory for Metastable Systems: A Unified Framework for Tipping Transitions
[arXiv] 2026-09-02 | Metrization of Quasi-Uniformities, Powerset Monads, and Qualitative Robustness Analysis
[arXiv] 2026-09-02 | Minimal Radial Sub-Gamma Envelopes for Infinitely Divisible Random Vectors
[arXiv] 2026-09-02 | On the occurrence of congruence multiplicities between Ramanujan's theta functions
[arXiv] 2026-09-02 | Extremal Asymmetric Depth of Planar Graphs and Hidden Near-Mirror Symmetries of IPR Fullerenes
[arXiv] 2026-09-02 | Measurement of inelastic scattering $Λ(\overlineΛ)+p\toΣ^{0}(\overlineΣ^{0})+p$ via $e^+e^-\to J/ψ\toΛ\overlineΛ$
