[2026-06-20 11:11:13] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-06-19
正在获取论文...
[ACM] 2026-6-19 | OZZ: Identifying Kernel Out-of-Order Concurrency Bugs with In-Vivo Memory Access Reordering
[IEEE] 2026-6-19 | Embodied Safety Control for Flapping-Wing Robotic Aircraft Systems Under Dynamic Event-Triggered Mechanism
[IEEE] 2026-6-19 | A Multimodal Gas-and-Vision Sensor System with Machine Learning for Early Food Spoilage Detection and Ventilation-Based Mitigation
[IEEE] 2026-6-19 | KLI-Fusion: Tightly-coupled Kinematic-LiDAR-Inertial Odometry with Contact Foot Position Enhancement for Point-foot Biped Robots_supp2-3701770.mp4
[IEEE] 2026-6-19 | Localization Techniques for Intelligent Vehicles based on Multi-Sensor Fusion: A Review
[IEEE] 2026-6-19 | Sensitivity Analysis and Detuned Design of LCC-LCC Network for Inductive Power Transfer System with Wide Coupling Variation
[IEEE] 2026-6-19 | <i>Perspicio</i>
                    : Safeguarding Against Non-consensual Photo Sharing over Social Networks
[IEEE] 2026-6-19 | Easy3D-Labels: Supervising Semantic Occupancy Estimation with 3D Pseudo-Labels for Automotive Perception
[IEEE] 2026-6-19 | Counterfactual Modeling with Fine-Tuned LLMs for Health Intervention Design and Sensor Data Augmentation_supp1-3697994.pdf
[IEEE] 2026-6-19 | Feedback-Loop Pulsed Eddy Current Testing with Adaptive Excitation for Corrosion Detection
[IEEE] 2026-6-19 | Structure-Consistent Complex-Representation Graph Network for Fast Prediction of Surface Currents and Scattering of 3-D PEC Targets
[IEEE] 2026-6-19 | PalmIR: Blind Palmprint Image Restoration with Palm-oriented Mixture-of-Experts and Downstream Alignment for Robust Identification
[IEEE] 2026-6-19 | Voltage Channel: Exploiting GPU Voltage Noise for Covert and Side Channel Attacks
[IEEE] 2026-6-19 | Fixed-Time Inverse Reinforcement Learning Based Human–Machine Autonomous Game Control
[IEEE] 2026-6-19 | High Performance Broadband Photodetector Based on a p-Borophene/n-MoS&amp;#x2082; Heterojunction_supp1-3705061.pdf
[ACM] 2026-6-19 | Toward Sustainable Computing with FPGAs and Chiplets
[IEEE] 2026-6-19 | Cyber Physical Fusion Framework for Drift Reduced Indoor Localization
[IEEE] 2026-6-19 | Real-Time Intravenous Infusion Monitoring using a Multi-Sensor IoT Framework
[IEEE] 2026-6-19 | Smart EV Charging Scheduler using Machine Learning
