[2026-07-16 10:51:43] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-07-15
正在获取论文...
[arXiv] 2026-07-15 | A Spectrally Damped Tensor Randomized Kaczmarz Method for Doubly Noisy Tensor Systems
[arXiv] 2026-07-15 | A proof complexity perspective on effectively zero-knowledge proofs
[arXiv] 2026-07-15 | Bernoulli determinants and cuspidal subgroups
[arXiv] 2026-07-15 | VGIF-Score: Interpretable and Diagnostic Evaluation of Spatio-Temporal Instruction Following in Video Generation
[arXiv] 2026-07-15 | Mapping Diplomatic Representation in Europe, 1648-1715
[arXiv] 2026-07-15 | $λ$PIC: A callback-centric particle-in-cell framework
[arXiv] 2026-07-15 | CODA: How to Mitigate ColumnDisturb for (Almost) Free?
[arXiv] 2026-07-15 | DP-BOA: Dirichlet-Process Birth-or-Assign for On-the-Fly Category Discovery
[arXiv] 2026-07-15 | Energy decay and weak observability for some evolution systems
[arXiv] 2026-07-15 | LAPO: Leave-One-Turn Attribution for Self-Generated Process Rewards in Multi-Turn Search Reasoning
[arXiv] 2026-07-15 | Layered Risk Mapping for Autonomous Patient Transport in Expeditionary Medical Facilities
[arXiv] 2026-07-15 | Pinching-Antenna Systems (PASS)-Based User-Side Navigation: An Anchor-Line-based Approach
[arXiv] 2026-07-15 | Lorentz-Covariant Spectral Bounds from Thermal Quantum Field Theory: Retarded Green's Functions, Kubo Relations, and Holographic Constraints
[arXiv] 2026-07-15 | Deformable State Estimation for Autonomous Surgical Tissue Retraction Under Partial Observability
[arXiv] 2026-07-15 | MyAG: A Graph-Based Framework for Designing and Analyzing Composable LLM Agent Systems
[arXiv] 2026-07-15 | EgoHTR: Egocentric 4D Demonstrations of Human Terrain Traversal
[arXiv] 2026-07-15 | Bring Music The Horizon: Music-Driven 360$^\circ$ Video Generation
[arXiv] 2026-07-15 | Physics-Informed Residual Deep Learning for Constitutive Modeling of Hot Deformation and Dynamic Recrystallization in a Mo-Rich $α+β$ Titanium Alloy
[arXiv] 2026-07-15 | PQFA: Parallel Quantum Feature Augmentation of Fused Representations for Multimodal Classification
[arXiv] 2026-07-15 | DevicesWorld: Benchmarking Cross-Device Agents in Heterogeneous Environments
[arXiv] 2026-07-15 | Security evaluation of quantum distance-bounding protocols via semidefinite programming
[arXiv] 2026-07-15 | Energy Minimization Oriented Resource Allocation for Integrated Sensing and Communication in Marine IoT Networks
[arXiv] 2026-07-15 | Machine Learning Challenges in Intelligent Unmanned Aerial Vehicle Operations in Developing Economie
[arXiv] 2026-07-15 | Stress-Sharing: A Bio-Inspired Approach to Decentralized Fault Repair in Modular Spacecraft
[arXiv] 2026-07-15 | The Environmental Cost of Digital Sovereignty: Water, Energy, and Emissions Impacts of Sovereign AI Infrastructure in the Global South
[arXiv] 2026-07-15 | Further exploration of the machine-learning-based nuclear mass table
[arXiv] 2026-07-15 | PUe: Biased Positive-Unlabeled Learning Enhancement by Causal Inference
[arXiv] 2026-07-15 | ScanFocus: A Coarse-to-Fine Framework for Spatio-Temporal Video Grounding
[arXiv] 2026-07-15 | Resistivity in Dilute Cu-3d Alloys Governed by Disorder-Induced Band Broadening
[arXiv] 2026-07-15 | MultiAnimate: A Unified Framework for Controllable Multi-Character Animation
[arXiv] 2026-07-15 | Evaluating Frontier AI Agents as Autonomous Clinical Security Auditors
[arXiv] 2026-07-15 | Ego-Dynamics-Augmented World Model for Autonomous Driving with Zero-Shot Cross-Chassis Adaptation
