[2026-09-22 13:49:27] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-09-21
正在获取论文...
[arXiv] 2026-09-21 | Jevons' Paradox and Fast Generative Simulation for HEP: Why Realistic Benchmarking is Essential
[arXiv] 2026-09-21 | Transporting summary measures of relative effects from randomised trials to the treated patient population: an application to breast cancer endocrine therapy
[arXiv] 2026-09-21 | A Chaining Approach to Canonical Processes with Log-Concave Tails
[arXiv] 2026-09-21 | A Nonlinear Physics-based Reduced Order Model with Convolutional-based Operator Compression
[arXiv] 2026-09-21 | Toward GPU-Resident Climate Models: A Feasibility Study on Lossy Compression for the Spherical Harmonic Transform's Communication Bottleneck
[arXiv] 2026-09-21 | TTSE: A Two-Track Online Self-Evolution Framework
[arXiv] 2026-09-21 | Circuit-Architecture-Training Co-Design with Regenerative-SA Similarity Sensing for Aggressive SAR Skipping in Analog Compute-in-Memory
[arXiv] 2026-09-21 | Quantum many-body framework for passive-scalar turbulence
[arXiv] 2026-09-21 | Electronic-Entropy-Driven Phase Transitions in Compressed Iron Oxides
[arXiv] 2026-09-21 | Temporal Generalization and Explanation Stability of Control Flow Graph Neural Networks for Malware Detection
[arXiv] 2026-09-21 | vla.simd: Efficient CPU Inference for Language-Conditioned Manipulation
[arXiv] 2026-09-21 | Unsupervised Brain Anomaly Detection as a Bayesian Inverse Problem with Diffusion Prior
[arXiv] 2026-09-21 | Canonical Procedural Actions: An Auditable Annotation Protocol for Tool-Use Agent Traces
[arXiv] 2026-09-21 | Equivalent Modeling of Load-Side Systems With Distributed Renewable Generation Considering Fault Responses and Nodal Voltage Coherence
[arXiv] 2026-09-21 | Adversarially Robust PAC Learning with Optimal VC Rates
[arXiv] 2026-09-21 | A Discretely Entropy Conserving/Stable Flux Reconstruction Scheme via Hybridized Split Form Differential Operator and Generalized Entropy Projection
[arXiv] 2026-09-21 | Memory vs. Context? Influential Factors of Factual Recall in Language Models
[arXiv] 2026-09-21 | IMPLICIT-Bench: Measuring Implicit Bias in Text-to-Image Models under Neutral Prompts
[arXiv] 2026-09-21 | Critical Kasner scaling from Cauchy-horizon collapse near holographic phase transitions
[arXiv] 2026-09-21 | Displacement Geometry Captures Platonic Shared Reality Across Models and Modalities
[arXiv] 2026-09-21 | CoaG: Cylinders on a Grid: Coarse 3D Layout Control for Video Generation
[arXiv] 2026-09-21 | Regular Solutions of the Stationary Navier-Stokes Equations in Arbitrarily High Dimensions
[arXiv] 2026-09-21 | Lightweight Pedestrian Head-Orientation Recognition Network for Safe Pedestrian-Vehicle Interaction
[arXiv] 2026-09-21 | LIMIT: Less Is More for Instruction Tuning in Text-to-SQL
[arXiv] 2026-09-21 | General Leader-Follower Linear-Quadratic Stochastic Graphon Games with Indefinite Control Weights
[arXiv] 2026-09-21 | Multiscale Kinetic Methods for Nonequilibrium Flow and Transport
[arXiv] 2026-09-21 | An Unexpected Robot Policy: Early Evaluations of GPT-6 Astra on RoboDojo and Beyond
[arXiv] 2026-09-21 | APEXA: Execution-Integrity Enforcement for Multi-Agent LLM Automation of Synchrotron Data Reduction
[arXiv] 2026-09-21 | Listen, Critique, and Refine: RL-Based Self-Refinement for Instruction-Following Speech Synthesis
[arXiv] 2026-09-21 | Soliton solution of a gravitating chiral-quark soliton model: dynamical fermion and Dirac-sea in general relativity
[arXiv] 2026-09-21 | TAC-Time: Texts as Channels For Multimodal Time Series Forecasting
[arXiv] 2026-09-21 | Sharp zero estimates for trajectories of polynomial vector fields
[arXiv] 2026-09-21 | Luck Is Not Skill: When Do Paired Rollouts Help Group-Relative RL of LLM Agents?
[arXiv] 2026-09-21 | BayesianGS-SLAM: Uncertainty-Aware Neural Rendering SLAM via Probabilistic Formulation
[arXiv] 2026-09-21 | OSCAR: Order-aware Scoring and Calibration for AI Rankings
[arXiv] 2026-09-21 | ActiveArena: Benchmarking and Understanding Active Perception in Robotic Manipulation
[arXiv] 2026-09-21 | CARE: Experience-Guided Atomic Corrective Execution for Vision-Language-Action Policies
[arXiv] 2026-09-21 | Causal Bayesian Optimization: Foundations, Methods, and Applications
[arXiv] 2026-09-21 | ProbeScout: Visual Analytics for Attribute-Guided Image Search
[arXiv] 2026-09-21 | Reinforcement Learning under State and Outcome Uncertainty: A Foundational Distributional Perspective
[arXiv] 2026-09-21 | When More Evidence Hurts: Publication-Bias Drift and Principled Stopping for Biomedical Causal Search
[arXiv] 2026-09-21 | Bounded chromatic number of graphs with small clique number and large minimum degree
[arXiv] 2026-09-21 | HDND: Hierarchical Dynamic Neural Decoding for Multilingual Word/Character Retrieval from Non-Invasive Brain Recordings
[arXiv] 2026-09-21 | WidgetVA: A Widget-Centric Framework and Benchmark for Agentic Visual Analytics
[arXiv] 2026-09-21 | Trace-distance-based complementarity relations in a multipath interferometer
[arXiv] 2026-09-21 | MECT: Mixture of Experts with CNN-Transformer Network for Speaker verification
[arXiv] 2026-09-21 | A Sample of 459 Galaxy Groups Identified from the FAST All Sky HI Survey DR2
[arXiv] 2026-09-21 | All-in-One Multilingual Scene Text Recognition with Script-aware Mixture-of-Experts
[arXiv] 2026-09-21 | State-Aware Fuzzing of JavaScript Engines with LLM-Guided Instrumentation
[arXiv] 2026-09-21 | Interior estimates for Hessian quotient equations
[arXiv] 2026-09-21 | Density Collapse and Gradient Catastrophe in a One-Dimensional Euler--Poisson--Cattaneo System
[arXiv] 2026-09-21 | The local Dold congruence for Fibonacci and Lucas sequences
[arXiv] 2026-09-21 | Estimation and Control of Tensegrity Manipulator Kinematics based on Strut Inclination Angles
[arXiv] 2026-09-21 | ME-VLM:A Unified VLM for Embodied Cognition and Agent Coordination
[arXiv] 2026-09-21 | Bridge3D: Enabling Vision-Language-Action Models to See and Act in 3D
[arXiv] 2026-09-21 | Gauge invariants raised from commutators of unimodular Hopf algebras
[arXiv] 2026-09-21 | Not All Task Vectors Need Equal Rank: Energy-Proportional Allocation for Model Merging
[arXiv] 2026-09-21 | A Continuum in the Lattice of Semiring Varieties: The Interval $[\mathsf{V}(S), \mathsf{V}(S^0)]$
[arXiv] 2026-09-21 | InsertAnything: Generalizable Contact-Rich Precision Insertion from Simulation to Reality
[arXiv] 2026-09-21 | 0.5\%>100\%: Bidirectional Reciprocal Learning for Referring Image Segmentation
[arXiv] 2026-09-21 | TACIT: Tactile Contact Supervision for Spatial Attention in Dexterous Manipulation
[arXiv] 2026-09-21 | On Emergent Capabilities and Model Merging
[arXiv] 2026-09-21 | Tensor Completion using Subspace Information
[arXiv] 2026-09-21 | Oblique kink waves in solar coronal streamers
[arXiv] 2026-09-21 | On the existence of divisible non-injective modules over Leavitt path algebras
[arXiv] 2026-09-21 | VPRune: Efficient Training-free Pre-LLM Visual Token Pruning
[arXiv] 2026-09-21 | Charge-free well-posedness and charge-driven norm inflation for the Euler-Maxwell system
[arXiv] 2026-09-21 | Beyond Screen Time: Demonstrating the Value of App Activity Logs to Understand User Behavior Further
[arXiv] 2026-09-21 | MIGA:Shared-Geometry Gaussian Representation with Implicit Amplitude Modeling for Accelerated 3D Multi-Echo MRI
[arXiv] 2026-09-21 | Witness Set in Weak Visibility Polygons is Polynomial-Time Solvable
[arXiv] 2026-09-21 | Dimension-free Riesz transform estimates on biased hypercubes via non-tracial baby Fock models
[arXiv] 2026-09-21 | MUSE: Dependency-Aware Adaptation of a Frozen Vision Backbone for Multivariate Time Series Forecasting
[arXiv] 2026-09-21 | On the Topological Transitivity of Interval Extensions of Anosov Diffeomorphisms
[arXiv] 2026-09-21 | The Outer Pressure Problem for the Compressible Navier--Stokes System with Temperature-Dependent Transport Coefficients
[arXiv] 2026-09-21 | Dynamical Schwinger Production of Dipole--Antidipole Pairs in a Fractonic Lattice
[arXiv] 2026-09-21 | End-to-end Jordanian dialect speech-to-text self-supervised learning framework
[arXiv] 2026-09-21 | Second Jacobi eigenvalues and spectral rigidity for surfaces in Berger spheres
[arXiv] 2026-09-21 | Revealing tilt-driven structural heterogeneity in hybrid improper ferroelectrics by spatially-resolved crystallography
[arXiv] 2026-09-21 | Versatile Quantum Machine Learning with an Ultra-low Power Photonic Quantum Reservoir Computer
[arXiv] 2026-09-21 | Information-Time Proximal Policy Optimization
[arXiv] 2026-09-21 | VLM-in-Sandbox: Visual Workspaces for Agentic Visual Reasoning
[arXiv] 2026-09-21 | More Versions of Real Link Floer Homology
[arXiv] 2026-09-21 | LIBERO-VPro: Benchmarking Closed-Loop Visual Robustness of Robotic Foundation Models
[arXiv] 2026-09-21 | The lower bound of shifted primes with large prime factors
[arXiv] 2026-09-21 | LADDER: Graph-Guided Diffusion Language Models for Efficient Multi-Hop Reasoning
[arXiv] 2026-09-21 | Saddle-Order Universality in Ensemble-Averaged Black Hole Thermodynamics
[arXiv] 2026-09-21 | Bubble detachment from circular cavities and flat surfaces
[arXiv] 2026-09-21 | Evaluating the effectiveness of class-level LLM-generated test suites in Python
[arXiv] 2026-09-21 | Pharmacokinetic State Space Models for Unbiased Prediction of Haemodynamic Collapse
[arXiv] 2026-09-21 | LiAuto-MindViT: A Hybrid Vision Backbone with Adaptive Bidirectional Mamba
[arXiv] 2026-09-21 | Multitask Jet Analysis with Vision-Language Models: A Physics-Informed Four-Panel Representation
[arXiv] 2026-09-21 | Brain-Token Learning: Microstate-Based Tokenization and Multi-Scale Interaction for Long-Horizon EEG Sequence Modeling
[arXiv] 2026-09-21 | The Undetected Damage of Quantization on Retrieval and How to Fix It
[arXiv] 2026-09-21 | Performance-Preserving Online Adaptation in Social Navigation via Diffusion Steering
[arXiv] 2026-09-21 | Slave-Rotor and Auxiliary Chain Analysis of the Mott Transition in a Modified Periodic Anderson Model
[arXiv] 2026-09-21 | NeuIDO: Neural Intrinsic Dynamics Operator for Physics-Informed 4D World Models
[arXiv] 2026-09-21 | Uniqueness sets in weighted $\ell^2$-spaces via simultaneous approximation
[arXiv] 2026-09-21 | The exceptional set of a prime and a square
[arXiv] 2026-09-21 | Graph-to-Grid (G2G): Continuous-Coordinate Feature Painting for Soccer Pass Surfaces
[arXiv] 2026-09-21 | Random groups in the square model have property (T) at densities over $\frac{5}{12}$
[ACM] 2026-9-21 | Fault Feature Extraction of Agricultural Machinery Bearings: A Method Integrating MCA and Improved ESPRIT
[ACM] 2026-9-21 | Predicting the Intention to Engage in Digital Citizen Participation Using Structural Equation Modeling
[ACM] 2026-9-22 | I/O-Cool: Using I/Os for Temperature Regulation When Training on the Edge
[IEEE] 2026-9-21 | 2026 IEEE 1st International Conference on Artificial Intelligence Implementation &amp; Applications (ICAIIA)
[IEEE] 2026-9-21 | Copyright Notice
[IEEE] 2026-9-21 | Dual-Branch Convolutional Neural Network-Assisted Flexible Wearable Hydrogel Strain Sensor for Humancomputer Interaction and Posture Recognition
[IEEE] 2026-9-21 | AI-Based Certificate Authentication: A Proposed Framework Integrating OCR and Blockchain
[IEEE] 2026-9-21 | Using Retrieval Augmented Large Language Model for Test Scenario Generation with Input from Use Case
[IEEE] 2026-9-21 | PSNODE: Extracting the Low-Dimension Latent Dynamic in Spatio-Temporal Point Processes
[IEEE] 2026-9-21 | Volatility Clustering-Inspired Multiscale Features for Long-Term Carbon Price Forecasting
[IEEE] 2026-9-21 | Time-Wise Feature Importance in Corporate Credit Rating Classification with Transformer-Based Sequence Models
[IEEE] 2026-9-21 | HASDDI: Hierarchical Attention with Substructure for Drug-Drug Interaction Event Prediction
[IEEE] 2026-9-21 | Feedback Design for LLM-Based Automatic Improvement of Stock Investment Strategies
[IEEE] 2026-9-21 | Optimizing Multiple Team Formation within an Educational Context
[IEEE] 2026-9-21 | Micro-Doppler Radar-Based Drone RPM Estimation for Wireless Monitoring and Airspace Communication Security
[IEEE] 2026-9-21 | Driving Sustainable Smart Buildings through Federated Intelligence and Digital Twin Integration
[IEEE] 2026-9-21 | Flexible Wearable Devices and Artificial Intelligence Algorithms: From Rigid Sensing to Flexible Intelligence for Chronic Disease Monitoring and Rehabilitation
[IEEE] 2026-9-21 | Explainable AI for Bias Detection and Mitigation in Loan Approval Systems
[IEEE] 2026-9-21 | Implement Federated Intelligence with Ensemble Stream Mining for Privacy-Aware and Collaborative Intrusion Detection in Distributed IoT Network Architectures
[IEEE] 2026-9-21 | YOLOv8-based Pedestrian Detection for Malaysian Urban Traffic Surveillance: A Case Study at Bukit Bintang MRT
[IEEE] 2026-9-21 | Low-Power HQVGA iToF Camera for Robust UAV Autonomous Flight
[IEEE] 2026-9-21 | SafeSight: A Visual Directed Severity Evaluation and Real Time Visual Identification of Personal Protective Gear
[IEEE] 2026-9-21 | A Comparative Evaluation of Standalone and Hybrid Machine Learning Techniques for Network Anomaly Detection Using NSL-KDD
[IEEE] 2026-9-21 | Standalone SqueezeNet for Accurate and Resource-Efficient Tomato Leaf Disease Classification
[IEEE] 2026-9-21 | Iterative Compensation Control for Nonlinear Multi-Agent Systems Under Resource Constraints
[ACM] 2026-9-21 | A YOLOv8-Based Fruit Defect Detection and Blockchain-Enabled Traceability Framework: An Intelligent Monitoring System for Agricultural Supply Chains
[ACM] 2026-9-21 | Gamification and Engagement: Assessing the Impact of Game-like Elements on Customer Interaction and Brand Loyalty in E-Commerce
[ACM] 2026-9-21 | Chalk to Cloud: Transformative Journeys of Mathematics Teachers Adopting AI in Philippine Classrooms
[ACM] 2026-9-21 | Technology Puzzle Books: Key Drivers of Parents' Intention to Purchase via E-Commerce in Can Tho City, Vietnamin Livestream Commerce: A Theoretical Model of Gen Z's Purchase Intention on Shopee in Vietnam
[ACM] 2026-9-21 | Integrating Technological, Psychosocial, and Emotional Factors  in Livestream Commerce: A Theoretical Model of Gen Z's  Purchase Intention on Shopee in Vietnam
[IEEE] 2026-9-21 | Organization Committee
[IEEE] 2026-9-21 | Table
[IEEE] 2026-9-21 | Test Scenario Coverage Evaluation and Sample Generation for Smart Metering Adaptability Under Complex Load Conditions
[IEEE] 2026-9-21 | Steel Surface Defect Detection Based on an Improved YOLO26 Algorithm
[IEEE] 2026-9-21 | Fine-Grained Animal Identification in Complex Backgrounds and Among Similar Species
[IEEE] 2026-9-21 | Unsupervised Stratification of PCOS Patients Using PCA-Based Fuzzy C-Means Clustering
[IEEE] 2026-9-21 | A Visual Intelligent Automatic Measurement System for Workpieces
[IEEE] 2026-9-21 | Bounded Density-Rank Reweighting for Split Conformal Prediction
[IEEE] 2026-9-21 | Scalability Limits of Roadside Units in VANETs under Quantum Key Constrained Security Framework
[IEEE] 2026-9-21 | An IoT-Based Smart Ward Environment and Remote Vital Signs Monitoring System
[IEEE] 2026-9-21 | Advanced Numerical Study and Performance Characterization of a 34% Efficient Monolithic Perovskite–Silicon Tandem Solar Cell
[IEEE] 2026-9-21 | Quantitative Validation of Explainable AI for Breast Cancer Detection Using ROI-Guided Grad-CAM Analysis
[IEEE] 2026-9-21 | Dual-View Spatial Consistency Regularization for Few-Shot Hyperspectral Image Classification
[IEEE] 2026-9-21 | Recognition of Adulterants in Liquid Beverages: A Modified Fisher Discrimination Dictionary Learning-based Approach
[IEEE] 2026-9-21 | Physics-Guided Conditional Adaptive Decoupling with Variational Autoencoders for Multivariate Meteorological-Load Scenario Generation
[IEEE] 2026-9-21 | A High-Precision Retrieval Method for Multimodal Data Based on Autoregressive Pre-Training
[IEEE] 2026-9-21 | Quantum Boltzmann Machine Enhanced Variational Autoencoder for Cds Sequence Modeling
[IEEE] 2026-9-21 | Addressing Operating Condition Fluctuations and Cross-Battery Adaptation: A Novel Multi-Input SOC Estimation Model for Lithium-Ion Batteries
[IEEE] 2026-9-21 | Support-Free Geometric Segmentation Algorithm for Complex Components Based on Improved Laplacian Operator
[ACM] 2026-9-22 | ZWAN: Leveraging Zone Random Write Area (ZRWA) for Avoiding WAL Tax in LSM-tree
[ACM] 2026-9-22 | GraceSSD: Per-File Reliability Hints for Error-Tolerant Machine Learning Storage
[ACM] 2026-9-21 | Construction and Pedagogical Practice of an AI-Empowered Interdisciplinary Talent Cultivation System for English Majors
[ACM] 2026-9-22 | Beyond the HBM Wall: Coherent-Memory Oversubscription for AI Workloads on NVIDIA Grace Hopper
[ACM] 2026-9-22 | Adaptive GPU Sharing for Real-time LLM Serving with Best-effort Workloads
[IEEE] 2026-9-21 | Remaining Useful Life Prediction of Lithium-ion Battery Based on a Two-Step Similarity Criterion and Transformer-SVR Hybrid Model
[IEEE] 2026-9-21 | Ultrasensitive In
                    <sub>1-x</sub>
                    Ga
                    <sub>x</sub>
                    As/Si Heterojunction TFET with extended source for detecting breast cancer cell lines
[IEEE] 2026-9-21 | Cable Fault Detection and Localization Based on Broadband Impedance Spectrum
[IEEE] 2026-9-21 | Short-Term Prediction of Rotor Vibration Signals Based on Local State-Aware Envelope Reconstruction
[IEEE] 2026-9-21 | Smart Fertilizer Monitoring and Prediction for Groundnut Crops Using IoT and Machine Learning
[IEEE] 2026-9-21 | Lightweight Apple Defect Instance Segmentation Based on Dynamic Prototype Mask Attention and Multi-Scale Feature Fusion
[IEEE] 2026-9-21 | Resource-Aware Evidence Selection with Dynamic Context Budgeting for Retrieval-Augmented Systems
[IEEE] 2026-9-21 | Robustness of Vector Retrieval Under OCR Noise Interference and the Semantic Correction Boundaries of LLMs: A Case Study of Disney Customer Service Assistant
[IEEE] 2026-9-21 | Intelligent Traffic Monitoring, Congestion Prediction, and Accident Detection Using YOLOv8-Based Video Surveillance
[IEEE] 2026-9-21 | Emotion Recognition Using Facial Thermal Imaging: A Comparative Study
[IEEE] 2026-9-21 | A Privacy Protection Method for Vehicle Networking Based on Heterogeneous Aggregation Signcryption
[IEEE] 2026-9-21 | Machine Learning-Based Real-time Intrusion Detection System for IoMT Networks
[IEEE] 2026-9-21 | Physical Rule-Guided Chain-of-Thought Reasoning for Low-Overkill Industrial Anomaly Detection
[IEEE] 2026-9-21 | Design of an Additively Manufactured Hollow Conductor Permanent Magnet Synchronous Motor for Hydrogen Aviation Thermal Management Interfaces
[IEEE] 2026-9-21 | A Study on the Phenomenon of Abnormal Load Concentration and its Cross-System Transmission Characteristics in High-Density Building Operations
[IEEE] 2026-9-21 | From Reactive to Proactive: GRU-Based Dynamic Link Cost Prediction for QoS-Aware SDN Routing
[ACM] 2026-9-21 | Research on Grape Leaf Disease Detection Method Based on Improved YOLO11n
[ACM] 2026-9-21 | Proceedings of the 2026 2nd International Conference on Smart Agriculture and Artificial Intelligence
[IEEE] 2026-9-21 | ANSI/IEEE Standard - Switchgear Assemblies - Including Metal Enclosed Bus
[ACM] 2026-9-21 | Numerical Simulation and Analysis of Forced-air Cooling Process of Iceberg Lettuce under Different Air Supply Velocity
[ACM] 2026-9-21 | Design and Implementation of a Precision Nutritional Regulation Platform for Sheep Based on Microservice Architecture
[IEEE] 2026-9-21 | Copyright Page
[ACM] 2026-9-22 | To Migrate or Not to Migrate: KOxI, an Evidence-Gated Pipeline for Rust-for-Linux Storage Drivers
[IEEE] 2026-9-21 | Research on Prediction of Pipeline Residual Strength Based on GWO-BPNN
[IEEE] 2026-9-21 | QRBL-FS: Quality-Controlled Rank-Aggregated Budgeted-L1 Feature Selection for Multimodal Virtual-Reality Autism Screening
[IEEE] 2026-9-21 | Edge-to-Cloud Infrastructure Continuum: A Unified Framework for Optimizing Industrial IoT Systems
[IEEE] 2026-9-21 | Development of Low-Duty-Cycle Pulsed Load Power Supply
