[2026-09-08 13:13:13] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-09-07
正在获取论文...
[IEEE] 2026-9-7 | Bring the Vibes: Radar Measurement of PWM-Driven Vibrational UAV Signatures
[IEEE] 2026-9-7 | Robust State Estimation under Coupled Maneuver and Non-Gaussian Measurement Uncertainties: A Hierarchical Decoupling Adaptive Fusion Approach
[IEEE] 2026-9-7 | Robust Higher Order Control Barrier Functions for Shared Control and Vehicle Safety
[IEEE] 2026-9-7 | Learning Convex Probabilistic Obstacle Spaces for Efficient Uncertainty-Aware Path Planning
[IEEE] 2026-9-7 | Benchmarking Arabic Emotion Detection: Transformers Evaluation using a Unified Dataset
[IEEE] 2026-9-7 | BESS-Aided Power Demand Reshaping for Distributed Green Edge Clouds
[IEEE] 2026-9-7 | Transformer-Based Model for Wind Speed and Wave Spectrum Retrieval from SAR Image
[IEEE] 2026-9-7 | A Comparative Study of CNN Optimization Methods for Edge AI: Exploring the Role of Early Exits
[IEEE] 2026-9-7 | Quantifying Cross-Illumination Domain Shift in YOLO-Based Camera-Trap Wildlife Detection
[IEEE] 2026-9-7 | Ada-Jelly: A Lightweight and Adaptive Subflow Sketch for High-Speed Network Monitoring
[IEEE] 2026-9-7 | MLOD: Multi-Layer Ontology Descriptor
[IEEE] 2026-9-7 | A Wideband Reconfigurable Intelligent Surface based on Magnetoelectric Dipole for Millimeter-wave Satellite Communications
[IEEE] 2026-9-7 | An Optimisation Methodology for Functional Verification of Quantum Circuits Employing Symbolic Bit-Vector Abstractions
[IEEE] 2026-9-7 | Picard: Phishing Intelligence Corpus for Artificial Intelligence Research and Defense
[IEEE] 2026-9-7 | Self-Decoupled Microstrip Antenna via Substrate Manipulation with Reduced Cross-Polarization
[IEEE] 2026-9-7 | A High Temperature Resistant Ridge Gap Waveguide Slot Antenna with High Heat Insulation
[IEEE] 2026-9-7 | An 8.2 GHz 24 dBm 3.7° In-Cell Fast-Dual-Loop Self-Calibrated SCPA
[IEEE] 2026-9-7 | Physics-Informed Active Reinforcement Learning for Pixelated FSS Inverse Design
[IEEE] 2026-9-7 | REKV: Cross-Precision Model Switching with Persistent KV Cache Reuse for LLM Serving
[IEEE] 2026-9-7 | Transferable Unsupervised Time Series Anomaly Detection with Mixture-of-Experts for Web Systems
[IEEE] 2026-9-7 | TriSA: Tri-Type Hypergraph Semantic Alignment for Metaverse Service Paradigm and Recommendation
[IEEE] 2026-9-7 | Quad-Beam Beam Scanning Reflectarray with Simultaneous and Independent Beam Control Enabled by a Frequency- and Polarization-division Reflective Phase-shifting Element
[IEEE] 2026-9-7 | 100-Gb/s Photonic MMW Transmission In D-band with Kramers-Kronig Receiver Using Feedforward Neural-Network Digital Predistortion
[IEEE] 2026-9-7 | Empowering the Next Generation: An Introduction to the IEEE ITSS Educational Activities Committee [Its Educational Activities]
[IEEE] 2026-9-7 | Modeling and Analysis of Molecular Communication with Correlated Emission Patterns
[IEEE] 2026-9-7 | Motion Trajectory Correction Method for Force Reproduction in a Robot System_supp8-3730734.mp4
[IEEE] 2026-9-7 | RMoE: Redundancy-Removal Mixture of Experts for Lifelong Concept Learning_supp1-3724696.pdf
[IEEE] 2026-9-7 | A Hybrid Data Assimilation and Physics-guided RNN Framework for Evapotranspiration and Gross Primary Productivity Estimation
[IEEE] 2026-9-7 | M
                    <sup>3</sup>
                    RIS: Mutual Modulation Mamba Network for Referring Remote Sensing Image Segmentation
[IEEE] 2026-9-7 | Subnetwork-Specific Distributed Speech Enhancement for Multiple Sources Using Acoustic Sensor Networks
[IEEE] 2026-9-7 | RaJa-CLIP: Text-Guided Radar Jamming Recogni-tion
[IEEE] 2026-9-7 | A Low-Complexity and High-Efficiency Tensor Train Decomposition Algorithm and VLSI Architecture Based on QR Decomposition
[IEEE] 2026-9-7 | Neutralization of electrically charged insulating materials using various AC voltage waveforms
[IEEE] 2026-9-7 | Research and Analysis on the Topology of a Four-Stage Electromagnetic Launch Circuit With Energy Recovery Mechanism
[IEEE] 2026-9-7 | Dora: Online Scheduling of Dual-Model Inference and Retraining for Multi-View Edge Systems
[IEEE] 2026-9-7 | Efficient Coverage Path Planning for a Decontamination Robot in Unknown Environments Using Reinforcement Learning
[IEEE] 2026-9-7 | Dynamic Graph Neural Network for Real-Time Failure prediction in Industrial IoT Networks
[IEEE] 2026-9-7 | A Novel Spatiotemporally-Regularized Latent Factorization of Tensors Model for Learning Accurate Dynamics from Temporal Sensing Networks
[IEEE] 2026-9-7 | IEEE Wireless Communications Letters
[IEEE] 2026-9-7 | Bayesian Integration of Nonlinear Incomplete Clinical Data_supp1-3730983.pdf
[IEEE] 2026-9-7 | Method of Auxiliary Sources Combined with Gaussian-Weighted Nonuniform Sampling for EM Scattering From Rough Surfaces
[IEEE] 2026-9-7 | PGDBNet: A Polarization-Guided Dual-Branch Network for Dual-Polarization SAR Road Extraction
[IEEE] 2026-9-7 | UNet-SAR: Deep Learning for Simulating Synthetic Aperture Radar Sea Surface Roughness in Northwest Pacific Western Boundary Region
[IEEE] 2026-9-7 | Diagnosing Chinese Legal LLMs Across Memorization, Understanding, and Application: The Newtouch-LawBench Benchmark
[IEEE] 2026-9-7 | SCALER: LLM-Based Cross-Modal Alignment for Microservice Root Cause Analysis
[IEEE] 2026-9-7 | Robust Privacy Unlearning for LLM Services via Adversarially Augmented Preference Optimization
[IEEE] 2026-9-7 | An Ultra-Miniaturized Chip-level Low-Loss Wilkinson Power Divider Based on High-Q DGS Spiral Inductor on High-Resistivity Silicon
[IEEE] 2026-9-7 | A Fourth-Order Asymmetrical Substrate Integrated Waveguide Filtering Crossover With Wide-Stopband Performance
[IEEE] 2026-9-7 | StockRL: Execution-Grounded Reinforcement Learning for AI-Driven Portfolio Decision Support with Dual-Level Reward Models
[IEEE] 2026-9-7 | Wild F.I.R.E. Sentry: A Connected Wildfire Intelligence and Risk Evaluation System
[IEEE] 2026-9-7 | Security in Asynchronous Circuits: A Review of Side-Channel Attacks and Hardware Trojan Threats
[IEEE] 2026-9-7 | Why Did the Agent Fail? Root Cause Analysis for Compositional AI Agents
[IEEE] 2026-9-7 | Broadband Circular Polarization Dual-Antenna Design based on Sequential-Phase Feeding Network
[IEEE] 2026-9-7 | Physics-Informed Structured Neural Network for Frequency-Scalable Behavioral Modeling
[IEEE] 2026-9-7 | A Scalable 4×4 W-Band Phased-Array Transceiver with Vertical Multi-Layer Stub Achieving 38.3-dBm EIRP
[IEEE] 2026-9-7 | Investigating the impact of transformer retrofilling with natural ester on the safety margins of the winding insulation under lightning impulse
[IEEE] 2026-9-7 | Interactive Sphere Based on a Graph Marker Field
[IEEE] 2026-9-7 | Efficient and Accurate Dynamic Phasor Estimation for P-and M-class Compliant PMUs
[IEEE] 2026-9-7 | Thermal Wave Propagation in Silicone Rubber/Epoxy Resin Interfacial Air Gaps of Varying Thicknesses Using Active Infrared Thermography
[IEEE] 2026-9-7 | Is Forecasting Accuracy Enough? A Comparative Study of Traffic Forecasters for Beam-Hopping LEO Satellite Networks
[IEEE] 2026-9-7 | Long-Range Bluetooth Low Energy Detection via Drone-Based LoRa Relays for Search and Rescue Operations in Complex Terrain
[IEEE] 2026-9-7 | GLOW: Graph-Language Co-Encoding for Agentic Workflow Performance Prediction
[IEEE] 2026-9-7 | Dynamic Event-Triggered Control of Switched Singular Systems With Resilience to DoS and Stealthy False Data Injection Attacks
[IEEE] 2026-9-7 | Real-time human hand tracking and detection from event camera data_supp1-3729077.mp4
[IEEE] 2026-9-7 | Infrared and visible image fusion based on Gaussian weighted standard deviation filter
[IEEE] 2026-9-7 | Cross-Modal Complementary Recovery with Normalizing Flows for Incomplete Multimodal Emotion Recognition
[IEEE] 2026-9-7 | To Be a Truster or Not to Be: Evolutionary Dynamics of a Symmetric N-Player Trust Game in Well-Mixed and Networked Populations_supp1-3726798.pdf
[IEEE] 2026-9-7 | A 1.1-GHz Tuning Range, High-Linearity, Power- and Area-Efficient Ring Oscillator for VCO-Based ADCs in FMCW LiDARs
[IEEE] 2026-9-7 | Contrastive Learning with Intra-Recording Pairs for Small-Sample Underwater Acoustic Target Recognition
[IEEE] 2026-9-7 | Reconfigurable Rasorber with Independently Tunable Windows for Two Polarizations
[IEEE] 2026-9-7 | Risk-Averse Optimal Scheduling of Virtual Power Plants Considering PV-CCS Fluctuation Coupling
[IEEE] 2026-9-7 | IEEE Transactions on Affective Computing
[IEEE] 2026-9-7 | Online Scheduling of Thermostatically Controlled Loads: A Stepwise Reformulation Approach
[IEEE] 2026-9-7 | Agentic Graph Retrieval-Augmented Generation for Auditable Commercial Registry Analysis
