[2026-03-24 09:50:50] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-03-23
正在获取论文...
[arXiv] 2026-03-23 | Dark energy and accelerating cosmological evolution in a Universe with a Weylian boundary
[arXiv] 2026-03-23 | The fragility of the Uranian moons during the giant planet instability
[arXiv] 2026-03-23 | Nonlinear Control Synchronization Method for Fractional-order Time Derivatives Chaotic Systems
[arXiv] 2026-03-23 | Prophets Inequalities with Uncertain Acceptance
[arXiv] 2026-03-23 | Temporal analysis and control of Raman scattering dynamics
[arXiv] 2026-03-23 | Hausdorff Dimension of Union of Lines that Cover a Function Graph: Applications to PDEs
[arXiv] 2026-03-23 | LSAI: A Large Small AI Model Codesign Framework for Agentic Robot Scenarios
[arXiv] 2026-03-23 | Characteristic Operators and Spectral Properties of Periodic Evolutionary Systems
[arXiv] 2026-03-23 | Exploring self-driving labs for optoelectronic materials
[arXiv] 2026-03-23 | MIND: Multi-agent inference for negotiation dialogue in travel planning
[arXiv] 2026-03-23 | RefracGS: Novel View Synthesis Through Refractive Water Surfaces with 3D Gaussian Ray Tracing
[arXiv] 2026-03-23 | Reasoning Provenance for Autonomous AI Agents: Structured Behavioral Analytics Beyond State Checkpoints and Execution Traces
[arXiv] 2026-03-23 | Strategic Infrastructure Design via Multi-Agent Congestion Games with Joint Placement and Pricing
[arXiv] 2026-03-23 | AI Token Futures Market: Commoditization of Compute and Derivatives Contract Design
[arXiv] 2026-03-23 | CoNBONet: Conformalized Neuroscience-inspired Bayesian Operator Network for Reliability Analysis
[arXiv] 2026-03-23 | Optimizing Multi-Agent Weather Captioning via Text Gradient Descent: A Training-Free Approach with Consensus-Aware Gradient Fusion
[arXiv] 2026-03-23 | Convex function through Doob-Meyer decomposition
[arXiv] 2026-03-23 | HumanOmni-Speaker: Identifying Who said What and When
[arXiv] 2026-03-23 | TAMTRL: Teacher-Aligned Reward Reshaping for Multi-Turn Reinforcement Learning in Long-Context Compression
[arXiv] 2026-03-23 | A Comparative Analysis of LLM Memorization at Statistical and Internal Levels: Cross-Model Commonalities and Model-Specific Signatures
[arXiv] 2026-03-23 | TrustFed: Enabling Trustworthy Medical AI under Data Privacy Constraints
[arXiv] 2026-03-23 | Quantitative Dynamic Phase Mapping via Single-Arm Field-Correlation Ghost Imaging
[arXiv] 2026-03-23 | Complexity of Linear Subsequences of Fibonacci-Automatic Sequences
[arXiv] 2026-03-23 | Gate-based Readout and Cooling of Neutral Atoms
[arXiv] 2026-03-23 | Auditing MCP Servers for Over-Privileged Tool Capabilities
[arXiv] 2026-03-23 | Engineering Distributed Governance for Regional Prosperity: A Socio-Technical Framework for Mitigating Under-Vibrancy via Human Data Engines
[arXiv] 2026-03-23 | No Dense Tensors Needed: Fully Sparse Object Detection on Event-Camera Voxel Grids
[arXiv] 2026-03-23 | On the transitivity of Gilbert graphs and their complements
[arXiv] 2026-03-23 | A Multi-Level Visual Analytics Approach to Artist-Era Alignment in Popular Music
[arXiv] 2026-03-23 | Efficient Zero-Shot AI-Generated Image Detection
[arXiv] 2026-03-23 | AdaEdit: Adaptive Temporal and Channel Modulation for Flow-Based Image Editing
[arXiv] 2026-03-23 | Theoretical proof of the constancy of the speed of light in a vacuum
[arXiv] 2026-03-23 | Towards Multimodal Time Series Anomaly Detection with Semantic Alignment and Condensed Interaction
[arXiv] 2026-03-23 | SARe: Structure-Aware Large-Scale 3D Fragment Reassembly
[arXiv] 2026-03-23 | An algorithm to detect and rigorously verify blenders
[arXiv] 2026-03-23 | Benchmarking Message Brokers for IoT Edge Computing: A Comprehensive Performance Study
[arXiv] 2026-03-23 | In-network Attack Detection with Federated Deep Learning in IoT Networks: Real Implementation and Analysis
[arXiv] 2026-03-23 | Higher-order derivative estimates for the parabolic Lamé system on a smooth bounded domain
[arXiv] 2026-03-23 | Cohen-Macaulay approximations over generically Gorenstein rings
[arXiv] 2026-03-23 | HACMatch Semi-Supervised Rotation Regression with Hardness-Aware Curriculum Pseudo Labeling
[arXiv] 2026-03-23 | Chemical Abundance Ratios of Nitrogen Rich Galaxies Identified at $z\sim 6-12$: Observational Demographics and Models
[arXiv] 2026-03-23 | Kolmogorov Complexity Bounds for LLM Steganography and a Perplexity-Based Detection Proxy
[arXiv] 2026-03-23 | Bayesian inference for ordinary differential equations models with heteroscedastic measurement error
[arXiv] 2026-03-23 | IF-CPS: Influence Functions for Cyber-Physical Systems -- A Unified Framework for Diagnosis, Curation, and Safety Attribution
[arXiv] 2026-03-23 | Resonance-Suppression Principle for Prethermalization beyond Periodic Driving
[arXiv] 2026-03-23 | Stochastic Trajectory Influence Functions for LQR: Joint Sensitivity Through Dynamics and Noise Covariance
[arXiv] 2026-03-23 | SynSym: A Synthetic Data Generation Framework for Psychiatric Symptom Identification
[arXiv] 2026-03-23 | SafePilot: A Framework for Assuring LLM-enabled Cyber-Physical Systems
[arXiv] 2026-03-23 | Generalizable Self-Evolving Memory for Automatic Prompt Optimization
[arXiv] 2026-03-23 | Triangulating Temporal Dynamics in Multilingual Swiss Online News
[arXiv] 2026-03-23 | Jet quenching and its substructure dependence due to color decoherence
[arXiv] 2026-03-23 | Ultra-high THz-field-confinement at LaAlO3 twin walls
[arXiv] 2026-03-23 | Asymptotically Ideal Hierarchical Secret Sharing Based on CRT for Integer Ring
[arXiv] 2026-03-23 | Bollobás-Meir TSP Conjecture Holds Asymptotically
[arXiv] 2026-03-23 | A plug-and-play approach with fast uncertainty quantification for weak lensing mass mapping
[arXiv] 2026-03-23 | STENet: Superpixel Token Enhancing Network for RGB-D Salient Object Detection
[arXiv] 2026-03-23 | Fabrication and study of femtosecond laser micromachined few-mode elliptical core waveguides
[arXiv] 2026-03-23 | StreamSampling.jl: Efficient Sampling from Data Streams in Julia
[arXiv] 2026-03-23 | Correction exponents in the chiral Heisenberg model at $1/N^2$: singular contributions and operator mixing
[arXiv] 2026-03-23 | Hyperloss from coherent spatial-mode mixing in quantum-correlated networks
[arXiv] 2026-03-23 | Spin Elasticity
[arXiv] 2026-03-23 | Non-Hermiticity induced thermal entanglement phase transition
[arXiv] 2026-03-23 | Unified Spatiotemporal Token Compression for Video-LLMs at Ultra-Low Retention
[arXiv] 2026-03-23 | First Limits on Axion Dark Matter from a DALI Prototype
[arXiv] 2026-03-23 | Look, Listen and Segment: Towards Weakly Supervised Audio-visual Semantic Segmentation
[arXiv] 2026-03-23 | Disengagement Analysis and Field Tests of a Prototypical Open-Source Level 4 Autonomous Driving System
[arXiv] 2026-03-23 | Collision-Free Velocity Scheduling for Multi-Agent Systems on Predefined Routes via Inexact-Projection ADMM
[arXiv] 2026-03-23 | Self-Heating and Parasitic Effects in Multi-Tier CFET Design
[arXiv] 2026-03-23 | olLOSC: Unified and efficient density functional approximation to correct delocalization error in molecules and periodic materials
[arXiv] 2026-03-23 | SHAPE: Structure-aware Hierarchical Unsupervised Domain Adaptation with Plausibility Evaluation for Medical Image Segmentation
[arXiv] 2026-03-23 | Adaptive Federated Fine-Tuning of Self-Supervised Speech Representations
[arXiv] 2026-03-23 | SmaAT-QMix-UNet: A Parameter-Efficient Vector-Quantized UNet for Precipitation Nowcasting
[arXiv] 2026-03-23 | Does Anxiety Improve Economic Decision-Making?
[arXiv] 2026-03-23 | GoogleTrendArchive: A Year-Long Archive of Real-Time Web Search Trends Worldwide
[arXiv] 2026-03-23 | NeuralFVM: Neural-physics-based Finite Volume Method for Turbulent Flows Using the $k$-$ω$ Model
[arXiv] 2026-03-23 | Canonically consistent quantum master equation for proton-transfer reactions
[arXiv] 2026-03-23 | Diffuse and specular brightness models applied to LEO satellites. Case study: The ONEWEB constellation
[arXiv] 2026-03-23 | A joint MeerKAT and Parkes view of Omega Centauri: New TRAPUM Searches and Pulsar Timing
[arXiv] 2026-03-23 | A generalized Coulomb problem for a spin-1/2 fermion
[arXiv] 2026-03-23 | Directional Mollification for Controlled Smooth Path Generation
[arXiv] 2026-03-23 | Politics of Questions in News: A Mixed-Methods Study of Interrogative Stances as Markers of Voice and Power
[arXiv] 2026-03-23 | Self-dual gravity from higher-spin theory
[arXiv] 2026-03-23 | Beyond Strict Pairing: Arbitrarily Paired Training for High-Performance Infrared and Visible Image Fusion
[arXiv] 2026-03-23 | Can Renewable Energy Mitigate Inflationary Pressures from Energy Imports? Evidence from Türkiye
[arXiv] 2026-03-23 | Small-Data Machine Learning Uncovers Decoupled Control Mechanisms of Crystallinity and Surface Morphology in $β$-Ga2O3 Epitaxy
[arXiv] 2026-03-23 | Geodesic extended modes in low magnetic shear tokamaks and stellarators
[arXiv] 2026-03-23 | Cohesive phase-field fracture with an explicit strength surface: an eigenstrain-based return-mapping formulation
[arXiv] 2026-03-23 | Cascade-Free Mandarin Visual Speech Recognition via Semantic-Guided Cross-Representation Alignment
[arXiv] 2026-03-23 | Anatomical Token Uncertainty for Transformer-Guided Active MRI Acquisition
[arXiv] 2026-03-23 | Wakefield amplification via coherent Resonant excitation with two copropagating laser pulses in homogeneous plasma
[arXiv] 2026-03-23 | Show Me What You Don't Know: Efficient Sampling from Invariant Sets for Model Validation
[arXiv] 2026-03-23 | Asymmetric Dynamics of Partisan Warriors in YouTube Comments
[arXiv] 2026-03-23 | A Perturbation Method for Index Detection for Linear Matrix Pencils
[arXiv] 2026-03-23 | Extending Precipitation Nowcasting Horizons via Spectral Fusion of Radar Observations and Foundation Model Priors
[arXiv] 2026-03-23 | Are "Changing-Look" Active Galactic Nuclei Special in the Coevolution of Supermassive Black Holes and their Hosts? II. The Case of Changing-Look Narrow-Line Seyfert 1 Galaxies
[arXiv] 2026-03-23 | Would You Like to Visit My World? Cultivating Perceived Equality in Human-Agent Interaction via Observable Social Life Spaces
[arXiv] 2026-03-23 | Persistent local Laplacian prediction of protein-ligand binding affinities
[arXiv] 2026-03-23 | Quotient Geometry, Effective Curvature, and Implicit Bias in Simple Shallow Neural Networks
[arXiv] 2026-03-23 | RuntimeSlicer: Towards Generalizable Unified Runtime State Representation for Failure Management
[arXiv] 2026-03-23 | StreamingEval: A Unified Evaluation Protocol towards Realistic Streaming Video Understanding
[IEEE] 2026-3-23 | Smart Predict-Then-Optimize-Based Unit Commitment for Integrated Energy Systems
[IEEE] 2026-3-23 | All-Fiber Optical Intensity Sensing Based on a PDMS/MWCNTs Composite Fabry–Pérot Probe
[IEEE] 2026-3-23 | Spatiotemporal Coupling Analysis with Inertial Sensor in Cooperative Navigation
[IEEE] 2026-3-23 | Opticaly Transparent Wide-Angle Metasurface for 5G Outdoor-to-Indoor Signal Enhancement
[IEEE] 2026-3-23 | Transposed Parallel Conductor Method for Six-Parallel Conductors in Armature Coils of Rotating Machines Using REBCO Tapes
[IEEE] 2026-3-23 | Improved Multiscale Networks and Collaborative Edge Computing for Precise and Real-Time Tool Fault Diagnosis in Industrial IoT
[IEEE] 2026-3-23 | Transformer-based Grapheme-to-phoneme Conversion with Knowledge Transfer for Isarn
[IEEE] 2026-3-23 | Performance Analysis of L-Shaped Cladding Layer Based Dopingless TFET including Interface Trap Charges and Temperatures
[IEEE] 2026-3-23 | Qolda: A Small Vision-Language Model for the Kazakh Language
