[2026-08-15 09:19:22] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-08-14
正在获取论文...
[ACM] 2026-8-14 | Tools for Enhancing Active Learning Experience in an Online Environment
[IEEE] 2026-8-14 | Conference Calendar
[IEEE] 2026-8-14 | A Unified Framework for Distributed Nonconvex Composite Optimization With Refined Convergence Analysis
[IEEE] 2026-8-14 | Quickest Change Detection with Cost-Constrained Experiment Design
[IEEE] 2026-8-14 | Bridging Training–Deployment Gap in Intrusion Detection with Source-Free Domain Adaptation
[IEEE] 2026-8-14 | A RankNet-Inspired Surrogate-Assisted Hybrid Metaheuristic for Expensive Coverage Optimization_supp1-3716527.pdf
[IEEE] 2026-8-14 | Message from the Program Chairs ICSA-C 2026
[IEEE] 2026-8-14 | Integrated DNN-SMC Control with CLF-QP Stability Monitoring for Lunar Landing
[IEEE] 2026-8-14 | Recent Advances in Millimeter-Wave 4-D Imaging Radars: A Leap Toward Massive MIMO in Sensing_supp1-3719796.pdf
[IEEE] 2026-8-14 | MetaSpongeDetect: A Meta-Learning Approach to Securing AI Systems Against Sponge Attacks in Social Applications
[IEEE] 2026-8-14 | A Survey of Typical-Cell Volume Distributions in Poisson–Voronoi and Poisson–Delaunay Tessellations: Analytical Theory, High-Dimensional Limits, and Wireless Applications
[IEEE] 2026-8-14 | Table of Contents
[ACM] 2026-8-14 | Cryptographic Limitations on Learning Boolean Formulae and Finite Automata
[ACM] 2026-8-14 | A. M. Turing Award Oral History Interview with Leslie Gabriel Valiant
[IEEE] 2026-8-14 | Fabrication of Thermal Microactuators via Post-3D-Printing Femtosecond Laser Modification
[IEEE] 2026-8-14 | Bridging Formal Syntax and LLM Semantics: Extracting Knowledge Graphs for Legacy Code Understanding
[IEEE] 2026-8-14 | Dynamic Retrieval Augmented Generation for Enterprise Knowledge Intelligence Systems using Large Language Models
[IEEE] 2026-8-14 | A Hybrid FinBERT–BiLSTM Framework for Financial News Sentiment-based Stock Market Trend Prediction
[IEEE] 2026-8-14 | Accurate Prediction of Leukemia by EfficientNetB3 and ResNet50 Transfer Learning Models
[IEEE] 2026-8-14 | An Intent-based Text Mining Analysis of Graduate IT Students’ Perspectives on AI Use: An Exploratory Study
[IEEE] 2026-8-14 | Design of Autonomous Classification System for Digital Painting Images based on Machine Learning Algorithms
[IEEE] 2026-8-14 | Deep Learning-Driven Skin Cancer Diagnosis: Advanced Neural Network Architectures for Automated Detection and Classification in Dermatology
[IEEE] 2026-8-14 | RIDR-FRR: An AutoML Framework for Regime-Robust Multi-Condition Aircraft Engine RUL Prediction
[IEEE] 2026-8-14 | Blockchain-based Distributed Fractional Hawk Optimized Cluster Head Selection for Secure Routing in Wireless Sensor Networks
[IEEE] 2026-8-14 | Fine-Grained Dynamic Attack Tree Modeling for Multi-Stage Cyber Attack Risk Assessment in Cyber-Physical Power Systems
[IEEE] 2026-8-14 | Machine Learning-based Real Estate Valuation System
[IEEE] 2026-8-14 | Explainable AI-based Hybrid EfficientNetV2-YOLOv11 with Grad-CAM for Ultrasound Image-based PCOS Detection
[IEEE] 2026-8-14 | Calibration of Variational Quantum Classifiers Under Depolarizing Noise: Expected Calibration Error, Ansatz Expressibility, and Post-Hoc Temperature Scaling
[IEEE] 2026-8-14 | Monoliths to Microservices: Evidence from Cloud Computing Pedagogy
[IEEE] 2026-8-14 | A Hybrid Framework for Effective Chronic Diabetes Disease Management
[IEEE] 2026-8-14 | Oscillation Prevention for Plant-Grids Based on Bidirectional Dynamic Reactive Power Reserve Measurement and Control
[IEEE] 2026-8-14 | A Hybrid KF-LSSVM Clock Holdover Framework for NTN IoT Synchronization Under Weak-GNSS Conditions
[IEEE] 2026-8-14 | Manifold-Contrastive Few-Shot Detection for AI-Generated Images
[IEEE] 2026-8-14 | UMLCoder: A Novel Multi-Agent Framework for Generating Code with the Help of uml Diagrams
[IEEE] 2026-8-14 | BreathBand: A Smart Wearable Companion for Real-Time Respiratory Monitoring and Emergency Asthma Management
[IEEE] 2026-8-14 | Digital Twin-Driven Predictive Power Quality Control in EV-Dominated Renewable Distribution Networks
[IEEE] 2026-8-14 | Design and Comparative Analysis of Processor based and Reconfigurable Controllers
[ACM] 2026-8-14 | Supplementary Materials for Human–AI Collaboration to Empower People Seeking Support
[ACM] 2026-8-14 | Introduction
[IEEE] 2026-8-14 | Learn Faster and Remember More: Balancing Exploration and Exploitation for Continual Test-time Adaptation
[IEEE] 2026-8-14 | Table of Contents
[IEEE] 2026-8-14 | Identifying Complementary Therapeutic Relationships for Drug Repurposing via Spectral–Spatial Graph Contrastive Learning_supp1-3723303.pdf
[IEEE] 2026-8-14 | Text-Guided Dual Refinement for Domain Generalized Semantic Segmentation in Remote Sensing
[IEEE] 2026-8-14 | Zero-Trust Privacy Enforcement and Threat-Aware Monitoring in Consumer Healthcare Systems
[IEEE] 2026-8-14 | Uncertainty-Aware Transition Interval Identification for Bearing Remaining Useful Life Prediction
[IEEE] 2026-8-14 | Streamlined Butler Matrix Architecture for RF Front-End Beam Steering Systems_supp1-3723650.pdf
[IEEE] 2026-8-14 | A Motion Planning Control Strategy for Autonomous Vehicles Considering Driving Style Personalization and Optimal Energy Consumption
[IEEE] 2026-8-14 | A Label-Free and Transferable NILM Framework for Smart Home Energy Services
[IEEE] 2026-8-14 | Communication-Aware Explainable Multimodal Attention Network for AI-Based Smart Assisted Living and Elderly Care Systems
[IEEE] 2026-8-14 | IoMT-HealNet: Explainable Machine Learning Architecture with MLOps and AgentOps for Smart Patient Recovery Prediction
[IEEE] 2026-8-14 | Domain-Specific ReAct for Physics-Integrated Iterative Modeling: A Case Study of LLM Agents for Gas Path Analysis of Gas Turbines
[IEEE] 2026-8-14 | Leveraging Fine-Tuned LLAMA for Mental Health Support
[IEEE] 2026-8-14 | FOOD-GUARD: A Blockchain-Enabled Multi-Layer Detection Framework for Hybrid Attacks in Food Supply Chain Security
[IEEE] 2026-8-14 | Software Engineering Practices for Advanced Therapy Medicinal Products
[IEEE] 2026-8-14 | AI-Enabled Threat Detection using Deep Learning
[IEEE] 2026-8-14 | Development of an Intelligent DDoS Detection and Mitigation System using Router Log and Flow-based Traffic Analysis with Ensemble Machine Learning
[IEEE] 2026-8-14 | Skeleton-Guided WPT Coil Alignment for Autonomous Robots
[IEEE] 2026-8-14 | Hyperspectral Remote Sensing Image Classification using AI-Driven Approaches
[IEEE] 2026-8-14 | Adventures in Agile Architecture Governance: Lessons Learned from a Risk- and Cost-Driven Architecture Perspective
[IEEE] 2026-8-14 | A Fuzzy-Enhanced Multi-Model Fusion Framework for E-Commerce Customer Churn Prediction
[IEEE] 2026-8-14 | A Risk-Aware Network Intrusion Detection System using Rule-based Detection and EPSS-based Alert Prioritization
[IEEE] 2026-8-14 | Architecting Human Oversight in AI-Enabled Software Systems: From Principles to Implementation
[IEEE] 2026-8-14 | A Comprehensive Deep Learning Framework for Summarizing Statutory Text
[IEEE] 2026-8-14 | Comparative Analysis of Pretraining Paradigms for Label-Efficient Chest X-Ray Classification
[IEEE] 2026-8-14 | FishFresh: A Mobile-based Computer Vision System for Real-Time Fish Freshness Assessment and Enhanced Post-Harvest Quality
[IEEE] 2026-8-14 | Design and Implementation of Computer Technology Scheduling Engine in Experiment Process Management Decision System
[IEEE] 2026-8-14 | A Review of First and Second Order Ionospheric Effects in GNSS with Experimental Assessment using Dual-Frequency NavIC Observations over Dehradun, India
[IEEE] 2026-8-14 | Understanding and Managing Architecture Technical Debt Through Cross-Artifact Integration
[IEEE] 2026-8-14 | Design of a Low Power Static Random Access Memory (SRAM) with Integration of Clock Gating Technique using 22nm of CMOS Technology
[IEEE] 2026-8-14 | Beyond Rules-based Fraud Detection: Explainable Graph AI for Streaming Retail Transactions
[IEEE] 2026-8-14 | Gold Electrode Cleaning of Self-Biasing Microparticles via Cyclic Voltammetry
[IEEE] 2026-8-14 | Generative AI in Safety Engineering: Transforming HARA Artifacts into DDI Models
[IEEE] 2026-8-14 | Automating Domain-Driven Design: Experience with a Prompting Framework
[IEEE] 2026-8-14 | An IoT-based Real-Time Health Monitoring System for Industrial Machines using ESP32 and Cloud-based Automated Shutdown
[IEEE] 2026-8-14 | IoT-Enabled Smart Wearables for Early Detection of Dehydration in Elderly Care Facilities
[IEEE] 2026-8-14 | A Machine Learning Approach for Accurate Corrosion Level Estimation and Model Interoperability
[IEEE] 2026-8-14 | Knowledge-based Targeted Water Sprinkler System for Adaptive Irrigation using Arduino
[IEEE] 2026-8-14 | ShadowNet: A Multi-Protocol IoT Honeypot for Attack Detection and Behavior Analysis
[IEEE] 2026-8-14 | Explainable Deep Learning Framework using Swin Transformer for Gangrene and Ulcer Classification
[IEEE] 2026-8-14 | Optimizing Control Performance and Reliability of Hybrid Renewable Systems with Fuzzy Logic Controller
[IEEE] 2026-8-14 | Prototype-Guided Hybrid Layer-Wise Explainability for CNN-based Surveillance Image Event Detection
[IEEE] 2026-8-14 | Development of Diamond Metalenses for Quantum Sensing Applications
[IEEE] 2026-8-14 | Hybrid Battery Thermal Management: Architectures, Optimization, and Emerging Technologies
[IEEE] 2026-8-14 | Autonomous Digital Twin Ecosystems for Precision Healthcare Forecasting
[IEEE] 2026-8-14 | A Microservices-Based Architecture for Machine Learning Systems Dedicated to Predictive Maintenance
[ACM] 2026-8-14 | A Theory of the Learnable
[IEEE] 2026-8-14 | Locally Distributed Estimation With Binary Sensors: A Dissipativity-Based Approach
[IEEE] 2026-8-14 | Reconfigurable Graphene-Metasurface Analysis via an Eigenmode-Free Method-of-Lines Formulation
[IEEE] 2026-8-14 | EGA-DTA: An Energetic-Geometric Augmented Graph Neural Network With Target-Conditional Gating for DTA Prediction
[IEEE] 2026-8-14 | Adaptive Multi-interpolation and Multi-dimensional Feature Weighting for Binocular 3-D Visible Surface Reconstruction
[IEEE] 2026-8-14 | Synchronization of Directed Multi-Level Complex Networks With Multiple Delays
[IEEE] 2026-8-14 | Mixture of Experts Learning-based Accurate Surrogate for Evolutionary Expensive Optimization_supp1-3723213.pdf
[IEEE] 2026-8-14 | Current Rating and Sheath Loss Assessment of Underground Power Cables Using Electro-Thermal Finite Element Modeling
[IEEE] 2026-8-14 | Switch Open-Circuit Fault Detection and Compensation System for LLC Resonant Converters in LDC Applications of Electric Vehicles
[IEEE] 2026-8-14 | Inversion of Particle Size Distribution and Abundance of Phytoplankton Species from Their Backscattering Coefficients in Visible Light
[IEEE] 2026-8-14 | Optimized Design of Electrode using Multi-Frequency Bioelectrical Impedance Analyser for Glucose Monitoring in Healthcare Applications
[IEEE] 2026-8-14 | RAD-AI: Rethinking Architecture Documentation for AI-Augmented Ecosystems
[IEEE] 2026-8-14 | Artificial Intelligence in Broadband Oscillation Modeling: A Review
[IEEE] 2026-8-14 | Perception of Safety Risks in Construction based on Dynamic Safety Perception Index-Artificial Neural Network
[IEEE] 2026-8-14 | Improvement of Adaptive Resistance Design for Metal Clamping Points in Common Grounding Electrode
共写入 100 条记录，保存到 papers/paper2026-08-14.json。
论文获取成功，文件路径: papers/paper2026-08-14.json
正在筛选、翻译并发送邮件...
[NO] 1/100 | Tools for Enhancing Active Learning Experience in an Online Environment
[NO] 2/100 | Conference Calendar
[NO] 3/100 | A Unified Framework for Distributed Nonconvex Composite Optimization With Refined Convergence Analysis
[NO] 4/100 | Quickest Change Detection with Cost-Constrained Experiment Design
[NO] 5/100 | Bridging Training–Deployment Gap in Intrusion Detection with Source-Free Domain Adaptation
[NO] 6/100 | A RankNet-Inspired Surrogate-Assisted Hybrid Metaheuristic for Expensive Coverage Optimization_supp1-3716527.pdf
[NO] 7/100 | Message from the Program Chairs ICSA-C 2026
[NO] 8/100 | Integrated DNN-SMC Control with CLF-QP Stability Monitoring for Lunar Landing
[NO] 9/100 | Recent Advances in Millimeter-Wave 4-D Imaging Radars: A Leap Toward Massive MIMO in Sensing_supp1-3719796.pdf
[NO] 10/100 | MetaSpongeDetect: A Meta-Learning Approach to Securing AI Systems Against Sponge Attacks in Social Applications
[NO] 11/100 | A Survey of Typical-Cell Volume Distributions in Poisson–Voronoi and Poisson–Delaunay Tessellations: Analytical Theory, High-Dimensional Limits, and Wireless Applications
[NO] 12/100 | Table of Contents
[NO] 13/100 | Cryptographic Limitations on Learning Boolean Formulae and Finite Automata
[NO] 14/100 | A. M. Turing Award Oral History Interview with Leslie Gabriel Valiant
[NO] 15/100 | Fabrication of Thermal Microactuators via Post-3D-Printing Femtosecond Laser Modification
[NO] 16/100 | Bridging Formal Syntax and LLM Semantics: Extracting Knowledge Graphs for Legacy Code Understanding
[NO] 17/100 | Dynamic Retrieval Augmented Generation for Enterprise Knowledge Intelligence Systems using Large Language Models
[NO] 18/100 | A Hybrid FinBERT–BiLSTM Framework for Financial News Sentiment-based Stock Market Trend Prediction
[NO] 19/100 | Accurate Prediction of Leukemia by EfficientNetB3 and ResNet50 Transfer Learning Models
[NO] 20/100 | An Intent-based Text Mining Analysis of Graduate IT Students’ Perspectives on AI Use: An Exploratory Study
[NO] 21/100 | Design of Autonomous Classification System for Digital Painting Images based on Machine Learning Algorithms
[NO] 22/100 | Deep Learning-Driven Skin Cancer Diagnosis: Advanced Neural Network Architectures for Automated Detection and Classification in Dermatology
[NO] 23/100 | RIDR-FRR: An AutoML Framework for Regime-Robust Multi-Condition Aircraft Engine RUL Prediction
[NO] 24/100 | Blockchain-based Distributed Fractional Hawk Optimized Cluster Head Selection for Secure Routing in Wireless Sensor Networks
[NO] 25/100 | Fine-Grained Dynamic Attack Tree Modeling for Multi-Stage Cyber Attack Risk Assessment in Cyber-Physical Power Systems
[NO] 26/100 | Machine Learning-based Real Estate Valuation System
[NO] 27/100 | Explainable AI-based Hybrid EfficientNetV2-YOLOv11 with Grad-CAM for Ultrasound Image-based PCOS Detection
[NO] 28/100 | Calibration of Variational Quantum Classifiers Under Depolarizing Noise: Expected Calibration Error, Ansatz Expressibility, and Post-Hoc Temperature Scaling
[NO] 29/100 | Monoliths to Microservices: Evidence from Cloud Computing Pedagogy
[NO] 30/100 | A Hybrid Framework for Effective Chronic Diabetes Disease Management
[NO] 31/100 | Oscillation Prevention for Plant-Grids Based on Bidirectional Dynamic Reactive Power Reserve Measurement and Control
[NO] 32/100 | A Hybrid KF-LSSVM Clock Holdover Framework for NTN IoT Synchronization Under Weak-GNSS Conditions
[NO] 33/100 | Manifold-Contrastive Few-Shot Detection for AI-Generated Images
[NO] 34/100 | UMLCoder: A Novel Multi-Agent Framework for Generating Code with the Help of uml Diagrams
[NO] 35/100 | BreathBand: A Smart Wearable Companion for Real-Time Respiratory Monitoring and Emergency Asthma Management
[NO] 36/100 | Digital Twin-Driven Predictive Power Quality Control in EV-Dominated Renewable Distribution Networks
[NO] 37/100 | Design and Comparative Analysis of Processor based and Reconfigurable Controllers
[NO] 38/100 | Supplementary Materials for Human–AI Collaboration to Empower People Seeking Support
[NO] 39/100 | Introduction
[NO] 40/100 | Learn Faster and Remember More: Balancing Exploration and Exploitation for Continual Test-time Adaptation
[NO] 41/100 | Table of Contents
[NO] 42/100 | Identifying Complementary Therapeutic Relationships for Drug Repurposing via Spectral–Spatial Graph Contrastive Learning_supp1-3723303.pdf
[NO] 43/100 | Text-Guided Dual Refinement for Domain Generalized Semantic Segmentation in Remote Sensing
[NO] 44/100 | Zero-Trust Privacy Enforcement and Threat-Aware Monitoring in Consumer Healthcare Systems
[NO] 45/100 | Uncertainty-Aware Transition Interval Identification for Bearing Remaining Useful Life Prediction
[YES] 46/100 | Streamlined Butler Matrix Architecture for RF Front-End Beam Steering Systems_supp1-3723650.pdf
[NO] 47/100 | A Motion Planning Control Strategy for Autonomous Vehicles Considering Driving Style Personalization and Optimal Energy Consumption
[NO] 48/100 | A Label-Free and Transferable NILM Framework for Smart Home Energy Services
[NO] 49/100 | Communication-Aware Explainable Multimodal Attention Network for AI-Based Smart Assisted Living and Elderly Care Systems
[NO] 50/100 | IoMT-HealNet: Explainable Machine Learning Architecture with MLOps and AgentOps for Smart Patient Recovery Prediction
[NO] 51/100 | Domain-Specific ReAct for Physics-Integrated Iterative Modeling: A Case Study of LLM Agents for Gas Path Analysis of Gas Turbines
[NO] 52/100 | Leveraging Fine-Tuned LLAMA for Mental Health Support
[NO] 53/100 | FOOD-GUARD: A Blockchain-Enabled Multi-Layer Detection Framework for Hybrid Attacks in Food Supply Chain Security
[NO] 54/100 | Software Engineering Practices for Advanced Therapy Medicinal Products
[NO] 55/100 | AI-Enabled Threat Detection using Deep Learning
[NO] 56/100 | Development of an Intelligent DDoS Detection and Mitigation System using Router Log and Flow-based Traffic Analysis with Ensemble Machine Learning
[NO] 57/100 | Skeleton-Guided WPT Coil Alignment for Autonomous Robots
[NO] 58/100 | Hyperspectral Remote Sensing Image Classification using AI-Driven Approaches
[NO] 59/100 | Adventures in Agile Architecture Governance: Lessons Learned from a Risk- and Cost-Driven Architecture Perspective
[NO] 60/100 | A Fuzzy-Enhanced Multi-Model Fusion Framework for E-Commerce Customer Churn Prediction
[NO] 61/100 | A Risk-Aware Network Intrusion Detection System using Rule-based Detection and EPSS-based Alert Prioritization
[NO] 62/100 | Architecting Human Oversight in AI-Enabled Software Systems: From Principles to Implementation
[NO] 63/100 | A Comprehensive Deep Learning Framework for Summarizing Statutory Text
[NO] 64/100 | Comparative Analysis of Pretraining Paradigms for Label-Efficient Chest X-Ray Classification
[NO] 65/100 | FishFresh: A Mobile-based Computer Vision System for Real-Time Fish Freshness Assessment and Enhanced Post-Harvest Quality
[NO] 66/100 | Design and Implementation of Computer Technology Scheduling Engine in Experiment Process Management Decision System
[NO] 67/100 | A Review of First and Second Order Ionospheric Effects in GNSS with Experimental Assessment using Dual-Frequency NavIC Observations over Dehradun, India
[NO] 68/100 | Understanding and Managing Architecture Technical Debt Through Cross-Artifact Integration
[NO] 69/100 | Design of a Low Power Static Random Access Memory (SRAM) with Integration of Clock Gating Technique using 22nm of CMOS Technology
[NO] 70/100 | Beyond Rules-based Fraud Detection: Explainable Graph AI for Streaming Retail Transactions
[NO] 71/100 | Gold Electrode Cleaning of Self-Biasing Microparticles via Cyclic Voltammetry
[NO] 72/100 | Generative AI in Safety Engineering: Transforming HARA Artifacts into DDI Models
[NO] 73/100 | Automating Domain-Driven Design: Experience with a Prompting Framework
[NO] 74/100 | An IoT-based Real-Time Health Monitoring System for Industrial Machines using ESP32 and Cloud-based Automated Shutdown
[NO] 75/100 | IoT-Enabled Smart Wearables for Early Detection of Dehydration in Elderly Care Facilities
[NO] 76/100 | A Machine Learning Approach for Accurate Corrosion Level Estimation and Model Interoperability
[NO] 77/100 | Knowledge-based Targeted Water Sprinkler System for Adaptive Irrigation using Arduino
[NO] 78/100 | ShadowNet: A Multi-Protocol IoT Honeypot for Attack Detection and Behavior Analysis
[NO] 79/100 | Explainable Deep Learning Framework using Swin Transformer for Gangrene and Ulcer Classification
[NO] 80/100 | Optimizing Control Performance and Reliability of Hybrid Renewable Systems with Fuzzy Logic Controller
[NO] 81/100 | Prototype-Guided Hybrid Layer-Wise Explainability for CNN-based Surveillance Image Event Detection
[NO] 82/100 | Development of Diamond Metalenses for Quantum Sensing Applications
[NO] 83/100 | Hybrid Battery Thermal Management: Architectures, Optimization, and Emerging Technologies
[NO] 84/100 | Autonomous Digital Twin Ecosystems for Precision Healthcare Forecasting
[NO] 85/100 | A Microservices-Based Architecture for Machine Learning Systems Dedicated to Predictive Maintenance
