[2025-12-02 09:15:16] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2025-12-01
正在获取论文...
[arXiv] 2025-12-01 | Generative Video Motion Editing with 3D Point Tracks
[arXiv] 2025-12-01 | ManualVLA: A Unified VLA Model for Chain-of-Thought Manual Generation and Robotic Manipulation
[arXiv] 2025-12-01 | On the linear complexity of subsets of $\mathbb{F}_p^n$ bounded $\textrm{VC}_2$-dimension
[arXiv] 2025-12-01 | JWST & the Waz Arc I: Spatially Resolving the Physical Conditions within a Post-Starburst Galaxy at Redshift 5 with NIRSpec IFS
[arXiv] 2025-12-01 | $2$-large sets are sets of Bohr recurrence
[arXiv] 2025-12-01 | Dimensionality and confinement reshape competition in cellular renewing active matter
[arXiv] 2025-12-01 | Artemis: Structured Visual Reasoning for Perception Policy Learning
[arXiv] 2025-12-01 | Forecasting in Offline Reinforcement Learning for Non-stationary Environments
[arXiv] 2025-12-01 | Fault-tolerant mutual-visibility: complexity and solutions for grid-like networks
[arXiv] 2025-12-01 | Bounded treewidth, multiple context-free grammars, and downward closures
[arXiv] 2025-12-01 | From Atomic to Composite: Reinforcement Learning Enables Generalization in Complementary Reasoning
[arXiv] 2025-12-01 | Predicting Onsets and Dry Spells of the West African Monsoon Season Using Machine Learning Methods
[arXiv] 2025-12-01 | Random matrix perspective on probabilistic error cancellation
[arXiv] 2025-12-01 | Comparison of shock compaction models for granular materials: P -α model and mesoscale simulation
[arXiv] 2025-12-01 | Bayesian Statistical Inversion for High-Dimensional Computer Model Output and Spatially Distributed Counts
[arXiv] 2025-12-01 | Med-VCD: Mitigating Hallucination for Medical Large Vision Language Models through Visual Contrastive Decoding
[arXiv] 2025-12-01 | A Low-Cost Reliable Racetrack Cache Based on Data Compression
[arXiv] 2025-12-01 | The lonely runner conjecture holds for nine runners
[arXiv] 2025-12-01 | Latent Debate: A Surrogate Framework for Interpreting LLM Thinking
[arXiv] 2025-12-01 | Provably Safe Model Updates
[arXiv] 2025-12-01 | TransientTrack: Advanced Multi-Object Tracking and Classification of Cancer Cells with Transient Fluorescent Signals
[arXiv] 2025-12-01 | Unifying Sign and Magnitude for Optimizing Deep Vision Networks via ThermoLion
[arXiv] 2025-12-01 | Graph Distance as Surprise: Free Energy Minimization in Knowledge Graph Reasoning
[arXiv] 2025-12-01 | Refining Heuristic Predictors of Fractional Chern Insulators using Machine Learning
[arXiv] 2025-12-01 | Cross-Lingual Interleaving for Speech Language Models
[arXiv] 2025-12-01 | Hierarchies of Beliefs and Measurable Uniformizations
[arXiv] 2025-12-01 | Streamlining resolution of singularities with weighted blow-ups
[arXiv] 2025-12-01 | Approximate pushforward designs and image bounds on approximations
[arXiv] 2025-12-01 | COACH: Collaborative Agents for Contextual Highlighting - A Multi-Agent Framework for Sports Video Analysis
[arXiv] 2025-12-01 | A discomfort-informed adaptive Gibbs sampler for finite mixture models
[arXiv] 2025-12-01 | Cauchy data for multiple collapsing boson stars
[arXiv] 2025-12-01 | Free Tuition, Stratified Pipelines: Four Decades of Administrative Cohorts and Equity in Access to Engineering and Science in an Argentine Public University
[arXiv] 2025-12-01 | Confinement-Induced Resonances in Rabi-Coupled Bosonic Mixtures
[arXiv] 2025-12-01 | Mitigating Gender Bias in Depression Detection via Counterfactual Inference
[arXiv] 2025-12-01 | Achievable Identification Rates in Noisy Bosonic Broadcast Channels
[arXiv] 2025-12-01 | OpenREAD: Reinforced Open-Ended Reasoing for End-to-End Autonomous Driving with LLM-as-Critic
[arXiv] 2025-12-01 | Heterogeneous diffusion process with power-law nonlinearity
[arXiv] 2025-12-01 | Fabrication and Properties of NbN/NbNx/NbN and Nb/NbNx/Nb Josephson Junctions
[arXiv] 2025-12-01 | Simultaneous optical and multi-band terahertz imaging using an atomic quantum sensor
[arXiv] 2025-12-01 | Principal Groupoid Models for Cuntz Algebras and their Dynamic Asymptotic Dimension
[arXiv] 2025-12-01 | Numerical cohomology for arithmetic surfaces and applications
[arXiv] 2025-12-01 | Benchmarking Distributed Quantum Computing Emulators
[arXiv] 2025-12-01 | H-Neurons: On the Existence, Impact, and Origin of Hallucination-Associated Neurons
[arXiv] 2025-12-01 | $\mathbb{Z}_2$ Vortex Crystal Candidate in the Triangular $S=1/2$ Quantum Antiferromagnet
[arXiv] 2025-12-01 | A novel chain of Lie algebras and its coalgebra symmetry
[arXiv] 2025-12-01 | SAM3-UNet: Simplified Adaptation of Segment Anything Model 3
[arXiv] 2025-12-01 | How Does RL Post-training Induce Skill Composition? A Case Study on Countdown
[arXiv] 2025-12-01 | Trace-based, time-resolved analysis of MPI application performance using standard metrics
[arXiv] 2025-12-01 | Characterization of cutting-edge CMOS Active Pixel sensors within the CYGNO Experiment
