[2026-04-28 10:58:53] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-04-27
正在获取论文...
[arXiv] 2026-04-27 | The lifetime of 100,000 molecular clouds in the nearby Universe
[arXiv] 2026-04-27 | Personalized Worked Example Generation from Student Code Submissions using Pattern-based Knowledge Components
[arXiv] 2026-04-27 | Spectral Evidence of Heavy Nuclei from the Neutron Star Crust in Magnetar Bursts
[arXiv] 2026-04-27 | Nonintegral Flux Trapping in Frustrated Josephson Networks of Triplet Superconductors
[arXiv] 2026-04-27 | Efficient Multivariate Kelly Optimization Reveals Sigmoidal Scaling Laws
[arXiv] 2026-04-27 | Sentiment and Emotion Classification of Indonesian E-Commerce Reviews via Multi-Task BiLSTM and AutoML Benchmarking
[arXiv] 2026-04-27 | Gate-dependent offset charge shifts and anharmonicity in gatemon qubits in the weak tunneling regime
[arXiv] 2026-04-27 | Long-Context Aware Upcycling: A New Frontier for Hybrid LLM Scaling
[arXiv] 2026-04-27 | Contextual Linear Activation Steering of Language Models
[arXiv] 2026-04-27 | Waning Immunity Fails to Restore a Positive Epidemic Threshold on Power-Law Networks
[arXiv] 2026-04-27 | Optical depth dictates universal bounds on many-body decay in atomic ensembles
[arXiv] 2026-04-27 | Benchmarking Source-Sensitive Reasoning in Turkish: Humans and LLMs under Evidential Trust Manipulation
[arXiv] 2026-04-27 | Semi-Discrete Approximation of Aubry and Mather sets
[arXiv] 2026-04-27 | Synchronized molecular dynamics method for thin-layer flows of complex fluids
[arXiv] 2026-04-27 | Near-Optimal Heaps and Dijkstra on Pointer Machines
[arXiv] 2026-04-27 | Quantum algorithm for solving high-dimensional linear stochastic differential equations via amplitude encoding of the noise term
[arXiv] 2026-04-27 | The Benjamin-Ono equation with 2D control input: approximate controllability and its application
[arXiv] 2026-04-27 | Finite-Gap Solutions of the Pohlmeyer--Lund--Regge Equation and the Associated Curve Evolution
[arXiv] 2026-04-27 | Geometry selective colossal negative dielectric permittivity in CaFe2O4 nanostructures
[arXiv] 2026-04-27 | Photon Surfaces in Higher-Curvature Gravity: Implications for Quasinormal Modes and Gravitational Lensing
[arXiv] 2026-04-27 | Learning is Revelation in Disguise: Improved Regret and Equivalence Results for Dynamic Pricing
[arXiv] 2026-04-27 | AsyncShield: A Plug-and-Play Edge Adapter for Asynchronous Cloud-based VLA Navigation
[arXiv] 2026-04-27 | Neural Enhancement of Analytical Appearance Models
[arXiv] 2026-04-27 | Dynamic Grammar-Compressed Self-Index in $delta$-Optimal Space
[arXiv] 2026-04-27 | The Pragmatic Persona: Discovering LLM Persona through Bridging Inference
[arXiv] 2026-04-27 | Distilling Self-Consistency into Verbal Confidence: A Pre-Registered Negative Result and Post-Hoc Rescue on Gemma 3 4B
[arXiv] 2026-04-27 | DataClaw: An Autonomous Data Agent with Instant Messaging Integration
[arXiv] 2026-04-27 | Analysis of Stability and Performance of Economic Model Predictive Control with State-Independent Costs
[arXiv] 2026-04-27 | Low-energy hadronic physics in holographic $\mathrm{QCD_{3}}$ with anisotropy
[arXiv] 2026-04-27 | AgenticCache: Cache-Driven Asynchronous Planning for Embodied AI Agents
[arXiv] 2026-04-27 | ServImage: An Image Generation and Editing Benchmark from Real-world Commercial Imaging Services
[arXiv] 2026-04-27 | QubitQuest: Learning Quantum Computing through Mini-Games
[arXiv] 2026-04-27 | Single-Cycle Multidirectional EOG Classification Faster than Human Reaction Time for Wearable Human-Computer Interactions
[arXiv] 2026-04-27 | IntentVLM: Open-Vocabulary Intention Recognition through Forward-Inverse Modeling with Video-Language Models
[arXiv] 2026-04-27 | Adaptive-Distribution Randomized Neural Networks for PDEs: A Low-Dimensional Distribution-Learning Framework
[arXiv] 2026-04-27 | When to Commit? Towards Variable-Size Self-Contained Blocks for Discrete Diffusion Language Models
[arXiv] 2026-04-27 | Fix Initial Codes and Iteratively Refine Textual Directions Toward Safe Multi-Turn Code Correction
[arXiv] 2026-04-27 | SUDA-Muon: Structural Design Principles and Boundaries for Fully Decentralized Muon
[arXiv] 2026-04-27 | Making Sense of Scams: Understanding Scam Conversations Through Multi-Level Alignment
[arXiv] 2026-04-27 | Task-guided Spatiotemporal Network with Diffusion Augmentation for EEG-based Dementia Diagnosis and MMSE Prediction
[arXiv] 2026-04-27 | Multi-Robot Motions in Milliseconds: Vector-Accelerated Primitives for Sampling-Based Planning
[arXiv] 2026-04-27 | $q$-Derivative Grammar
[arXiv] 2026-04-27 | Hard Probes in Ultraperipheral Collisions at LHCb
[arXiv] 2026-04-27 | Viewport-Unaware Blind Omnidirectional Image Quality Assessment: A Unified and Generalized Approach
[arXiv] 2026-04-27 | What Did They Mean? How LLMs Resolve Ambiguous Social Situations across Perspectives and Roles
[arXiv] 2026-04-27 | Robust and Clinically Reliable EEG Biomarkers: A Cross Population Framework for Generalizable Parkinson's Disease Detection
[arXiv] 2026-04-27 | Nearly Optimal Subdata Selection
[arXiv] 2026-04-27 | Agentic AI platforms for autonomous training and rule induction of human-human and virus-human protein-protein interactions
[arXiv] 2026-04-27 | Survey on topological methods for Allen--Cahn equations and systems
[arXiv] 2026-04-27 | High Harmonic Radiation from a Low-K Biharmonic Planar Undulator
[arXiv] 2026-04-27 | The Last Human-Written Paper: Agent-Native Research Artifacts
[arXiv] 2026-04-27 | Benefits and Costs of Adaptive Sampling
[arXiv] 2026-04-27 | Electrical tunability of terahertz nonlinearity in graphene
[arXiv] 2026-04-27 | K-MetBench: A Multi-Dimensional Benchmark for Fine-Grained Evaluation of Expert Reasoning, Locality, and Multimodality in Meteorology
[arXiv] 2026-04-27 | Workplace Demands and Emotional Expression Among Early Childhood Educators: A Computational Analysis of Professional Online Discourse
[arXiv] 2026-04-27 | DiffQEC: A versatile diffusion model for quantum error correction
[arXiv] 2026-04-27 | Meta-CoT: Enhancing Granularity and Generalization in Image Editing
[arXiv] 2026-04-27 | NeSyCat: A Monad-Based Categorical Semantics of the Neurosymbolic ULLER Framework
[arXiv] 2026-04-27 | Evaluation of Pose Estimation Systems for Sign Language Translation
[arXiv] 2026-04-27 | Errors that matter: Uncertainty-aware universal machine-learning potentials calibrated on experiments
[arXiv] 2026-04-27 | Children's Online Safety Risks and Ethical Considerations in XR Games
[arXiv] 2026-04-27 | DETOUR: A Practical Backdoor Attack against Object Detection
[arXiv] 2026-04-27 | Mass spectra of charged mesons and the quenching of vector meson condensation via exact phase-space diagonalization
[arXiv] 2026-04-27 | A Six-Term Functional Equation and a Quartic Dilogarithm Ladder
[arXiv] 2026-04-27 | Point-MF: One-step Point Cloud Generation from a Single Image via Mean Flows
[arXiv] 2026-04-27 | Pair-Dependent Drift of Kerr Neighboring-Overtone Gap Minima
[arXiv] 2026-04-27 | Improving Vision-language Models with Perception-centric Process Reward Models
[arXiv] 2026-04-27 | A Spectral Gap Informed Parameter Schedule for QAOA
[arXiv] 2026-04-27 | Measuring the Unmeasurable: Markov Chain Reliability for LLM Agents
