[2026-08-26 09:34:06] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-08-25
正在获取论文...
[arXiv] 2026-08-25 | Fast generation of spectrally-shaped disorder, on the sphere
[arXiv] 2026-08-25 | Dynamical Consequences of Nontrivial Topology of Molecular Conical Intersections
[arXiv] 2026-08-25 | The Equality Case in the Positive Square-Energy Strengthening of Turán's Theorem
[arXiv] 2026-08-25 | Improving Cross-Problem Vehicle Routing with Locally Augmented Preferences and Representation Disentanglement
[arXiv] 2026-08-25 | The Optimal Asymptotic Rate of Generalized Covering Codes
[arXiv] 2026-08-25 | Thermal Stability of Radiation-Pressure-Dominated Accretion Disks Threaded by Net Vertical Magnetic Flux
[arXiv] 2026-08-25 | Research Methodologies for Cybersecurity in Enterprise Environments: A Narrative Review, Synthesis and Executable Guide
[arXiv] 2026-08-25 | The bracket width for Lie algebras of vector fields is finite
[arXiv] 2026-08-25 | BrowserForge: Scaling Web Episode via Parallel Browser Sandboxes
[arXiv] 2026-08-25 | FedV-KGQA: Multi-Hop Question Answering over Vertically Partitioned Knowledge Graphs
[arXiv] 2026-08-25 | Vanishing of higher Legendrian homology for rainbow closures
[arXiv] 2026-08-25 | Classification of Maximally Charged Black Holes
[arXiv] 2026-08-25 | Polynomial Ergodic Averages Along Short Intervals
[arXiv] 2026-08-25 | A counterexample to Nevanlinna's century-old half-plane problem
[arXiv] 2026-08-25 | STAR Highlights II: Study of Small Systems and the Search for New, Exotic Physics
[arXiv] 2026-08-25 | The Mass Dependence of the Fundamental Metallicity Relation in Observations and Simulations
[arXiv] 2026-08-25 | Roton Instability in Quantum Droplets with Finite-Range Soft-Core Interaction
[arXiv] 2026-08-25 | Integral quadratic forms over a ring of $p$-adic integers
[arXiv] 2026-08-25 | Sparse domination implies convex body domination
[arXiv] 2026-08-25 | Fröberg's Conjecture for Quintics and Septics in Four Variables
[arXiv] 2026-08-25 | Probing Dirac Dark Matter in Composite Higgs Models with Xenon and Argon targets
[arXiv] 2026-08-25 | Harvesting the Volatility Risk Premium: A Learning-to-Rank Approach
