[2026-05-28 12:21:30] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-05-27
正在获取论文...
[arXiv] 2026-05-27 | When Discourse Pressures Conflict: Information Structure in Vision-Language Model Outputs
[arXiv] 2026-05-27 | Picid: A Modular Evaluation Infrastructure for Reproducible PHM Across Tasks and Domains
[arXiv] 2026-05-27 | Decision-focused learning for optimal PV-Battery scheduling
[arXiv] 2026-05-27 | An Enhanced Large Neighborhood Search Approach for the Capacitated Facility Location Problem with Incompatible Customers
[arXiv] 2026-05-27 | Hybrid neural denoising for resource-efficient near- and sub-threshold radio triggering of extensive air showers
[arXiv] 2026-05-27 | Transfer learning RGB models to hyperspectral images with trainable tensor decompositions
[arXiv] 2026-05-27 | Learning the Error Patterns of Language Models
[arXiv] 2026-05-27 | Insurance Pricing Optimization via Off-Policy Evaluation
[arXiv] 2026-05-27 | Polarimetric Backscattering Setup for Quantitative Scattering Parameters Retrieval
[arXiv] 2026-05-27 | Identifying Explicit Parsimonious Piece-wise Polynomial Relationships in Industrial time-series: Application to manipulator robots
[arXiv] 2026-05-27 | EventShiftFlow: Towards Hardware-efficient FPGA-based Flow Estimation
[arXiv] 2026-05-27 | HELEA: Hard-Negative Benchmark and LLM-based Reranking for Robust Entity Alignment
[arXiv] 2026-05-27 | Compositional Generalization in Autoregressive Models via Logit Composition
[arXiv] 2026-05-27 | Better Accuracies, Worse Reasoning: A Step-Level Audit of Medical Chain-of-Thought Distillation
[arXiv] 2026-05-27 | Galois Theory for Subshifts of Finite Type and Representations of Automorphism Groups
[arXiv] 2026-05-27 | Simultaneous approximation properties of a certain genuine hybrid type operator
[arXiv] 2026-05-27 | ProRL: Effective Reinforcement Learning for Proactive Recommendation via Rectified Policy Gradient Estimation
[arXiv] 2026-05-27 | Dual Variational Neural Network for the $p$-Laplace Problem
[arXiv] 2026-05-27 | High Temperature Jahn-Teller Distortion and Short Range Order in CsCuCl$_3$
[arXiv] 2026-05-27 | PrunePath: Towards Highly Structured Sparse Language Models
[arXiv] 2026-05-27 | Universal zero-crosstalk photonic integration via slab-engineered mode hybridization
[arXiv] 2026-05-27 | Brauer--Manin obstruction from failure of Kodaira vanishing in positive characteristic
[arXiv] 2026-05-27 | Dark Matter Interpretation of the Super-Kamiokande Antineutrino Excess in $\mathrm{U}(1)_{L_μ-L_τ}$ model
[arXiv] 2026-05-27 | Every9D-21M: Large-Scale Real-World 9D Canonicalization of Everyday Objects
[arXiv] 2026-05-27 | $L_p$ Minkowski problem and Brunn-Minkowski inequality for dual quermassintegrals
