[2026-04-07 10:03:21] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-04-06
正在获取论文...
arXiv 请求失败: HTTPSConnectionPool(host='export.arxiv.org', port=443): Max retries exceeded with url: /api/query?search_query=lastUpdatedDate%3A%5B202604060000+TO+202604062359%5D&sortBy=relevance&sortOrder=descending&max_results=100 (Caused by ResponseError('too many 429 error responses'))
[ACM] 2026-4-6 | Learner-Customized Algorithm Visualization Using Generative AI
[ACM] 2026-4-6 | First-Class Functions in C: the Function-Oriented Programming Paradigm
[ACM] 2026-4-6 | ATHENA A Case Study on the Use of Power BI as a Technical Data Access System
[ACM] 2026-4-6 | Towards the Political Philosophy of Computing: Conversations with Fairness and Machine Learning
[ACM] 2026-4-6 | Hybrid Neuro-Fuzzy Approach for Transparent Anomaly Detection in Mining Equipment
[ACM] 2026-4-6 | P-GSVC: Layered Progressive 2D Gaussian Splatting for Scalable Image and Video
[ACM] 2026-4-6 | ELLMPEG: An Edge-based Agentic LLM Video Processing Tool
[IEEE] 2026-4-6 | Twin Contrastive Learning for Multi-view Clustering
[IEEE] 2026-4-6 | Lower-limb exoskeleton trajectory and structure co-optimization for maximum assistive efficiency
[IEEE] 2026-4-6 | One-Bit Consensus of Controllable Linear Multi-Agent Systems With Communication Noises
[IEEE] 2026-4-6 | Meta: Graph-encoded Printed Circuit Board Datasets for Component Classification with Graph Neural Networks_supp1-3680389.pdf
[IEEE] 2026-4-6 | Retraction Notice: A Trusted Blockchain Based Traceability System for Fruits and Vegetable Agricultural Products
[IEEE] 2026-4-6 | Retraction Notice: Forecasting and Real Time Flood Monitoring System using IoT
[IEEE] 2026-4-6 | Retraction Notice: A Hybrid Approach for Detection and Recognition of Traffic Text Sign using MSER and OCR
[IEEE] 2026-4-6 | Reinforcement Learning-Based Cooperative Control for Nonlinear Multiagent System With State and Control Input Constraints and Guaranteed Convergence Performance
[IEEE] 2026-4-6 | Front Cover
[IEEE] 2026-4-6 | IEEE Dataport
[IEEE] 2026-4-6 | LiveMatte: Dynamic Scene Background Restoration and Selective Portrait Patch Enhancement
[IEEE] 2026-4-6 | ERB-TransUNet: An Enhanced Residual Transformer-Based UNet for Accurate Polyp Segmentation
[IEEE] 2026-4-6 | Secure Synchronization of Complex Dynamic Networks via Adaptive Event-Triggered Control Against Dual-Channel Cyber Threats
[IEEE] 2026-4-6 | IEEE Transactions on Industrial Informatics Information for Authors
[IEEE] 2026-4-6 | Real-Life Human Activity Recognition Based on Accelerometer Data From Smartphone Sensors Using CNN-BiGRU Model
[IEEE] 2026-4-6 | A Dual-Band Slotted U-Shaped Microstrip Antenna for 2.4/4.0 GHz Wireless Communication Applications
[IEEE] 2026-4-6 | Holographic Telepresence Art: Volumetric Capture for Remote Cultural Performances
[IEEE] 2026-4-6 | Emotion-Aware Virtual Humans for Interactive Cinema and Narrative Games
[IEEE] 2026-4-6 | Development of an IoT-Enabled Variable-Rate Waste Charging System for Urban Municipalities
[ACM] 2026-4-6 | Proceedings of the 2026 10th International Conference on Artificial Intelligence, Automation and Control Technologies
[ACM] 2026-4-6 | MARs: Multi-Scale Convolution-Attention residual Fusion for Video Summarization
[ACM] 2026-4-6 | More Pixels, Less Bandwidth: A Live Demo of VSR-Bench over WebRTC
[ACM] 2026-4-6 | MultiSenseVR: An open multimodal dataset for human pose estimation and perception in interactive VR
[ACM] 2026-4-6 | Clinician Data Needs for Uncontrolled Comorbidities of Metabolic Syndrome: Insights on Assumption Testing
[IEEE] 2026-4-6 | Retraction Notice: Bosom Malignant Diseases (Cancer) Identification by using Deep Learning Technique
[IEEE] 2026-4-6 | Investigating How Brain Stimulation Mitigates Motion Sickness Using Spatiotemporal Nystagmus Parameters Captured in VR
[IEEE] 2026-4-6 | Multimodal Feedback for Handheld Tool Guidance: Combining Wrist-Based Haptics with Augmented Reality
[IEEE] 2026-4-6 | Exploring Freehand Selection Techniques of Polyhedron Faces in VR Environments
[IEEE] 2026-4-6 | Calibration of the Spaceborne GNSS-R Specular Delay Tracking on Fengyun-3 Missions and Its Impact on Ocean Wind Retrieval
[IEEE] 2026-4-6 | Wireless Sensing with Movable Intelligent Surface
[IEEE] 2026-4-6 | Retraction Notice: Voice Controlled Human Assistence Robot
[IEEE] 2026-4-6 | Retraction Notice: Spam Detection for Social Media Networks Using Machine Learning
[IEEE] 2026-4-6 | Retraction Notice: Home: IOT based home automation using NFC
[IEEE] 2026-4-6 | Offloading Post-Quantum Cryptography to Data Processing Units: A Performance Analysis of HQC Key Encapsulation
[IEEE] 2026-4-6 | Compound Neural Network based Nonsingular Fixed-Time SMC for Multi-Unit Distributed Permanent Magnet Arc Motor Servo Systems
[IEEE] 2026-4-6 | Stator Current Control Strategy of High-Speed Maglev Train to Simultaneously Suppress Aperiodic and Periodic Disturbances
[IEEE] 2026-4-6 | A Coordinated Control Strategy with a Variable Intermediate Bus Voltage for Efficiency Optimization in Two-Stage Buck-DAB Converters
[IEEE] 2026-4-6 | PDP-PINN: A Fourier-Augmented Physics-Informed Neural Network for Pressure Drop Prediction in CO
                    <sub>2</sub>
                    -Injected Porous Media
[IEEE] 2026-4-6 | Cross-Corpus Speech Emotion Recognition Based on Dynamically Filtering Multi-Stage Diffusion Model
[IEEE] 2026-4-6 | GNSS Multi-Frequency Joint Code Tracking Loop With Dynamic Inter-Frequency Bias Estimation and Compensation
[IEEE] 2026-4-6 | Privacy Preserved and Explainable Deep Medical Image Analysis: A Survey
[IEEE] 2026-4-6 | In-situ temperature-compensated puncture force sensing for brain stereotactic puncture needle using fiber Bragg grating
[IEEE] 2026-4-6 | LifelongPR: Lifelong Point Cloud Place Recognition Based on Sample Replay and Prompt Learning
[IEEE] 2026-4-6 | The Shape of Emotion in Speech: A Topological Data Analysis of Speech Emotion Recognition
[IEEE] 2026-4-6 | Ultra-Wideband Angularly Stable Reflective Frequency Selective Surface for Millimeter-Wave Applications
[IEEE] 2026-4-6 | Joint Optimization of Gateway Placement, Resource Configuration, and Uplink Scheduling for LoRaWAN Bridge Health Monitoring
[IEEE] 2026-4-6 | Forward-Error-Correction Dynamic Network for High-Accuracy Transmission in Disturbed Multimode Fiber_supp1-3680462.pdf
[IEEE] 2026-4-6 | Retraction Notice: Enhanced hybrid quality prediction model for 8K UHD H.265 video using ANFIS
[IEEE] 2026-4-6 | A System to Detect Unconscious Bias Using Virtual Patients: System Specifications
[IEEE] 2026-4-6 | Retraction Notice: RTIDS: A Robust Transformer-based Approach for Intrusion Detection System
[IEEE] 2026-4-6 | A Hybrid Framework for Automated Thai Invoice Digitization Integrating YOLO11 and Google Vision OCR
[IEEE] 2026-4-6 | A Study on the Content Analysis of Promotion Skincare Product Through Short Videos on Chinese Market Platforms
[IEEE] 2026-4-6 | Symbolic Modeling for Multistage Parametric Amplifiers in the Frequency Domain
[IEEE] 2026-4-6 | A SIRA-CTMC Model for Analyzing and Predicting Cybersecurity Threats
[IEEE] 2026-4-6 | Study of Neural Network Performance for Enhancing SDN Resilience Against Cyberattacks
[IEEE] 2026-4-6 | Machine Learning-Based Optimization of 5G Network Topology
[IEEE] 2026-4-6 | Class E Oscillator Stabilized by a Piezoceramic Resonator
[IEEE] 2026-4-6 | Using Correlation Analysis to Detect Excessive Distortion in Audio-Frequency Track Circuit Signals
[IEEE] 2026-4-6 | CVLS-ST: A Cross-View Long-Short Framework for Traffic Risk Prediction in Intelligent Urban Transportation Systems
[IEEE] 2026-4-6 | iSeg: An Iterative Refinement-based Framework for Training-free Segmentation
[IEEE] 2026-4-6 | MaliVD: Source Code Vulnerability Localization
                    <i>via</i>
                    Attention-Based Multi-Modal Learning
[IEEE] 2026-4-6 | Retraction Notice: IoT System Accomplishment using BlockChain in Validating and Data Security with Cloud
[IEEE] 2026-4-6 | Retraction Notice: An IoT-Cloud Based Health Monitoring Wearable Device For Covid Patients
[ACM] 2026-4-6 | Camera-Ready? Exploring Transport-Layer Performance Limits with GigE Vision
[ACM] 2026-4-6 | CADENCE: A Multi-Agent CDN Steering and Experimentation Platform for Dash.js
[ACM] 2026-4-6 | Remote Particle Trajectory Tracking using Event-Based Vision Streams
[IEEE] 2026-4-6 | Retraction Notice: Hash Tag-Based Sentiment Analysis Using A Deep Learning Approach
[IEEE] 2026-4-6 | Retraction Notice: News Recommendation Systems
[IEEE] 2026-4-6 | Retraction Notice: A collaborative filtering proposal in view of client conduct and client profile on online interpersonal organization
[IEEE] 2026-4-6 | Blind Radio Map Construction via Topology Guided Manifold Learning_supp1-3680610.pdf
[IEEE] 2026-4-6 | Photonic Structuration of the Airy-Bessel Beam for High-Performance Fiber-Optic Refractive Index Sensing
[IEEE] 2026-4-6 | Lightweight Edge Intelligence: Adapting 1.5B LLM via LoRA for Log Analysis in Campus Networks
[IEEE] 2026-4-6 | Compact Silicon-Photonics Waveguide- Confined Receiving and Transmitting Antenna with Signal Remodulation for Indoor Optical Wireless Communication
[IEEE] 2026-4-6 | Modality-Mix Learning: Promoting Multimodal Learning Through Multilabel Objective_supp1-3677806.pdf
[IEEE] 2026-4-6 | Joint Optimization in Pinching-Antenna-Assisted NOMA-MEC Systems via DRL
[IEEE] 2026-4-6 | Design of a Low-Profile Wideband Horizontally Polarized Omnidirectional-like Loop Antenna with Characteristic Mode Analysis
[IEEE] 2026-4-6 | A DQN-Guided Genetic Algorithm With Local Intensification for Agile Earth Observation Satellite Scheduling
[IEEE] 2026-4-6 | Front Cover
[IEEE] 2026-4-6 | Evolutionary Algorithm for Determining the Data Transmission Route Between Sensor Nodes
