[2026-05-30 10:44:41] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-05-29
正在获取论文...
[ACM] 2026-5-29 | BeamFormer: Transformer-based Beam Management for 6G Networks
[ACM] 2026-5-29 | Gaze Estimation from Optical Path Length using Neural Network Inversion
[ACM] 2026-5-29 | Who You Are is How You Look: Implicit User Identification by Comparing Actual Gaze with Personalized Saliency Maps
[ACM] 2026-5-29 | Cross-Modal Analysis of Typography Effects on Visual Attention based on TVA and Task-Evoked Pupillary Responses (TEPR)
[ACM] 2026-5-29 | JPEG Column: 109th JPEG Meeting in Nuremberg, Germany
[ACM] 2026-5-29 | In Memoriam: Richard A. Tapia (1939-2026)
[IEEE] 2026-5-29 | Ground-Based GNSS-R Oil Spill Experiments: Methodology and Results
[IEEE] 2026-5-29 | FASENet: A Frequency Aware and Shape Enhanced Deep Network for Mapping Farmland Ditch from High-Resolution Remote Sensing Imagery
[IEEE] 2026-5-29 | Diffusion Graph Transformer for Learning Controllability Robustness in Large-Scale Networks
[IEEE] 2026-5-29 | High-Efficiency Laser Wireless Power Transfer System with Automatic Tracking for Smart Grids_supp2-3696300.mp4
[IEEE] 2026-5-29 | High-Efficiency Laser Wireless Power Transfer System with Automatic Tracking for Smart Grids_supp1-3696300.mp4
[IEEE] 2026-5-29 | BFRN-IoV: Blockchain and Fog-Enabled Route Navigation for Digital Twin-Based Internet of Vehicles
[IEEE] 2026-5-29 | Opportunistic RIS-Assisted Transmission Scheduling for Multiuser Wireless Network via Binary Linear Programming
[IEEE] 2026-5-29 | BIRCH-AE: A Hierarchical Ensemble Framework for Scalable E-Commerce User Segmentation with Autoencoder-Enhanced Feature Learning
[IEEE] 2026-5-29 | MARTA: Multi-Person Activity Recognition With mmWave Based on Temporal Attention
[IEEE] 2026-5-29 | Jointly Optimizing Migration and Offloading for Digital Twin-Enabled Internet of Vehicles
[IEEE] 2026-5-29 | Energy-Efficient Task Allocation for Green Aerial Edge Computing Based on Metaverse Users: A Mean Field Game Approach
[IEEE] 2026-5-29 | Passivity-Based Tracking Control of a Planetary Rover with Robotic Arm_supp1-3694402.mp4
[IEEE] 2026-5-29 | Front Cover
[ACM] 2026-5-29 | Can Multipath TCP Congestion Control do better without adhering to its First Design Principle?
[ACM] 2026-5-29 | CAP: Detecting Network Device Misconfigurations with Context-Aware Prompting of LLMs
[ACM] 2026-5-29 | POMACS V10, N2, June 2026 Editorial
[IEEE] 2026-5-29 | Optimized Real-Time Current Commutation Method for Concentric Winding Moving-Coil Maglev Planar Motor Based on Improved Active Set Algorithm
[IEEE] 2026-5-29 | Nezha-FX: A Morphing HAUV Designed Based on Balanced Cross-Domain Performance Optimization_supp1-3691061.mp4
[IEEE] 2026-5-29 | Glaucoma Diagnosis and Progression Prediction Based on Deep Multimodal Fusion and Collaborative Attention Mechanism
