[2026-08-25 09:28:09] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-08-24
正在获取论文...
[arXiv] 2026-08-24 | Counterexamples to Escobar's conjecture
[arXiv] 2026-08-24 | tse_tick: A Python Library for Parsing and Querying Nikkei NEEDS Tick Data from the Tokyo Stock Exchange
[arXiv] 2026-08-24 | AutoSaddler: Automatic Harness Optimization with Durable Updates from Agent Execution Traces
[arXiv] 2026-08-24 | RoboRacer Arena: Scaling High-Fidelity Autonomous Racing in Isaac Sim
[arXiv] 2026-08-24 | MobilePA-Bench: Benchmarking Mobile Planner Agents on Complex Real-World Tasks
[arXiv] 2026-08-24 | ST$^2$U: Stateful Test-Time Unlearning via Restricted Knowledge Boundary Control
[arXiv] 2026-08-24 | Signed Sound-Speed Deformations of BSk24-Anchored Barotropes: Neutron-Star Response
[arXiv] 2026-08-24 | Centralized RAN for Future Low-Power Wide-Area Networks: A LoRa Case Study
[arXiv] 2026-08-24 | Simultaneous Indoor and Outdoor Coverage with Conformal Intelligent Omni-Surface
[arXiv] 2026-08-24 | AnaDiffusion: Anatomically CompositionalLatent Diffusion for Controllable 3D Brain MRI Generation
[arXiv] 2026-08-24 | Coarse Indexing, Fine Evidence: Decoupling Temporal Granularity in Long-Video RAG
[arXiv] 2026-08-24 | An improved upper bound for Tuza's conjecture via 2-colorable triangle families
[arXiv] 2026-08-24 | The Hamburger Criterion for Matrix Nevanlinna--Pick Interpolation
[arXiv] 2026-08-24 | PatchWrite: One Line, Not One Section -- Compile-Gated, Validity-Preserving Editing for AI-Drafted Manuscripts
[arXiv] 2026-08-24 | Positive Mass Theorem with Arbitrary Ends and Noncompact Boundary
[arXiv] 2026-08-24 | Channel-Token Attention for Reliable Dynamic Spectrum Access under Bursty Primary-User Traffic
[arXiv] 2026-08-24 | Discovery of New Zintl Films and Nanowires Grown by Topotaxy Conversion of III-V Semiconductors
[arXiv] 2026-08-24 | The Anonymity Gap: Understanding Real Privacy in Shielded UTXO-based Protocols for DeFi
[arXiv] 2026-08-24 | SA-RSQ: A Versatile Sparse Representation Framework for Multi-modal Recommender Systems
[arXiv] 2026-08-24 | Toward Effective and Reliable LLM Agents via Dynamic Ontology
[arXiv] 2026-08-24 | Closed-Loop Bayesian Molecular Inverse Design with Semantic LLM Surrogates
[arXiv] 2026-08-24 | Fundamental Algebras and Varieties with Quadratic Codimension Growth
[arXiv] 2026-08-24 | Exploring spectral element methods on the Tenstorrent RISC-V accelerator
[arXiv] 2026-08-24 | WildHandBench: A Benchmark for Handwritten Text Understanding that Challenges MLLMs and Humans
[arXiv] 2026-08-24 | Identification and Inference for Causal Effects in Extremes under General Conditions
[arXiv] 2026-08-24 | Stochastic gradient descent with initial regularization
[arXiv] 2026-08-24 | A Massively Parallel Three-Grid Preconditioner for the High-Frequency Helmholtz Equation
[arXiv] 2026-08-24 | Extensive Air Showers Parameters Estimation Using Machine Learning Techniques with Simulations of the FAST Telescope
[arXiv] 2026-08-24 | Composition- and Ordering-Dependent Evolution of Simulated Kikuchi Patterns of Au-Ni Alloys
[arXiv] 2026-08-24 | Importance-Reweighted Fock-Space Variational Monte Carlo
[arXiv] 2026-08-24 | HelaBERT: Enhancing Sinhala Language Understanding with Dual Pooling Classification Head
[arXiv] 2026-08-24 | Geometric Phases of a Driven Qubit: Comparing Berry and Uhlmann Holonomies
[arXiv] 2026-08-24 | Unsupervised Speech Recognition at the Syllable Level
[arXiv] 2026-08-24 | Pre-Disclosure Experiment Menus: Oracle-Relative Risk and Joint Sample--Menu Asymptotics
[arXiv] 2026-08-24 | React or Predict? A Spectral Rule for Wireless Threshold Detection
[arXiv] 2026-08-24 | CDEG: Learning Decision-Critical Evidence for Long-Horizon Diagnostic Agents
[arXiv] 2026-08-24 | A particle method for the Boltzmann equation via amortized sampling from Green's function of the lifted linear operator
[arXiv] 2026-08-24 | The Mask Is Not the Model: Auditing Prefix Invariance in Attention, State-Space, and Hybrid Sequence Models
[arXiv] 2026-08-24 | AgentFlow: A Flow-Centric Policy Language and Framework for Securing LLM Agent Systems
[arXiv] 2026-08-24 | Toward Sub-1 kB Identity-Preserving Face Compression: A Benchmark of Codecs, a Custom Learned Codec, and Studies of Resolution, Demographic Fairness, Recompression, and Adversarial Robustness
[arXiv] 2026-08-24 | Following Motion for Sequential Modeling in Video Frame Interpolation
[arXiv] 2026-08-24 | Semileptonic Decay of $Λ_b \rightarrow N(1520)\ell^-\barν_{\ell}$ from QCD Light-cone Sum Rules
[arXiv] 2026-08-24 | Implementation of nonlocal multi-photon interference by mode swapping
[arXiv] 2026-08-24 | Favourable Missingness in Semi-Supervised Classification for Exponential Mixture Models
[arXiv] 2026-08-24 | FinixDoc: Rethinking Financial Document Parsing Beyond Saturated Benchmarks
[arXiv] 2026-08-24 | Entropy of Bernoulli Measures Conditioned on Affine Subspaces and a Problem of Ancheta--Massey
[arXiv] 2026-08-24 | Mirror descent algorithms with logarithmic barriers
[arXiv] 2026-08-24 | Minimal Local Simulation Foundations for LLM- and VLM-Driven Agents in 2D and 3D Environments
[arXiv] 2026-08-24 | Efficient Separation of the Isomeric State $^{26\text{m}}\text{Al}$ from the Intense Ground State Background via Sequential Optical Pumping in Collinear Laser Spectroscopy
[arXiv] 2026-08-24 | Frame definability in second-order arithmetic
[arXiv] 2026-08-24 | SiZeUp: Fast 3D Proxy from Aerial Images via Depth Ordinal Loss
[arXiv] 2026-08-24 | A Cap-Move Reformulation of Ling's Proof of Samuels' Conjecture
[arXiv] 2026-08-24 | Nuclear excitation by radiative electron-ion recombination
[arXiv] 2026-08-24 | Exchange and core-polarization effects on Rydberg-transition electric-dipole matrix elements in Rb and Cs
[arXiv] 2026-08-24 | Performance of a domain-specific large language model in answering patient questions in psychiatry
[arXiv] 2026-08-24 | DiaScriber: A Speech LLM for Joint Diarization and Transcription in Multi-Speaker Scenarios
[arXiv] 2026-08-24 | $C^1$-robust strong pluripotency for blender-horseshoes
[arXiv] 2026-08-24 | Neural Operator based Multi-Field Reconstruction of Inner Solar Boundary State
[arXiv] 2026-08-24 | Real-analytic finitely forcible kernels
[arXiv] 2026-08-24 | A Two-month, Galaxy-targeted NIR Follow-up of the Sub-solar-mass Gravitational Wave Candidate S251112cm: Probing Electromagnetic Counterpart Scenarios
[arXiv] 2026-08-24 | SPOC-SQL: Stage-wise Preference Optimization for Controllable Text-to-SQL
[arXiv] 2026-08-24 | The Retriever Should Remember: Experience-Amortized Reranking for Long-Term Agent Memory
[arXiv] 2026-08-24 | A Novel Decoupling Method for Investigating Distinct Domain Evolution in Ferroelectric Film
[arXiv] 2026-08-24 | Beyond Factual Knowledge: Benchmarking and Learning Step-Level Procedural Rule Reasoning in Large Language Models
[arXiv] 2026-08-24 | Categorical Equivalences of Finite W-Superalgebras and Clifford Twists
[arXiv] 2026-08-24 | Generative Neural Networks for Sinkhorn Distributionally Robust Hypothesis Testing
[arXiv] 2026-08-24 | DiaRelay: Relaying Dialogue Context with a Constant-Size Memory for Emotion Recognition in Conversation
[arXiv] 2026-08-24 | Tidal disruption of stellar binaries as a pathway to exotic transients
[arXiv] 2026-08-24 | Symmetric Taylor--Hood elements for the linear stress gradient problem
[arXiv] 2026-08-24 | SEAM: Shot Entity-Attribute Memory for Consistent Short-Drama Generation at Scale
[arXiv] 2026-08-24 | LoViF 2026 The First Challenge on Unified Removal of Raindrops and Reflections: Methods and Results
[arXiv] 2026-08-24 | Temporal filling-in reduces attentional fluctuations in sustained visual attention
[arXiv] 2026-08-24 | EGAMA-RC: Risk-Calibrated Evidence-Gated Adaptive Malware Analysis for Robust and Interpretable Memory-Forensic Triage
[arXiv] 2026-08-24 | Chiral doublon bound states in a synthetic topological waveguide
[arXiv] 2026-08-24 | Invariant two-jets and effective hyperbolicity for complements of two plane curves
[arXiv] 2026-08-24 | Evolution of cooperation with Q-learning: how much information do we need?
[arXiv] 2026-08-24 | Uniformity of extremal behaviour along geodesics in Liouville quantum gravity
[arXiv] 2026-08-24 | Hybrid Generative-Discriminative Object Placement
[arXiv] 2026-08-24 | Ellipsoids in pseudoconvex domains II
[arXiv] 2026-08-24 | On the formation of retrograde S-type planets in binaries with a polar circumbinary disk
[arXiv] 2026-08-24 | Toward a Unified Axion Cosmology
[arXiv] 2026-08-24 | High-throughput identification of ferromagnetic Kagome candidates in the AT6X4 and AT6X5 families
[arXiv] 2026-08-24 | Flux-induced Aharonov-Bohm Oscillation in the Tunneling Spectroscopy of Kitaev Spin Liquids
[arXiv] 2026-08-24 | Chimera: Efficient Multi-Vector Retrieval via GPU-CPU Co-Processing
[arXiv] 2026-08-24 | The boxicity of the compressed zero divisor graph of the ring of integers modulo N
[arXiv] 2026-08-24 | Dust trapping, collisional velocity and velocity dispersion in gravito-turbulent discs
[arXiv] 2026-08-24 | Non-Abelian Spin Counting of Ordered Stochastic Trajectories: Reentrant Finite-Time Chern Numbers
[arXiv] 2026-08-24 | EarthVerse: Benchmarking Scientific Agents Across Dynamic Earth Systems and Natural Hazards
[arXiv] 2026-08-24 | Local quantum Cuntz--Krieger algebras of dephasing quantum graphs
[arXiv] 2026-08-24 | Wall-crossing for equivariant DT4 invariants
[arXiv] 2026-08-24 | Post-diffusion cooling effects on Hall-derived active lithium donor profiles in high-purity germanium
[arXiv] 2026-08-24 | Riesz Energy Subset Selection in the Euclidean Plane is NP-Hard
[arXiv] 2026-08-24 | Quantitative Logarithmic Chowla Correlations Uniformly over Growing Shifts
[arXiv] 2026-08-24 | SRPO: Self-Reflective Policy Optimization for Long-Horizon Reasoning
[arXiv] 2026-08-24 | Geometric desingularisation of the sharp-to-smooth travelling wave transition
[arXiv] 2026-08-24 | GeoWAM: Visual Geometry World Action Models for Autonomous Driving
[arXiv] 2026-08-24 | Emergent Noncollinearity and Near-Degenerate Magnetic Superlattices in AT6X6 Kagome Metals
[arXiv] 2026-08-24 | Helical jets driven by a ring of laser irradiation
[arXiv] 2026-08-24 | Exact Rate Exponent Tradeoff for New Classes of Distributed Hypothesis Testing Problems
[arXiv] 2026-08-24 | Fragmentation and tidal locking in young quadruple systems
[ACM] 2026-8-24 | Real-World Clutter Improves Egocentric Distance Judgments in Optical See-Through Augmented Reality
[ACM] 2026-8-24 | Spatial Audio Feedback for Discrete Rotation Technique in Virtual Reality
[IEEE] 2026-8-24 | Table of Contents
[IEEE] 2026-8-24 | Research on Reliability Assessment method of RB IGCT in Hybrid Commutated Converter
[IEEE] 2026-8-24 | A Meta-Learning Based Adaptive Hybrid Evolutionary Algorithm for Dynamic Resource Configuration in Regional Industrial Cluster
[IEEE] 2026-8-24 | Intelligent Hybrid Image Enhancement for Smart Consumer Devices Using Classical and AI-Based Super-Resolution
[IEEE] 2026-8-24 | Fractal-Driven Chaotification Model for Lightweight Pseudo-Random Number Generator
[IEEE] 2026-8-24 | Automated Discovery of Finite State Automata for the Control of Discrete Event Systems
[IEEE] 2026-8-24 | Substance identification via photocurrent zero-crossing in dual-band photodetectors
[IEEE] 2026-8-24 | PrivNN: Efficient Privacy-preserving Neural Network Inference Using Flexible Ciphertext Packing
[IEEE] 2026-8-24 | DecompGrind: A Decomposition Framework for Robotic Grinding via Cutting-Surface Planning and Contact-Force Adaptation
[IEEE] 2026-8-24 | SIFMAP: Parallel CNN Inference using Sub-Input-Feature Maps in PIM
[IEEE] 2026-8-24 | Semantic-Aware Telemetry and Resource Co-Design for ISAC-Enabled UAV Swarms
[IEEE] 2026-8-24 | Two-Sided Conditional Values-at-Risks for Risk-Aware Control of Non-Gaussian Stochastic Systems
[IEEE] 2026-8-24 | SatelliteSFL: A Parallel Split Federated Learning Approach for Satellite-Terrestrial Networks
[IEEE] 2026-8-24 | Adaptive Uncertainty Calibration and Exemplar Management for Bridging Open Set Recognition and Incremental Learning
[IEEE] 2026-8-24 | Upcycling Noise for Federated Unlearning
[IEEE] 2026-8-24 | IRNet-BFGS: A Compensation Method for Vector Magnetometer Systems of Autonomous Vehicles with Dynamic Interference Suppression
[IEEE] 2026-8-24 | A Fully Programmable Dual Channel CMOS Neurostimulator With Ultra Low Charge Mismatch
[IEEE] 2026-8-24 | 2026 IEEE International Conference on Joint Cloud Computing (JCC)
[IEEE] 2026-8-24 | Transformer Winding Fault Diagnosis Based on AFM Gray Conversion and NIN-CNN Network
[IEEE] 2026-8-24 | UAV-Based Framework for Automated Library Inventory Using Visual Detection and Feature Matching
[IEEE] 2026-8-24 | Adaptive Dead-Time Control for a Four-Switch Buck-Boost Converter
[IEEE] 2026-8-24 | Performance Analysis of Transformer-Based Models for E-Commerce Recommendation Reviews
[IEEE] 2026-8-24 | Benchmarking the Robustness of Wearable HAR Pipelines Under Graded Sensor Noise and Missing-Data Corruption
[IEEE] 2026-8-24 | Adaptive SOC-Band Energy Management Strategy for Fuel Optimization in Parallel Hybrid Electric Vehicles
[IEEE] 2026-8-24 | Study on Photoacoustic Signal Power Spectrum Slope for Classification of Prostate Inflammation Section Samples
[IEEE] 2026-8-24 | CMOS Design of an Homodyne Receiver for Multi-Band Carrierless Amplitude and Phase Signals
[IEEE] 2026-8-24 | Comparative Study of Deep Learning Models for Tomato Leaf Disease Classification: CNNs vs Vision Transformers
[IEEE] 2026-8-24 | Cost-Effective DIY Hardware Solutions for Experimental Validation of Renewable Energy and Electrical Energy Systems
