[2026-01-25 09:11:00] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-01-24
正在获取论文...
[ACM] 2026-1-24 | Ricin Sequencing Using Multi-Enzyme Digestion Coupled with LC/MS/MS
[ACM] 2026-1-24 | Investigating Therapeutic Medication Patterns for Prediabetes via Data Mining Techniques
[ACM] 2026-1-24 | Prediction of influenza-like cases in Chaoyang District of Beijing based on Prophet model
[ACM] 2026-1-24 | Parallel Optimization of Plasma Fluid Simulation Software Based on Sunway Bluelight II Supercomputer
[ACM] 2026-1-24 | Advances in Cancer Vaccines for Colorectal Cancer: Insights from Clinical Trials
[ACM] 2026-1-24 | Construction and Performance Evaluation of a Machine Learning-Based Diagnostic Model for Breast Cancer
[ACM] 2026-1-24 | Runtime prediction model for high performance computing jobs based on dual dimensional feature fusion
[ACM] 2026-1-24 | Developing Technology-Organization-Environment-Maqasid (TOEM): A Shariah-Moderated Model for AI Adoption in Public Services
[ACM] 2026-1-24 | PPIAGF: Deep Learning Based Protein–Protein Interaction Prediction with Adaptive Gated Fusion
[ACM] 2026-1-24 | Predictive Machine Learning Models for Assessing the Effects of Land Use and Climate Change on Food Affordability in the UK
[ACM] 2026-1-24 | Optimization of Sparse Matrix Block LU Factorization: A Hybrid MPI-OpenMP Parallel Method
[ACM] 2026-1-24 | Erratum: “The Devil You Know”: Barriers and Opportunities for Co-Designing Microclimate Sensors, A Case Study of Manoomin
[ACM] 2026-1-24 | Detection of Surface Damage on Offshore Wind Turbine Blades using Gradient Boosting Classifier with SHapley Additive exPlanations (SHAP)
[ACM] 2026-1-24 | Machine Learning for Micro-seismic Event Detection: A Comparative Study of Spiking, Graph and Convolution Neural Network on Distributed Acoustic Sensing Data
[ACM] 2026-1-24 | Peptide Drug Design Using Generative AI Models: A Comparative Study of GAN and VAE
[ACM] 2026-1-24 | Proceedings of the 14th International Conference on Information Communication and Applications
[ACM] 2026-1-24 | Deciphering Regional Heterogeneous Communication Strategy in Brain Networks via Optimal Transport of Interacted Ligand-Receptor Pairs
[ACM] 2026-1-24 | Improving Image Captioning for Chinese Cultural Relics with Diffusion Language Models
[ACM] 2026-1-24 | CHBDR-HHGCN: Drug Recommendation Method for Chronic Hepatitis B Patients Based on Higher-order hypergraph Convolution Neural Network
[ACM] 2026-1-24 | CTIA: Optimizing Requests Processing by Comparing Tags in Advance for L2 Caches in GPUs
[ACM] 2026-1-25 | We Need Smarter, Not Faster, AI-powered e-Learning Authoring Tools
