[2026-06-30 11:40:36] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-06-29
正在获取论文...
[arXiv] 2026-06-29 | Real-Time Underwater Image Enhancement via Frequency-Guided Dual-Path Attention
[arXiv] 2026-06-29 | TRACE: A Concept Bottleneck Model for Longitudinal 3D Glioblastoma Response Assessment
[arXiv] 2026-06-29 | Structural functional identifiability and model discovery in differential equation models
[arXiv] 2026-06-29 | Wasserstein regularity of vorticity solutions to the 2D Navier-Stokes equations
[arXiv] 2026-06-29 | Long-range scattering
[arXiv] 2026-06-29 | List $3$-coloring $C_4$-free graphs of diameter-$2$ in polynomial-time
[arXiv] 2026-06-29 | Multi-year Ground-Based Survey Photometry of Active Comet 103P/Hartley 2 and Centaur (2060) Chiron: A Tale of Two Comets in the Pre-LSST Era
[arXiv] 2026-06-29 | The signless Laplacian spectral radius of graphs without disjoint cliques
[arXiv] 2026-06-29 | Cyclic Attractor Detection in Boolean Network Dynamics under Local Logical Constraints
[arXiv] 2026-06-29 | ConCent: Contact-Centric Real-to-Sim-to-Real Learning from One Demonstration
[arXiv] 2026-06-29 | Defending Against Harmful Supervision Hidden in Benign Samples
[arXiv] 2026-06-29 | Robust secret storage in networks
[arXiv] 2026-06-29 | Selective Deployment of Bidirectional Hollow-Core Fibers in Hybrid SMF/HCF Optical Networks
[arXiv] 2026-06-29 | Curvature-Guided Sheaf Diffusion for Unsupervised Community Detection on Heterophilic Graphs
[arXiv] 2026-06-29 | Quantum percolation based dynamic propagation connectivity for critical-area identification in transport networks
[arXiv] 2026-06-29 | Comparing Human and Automatic Recognition of Dutch Dysarthric Continuous Speech: A Case Study
[arXiv] 2026-06-29 | A Distributionally Robust Framework for Learned Reconstructions in Inverse Problems
[arXiv] 2026-06-29 | Efficiency of Valid Inferential Models: Choquet-risk Optimal Possibility Measures, and Direct Comparisons
[arXiv] 2026-06-29 | Bifurcation and global continuation of travelling-rotating Schrödinger maps on the sphere
[arXiv] 2026-06-29 | Arduino based interferometer stabilizer equipped with a digital lock-in amplifier
[arXiv] 2026-06-29 | Orbital, Shadow, and Thin-Disk Signatures of a Regular Black Hole with Gravitational Self-Energy
[arXiv] 2026-06-29 | Non-Commutative Wiener-Wintner theorem for amenable group actions
[arXiv] 2026-06-29 | Few-Shot Domain Incremental Learning via Continual Vision-Language Consolidation
[arXiv] 2026-06-29 | DrivenMorph: Bridging Attention Mechanism and Variational Image Registration via Difference Modeling
[arXiv] 2026-06-29 | HiRes: A Hierarchical Cascaded Method for Resistor Value Identification
[arXiv] 2026-06-29 | Trimers in the Extended Hubbard Model
[arXiv] 2026-06-29 | Virtual K-theoretic invariants of the nested Hilbert scheme on $\mathbb{C}^2$
[arXiv] 2026-06-29 | On the Divisorial Geometry of Volume Asymptotics of Sublevel Sets
[arXiv] 2026-06-29 | Radiation effects and noise evolution in NewAthena WFI flight-production sensors
[arXiv] 2026-06-29 | Latent Noise Mask for Reducing Visual Redundancy in Multimodal Large Language Models
[arXiv] 2026-06-29 | Self-supervised Geometry Reasoning for LiDAR Simultaneous Localization and Mapping
[arXiv] 2026-06-29 | On Property $N_p$ of line bundles on smooth projective toric varieties
[arXiv] 2026-06-29 | CO snow lines are stabilised by the vertical transport of volatiles
[arXiv] 2026-06-29 | AERIS: Aerial-Edge Role-Driven Intelligence at Runtime via Orchestrated Language-Model Swarm
[arXiv] 2026-06-29 | Wave Optics Effects from Gravitational Wave Propagation Through Dark Matter Halos
[arXiv] 2026-06-29 | Asymptotic justification of the Reynolds equation for a spherical bearing
[arXiv] 2026-06-29 | Reactive Graphs for Efficient Markov Chain Monte Carlo Inference in Probabilistic Programming Languages
[arXiv] 2026-06-29 | Gromov's dihedral rigidity conjecture in dimension three
[arXiv] 2026-06-29 | Ferroelastic domain wall motion and collective domain switching in RbSCN
[arXiv] 2026-06-29 | I.i.d. Prophet Inequalities with Discounted Rewards: As Hard as the Non-i.i.d. Case
[arXiv] 2026-06-29 | Uniqueness and non-uniquess for the mean field control of fisheries
[arXiv] 2026-06-29 | CylindTrack: Depth-Aware Cylindrical Motion Modeling for Panoramic Multi-Object Tracking
[arXiv] 2026-06-29 | Black holes with regular scalar hair in Brans-Dicke gravity via the Herglotz variational principle
[arXiv] 2026-06-29 | Heisenberg uncertainty inequalities for locally compact abelian groups
[arXiv] 2026-06-29 | How to pick your team with no size restriction
[arXiv] 2026-06-29 | How Far Can You Get Without a GPU? A Systematic Benchmark of Lightweight Hallucination Detection Across Question Answering, Dialogue, and Summarisation
[arXiv] 2026-06-29 | Clearer Sight, Fewer Lies: Oriented Pickup Preference Optimization for Multimodal Hallucination Mitigation
[arXiv] 2026-06-29 | Harnessing Toroidal Neutral Flows to Enhance Divertor Particle Exhaust
[arXiv] 2026-06-29 | Multi-Level Distributional Entropy for Explainable Network Intrusion Detection
[arXiv] 2026-06-29 | Fund2Persona: A Framework for Building and Refining Financial Advisor Personas from Fund Disclosure Data
[arXiv] 2026-06-29 | What Drives the Inlier-Memorization Effect? A Theory of Outlier Detection via Early Training Dynamics
[arXiv] 2026-06-29 | OP3DSG: Open-Vocabulary Part-Aware 3D Scene Graph Generation for Real-World Environments
[arXiv] 2026-06-29 | Multipartite quantum resource distillation through local measurement programs
[arXiv] 2026-06-29 | Trajectory Optimization for Collision-Aware Redundant Robotic Multi-Axis Additive Manufacturing by Constrained Gradient Projection
[arXiv] 2026-06-29 | PS-PPO: Prefix-Sampling PPO for Critic-Free RLHF
[arXiv] 2026-06-29 | LEIQ-Assessor: Multi-dimensional Quality Assessment of Low-light Enhanced Images via Multi-task Learning
[arXiv] 2026-06-29 | Finite-resolution exhaustive traversal of thermodynamic state spaces has divergent thermodynamic length
[arXiv] 2026-06-29 | Effective Depth in Joint Source-Channel Coding: An Implicit Equilibrium Analysis
[arXiv] 2026-06-29 | Ideal $n$-cotorsion pairs in Frobenius extriangulated categories
[arXiv] 2026-06-29 | DeepTrans Studio: Turning Expert Interventions into Shared Team Knowledge in Agentic Translation Workflows
[arXiv] 2026-06-29 | From Trait to Behavior: A Cognitive-Affective Personality System (CAPS) Perspective on Multi-Homing Intention in AIGC Platforms
[arXiv] 2026-06-29 | Attraction, Not Adaptation: How AI Agent Communities Develop Distinct Linguistic Identities
[arXiv] 2026-06-29 | Redefining Maritime Anomaly Detection via Equation-Grounded Synthetic Anomalies
[arXiv] 2026-06-29 | AerialMetric: Benchmarking and Adapting UAV Monocular Metric Depth Estimation in the Real World
[arXiv] 2026-06-29 | Why Struggle with Continuous Latents? Interpretable Discrete Latent Reasoning via Rendered Compression
[arXiv] 2026-06-29 | Dominance of slow solutions for second order abstract evolution equations with time-varying damping
[arXiv] 2026-06-29 | A Machine-Verified Proof of a Quantum-Optimization Conjecture
[arXiv] 2026-06-29 | Scaling limit theorem for mixed free and Boolean convolution powers
[arXiv] 2026-06-29 | Siu's analyticity theorem for positive pluriharmonic currents
[arXiv] 2026-06-29 | Unlocking the Visual Record of Materials Science: A Large-Scale Multimodal Dataset from Scientific Literature
[arXiv] 2026-06-29 | Adjusted Wasserstein distances for bridging empirical and true distributions with applications to MDS
[arXiv] 2026-06-29 | Length--Velocity Gauge Equivalence of Quantum Geometric Nonlinear Conductivity
[arXiv] 2026-06-29 | Cooperative control and geometric amplification in dissipative quantum systems
[arXiv] 2026-06-29 | Data-Driven Energy-Based Learning via Gibbs Measures on Hierarchical Structures
[arXiv] 2026-06-29 | Little Brains, Big Feats: Exploring Compact Language Models
[arXiv] 2026-06-29 | Equivariant cohomology of slice groupoids
[arXiv] 2026-06-29 | Axial Algebras: Questions and Conjectures
[arXiv] 2026-06-29 | Cross-Modal Iteration Distillation for Robust IHD Screening: The IDNet Framework and A New Benchmark
[arXiv] 2026-06-29 | Deterministic nonlinear bunching of bosons
[arXiv] 2026-06-29 | Uncertainty Estimation in Pathology Foundation Models via Deep Mutual Learning
[arXiv] 2026-06-29 | Error bounds for simultaneous Wasserstein contractive adaptive increasingly rare MCMC
[arXiv] 2026-06-29 | Effective results on projective normality of the first and second secant varieties
[arXiv] 2026-06-29 | Adaptive nonparametric regression from repeated measurements under common noise
