[2026-05-09 10:01:56] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-05-08
正在获取论文...
arXiv 请求失败: HTTPSConnectionPool(host='export.arxiv.org', port=443): Max retries exceeded with url: /api/query?search_query=lastUpdatedDate%3A%5B202605080000+TO+202605082359%5D&sortBy=relevance&sortOrder=descending&max_results=100 (Caused by ReadTimeoutError("HTTPSConnectionPool(host='export.arxiv.org', port=443): Read timed out. (read timeout=20)"))
[ACM] 2026-5-8 | Insole-Shaped Pneumatic Feedback for Directional Weight-Shifting Guidance
[ACM] 2026-5-8 | One for All, All for One: A Large-Scale VirtualCo-Embodiment with Motion Data from 252 People
[ACM] 2026-5-8 | Multi-modal Feature-based Classification of Post-Stroke Motor Impairment using Bi-directional LSTM
[ACM] 2026-5-8 | Monte Carlo Perception: Proposal for a Probabilistic Perception Framework for Decision-Making in Sports
[ACM] 2026-5-8 | O QoE, Where Art Thou?
[ACM] 2026-5-8 | Reimagining Human Augmentation through Disability-Led Performance
[IEEE] 2026-5-8 | Video-to-Task Learning via Motion-Guided Attention for Few-Shot Action Recognition
[IEEE] 2026-5-8 | A Fully Integrated D-Band I/Q Homodyne Transceiver Enabling a Multi-Gigabit Wired Link
[IEEE] 2026-5-8 | Adversarial Robustness in Multilingual and Code-Mixed NLP: Insights from Indian Language Settings
[IEEE] 2026-5-8 | Conference Calendar
[IEEE] 2026-5-8 | Boosting the Performance of Decentralized Federated Learning via Catalyst Acceleration_supp1-3688672.pdf
[IEEE] 2026-5-8 | Spatio-Temporal Graph Neural Network-Based Traffic Sensing Approach for Satellite Communication Networks
[IEEE] 2026-5-8 | Technical Program Committee
[IEEE] 2026-5-8 | Resource-Efficient Plastic Classification System Using Low-Cost NIR Spectroscopy and Edge AI: A Case Study on Sustainable Toy Recycling
[IEEE] 2026-5-8 | Time-based 8TD SRAM CIM Macro with Low PVT Sensitivity for Edge Devices
[IEEE] 2026-5-8 | IMCET 2026 Index Page
[IEEE] 2026-5-8 | Global Sensitivity Analysis of Whole-Body Physiologically Based Pharmacokinetic Model Parameters in [Lu]Lu-PSMA-I&amp;#x0026;T Radioligand Therapy: Key Determinants of Individual Kidney and Tumor Absorbed Dose Uncertainty and Implications for Digital Twin Development_supp1-3690503.pdf
[ACM] 2026-5-8 | Proceedings of the 2026 2nd International Workshop on Low-Code Development and Software Architecture
[IEEE] 2026-5-8 | Multimodal Agentic RAG: A Hybrid Framework for Intelligent Extraction and Adaptive Retrieval on Unstructured Data Streams
[IEEE] 2026-5-8 | QuCumber: Wavefunction Reconstruction with Neural Networks
[IEEE] 2026-5-8 | AI-Driven Forest Fire Prediction for Disaster Prevention
[IEEE] 2026-5-8 | Overvoltage Stress Distribution on Transformer Bushings Under the Effect of Electromagnetic Transient Response
[IEEE] 2026-5-8 | A Hybrid Edge-Cloud IoT Framework for Real-Time Plant Disease Detection using Multimodal Data Fusion
[IEEE] 2026-5-8 | House Price Prediction Algorithms and Model based on Machine Learning
[IEEE] 2026-5-8 | Spectral Fidelity Aware Hyperspectral Image Denoising via Unsupervised Triple Attention with Endmember Preservation
[IEEE] 2026-5-8 | PWM-Based Multi-Mode Converter for DC-AC and Isolated Renewable Energy and EV Applications
[IEEE] 2026-5-8 | AI-Generated Fake News Detection Using a Multimodal Approach on the MiRAGeNews Dataset
[IEEE] 2026-5-8 | Machine Learning in Electric Vehicle Consumption Modelling
[IEEE] 2026-5-8 | Smart Irrigation Prediction Using Machine Learning
[IEEE] 2026-5-8 | Machine Learning Classifier Comparative Performance Analysis of Smart Mobility: Multiclass Traffic Congestion Prediction
[IEEE] 2026-5-8 | Real-Time Speech Enhancement for Dysarthria Individuals Using NLP and Deep Learning
[IEEE] 2026-5-8 | Perception-Aware Intelligent Lighting Systems: Functional Safety and Control Architectures for Intelligent Vehicles
[IEEE] 2026-5-8 | Hallucination-Aware, Injection-Resistant LLMs for Scientific Text Integrity
[IEEE] 2026-5-8 | UniRelease: A Unified Framework for Addressing Cross-Platform Mobile Application Build and Release Challenges
[IEEE] 2026-5-8 | Design of a Low-Cost Smart Embedded System for Real-Time Alcohol and Accident Detection in Vehicles
[IEEE] 2026-5-8 | Conversational AI in Medicine: Exploring the Role of Chatbots in Modern Healthcare
[IEEE] 2026-5-8 | Vision Transformer Integrated with Shift Operation for Brain Tumor Detection and Classification
[IEEE] 2026-5-8 | Sentiment Analysis in Stock Price Prediction Using ML
[IEEE] 2026-5-8 | SecureEndoNet: An Encryption-Enabled, Transfer Learning–Based Approach for Endoscopic Image Classification
[IEEE] 2026-5-8 | Optimal Pre and Post-Silicon Validation Strategy for Vision-Centric ASIC Platforms
[IEEE] 2026-5-8 | Reconfiguration Technique for Enhancing PV Module Performance Under Mismatching Conditions
[IEEE] 2026-5-8 | AI-Powered Skin Lesion Detection and Classification using Emerging Techniques
[IEEE] 2026-5-8 | Edge-AI and Multimodal Sensor Fusion–Based Smart Stick for Visually Impaired Individuals with Real-Time Obstacle Detection
[IEEE] 2026-5-8 | Degradation Aware Adaptive Charging Strategies for Ultra-Fast Electric Vehicle Charging
[IEEE] 2026-5-8 | Model-Less Forecast-Proactive Intelligent Control for Inverter in Islanded Microgrid
[IEEE] 2026-5-8 | Investigating the Impact of Dimensionality Reduction on Spectral Unmixing Accuracy Using NIST-Traceable Colour Calibration Standard
[IEEE] 2026-5-8 | Open-Set Domain Generalization for Hyperspectral Image Classification via Evidential Uncertainty Quantification
[IEEE] 2026-5-8 | Low-Area Fused Floating-Point Four-Term Adder
[IEEE] 2026-5-8 | Li Ion Life Estimation System using Machine Learning
[IEEE] 2026-5-8 | Design and Fabrication of CSRR based Multi-Port Antenna System for 5G Smart Phone Devices
[IEEE] 2026-5-8 | AI-Enabled IOT Health Monitoring with Multi-Vital Sensing and Location-Triggered Emergency Alert Mechanism
[IEEE] 2026-5-8 | Scalable Artificial Intelligence Models for Big Data Processing and Analysis
[IEEE] 2026-5-8 | Intelligent Robotic Waste Segregation using YOLOv11 for Real-Time Object Detection
[IEEE] 2026-5-8 | Hybrid Machine Learning Approach for Short-Term Photovoltaic Power Forecasting Using Meteorological Data
[IEEE] 2026-5-8 | Decentralized Deepfake Detection: Feature-Aligned Federated Learning with Multi-Backbone Fusion
[IEEE] 2026-5-8 | Detection of Diabetic Retinopathy using Intelligent Gradient Boosted Decision Trees
[IEEE] 2026-5-8 | GLREM-Net: Groundnut Leaf Disease Detection using Deep Learning based ResMobileNet
[IEEE] 2026-5-8 | Oncoverse: A Multi-Agent Conversational System for Breast Cancer Detection
[IEEE] 2026-5-8 | Organizational Efficiency: The Role of SHRP and Technology Integration in Driving Performance
[IEEE] 2026-5-8 | BERT-Electra Synergistic Model with Cross-Attention for Enhanced Fake News Detection
[ACM] 2026-5-8 | BoTTA: Benchmarking On-device Test Time Adaptation
[ACM] 2026-5-8 | FruitScope: A Non-Invasive Fruit Ripeness Sensing System via Multi-Resolution FMCW Design and Acoustic Sensing
[ACM] 2026-5-8 | NeuroPath: Practically Adopting Motor Imagery Decoding through EEG Signals
[ACM] 2026-5-8 | Enabling Cross Technology Communication from LR-FHSS to LoRa
[ACM] 2026-5-8 | ConvReflex: Efficient Ultra-Low-Power CNN Inference via Clamping Prediction
[IEEE] 2026-5-8 | Smart Cradle: An IoT-Based System for Intelligent Infant Monitoring
[IEEE] 2026-5-8 | Real-Time GR-Based Shoulder Dislocation Risk and Strength Monitoring System Using Arduino for Rehabilitation and Preventive Care
[IEEE] 2026-5-8 | Distribution Network Disaster Prediction Based on Adaptive Random Forest Algorithm under Extreme Weather
[IEEE] 2026-5-8 | Simulation-Based Dynamic Spectrum Management Using Deep Q-Learning for Cognitive Radios
[IEEE] 2026-5-8 | Evaluating Machine Learning Methods for DDoS Detection in IDS
[IEEE] 2026-5-8 | GN2T: A Hybrid Graph Neural and Tree-Structured Architecture for ECG-Based Arrhythmia Recognition
[IEEE] 2026-5-8 | Optimized Multiplexer-Based Carry Select Adder Implementation
[IEEE] 2026-5-8 | Plant Health Monitoring System of Potato Images: Improved Alexnet Approach
[IEEE] 2026-5-8 | Optimal Mass Transport Based Room Geometry Estimation with Acoustic Consistency Constraints
[IEEE] 2026-5-8 | TriCA-Net: A Tri-Context Adaptive MoE Framework for Brain Metastases Segmentation Using Multimodal MRIs
[IEEE] 2026-5-8 | Enhanced Liver Tumor Segmentation via Optimized Preprocessing and Attention-Based U-Net Model
[IEEE] 2026-5-8 | Detection and Classification of Parkinson’s Disease using Machine Learning
[IEEE] 2026-5-8 | Feature Aggregation and Multi-Class Detection (FAMCD) Framework for Skin Cancer Classification
[IEEE] 2026-5-8 | Leveraging VGG16 and ResNet50 for Clinically Aligned Assessment in Breast Cancer Histopathology
[IEEE] 2026-5-8 | HS-ANET: Star Spectral Type Enhanced Astrometric Calibration for Hyper Spectral Space Imaging
[ACM] 2026-5-8 | DG-MapNet:Dual-Guided Query Initialization for Structure-Aware Vectorized HD Map Construction
[ACM] 2026-5-8 | Mirror World vs. Real World: Task-Based Evaluation of a Low-Latency Volumetric AR Mirror
[ACM] 2026-5-8 | Demonstration of Walking Drummer: Musical Participation via Footstep Percussion While Walking
[ACM] 2026-5-8 | Enhanced Indoor Localization Using RSSI and SNR-Based Regression Models with Particle Filter Optimization in LoRaWAN
[ACM] 2026-5-8 | Value Lanes: A framework to inculcate ethical argumentation skills in design classrooms
[ACM] 2026-5-8 | Feel the Connection: Assessing the Influence of Haptic Social Touch on Social Presence in Remote VR Interactions
[ACM] 2026-5-8 | HapticPipette: Seamless Capture of Object Compliance in Mixed Reality
[IEEE] 2026-5-8 | IMS2026 Registration Announcement
