[2026-04-04 09:32:05] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-04-03
正在获取论文...
[IEEE] 2026-4-3 | Re-Creating Arago’s Disc
[IEEE] 2026-4-3 | WildPose v2: A Compact Tri-Modal Platform for Long-Range Animal Motion Capture
[IEEE] 2026-4-3 | Communication Complexity of Exact Sampling under Rényi Information
[IEEE] 2026-4-3 | Rethinking Topic Modeling With Information Bottleneck Principle
[IEEE] 2026-4-3 | GCL-MSE: Graph Contrastive Learning with Mutual Similarity Enhancement for Drug Repositioning
[IEEE] 2026-4-3 | EasyVoid: A Handheld Coand&amp;#x0103; Effect Uroflowmeter for Accurate and Portable Measurement of Urinary Flow Dynamics_supp1-3679932.pdf
[IEEE] 2026-4-3 | EcoPath: Energy-Efficient Multi-Path Data Aggregation for Ubiquitous Connectivity Services
[IEEE] 2026-4-3 | What You See Is What You Wear: Crafting Garments for Diverse Avatars with Consistent Wearing Effects
[IEEE] 2026-4-3 | Tools and Analysis for Distributed SAR Systems
[IEEE] 2026-4-3 | Network Slicing with Flexible VNF Order: A Branch-and-Bound Approach
[IEEE] 2026-4-3 | A Contrastive Free Energy-Enhanced Transformer Framework for Efficient Reinforcement Learning_supp1-3677738.pdf
[IEEE] 2026-4-3 | Emission Spectroscopy for Tracking Reactive Nitrogen and Oxygen species in DBD Plasma
[IEEE] 2026-4-3 | Beyond Connectivity: An Open Architecture for AI-RAN Convergence in 6G
[IEEE] 2026-4-3 | MTFuse: Fast Multi-Task Network for Infrared and Visible Image Fusion with Brightness Enhancement Four Lines
[IEEE] 2026-4-3 | Investigating the Neural Correlates of a Thermal Illusion in Augmented Reality Using Electroencephalography
[IEEE] 2026-4-3 | A Cubic Boost DC-DC Converter with Reduced Switch Voltage Stress for DC Microgrid Application
[IEEE] 2026-4-3 | 3-D Transient Model of Drawing Vacuum Arc Coupled With CuCr Alloy AMF Contact and Anode Thermal Process
[IEEE] 2026-4-3 | Robust μ-Channel Estimation for IoT and 6G Edge Devices via Defensive Distillation
[IEEE] 2026-4-3 | Circularly Polarized Antenna with Polarization-Compliable PRS Unit Cells for Gain Enhancement and Sidelobe Suppression
[IEEE] 2026-4-3 | The Paradigm Shift Toward User-Centric Digital Identity Approaches: A Systematic Literature Review
[IEEE] 2026-4-3 | A Lightweight Wavelet-Aligned Difference and Mask-Guided Fusion Network for Change Detection
[IEEE] 2026-4-3 | Feature Importance-Aware Deep Joint Source-Channel Coding for Computationally Efficient and Adjustable Image Transmission
[IEEE] 2026-4-3 | Based on the Sub-Image Wavefront Curvature Compensation SAR Imaging Algorithm for High-Speed Maneuvering Platforms
[IEEE] 2026-4-3 | Partial Arm Weight Support Does Not Hamper the Weight Perception of Haptically-Rendered Virtual Objects: A Psychophysics Study
[IEEE] 2026-4-3 | Patent Quality, Institutions, and Innovation Leadership in FinTech: A Multidimensional Machine Learning Analysis_supp1-3680345.docx
[IEEE] 2026-4-3 | A Total Variation Regularizer with Partially Known Support for Pulse-Echo Speed-of-Sound Imaging
[IEEE] 2026-4-3 | A Framework of Automated
                    <i>LC</i>
                    -VCO Design with Physical Layout Based on Reinforcement Learning
[IEEE] 2026-4-3 | IEEE Industrial Electronics Society Information
[IEEE] 2026-4-3 | Impact of Attention Mechanisms and Focal Loss Tuning on RetinaNet Performance for Crop-Weed Detection: A Comparative Study with Anchor-Free Detectors
[IEEE] 2026-4-3 | Multilingual Deepfake Speech Dataset for Robust and Generalizable Detection
[IEEE] 2026-4-3 | Event-Triggered Fault Tolerant Control for Unmanned Marine Vehicle System with Actuator Fault and Disturbance
[IEEE] 2026-4-3 | Unsupervised Domain Adaptation in Biomedical Images Segmentation with Guided Diffusion Generative Prior
[IEEE] 2026-4-3 | UGFusion: Uncertainty-Guided LiDAR-Camera Fusion for 3-D object detection
[IEEE] 2026-4-3 | A Simplified Mathematical Guide to Cyber Assets, Value, and Risk for K–12 Students
[IEEE] 2026-4-3 | Terrain-Inspired Bumpiness Prediction for Off-Road Autonomous Driving
[IEEE] 2026-4-3 | IEEE Transactions on Terahertz Science and Technology Publication Information
[IEEE] 2026-4-3 | Leveraging AI Tools in Engineering Education: Promise and Pitfalls of AI in Software Development
[IEEE] 2026-4-3 | IEEE Industry Applications Society Information
[IEEE] 2026-4-3 | Table of Contents
[IEEE] 2026-4-3 | Semi-Supervised Regression via Hierarchical Confidence Screening and Neighbor-Guided Pseudo-Label Calibration
[IEEE] 2026-4-3 | A 230-GHz Wideband High-Efficiency Beam-Steering 1 × 2 Phased-Array Signal Source in 40-nm CMOS
