[2026-04-17 10:09:54] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-04-16
正在获取论文...
arXiv 请求失败: HTTPSConnectionPool(host='export.arxiv.org', port=443): Max retries exceeded with url: /api/query?search_query=lastUpdatedDate%3A%5B202604160000+TO+202604162359%5D&sortBy=relevance&sortOrder=descending&max_results=100 (Caused by ReadTimeoutError("HTTPSConnectionPool(host='export.arxiv.org', port=443): Read timed out. (read timeout=20)"))
[IEEE] 2026-4-16 | Title Page
[IEEE] 2026-4-16 | Advanced Machine Learning Based Detection of Islanding Using Scalogram and Histogram of Oriented Gradient
[IEEE] 2026-4-16 | 2025 IEEE IMC-SSGP
[IEEE] 2026-4-16 | Weighted Exponential-Product Fusion and Recursive Bayesian Update for Multi-Radar Cooperative Target Recognition
[IEEE] 2026-4-16 | Reinforcement Learning-Based Path Selection Over Self-Generated Time-Evolving Multi-Metric Graphs in Disaster Response Networks
[IEEE] 2026-4-16 | IEEE Transactions on Biometrics, Behavior, and Identity Science Publication Information
[IEEE] 2026-4-16 | Bremsstrahlung Emission in Graphene Nanoribbon for THz Generation
[IEEE] 2026-4-16 | Buffer Management for Timely Reconstruction: Lower Bounds and Near-Optimal Policies
[IEEE] 2026-4-16 | Event-Triggered Optimal Hybrid Control for Switched Nonlinear Multiagent Systems
[IEEE] 2026-4-16 | A Dynamic Spatiotemporal Hybrid Attention Model for Metro Passenger Flow Prediction
[IEEE] 2026-4-16 | Digital Twin Integrated Safe Deep Reinforcement Learning for Resilience Enhancement of Unbalanced Distribution Grids
[IEEE] 2026-4-16 | Combined Design of Targeted Rotor-Step Skewing Schemes for Modulated Vibration Mitigation in Interior Permanent Magnet Synchronous Motors
[IEEE] 2026-4-16 | 2025 IEEE International Conference on Distributed Ledger Technologies (ICDLT)
[IEEE] 2026-4-16 | Capacities of Entanglement Distribution From a Central Source
[IEEE] 2026-4-16 | Copyright Page
[IEEE] 2026-4-16 | Special Issue for Selected Papers from EAPPC/BEAMS/EML 2026
[IEEE] 2026-4-16 | Grant-Free NOMA in Cell-Free Massive MIMO Over Universal Filtered Multicarrier for mURLLC
[IEEE] 2026-4-16 | Stress Assessment of Bridge Steel Based on Magnetic Memory Effect Measurement and Force-Magnetic Coupling
[IEEE] 2026-4-16 | A Secure and Reliable Privacy-Preserving Authentication Protocol for UAV–UAV Communications in IoT Systems
[IEEE] 2026-4-16 | A Generalized Design Methodology for Multi-Input Collaborative-Flip Synchronized Switch Harvesting on Capacitors: From Theory to Optimization Strategy
[IEEE] 2026-4-16 | Robust PID Controllers with Measurement Filters for Arbitrary-order Uncertain Time-Delay Systems
[IEEE] 2026-4-16 | Ubiquitous,Transparent,Security and Privacy: Challenges and Applications
[IEEE] 2026-4-16 | Does Explicit Reasoning Improve Translation? Benchmarking Chain-of-Thought vs. In-Context Learning for Indonesian-English Language Pairs
[IEEE] 2026-4-16 | Prediction of Javanese Language Usage Preference in Daily Life using Machine Learning
[IEEE] 2026-4-16 | Does Bigger Mean Better? Comparative Analysis of CNNs and Biomedical Vision-Language Models in Medical Diagnosis
[IEEE] 2026-4-16 | AI Corn Pest Detection via Leaf Damage
[IEEE] 2026-4-16 | Reducing Accessibility Gap to Specialized M-LLMs with General-Purpose M-LLMs
[IEEE] 2026-4-16 | HiveVeritas: An Explainable AI and Edgeoptimized Adaptive Fusion Framework for Maize Seed Vigor Prediction
[IEEE] 2026-4-16 | On the Identification of Fractional Parameter-Varying Wiener Systems
[IEEE] 2026-4-16 | Evolution of Explainable AI in Healthcare: Toward Trustworthy and Accurate Diagnostics
[IEEE] 2026-4-16 | KSGraphLSTM-Based Dynamic Liquid Level Prediction for Oil Well Production Control Systems
[IEEE] 2026-4-16 | An Explainable Hybrid Deep Learning Framework for DDoS Attack Detection in IoT
[IEEE] 2026-4-16 | A Multimodal LLM-Agent for General-Purpose Video Editing with Adaptive Quality Feedback and Co-Creative Control
[IEEE] 2026-4-16 | Recent Advances and Future Trends in Robot Manufacturing: A Comprehensive Review
[IEEE] 2026-4-16 | Enhancing Phishing Detection Using an Ensemble Model and Hyperparameter Tuning
[IEEE] 2026-4-16 | AI-Driven Foreign Object Debris (FOD) Detection on Airport Runways using Faster R-CNN
[IEEE] 2026-4-16 | Explainable and Fairness-Aware AI for Housing Subsidy Allocation in Smart-City Governance
[IEEE] 2026-4-16 | A Feedback-Enabled Seating Mat for Weight Shifting Training in Paraplegic Wheelchair Users
[IEEE] 2026-4-16 | Design and Implementation of a Pressure Control Simulator for Water Distribution Systems Using Adaptive Fuzzy-PID
[IEEE] 2026-4-16 | Advanced Machine Learning Methodologies for Semantic Understanding and Continuous Localization of Lane Boundaries in Driver Assistance Systems
[IEEE] 2026-4-16 | Quickest Change Detection of Network Structure in Forest Ising Models
[IEEE] 2026-4-16 | Compact Ultrawideband Antenna for Next-Generation Brain Machine Interfaces
[IEEE] 2026-4-16 | The Impact of AI-Based Chatbots on Reducing Cart Abandonment in Indonesian E-Commerce
[IEEE] 2026-4-16 | Comparative Study of BERT and Conventional NLP Models for Kannada News Categorization
[IEEE] 2026-4-16 | Development of a Camera-Based Non-Contact Hand Rehabilitation Support System
[IEEE] 2026-4-16 | Fuzzy Logic-Based Intelligent Conveyor Motor Control Using ESP32 and PLC Outseal
[IEEE] 2026-4-16 | Artificial Intelligence in Slovak Higher Education: Perceptions and Patterns of Use among Students
[IEEE] 2026-4-16 | 3D CNN with Multi-ROI Features for Alzheimer's Classification from Brain MRI
[IEEE] 2026-4-16 | A Comprehensive Taxonomy and Dynamic Optimization Framework for Fuzzy C-Means Clustering
[IEEE] 2026-4-16 | Interpretable Machine Learning in Guided Synthesis of Stable Sols Based on Nanosized Titanium Oxides
[IEEE] 2026-4-16 | A Cyber-Security Framework for Behavior-Driven Ransomware Detection Using Graph Neural Networks on System Call Dependency Traces
[IEEE] 2026-4-16 | Fire Detection System Using Deep Learning
[IEEE] 2026-4-16 | Deep Learning-Based Ophthalmic Ultrasound Image Classification System for Assisted Diagnosis
[IEEE] 2026-4-16 | Adaptive UAV-Assisted Signal Acquisition and Low-Latency Processing Framework for Distributed Measurement Systems
[IEEE] 2026-4-16 | Building Competences in Artificial Intelligence and Learning Analytics for Personalized Teaching in Higher Education
[IEEE] 2026-4-16 | Reducing Hallucination in LLMs via Monte Carlo Tree Search with Knowledge Graph Guidance
[IEEE] 2026-4-16 | 4LM: Local Lightweight LLMs for Image Captioning on Embedded Systems
[IEEE] 2026-4-16 | Data-Driven Prediction of Lithium-Ion Battery Rul and Capacity Using Health Indicators
[IEEE] 2026-4-16 | Phase Change Materials for Enhanced Thermal Energy Storage in Building Applications
[IEEE] 2026-4-16 | A Multi-Modal Dataset for NFT Recommendation Systems
[IEEE] 2026-4-16 | Improved Current Quality in Two-Stage Small Wind Turbine: Full-Bridge Converter and Six-Arm Inverter
[IEEE] 2026-4-16 | Effect of High Current Density Electrodeposition of Zn-Mn on Aluminum Air Battery Anode
[IEEE] 2026-4-16 | Multiple Influences on the Future of Agricultural Product Drying in Agriculture: Regional Perspectives
[IEEE] 2026-4-16 | Novel Approach to Achieve Multi-Dimensional View of DevOps Adoption in Tech Culture: From Legacy to Agility
[IEEE] 2026-4-16 | Self-Steering Reduced-Complexity Adaptive Antenna Array for Global Navigation Satellite Systems
[IEEE] 2026-4-16 | From Fragmentation to Trust: Standardizing Communication in Federated Learning
[IEEE] 2026-4-16 | Implementation of a Cost-Effective Arduino UNO Based Drone for Agricultural Applications
[IEEE] 2026-4-16 | Hair Artifact Removal in Dermoscopic Images using DWT and VAE-GAN
[IEEE] 2026-4-16 | Generative Adversarial Network Assisted Feature Augmentation for Credit Scoring Enhancement
