[2026-04-26 09:48:44] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-04-25
正在获取论文...
[ACM] 2026-4-25 | Erratum: Annotated Automatic Pruning of Universal Probabilistic Programming Languages
[ACM] 2026-4-25 | Revisiting the Hint Button: Consistent Negative Associations Between Unproductive Hint Use and Learning Outcomes in Intelligent Tutoring Systems
[ACM] 2026-4-25 | EnVector: Encoding using Pattern based Vectors for Energy Efficient Non-Volatile Main Memories
[ACM] 2026-4-25 | Requirements and Application Design for a Digital-intelligent Warfare Case Teaching System
[ACM] 2026-4-25 | Generation of Chinese Arithmetic Word Problems with Controllable Difficulty Levels Based on Pre-trained Models
[ACM] 2026-4-25 | Personalized Learning Path Design and Implementation of the “Principles and Applications of Microcontrollers” Course from the Perspective of Digital and Intelligent Empowerment
[ACM] 2026-4-25 | An AI-Enabled Bimodal Learning Analytics Framework for Enhancing Project-Based Learning: An Empirical Study
[ACM] 2026-4-25 | Deep Learning-Based Exchange Rate Risk Early Warning for Cross-Border E-Commerce Supply Chains in Dongguan
[ACM] 2026-4-25 | Traffic Flow Prediction and Signal Coordination Control for Smart Cities Based on Multi-source Big Data and an Improved Long Short-term Memory Model
[ACM] 2026-4-25 | Research on Risk Evolution Mechanism of Civil Aviation Turbulence Accidents Based on Expert-in-the-Loop Deep Semantic Generation
[ACM] 2026-4-25 | AI-Enabled Learning Analytics and Intelligent Interaction System for Chinese College English Flipped Classrooms: Model Reconstruction and Effectiveness Evaluation
[ACM] 2026-4-25 | Research on logistics distribution Route optimization based on Big data Analysis
[ACM] 2026-4-25 | Introduction to the Special Issue on Systems for Energy-Efficient Buildings, Cities, and Transportation
[ACM] 2026-4-25 | Strengthening Course Transfer Pathways Using Graph-Theoretic Articulation Networks
[ACM] 2026-4-25 | From Intra-Unit Abort to Completion: Optimizing Engagement in Low-Resource Classrooms
[ACM] 2026-4-25 | A Transformer-Based Collaborative Evaluation Method for Teaching Effectiveness and Ideological Alignment in College Ideological and Political Education
[ACM] 2026-4-25 | Design of a Digital Support System for Enhancing Intercultural Adaptation Competence: An Empirical Study Based on a Data-Driven Model
[ACM] 2026-4-25 | A Study on How GAI-Supported Adaptive Self-Regulated Learning Scaffolding Influences Computational Thinking and Cognitive Load in Primary School Pupils
[ACM] 2026-4-25 | Adaptive Gated Multi-Scale Deep Neural Network for Solving Multi-Frequency Problems
[ACM] 2026-4-25 | Stock Price Forecasting Model Based on Attention-MLP-GPR
[ACM] 2026-4-25 | On Parallel
                    <i>𝑘</i>
                    -Center Clustering
[ACM] 2026-4-25 | Design and Verification of an AI-Assisted English Oral Interaction Teaching System Incorporating Emotional Computing
[ACM] 2026-4-25 | Analysis of Stirring and Mixing Dead Zones in Cementing Mixing Tanks Based on Computational Fluid Dynamics (CFD) Modeling
[ACM] 2026-4-25 | A Multi-Task Fusion Model for Scene-Level Spatial Cognitive Information Extraction in Indoor Safety Monitoring of Elderly-Assisting Robots
[ACM] 2026-4-25 | Research on health situation awareness of integrated energy system in micro grid with hydrogen energy based on improved FAHP-GA algorithm
[ACM] 2026-4-25 | Construction and Experimental Design of a Three-Dimensional Evaluation System for Python Programming Courses
