[2026-09-14 15:33:27] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-09-13
正在获取论文...
arXiv 请求失败: HTTPSConnectionPool(host='export.arxiv.org', port=443): Max retries exceeded with url: /api/query?search_query=lastUpdatedDate%3A%5B202609130000+TO+202609132359%5D&sortBy=relevance&sortOrder=descending&max_results=100 (Caused by ResponseError('too many 429 error responses'))
[ACM] 2026-9-13 | AsymFlow: Enabling Long-Context LLM Serving via CPU-GPU Prefill-Decode Disaggregation
[ACM] 2026-9-13 | FAST: A Holistic Framework for Optimizing Memory-I/O, Computation, and Sampling in Temporal GNN Training
[ACM] 2026-9-13 | TFS: Tile-Aware SpMM–GeMM Fusion for Accelerating GNN Inference on Intel AMX
[ACM] 2026-9-14 | Dimensions of Self-Disclosure and Visual Self-Presentation in WhatsApp Profile Pictures Among Young Adults
[ACM] 2026-9-13 | MAGSAT: Memory-Access-Guided Fusion and Shape-Adaptive Auto-Tuning for Dynamic Tensor Programs
[ACM] 2026-9-13 | Coflow Scheduling in Hybrid-Switched Data Center Networks under Not-All-Stop Reconfiguration
[ACM] 2026-9-14 | Symptoms matters: commonality and variability of gaming disorder symptoms across 35 countries
[ACM] 2026-9-14 | Processing of Real and AI-Generated Human Faces: An Exploratory EEG Study
[ACM] 2026-9-13 | RDPart: A reuse-based OS-level cache-partitioning policy for fairness optimization in cloud data centers
[ACM] 2026-9-13 | Asynchronous Dispersion with Optimal Time Complexity
[ACM] 2026-9-13 | RapidGEMM: An Efficient Tile-agnostic GEMM for Mixture-of-Experts Training
[ACM] 2026-9-13 | WAQ-LLM: Optimizing Multi-Instance LLM Deployment via Workload-Aware Queueing Model
[ACM] 2026-9-13 | CoTC-SpMM: A Cooperative Tensor–CUDA Cores Scheme for Efficient Sparse Matrix Multiplication
[ACM] 2026-9-14 | Externalization by Design: Cognitive Load, Bounded AI, and Process-Level Accountability in Expert Knowledge Systems
[ACM] 2026-9-14 | SleuthTalk: Supporting Historical Photo Identification with Private Workspaces for Collective Sensemaking and Deliberation
[ACM] 2026-9-14 | Analyzing the Interest in Digital Wellbeing Services: Are People More Willing to Pay for Them on Social Network Sites or Messaging Platforms?
[ACM] 2026-9-13 | Chameleon: Adaptive Bidirectional Pipeline Parallelism for Edge Collaborative Training
[ACM] 2026-9-13 | RSC: Enabling High-Performance RDMA for Serverless Services with Adaptive Network Multiplexing
[ACM] 2026-9-13 | Scalable Exact Path Selection via Structure-Aware Search for Virtual Payment Channels
[ACM] 2026-9-13 | Bypass-Enabled Topology-Agnostic Multicast Router for Fault-Tolerant Network-on-Chips
[ACM] 2026-9-14 | The Red Shoes 2
[ACM] 2026-9-14 | SIHG-Rec: Unleashing the Power of Semantic and Interactive Homogeneous Graphs via Dual-Stage Fusion for Multimodal Recommendation
[ACM] 2026-9-13 | RPSC: Robust LLM Scheduling by Tolerating Prediction Inaccuracy and Mitigating Tail Latency
[ACM] 2026-9-13 | Parallel Prefix Filter Search for Weighted Jaccard Similarity
[ACM] 2026-9-13 | Edge-Cloud Collaborative RAG with Multi-State Semantic Caching
[ACM] 2026-9-13 | StreamTrace: Fast Trace Analysis for Large-Scale Parallel Applications on a Single Node
[ACM] 2026-9-13 | Proceedings of the 55th International Conference on Parallel Processing
[ACM] 2026-9-13 | ZSWP: Rollback-Free Spherical ε-Join for Scalable Astronomical Cross-Matching on Heterogeneous Supercomputer Architectures
[ACM] 2026-9-13 | SimPattern: A Novel Byte-Pattern Matching based Chunk Similarity Detection for Post-Deduplication
[ACM] 2026-9-13 | AFH-SpMM: Auto-Fit Heterogeneous Block Sparse-Dense Matrix Multiplication on Tensor Core GPUs
[ACM] 2026-9-13 | Elasticity in Parallel Sparse Triangular Solve
[ACM] 2026-9-14 | A Phygital Game Prototype to Support Speech-Therapy-in-the-Loop AI in Pediatric Rehabilitation
[ACM] 2026-9-13 | MOPAR: A Model Partitioning Framework for Deep Learning Inference Services on Serverless Platforms
[ACM] 2026-9-13 | PIM-Forge: Toward Autonomous PIM Kernel Synthesis through Constraint-Guided Hardware Exploration
[ACM] 2026-9-14 | Balancing immersion and usability in virtual reality training: Effects on self-efficacy and user experience in mass casualty incident simulation
[ACM] 2026-9-14 | Visual Storytelling for Knowledge Sharing in Co-Design Workshops on Urban Air Mobility
[ACM] 2026-9-13 | Low-bit and Sparsified Gradient Communication for Accelerating Distributed Deep Learning with Convergence Guarantees
[ACM] 2026-9-13 | RayFST: Accelerating Finite-State Transducer Composition with Ray Tracing Cores
[ACM] 2026-9-13 | DiCTR: A Distributed Lightweight Second-Order Optimization Algorithm for Deep Model Training
[ACM] 2026-9-14 | Do Hedonic Aspects of Context Bias UX Evaluation? Evidence from Controlled Virtual Environments
[ACM] 2026-9-14 | Proceedings of the 2026 European Conference on Cognitive Ergonomics
[ACM] 2026-9-13 | ZNStore: Decomposing the B+Tree Write Path for Zoned Namespace SSDs
[ACM] 2026-9-14 | Using AI-Generated Videos to Simulate Different People Communicating the Same Healthcare Needs: An Exploratory Study of Care Prioritisation and Trust Across Health Professional and Public Groups
[ACM] 2026-9-14 | deMIT Open Research: A Cognitively Sustainable Infrastructure for Shared Knowledge
[ACM] 2026-9-14 | Gender Representation in Chatbot Design: Implications for User Experience
[ACM] 2026-9-13 | Revealing NVIDIA Closed-Source Driver Command Streams for CPU–GPU Runtime Behavior Insight
[ACM] 2026-9-13 | Sparsity-aware Fine-Grained Parallelization for Set Intersection Computations in Graph Datasets
[ACM] 2026-9-13 | AIE-HE: Accelerating Client-Side Processing of Homomorphic Encryption on AMD AI Engine
[ACM] 2026-9-13 | Thinking Globally, Acting Locally: Merge Sort's Auto-Vectorization on Shuffle-Heavy ISAs
[ACM] 2026-9-13 | A Low-Overhead, Lightweight, Lossless GPU Compression Algorithm for Numerical Simulations
[ACM] 2026-9-14 | Articulation Work and Conventions: The Workers’ Experience
[ACM] 2026-9-13 | Online Scheduling of Battery-Aware Speculative Decoding for Energy-Efficient Cloud-Edge Collaborative LLM Inference
[ACM] 2026-9-13 | FNR: A Probabilistic Data Repair Scheme for Reed-Solomon Coded Storage Amid Network Fluctuations
[ACM] 2026-9-13 | High-Performance Virtual Screening Based on Parallel Molecular Dynamics Simulations with Early Termination
[ACM] 2026-9-14 | GPU-Accelerated Gate-Level Time-Based Power Analysis via Event-Density-Aware Partitioning and Kernel Fusion
[ACM] 2026-9-13 | GroupKV: Hierarchical KV Cache Management for Long-Context Diffusion LLM Inference
[ACM] 2026-9-13 | SSQT: A Hardware-Friendly Fusion Compression Framework of Structured Sparsification and Sensitivity-Driven Quantization for Large-Scale Language Models
[ACM] 2026-9-13 | AtomFlow: Accelerating GNN-Based Molecular Dynamics with ab initio Accuracy on Fugaku Supercomputer
[ACM] 2026-9-13 | Pagoda: Time and Energy Rooflines for DNN Workloads on Edge Accelerators Across Power Modes
[ACM] 2026-9-13 | In-Copy Fusion: Runtime Argument Fusion for Efficient OpenMP GPU Offloading
[ACM] 2026-9-14 | Employer organisations and counsellor attitudes towards digital interventions for mental health and wellbeing within the workplace: A qualitative analysis
[ACM] 2026-9-13 | Microservices Scheduling with ReS Model: Characterization, Regulation and Metrics
[ACM] 2026-9-13 | Memory-Aware Joint Optimisation of Partitioning and Scheduling for Pipeline-Parallel Training
[ACM] 2026-9-13 | PIM-Pai: Boosting the Performance of Index Structures with Minimal Effort on Processing-in-Memory Architecture
[ACM] 2026-9-13 | Query Density-Driven Partitioning for Spatiotemporal Load Balancing on Processing-in-Memory Systems
[ACM] 2026-9-13 | HGB+-Tree: An Hourglass-like B+-tree for Persistent Memory
[ACM] 2026-9-13 | CmptQuiet: Optimizing Tail Latency and Throughput in LSM-Tree Key-Value Stores via Contention-Aware Compaction
[ACM] 2026-9-14 | Implicit Physical Coordination as a Group-Level Trait: Preliminary Evidence from Youth Football
[ACM] 2026-9-14 | Bullseye Hash: An Efficient Hash-Table for Sparse Tensor Contraction
[ACM] 2026-9-13 | Tempest: A GPU-Accelerated Engine for Streaming Temporal Random Walks
[ACM] 2026-9-13 | SQUASH: Distributed Square Estimation with Provable Error Bounds for Dynamic Graphs
[ACM] 2026-9-13 | ActiveRDMA: SmartNIC-offloaded, Multi-Step RDMA operations
