[2026-07-05 11:00:45] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-07-04
正在获取论文...
[ACM] 2026-7-4 | Digital Twins for Science and Industry
[ACM] 2026-7-4 | Graphics In Medicine: From the Dev Floor to the Operating Room 2
[ACM] 2026-7-4 | Creating Wireless Sensor Network Target Tracking Strategy and Data Fusion Based on Blockchain Technology Integration
[ACM] 2026-7-4 | An IoT-Based Smart Bedside Information System with Hybrid Encryption for Healthcare Applications
[ACM] 2026-7-4 | Blockchain Reputation Oracles: An MCP-Based Study
[ACM] 2026-7-4 | Opportunities and Challenges for Data Quality in the Era of Quantum Computing
[ACM] 2026-7-4 | Characterizing the Set of Information Systems of a Brazilian State Court as a System-of-Systems
[ACM] 2026-7-4 | ObsAct: a Programming Model for Opportunistic IoT Applications using the Mobile-Hub
[ACM] 2026-7-5 | JunoBench: A Benchmark Dataset of Crashes in Python Machine Learning Jupyter Notebooks
[ACM] 2026-7-4 | The Previs Battleground: Precision Planning vs Creative Freedom
[ACM] 2026-7-5 | Deterministic vs. LLM-Controlled Orchestration for COBOL-to-Python Modernization
[ACM] 2026-7-4 | Proceedings of the 8th International Workshop on Emerging Trends in Software Engineering for Blockchain
[ACM] 2026-7-4 | Towards an Intelligent Platform for Supporting Quality Assessment in Blockchain Systems
[ACM] 2026-7-4 | A Proof of Success and Reward Distribution Protocol for Multi-bridge Architecture in Cross-chain Communication
[ACM] 2026-7-4 | The Gas Burn Identity: Early Detection of Gas-Intensive Functions and Patterns in Smart Contracts
[ACM] 2026-7-4 | BLISS: A Visual Modeling Notation for Engineering Energy-Harvesting IoT Systems
[ACM] 2026-7-4 | Proceedings of the 2025 Special Interest Group on Computer Graphics and Interactive Techniques Conference Panels
[ACM] 2026-7-4 | Aided Design Approach for Creating Sticker LINE Cartoon Characters by Stable Diffusion Model
[ACM] 2026-7-5 | Executable but Unlearnable: Designing Code That Resists LLM-Based Learning
[ACM] 2026-7-5 | Do Agents Dream of Root Shells? Partial-Credit Evaluation of LLM Agents in Capture the Flag Challenges
[ACM] 2026-7-4 | Software Engineering for Renewable Energy Research
[ACM] 2026-7-4 | Application of Technology Readiness Level to Research Software
[ACM] 2026-7-4 | Proceedings of the 2026 International Workshop on Responsible AI Engineering
[ACM] 2026-7-4 | A Wearable Shader-ball (Invited Talk)
[ACM] 2026-7-4 | Advancing Virtual Production: Technical Innovations and Collaborative Pipelines for Film, TV &amp; Live Events
[ACM] 2026-7-4 | Evolving Competencies in Blockchain Engineering: A Longitudinal Replication Study
