[2025-12-26 09:12:00] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2025-12-25
正在获取论文...
[IEEE] 2025-12-25 | ITIS 2025 Cover Page
[IEEE] 2025-12-25 | VTS Awards Presented at VTC2025-Fall in Chengdu, China [Awards]
[IEEE] 2025-12-25 | Reinforcement Learning-Based Formation Control for Networked Fixed-Wing UAVs: Self-Triggered Observer–Feedforward–Feedback Design and Experiment
[IEEE] 2025-12-25 | Unleashing the Potential of Multiple WiFi APs in Real-World Localization System
[IEEE] 2025-12-25 | Passive LC Relay Network-Enabled Battery-free Chipless IoT Smart Clothing for Simultaneous Multi-Site Hemodynamic Monitoring_supp4-3647891.mp4
[IEEE] 2025-12-25 | DFT-s-OFDM-Based Linear Frequency Modulated Pulse Waveforms for ISAC Systems
[IEEE] 2025-12-25 | Table of Contents
[IEEE] 2025-12-25 | Behavior-Controllable Stable Dynamics Models on Riemannian Configuration Manifolds_supp1-3647763.mp4
[ACM] 2025-12-25 | A Comprehensive Survey and Taxonomy of Cybersecurity Challenges and Proactive Measures for IoD
[IEEE] 2025-12-25 | Adaptive Tuning of the Unscented Kalman Filter using Particle Swarm Optimization for Inertial-GPS Sensor Fusion Systems
[IEEE] 2025-12-25 | Vision-Guided Control of a 3-DoF Robotic Arm for Seaweed Sorting using Faster R-CNN
[IEEE] 2025-12-25 | Multi-class Classification for Natural Language Processing
[IEEE] 2025-12-25 | Non-programmers Assessing AI-Generated Code: A Case Study of Business Users Analyzing Data
[IEEE] 2025-12-25 | Multigrain Sentiment Analysis on User Reviews in Bulgarian – Comparison Between Stemmed and Non-stemmed Data
[IEEE] 2025-12-25 | Effect of the Atmospheric Boundary Layer on a Simplified Truck Model
[IEEE] 2025-12-25 | Understanding User and Developer Perceptions of and Responses to Dark Patterns in Online UIs
[IEEE] 2025-12-25 | Digital Twin Framework for Multi-Tank Systems with OPC UA Interoperability and Real-Time Control and Visualization
[IEEE] 2025-12-25 | Algorithm of Quantum Walk From Energy-Based Bayesian Probabilities
[IEEE] 2025-12-25 | Weather Data Prediction using the XGBoost Algorithm on a LoRa-Based Weather Station System
[IEEE] 2025-12-25 | System-Wise Reliability Assessment in District Heating Systems: Integrating Technical and Customer-Centric Indices
[IEEE] 2025-12-25 | Design of MCU Controlled Universal Motor Driver for Remote Operation
[IEEE] 2025-12-25 | Benchmarking and Teaching Symmetric Cryptography: A Comparative Study of Algorithms and Cryptanalysis Methods with an Educational Simulator
[IEEE] 2025-12-25 | RemoteCollabEval: An Inspection Method for Interpersonal Dynamics in Remote Tools
[IEEE] 2025-12-25 | Leveraging Clinical Text and Class Conditioning for 3D Prostate MRI Generation
[IEEE] 2025-12-25 | A Flexible High-accuracy Memristor Model Using Varactors
[IEEE] 2025-12-25 | Sound-to-Vibration Transformation for Sensorless Motor Health Monitoring
[IEEE] 2025-12-25 | A Self-Balancing Bipedal Exoskeleton AutoLEE-G3 With Bioinspired Design and Control
[IEEE] 2025-12-25 | Table of Contents
[IEEE] 2025-12-25 | On the Performance of an Explicit Generalized Finite Element Method for One-dimensional Elastodynamics Problems with Singularities
[IEEE] 2025-12-25 | IEEE Dielectrics and Electrical Insulation Society Information
[IEEE] 2025-12-25 | A Bayesian Hybrid Attention Module for Underwater Acoustic Target Recognition
[IEEE] 2025-12-25 | Towards a Holistic Understanding of Digital Innovation: A Multidimensional Approach
[IEEE] 2025-12-25 | Frame-Channel Model for Microservice Architecture
[IEEE] 2025-12-25 | Novel voltage observer for reduced voltage soft-starter torque ramp
[IEEE] 2025-12-25 | Multi-Robot Formation Control Using a Double Integrator Consensus Scheme: Experimental Validation
[IEEE] 2025-12-25 | Intelligent system design to monitor organizational climate at a university using TinyML and emotion detection
[IEEE] 2025-12-25 | Prediction for Dissolved Gas in Power Transformer Oil Based on Transfer Learning and Mutation Detection
[IEEE] 2025-12-25 | Simulation of a Two-way Long Line Channel in LTE Mobile Networks
[IEEE] 2025-12-25 | A Compact USB-Based Interface Module for The Verification of ARINC429 Avionics Systems
[IEEE] 2025-12-25 | Low-cost unified monitoring platform for enterprise networks based on free software
[IEEE] 2025-12-25 | Design and implementation of a meteorological data logging device integrating LoRaWAN and ESP32
[IEEE] 2025-12-25 | Enhancing Cybersecurity Resilience: Addressing Emerging Technology Challenges in Developing Countries Using Activity Theory
[IEEE] 2025-12-25 | Web-Based Marketplace to Empowering Local MSMEs: A Policy–Technology Integration using the Waterfall Method
[IEEE] 2025-12-25 | Robust Null-Space Controller with Sliding Mode for Hierarchical Task Execution in Multi-Robot Formations: Experimental Validation
[IEEE] 2025-12-25 | Smart manufacturing model to improve sewing line efficiency using TPM, IoT, SMED, and Industry 4.0 Poka-Yoke: A Case Study
[IEEE] 2025-12-25 | Clustering and Anomaly Detection for Churn Prediction in POS Payment Systems
[IEEE] 2025-12-25 | Smart Approval of Gaming API Applications Through BERT and MLP Classification Models
[IEEE] 2025-12-25 | Governance in Decentralized Finance: Aligning DAOs with IT Management and Regulatory Compliance in Indonesia
[IEEE] 2025-12-25 | Multisensory Assistive Systems for English Language Learning through Virtual Reality and Artificial Intelligence
[IEEE] 2025-12-25 | Study of Failover Time in Site-to-Site VPNs Across Leading Firewall Vendors: Fortinet, Check Point, Palo Alto, and Cisco
[IEEE] 2025-12-25 | Design and Analysis of a Combine Hydrostatic Powertrain Drive for All Wheels
[IEEE] 2025-12-25 | Investigation of Dual-fuel Diesel Engine Performance with Ammonia and Change of Compression Ratio
[IEEE] 2025-12-25 | Application of FDM Printing with PEEK for the Development of a Robotic Rehabilitation Device for Children with Musculoskeletal Disorders
[IEEE] 2025-12-25 | Reconceptualizing Identity in the Information Age: The Role of Temporal Focus in IT identity Shaping
[IEEE] 2025-12-25 | Redesigning Mechatronics Education: A First Exploration with 4C/ID
