[2025-12-13 09:09:19] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2025-12-12
正在获取论文...
[ACM] 2025-12-12 | Datalog-Expressibility for Monadic and Guarded Second-Order Logic
[ACM] 2025-12-12 | Modeling Emotions in Multimodal LLMs
[IEEE] 2025-12-12 | Real-Time ECG Recognition Using Convolutional Spiking Neural Networks with Sparse Encoding for Arrhythmia Detection
[IEEE] 2025-12-12 | Adaptive Space Decomposition and Directional Sampling Algorithm for Large-Scale Disassembly Line Balancing Problem
[IEEE] 2025-12-12 | Energy-Age of Incorrect Information Trade-off with Timer-Based Sleep-Wake Scheduling
[IEEE] 2025-12-12 | Optimizing Indoor RIS-Aided Physical Layer Security: A Codebook-Generation Methodology and Measurement-Based Analysis
[IEEE] 2025-12-12 | Accidents Involving Telecommunication Cables on Power Poles: Global Challenges and Evidence-Based Solutions
[IEEE] 2025-12-12 | Application of Stochastic Configuration Networks in Offshore Wind Power Forecasting Projects Under Extreme Weather Conditions
[IEEE] 2025-12-12 | Social Doppler: A Framework for Mechatronic Perception Beyond Physical Radar
[IEEE] 2025-12-12 | Software-Defined Parallel LiDARs for Active 3D Perception
[IEEE] 2025-12-12 | Influence of Accelerated Aging of Lead-Free Sn Plating on Connector Extraction Force
[IEEE] 2025-12-12 | VELO: A Variational Autoencoder Enhanced Differential Evolution Algorithm for Task Offloading in Vehicular Edge Computing
[IEEE] 2025-12-12 | Bridging Time Series and Fault Knowledge with Temporal Semantic Diffusion Learning for Zero-Shot Diagnosis
[IEEE] 2025-12-12 | False Memory via Quantum Tunnelling: A Photosynthetic Simulation of Social Cyber Engineering Risks
[IEEE] 2025-12-12 | GAN-Powered Brain Tumor Imaging: Generating Brain Tumor MRI Images with DCGAN
[IEEE] 2025-12-12 | Development of a Touch Sensing System for Retroperitoneal Organ Dissection Training
[IEEE] 2025-12-12 | AICDMB 2025 Author Index
[IEEE] 2025-12-12 | SNR and Resource Adaptive Deep JSCC for Distributed IoT Image Classification
[IEEE] 2025-12-12 | Full-Stack based Student Management System &amp; Proactive Dropout Mitigation of School Students using Machine Learning Algorithms
[IEEE] 2025-12-12 | ICCE-Berlin 2025 Author Index
[IEEE] 2025-12-12 | Self-Supervised Continuous Colormap Recovery from a 2D Scalar Field Visualization without a Legend
[IEEE] 2025-12-12 | Resource Allocation of Terrestrial-Satellite Service in Coexistence with Earth Exploration Satellites
[IEEE] 2025-12-12 | Examining the “Operability of Digital Device” Dimension in Learning-Style Models
[IEEE] 2025-12-12 | Implementing a Real-Time ISSS Noise Suppression Method in a Single-Board Computer
                    <sup>*</sup>
[IEEE] 2025-12-12 | High-Dimensional Hybrid Modulation (HDHM): Bridging Coherent and Noncoherent Transmissions
[IEEE] 2025-12-12 | Reducing Computational Cost in Pedestrian Conversation Activity Recognition through Skeleton Spatiotemporal Graphs
[IEEE] 2025-12-12 | Toward Seamless Connectivity: HAPS-Assisted Hybrid THz/FSO Bidirectional Communication for Multi-Satellite Multi-Ground Station Network
[IEEE] 2025-12-12 | D-Band Adaptive Beamforming for 6G Sub-THz Communications: Feasibility and Experimental Results
