[2025-12-31 09:14:28] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2025-12-30
正在获取论文...
[IEEE] 2025-12-30 | Table of Contents
[IEEE] 2025-12-30 | Tutorial: Small Object Detection in UAV Imagery: Challenges and Solutions
[IEEE] 2025-12-30 | Table of Contents
[IEEE] 2025-12-30 | ICEMI 2025 Commentary
[IEEE] 2025-12-30 | Sponsors and Partners
[IEEE] 2025-12-30 | Message from the General Chair of ICIC 2025
[IEEE] 2025-12-30 | 2025 International Conference on Sustainable Communication Networks and Application (ICSCN)
[IEEE] 2025-12-30 | Passive Fault-Tolerant Control of Lifting-Wing Quadrotors: Ensuring Nondegraded Flight Under Rotor or Aileron Failure
[IEEE] 2025-12-30 | Demand-Oriented Autonomous Navigation for Mobile Robots With Vector-Semantic Mapping in Urban Environments
[IEEE] 2025-12-30 | Prior-Aware Joint User Pose Estimation and Mobile BS Calibration via Multiple View Geometry
[IEEE] 2025-12-30 | Design, Analysis, and Prototyping of a Novel Modular Permanent-Magnet Radial Flux High-Speed Generator With a Ring-Shaped Winding
[IEEE] 2025-12-30 | Small-Object Detection at the Edge: A Pareto-Efficient Benchmark of Lightweight YOLO Models on UAV and Overhead Datasets_supp3-3648968.docx
[IEEE] 2025-12-30 | Adaptive Robotic Behavior in Industrial Human–Robot Collaboration: A Systematic Review of Taxonomies, Enabling Mechanisms, and Research Frontiers
[IEEE] 2025-12-30 | Empowering IIoT with Federated Edge Learning for Human Activity Recognition Problems
[IEEE] 2025-12-30 | Calibratable Oscillatory Neurons Based on VO Memristors for Precision Neuromorphic Computing_supp1-3649000.docx
[IEEE] 2025-12-30 | A 240 Elements Matrix Probe with Aberration Mask for 4D Carotid Artery Computational Ultrasound Imaging_supp2-3648199.mp4
[IEEE] 2025-12-30 | Sentinel-2 Multispectral Imagery Case-I Water Semi-Analytical Bathymetry Retrieval Model Assisted by Satellite-Derived Pixel Substrate Spectrum
[IEEE] 2025-12-30 | DALAD: Unsupervised Detection of Global and Local Anomalies in Microservice Systems
[IEEE] 2025-12-30 | High-Order Fully Actuated System Approach-Based Controller Design for Tailsitter in Flight Mode Transitions
[IEEE] 2025-12-30 | Defect-Aware Built-In Self-Test and Dynamic Repair for Fan-Out Wafer-Level Packaging
[IEEE] 2025-12-30 | Nonlinear Model Predictive Control of a Hybrid Thermal Management System
[ACM] 2025-12-30 | DNN Partitioning for Cooperative Inference in Edge Intelligence: Modeling, Solutions, Toolchains
[ACM] 2025-12-31 | Machine learning techniques are compared to evaluate their prediction performance for the length of stay (LOS) in patients undergoing appendicitis surgery
[ACM] 2025-12-31 | Design, Implementation, and Evaluation of a Serious Game for Children with Juvenile Idiopathic Arthritis
[IEEE] 2025-12-30 | Characteristic Modes of Quantum Light for Applications in Quantum Metrology
[IEEE] 2025-12-30 | Llm4mcu-Onto: Leveraging Llms for Automated Ontology Generation From Microcontroller Reference Manual
