[2026-01-03 09:09:53] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-01-02
正在获取论文...
[IEEE] 2026-1-2 | Author Papers Index ENC 2025
[IEEE] 2026-1-2 | Dual-Population Evolution-Based Collaborative Optimization for Coordinated UAVs Mission Patrol Under Mountainous Environments_supp1-3645567.pdf
[ACM] 2026-1-2 | A Platform for Scalable Development of Migrating ITACO Agents Across Multiple Devices
[ACM] 2026-1-2 | ViolinBrush: Human-Expressive Mappings for Real-Time Robotic Painting
[ACM] 2026-1-2 | When AI Gets Persuaded, Humans Follow: Inducing the Conformity Effect in Persuasive Dialogue
[ACM] 2026-1-2 | Designing in the Mist: Investigating How a Mist-augmented Virtual Reality Space Agent Can Promote Creativity as A Socially Interactive Design Partner
[ACM] 2026-1-2 | Proceedings of the International Conference on Implementing Generative AI into Telecommunication and Digital Innovation 2025
[IEEE] 2026-1-2 | Analysis of the Maximum Thermal Sensation in the Veracruz-Boca Del Río Conurbation Zone of the Thermoperivallon from 1981 to 2021
[IEEE] 2026-1-2 | CatBoost Optimized with Adapted Reptile Search Algorithm for Intrusion Detection Systems
[IEEE] 2026-1-2 | Forced Oscillation Source Location and Source type Classification
[IEEE] 2026-1-2 | MetaFSelect: No-Code Metaheuristic Feature Selection for Machine Learning
[IEEE] 2026-1-2 | Super-Resolution of Noisy Images Using L-Estimate Compressive Sensing Filter and Cnn Approach
[IEEE] 2026-1-2 | Hybrid Metaheuristic: An Natural Language Processing Application in Log Anomaly Detection
[IEEE] 2026-1-2 | Fixed Versus Backtracking Step Sizes in Gradient Descent and Nesterov Acceleration
[IEEE] 2026-1-2 | Advanced Nonlinear State Estimation of Degrading Battery Systems via Unscented Kalman Filtering
[IEEE] 2026-1-2 | Power Expansion Planning Considering Source-Load Side Influence of Heat Waves and Cold Waves
[IEEE] 2026-1-2 | Comparing the Performance of 64-Bit Linux File Systems on the Proxmox Virtual Environment
[IEEE] 2026-1-2 | Implementation of Quantum PUF in Future Network
[IEEE] 2026-1-2 | IT and OT Traffic Separation in Refiners and Petrochemical Industries
[IEEE] 2026-1-2 | Bio-Inspired Optimization Algorithms for Enhancing CRISPR-Cas9 Target Site Prediction Accuracy
[IEEE] 2026-1-2 | Quality Control of Products Using Template Press with PLC System
[IEEE] 2026-1-2 | Joint Optimization of TAS Scheduling and Synchronization Periodicity in Time Sensitive Networks
[IEEE] 2026-1-2 | Nyquist Pulse Family for Pulse Shaping in OTFS for 6G Wireless Systems
[ACM] 2026-1-2 | Session Summary Podcast: Session 29: Algorithms: Other Matrix and Tensor Methods
[IEEE] 2026-1-2 | Decision letter for "Fusing Hyperspectral Proximal Sensing to Enhance Chlorophyll-a Estimation from Sentinel-2"
[IEEE] 2026-1-2 | Decision letter for "Seasonal Variability of Sea Ice Bulk Density During the MOSAiC Expedition: Results from Synergistic In-Situ, Airborne, and Satellite Observations"
[ACM] 2026-1-2 | Session Summary Podcast: Session 17: Panels
[ACM] 2026-1-2 | A Review of User Experience Evaluation Methods for Intelligent Virtual Agents: A Study of Multi-dimensional Frameworks and Application Scenarios
[ACM] 2026-1-2 | Green Logistics Discovery Strategy of Agricultural Products Under Low Carbon Economy
[IEEE] 2026-1-2 | Double-Inverter Fed Independent Direct Torque Control of Slip-Ring Induction Machine
[IEEE] 2026-1-2 | Novel Random Access Protocol for Resource Efficient mMTC Access in Cell-Free Massive MIMO System
[IEEE] 2026-1-2 | Angularly-Resolved 3D Foliage Modeling and Measurements at 60 and 80 GHz: From Stochastic Geometry to Deterministic Channel Characterization
[IEEE] 2026-1-2 | SAT–Terrestrial Coexistence With Adaptive Beam and Power Control: An SDR-Based Emulation
[IEEE] 2026-1-2 | Integration of a Battery System Into a Hydrogen-Based Energy Storage System and Impact Analysis of Different System Designs and Operating Strategies
[IEEE] 2026-1-2 | Rethinking LED Usage in IoT-Based Smart Parking: A Minimalist Approach to Energy Efficiency
[IEEE] 2026-1-2 | Energy-Efficient Modulation Analysis: HQAM over Nakagami-m Fading Channels
[IEEE] 2026-1-2 | Enhancing Power Quality of RES Integrated Smart Distribution System Using Hybrid Energy Storage
[IEEE] 2026-1-2 | Impact of Virtual and Mixed Reality Visual Stimuli on Center-of-Gravity Sway: A Preliminary Study
[IEEE] 2026-1-2 | Severe Alcoholic Hepatitis in a Young Adult Survivor of Childhood Leukemia : Synergistic Impact of Moderate Alcohol Intake and Metabolic Dysfunciton
[IEEE] 2026-1-2 | Wavelet-Enhanced GNN with Sparse Residual Inference for Topology Detection in Distribution Systems
