[2026-05-20 11:44:52] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-05-19
正在获取论文...
[arXiv] 2026-05-19 | Large-space and large-time asymptotics for the mKdV soliton gas with any odd genus
[arXiv] 2026-05-19 | JAXenstein: Accelerated Benchmarking for First-Person Environments
[arXiv] 2026-05-19 | Scattering and absorption of a charged massive scalar field by a Reissner-Nordström black hole surrounded by perfect fluid dark matter
[arXiv] 2026-05-19 | Reconfigurable Nonlinear Photonic Networks for In-Situ Learning and Memory Formation via Driven-Dissipative Dynamics
[arXiv] 2026-05-19 | Non-Hermitian thermoelectric transport in graphene: Tunable anomalous transmission through complex barriers
[arXiv] 2026-05-19 | Orbital Stability of Smooth Traveling Solitary Waves to the Fornberg-Whitham Equation
[arXiv] 2026-05-19 | Realization of a parity-violating antiferromagnetic state in LaMnSi
[arXiv] 2026-05-19 | GoTTA be Diverse: Rethinking Memory Policies for Test-Time Adaptation
[arXiv] 2026-05-19 | GELATO: Multi-Material Topology Optimization of Programmable Gel-Elastomer Structures
[arXiv] 2026-05-19 | A Hardware-Based Multi-Stage Dynamic Power Management Architecture for Autonomous Low-Light Operation
[arXiv] 2026-05-19 | The first IXPE view of the eclipsing ADC source 4U 1822-37
[arXiv] 2026-05-19 | Landscape-Awareness for Geometric View Diffusion Model
[arXiv] 2026-05-19 | Divisibility of Trace Codes
[arXiv] 2026-05-19 | A Framework for Evaluating Zero-Shot Image Generation in Concept-based Explainability
[arXiv] 2026-05-19 | Unveiling Energetic Advantage in Superconducting Cat-Qubits Quantum Computation
[arXiv] 2026-05-19 | Are Tools Always Beneficial? Learning to Invoke Tools Adaptively for Dual-Mode Multimodal LLM Reasoning
[arXiv] 2026-05-19 | Coherent All-Optical Radio Frequency Phase Sensing Using Multiphoton Dressing and Interference
[arXiv] 2026-05-19 | Auditing Privacy in Multi-Tenant RAG under Account Collusion
[arXiv] 2026-05-19 | Domain-wall Quintessence
[arXiv] 2026-05-19 | A Closed-loop, State-centric, Multi-agent Framework for Passenger Load Estimation from Heterogeneous Data Streams
[arXiv] 2026-05-19 | Set-Valued Policy Learning
[arXiv] 2026-05-19 | Spin Hall effect and Berry curvature of gravitons from quantum field theory
[arXiv] 2026-05-19 | Performance of low vision individuals when selecting a target with head-pointing in virtual reality
[arXiv] 2026-05-19 | Radiative depolarization of high-energy electron beams in wakefield accelerators
[arXiv] 2026-05-19 | $φ^6$ at $6$ (and some $8$) loops in $3d$
[arXiv] 2026-05-19 | Stitched Value Model for Diffusion Alignment
[arXiv] 2026-05-19 | Proof of the absence of local conserved quantities in the Holstein model
[arXiv] 2026-05-19 | Tweedie's Formulae and Diffusion Generative Models Beyond Gaussian
[arXiv] 2026-05-19 | Swimming with Whales: Analysis of Power Imbalances in Stake-Weighted Governance
[arXiv] 2026-05-19 | PiG-Avatar: Hierarchical Neural-Field-Guided Gaussian Avatars
[arXiv] 2026-05-19 | Atoms of Thought: Universal EEG Representation Learning with Microstates
[arXiv] 2026-05-19 | Band Structure and topology of a periodically deformed Kitaev honeycomb model
[arXiv] 2026-05-19 | Long-term Power Grid Planning via Answer Set Programming
[arXiv] 2026-05-19 | The OAPS solution: a real-time predictive system for flexible PWR operation
[arXiv] 2026-05-19 | Comparing sliding-mode, bang-bang and linear-quadratic-Gaussian for steering an atomic clock
[arXiv] 2026-05-19 | Caputo-Type Memory Invariants: A Fractional Generalization of the Cobb-Douglas Production Function
[arXiv] 2026-05-19 | TideGS: Scalable Training of Over One Billion 3D Gaussian Splatting Primitives via Out-of-Core Optimization
[arXiv] 2026-05-19 | Spectral classification of brown dwarfs using machine learning
[arXiv] 2026-05-19 | Hamilton--Jacobi Reachability for Spacecraft Collision Avoidance
[arXiv] 2026-05-19 | TrajTok: Adaptive Spatial Tokenization for Trajectory Representation Learning
[arXiv] 2026-05-19 | Moment bounds on correctors for the degenerate random conductance model
[arXiv] 2026-05-19 | Hermitian hull-variation of vector rank-metric codes and self-orthogonal generalized Gabidulin codes
[arXiv] 2026-05-19 | Motivic Galois theory for one-loop Feynman integrals in momentum space
[arXiv] 2026-05-19 | Face morphometric profiles of groups as early markers for certain diseases?
[arXiv] 2026-05-19 | Neurosymbolic Learning for Inference-Time Argumentation
[arXiv] 2026-05-19 | Introduction to Higher Order Classical Dynamics: Pais-Uhlenbeck Model and Coupled Oscillators
[arXiv] 2026-05-19 | INSHAPE: Instance-Level Shapelets for Interpretable Time-Series Classification
[arXiv] 2026-05-19 | On Performance and Limitations of NISQ Hardware for Simulations of Quantum Wave Packet Dynamics
[arXiv] 2026-05-19 | Quantum Algorithms for Nonlinear Differential Equations via Pivot-Shifted Carleman Linearization
[arXiv] 2026-05-19 | Tail Annealing for Heavy-Tailed Flow Matching
[arXiv] 2026-05-19 | Text-to-SPARQL Generation with Reinforcement Learning: A GRPO-based Approach on DBLP
[arXiv] 2026-05-19 | Renormalisation and invariants for two U(1)s
[arXiv] 2026-05-19 | Automating proof search when equality is a logical connective
[arXiv] 2026-05-19 | Zero cycles on Severi--Brauer flag varieties
[arXiv] 2026-05-19 | PromptRad: Knowledge-Enhanced Multi-Label Prompt-Tuning for Low-Resource Radiology Report Labeling
[arXiv] 2026-05-19 | OP2GS: Object-Aware 3D Gaussian Splatting with Dual-Opacity Primitives
[arXiv] 2026-05-19 | Fourier Representations of Spectral Densities in Long-Memory Processes
[arXiv] 2026-05-19 | Active Context Selection Improves Simple Regret in Contextual Bandits
[arXiv] 2026-05-19 | A Note On The Lie-Amaldi Classification
[arXiv] 2026-05-19 | A Nash Equilibrium Framework For Training-Free Multimodal Step Verification
[arXiv] 2026-05-19 | CAMERA: Adapting to Semantic Camouflage in Unsupervised Text-Attributed Graph Fraud Detection
[arXiv] 2026-05-19 | Quasihelix properties of selected Volterra Gaussian processes
[arXiv] 2026-05-19 | GeoX: Mastering Geospatial Reasoning Through Self-Play and Verifiable Rewards
[arXiv] 2026-05-19 | Locally Semi-Equitable Colourings of BIBDs
[arXiv] 2026-05-19 | Newman--Penrose formalism in $3$-dimensional trans-Sasakian manifolds
[arXiv] 2026-05-19 | Diversity-Aware Batch-Mode Active Learning for Efficient Sampling in Data-Driven Constitutive Modeling
[arXiv] 2026-05-19 | Robust synchronization for multi-agent systems governed by PDEs with observable and unobservable disturbances
[arXiv] 2026-05-19 | Beyond Binary Success: A Diagnostic Meta-Evaluation Framework for Fine-Grained Manipulation
[arXiv] 2026-05-19 | Lee-Yang zeros and edge singularity in a mean-field approach
[arXiv] 2026-05-19 | TravExplorer: Cross-Floor Embodied Exploration via Traversability-Aware 3-D Planning
[arXiv] 2026-05-19 | World-Ego Modeling for Long-Horizon Evolution in Hybrid Embodied Tasks
[arXiv] 2026-05-19 | Towards Fine-Grained Robustness: Attention-Guided Test-Time Prompt Tuning for Vision-Language Models
[arXiv] 2026-05-19 | AffectVerse: Emotional World Models for Multimodal Affective Computing
[arXiv] 2026-05-19 | Iterative Solution of the Kerr Black Hole Metric
