[2026-04-16 10:11:40] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-04-15
正在获取论文...
[arXiv] 2026-04-15 | A lower bound on the Calabi functional for a degeneration of polarized varieties
[arXiv] 2026-04-15 | First-See-Then-Design: A Multi-Stakeholder View for Optimal Performance-Fairness Trade-Offs
[arXiv] 2026-04-15 | Large Language Models to Enhance Business Process Modeling: Past, Present, and Future Trends
[arXiv] 2026-04-15 | On the divergence of the composition of irregular fields with BV functions
[arXiv] 2026-04-15 | An ASIC Emulated Oscillator Ising/Potts Machine Solving Combinatorial Optimization Problems
[arXiv] 2026-04-15 | RFID-based Real-Time Geriatric Gait Speed Monitoring System: Design, Implementation and Clinical Evaluation
[arXiv] 2026-04-15 | Stochastic Trust-Region Methods for Over-parameterized Models
[arXiv] 2026-04-15 | Memory Transfer Learning: How Memories are Transferred Across Domains in Coding Agents
[arXiv] 2026-04-15 | Spin-mediated hysteretic switching of unidirectional charge density waves by rotating magnetic fields
[arXiv] 2026-04-15 | Diffusion Language Models for Speech Recognition
[arXiv] 2026-04-15 | Remote Sensing Image Super-Resolution for Imbalanced Textures: A Texture-Aware Diffusion Framework
[arXiv] 2026-04-15 | Analysis of Lyman-beta and Lyman-gamma Lines in a Pre-Eruptive and Eruptive Prominence with Solar Orbiter SPICE Observations
[arXiv] 2026-04-15 | Redefining the limits of real-time noise cancellation in optical fiber links
[arXiv] 2026-04-15 | BOAT: Navigating the Sea of In Silico Predictors for Antibody Design via Multi-Objective Bayesian Optimization
[arXiv] 2026-04-15 | Max Cut with Small-Dimensional SDP Solutions
[arXiv] 2026-04-15 | A class of locally differentially $4$-uniform power functions with Niho exponents
[arXiv] 2026-04-15 | A generative model for bipartite gene-sharing networks
[arXiv] 2026-04-15 | Early Exiting U-Net for Efficient Processing on UAVs: A Case Study in Environmental Monitoring
[arXiv] 2026-04-15 | Block-Based Pathfinding: A Minecraft System for Visualizing Graph Algorithms
[arXiv] 2026-04-15 | Creo: From One-Shot Image Generation to Progressive, Co-Creative Ideation
[arXiv] 2026-04-15 | HINTBench: Horizon-agent Intrinsic Non-attack Trajectory Benchmark
[arXiv] 2026-04-15 | Causal Drawbridges: Characterizing Gradient Blocking of Syntactic Islands in Transformer LMs
[arXiv] 2026-04-15 | General formulas for the instability minimum of Chip-firing games
[arXiv] 2026-04-15 | AI-Assisted Peer Review at Scale: The AAAI-26 AI Review Pilot
[arXiv] 2026-04-15 | Measurement of jet quenching in O+O collisions at $\sqrt{s_\mathrm{NN}}=200$ GeV by the STAR experiment at RHIC
[arXiv] 2026-04-15 | Towards Enabling An Artificial Self-Construction Software Life-cycle via Autopoietic Architectures
[arXiv] 2026-04-15 | Bayesian Analysis of Gravitational Wave Microlensing Effects from Galactic Double White Dwarfs
[arXiv] 2026-04-15 | Three-dimensional photon transport in spinodal photocatalytic aerogels: how bicontinuous morphology controls kinetic rate constants
[arXiv] 2026-04-15 | Unsupervised Anomaly Detection in Process-Complex Industrial Time Series: A Real-World Case Study
[arXiv] 2026-04-15 | Experimental Quantification of Nonlinear Mode Coupling in Nanomechanical Resonators using Multi-tone Excitation
[arXiv] 2026-04-15 | PartNerFace: Part-based Neural Radiance Fields for Animatable Facial Avatar Reconstruction
[arXiv] 2026-04-15 | Anchored Spectral Estimator for Rigid Motion Synchronization
[arXiv] 2026-04-15 | Rethinking Image-to-3D Generation with Sparse Queries: Efficiency, Capacity, and Input-View Bias
[arXiv] 2026-04-15 | Beyond Conservative Automated Driving in Multi-Agent Scenarios via Coupled Model Predictive Control and Deep Reinforcement Learning
[arXiv] 2026-04-15 | GeoAgentBench: A Dynamic Execution Benchmark for Tool-Augmented Agents in Spatial Analysis
[arXiv] 2026-04-15 | Some remarks on the orbit dimension of transitive groups and on the metric dimension of Johnson graphs
[arXiv] 2026-04-15 | Interferometer observations of pulse pairs in an interstellar communication experiment
