[2026-08-27 19:22:26] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-08-26
正在获取论文...
[arXiv] 2026-08-26 | Reassembling Distributed Risk: Trajectory-Conditioned Action Generation for Multi-Turn Agent Safety
[arXiv] 2026-08-26 | Difficulty-Aware Sample Allocation for Adaptive Data Augmentation in Semantic Segmentation
[arXiv] 2026-08-26 | Fast rates in Bayesian online learning with approximate posteriors
[arXiv] 2026-08-26 | Signal formation and induction-gap optimization in a THGEM coupled to a resistive plate anode
[arXiv] 2026-08-26 | Stringent Constraints on Spin-Spin-Velocity-Dependent Exotic Interactions with a Levitated Magnet Force Sensor
[arXiv] 2026-08-26 | Chirality-Selective Phonon Pumping by Ferroelectric Dynamics
[arXiv] 2026-08-26 | The high dimensional monostable reaction-diffusion equation with free boundary and radial symmetry
[arXiv] 2026-08-26 | Narcissus: Program Synthesis Using Context-Aware LLM Approximations
[arXiv] 2026-08-26 | Phase calibration of quantum oscillations in the magnetostrictive coefficient using the topological antiferromagnet YbMnBi$_2$
[arXiv] 2026-08-26 | Stable Symmetric Series, Differential Operators, and Jack Deformations
[arXiv] 2026-08-26 | AutoVerifier: Residual-Guided Non-Parametric Optimization for Reference-Based Answer Verification
[arXiv] 2026-08-26 | The integral homology of $\text{SL}_2(\mathbb{Z}[1/n])$
[arXiv] 2026-08-26 | SeVeR: Selective Visual Exposure and Retrieval for 3D Medical Image Question Answering
[arXiv] 2026-08-26 | Closed-form hard-sphere thermodynamics under nanoscale confinement: from equations of state to unmixing forces
[arXiv] 2026-08-26 | Contravariantly finite resolving subcategories over commutative local rings are trivial ones
[arXiv] 2026-08-26 | AWM: Answerable Working Memory for Long-Document VQA Agents
[arXiv] 2026-08-26 | Nearly Isotropic Quantum-Critical Transport in Single-Crystal CeNiC2
[arXiv] 2026-08-26 | Absolute colimits
[arXiv] 2026-08-26 | Frequency-aware forecasting for short-term typhoon gust prediction
[arXiv] 2026-08-26 | Multi-UE Networked Sensing: A New Paradigm for 6G Perceptive Mobile Networks
[arXiv] 2026-08-26 | Development and Commissioning of the Cryogenic Target Detectors for the Technical Run of the NUCLEUS Experiment
[arXiv] 2026-08-26 | RA-VLA: Retrieval-Augmented VLA for Test-Time Adaptation
[arXiv] 2026-08-26 | GRIP: Granular Reward-Guided Parameter Interpolation for Efficient Reasoning
[arXiv] 2026-08-26 | Threshold spectral transition for a fermion-boson pair on the one-dimensional lattice
[arXiv] 2026-08-26 | Are Concept Bottleneck Models Effective as Decision-Support Systems?
[arXiv] 2026-08-26 | DBcover: A White-box SQL Test Generation Framework for Coverage Improvement
[arXiv] 2026-08-26 | Combined High-Dimensional and Reduced-Order Modeling Based on an Iterative Domain Decomposition Method
[arXiv] 2026-08-26 | Physics-Informed Foresight Pruning for Sparse PINN Solvers of Nonlinear PDEs
[arXiv] 2026-08-26 | EgoArgus: Benchmarking VLMs as Situational Assistants for Modality-Grounded User Supports
[arXiv] 2026-08-26 | Sequential Magnetic Reconnections in a Fishbone-like Structure Leading to Recurrent Brightenings
[arXiv] 2026-08-26 | A Hybrid Usability Approach for Rating Evaluation of M-Commerce Applications
[arXiv] 2026-08-26 | Goodput Maximization for Large Language Model Edge Inference: A Two-Phase Maskable PPO Approach
[arXiv] 2026-08-26 | Defect states in three-dimensional diamond photonic band gap crystals
[arXiv] 2026-08-26 | Preconditioning for Diffuse Interface Tumor Growth Models
[arXiv] 2026-08-26 | Video-IFBench: Evaluating Instruction Following of Multimodal LLMs in Video Understanding Scenarios
[arXiv] 2026-08-26 | Rare Exclusive Top Decays t , b M and Vector-Meson Helicity
[arXiv] 2026-08-26 | High-Fidelity Entangled States in a Connectivity-Four Fluxonium Quantum Processor
[arXiv] 2026-08-26 | CaSKG: Counterfactual-Causal Skill Graphs for Scalable Agent Skill Retrieval
[arXiv] 2026-08-26 | MMJailBench: A Factorized Benchmark for Disentangling Multimodal Jailbreak Vulnerabilities
[arXiv] 2026-08-26 | Semi-Supervised Adaptation of Vision-Language Models for Image Classification
[arXiv] 2026-08-26 | Gaussian Splatting Underwater: A Controlled Cross-Regime Study
[arXiv] 2026-08-26 | Parity-controlled electron-hole interference in exciton-phonon coupling
[arXiv] 2026-08-26 | Synthesis of Hopfield Neural Network: Novel Results
[arXiv] 2026-08-26 | 4DStreamCtrl: Interactive Video Generation with Online 4D Control
[arXiv] 2026-08-26 | Interpretable Activation-Selection Neural Networks for Symbolic Regression of Parameter-Dependent Hamiltonian Eigenvalues
[arXiv] 2026-08-26 | Transient multimode heat transfer of an industrial automated tape laying process under rapidly changing conditions
[arXiv] 2026-08-26 | Hierarchical Shared Memory-Aware Optimization for TRSM on GPU Platforms
[arXiv] 2026-08-26 | Resolving Multi-Modal Regression by Difference-Quotient-Based Clustering:Fast Coarse Conditional-Label Assignment
[arXiv] 2026-08-26 | Quasimaps to Nakajima varieties as critical loci
