[2026-07-17 10:40:36] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-07-16
正在获取论文...
[arXiv] 2026-07-16 | Immediate 3D Gaussian Splat Reconstruction of Unordered Input with Global Consistency
[arXiv] 2026-07-16 | How Alkali Metal Cations Affect the Structure and Reactivity of the Hydrated Dielectron
[arXiv] 2026-07-16 | Can Tokens Compete? Token Representations against Supervised CNN Backbones for BirdCLEF+ 2026
[arXiv] 2026-07-16 | Boosting Perovskite Light-Emitting Diodes Performance by Introducing High Work-function Metal Transition Layer
[arXiv] 2026-07-16 | Mixed-Agent Museum Tour Guide Design Improves Gendered Learning Outcomes and Visitor Preferences
[arXiv] 2026-07-16 | Memory-Driven Self-Propulsion and Flocking of Chemically Active Droplets
[arXiv] 2026-07-16 | Do Generative AI Assistants Respect robots.txt? Tracing Web Access Beyond Visible Answers
[arXiv] 2026-07-16 | Disclosure Divergence: Measuring Privacy Policy and Data Safety Misalignment at Scale
[arXiv] 2026-07-16 | Improving Dynamical Decoupling for Trapped-Ion QCCD Quantum Computers
[arXiv] 2026-07-16 | Cayley Graphs Of Order $pqrs$ Are Hamiltonian
[arXiv] 2026-07-16 | Expanding the Lexicon of Ge'ez Based African Languages: A Comparative Study of Amharic and Tigrinya
[arXiv] 2026-07-16 | Interaction of degenerate higher order modes in periodic SRF accelerating structures
[arXiv] 2026-07-16 | Mask-Aware Policy Gradients for Diffusion Language Models
[arXiv] 2026-07-16 | Type I/II Vortex Dynamics With Excited Normal Modes
[arXiv] 2026-07-16 | T^2MLR: Transformer with Temporal Middle-Layer Recurrence
[arXiv] 2026-07-16 | Benchmarking Multimodal Large Language Models for Scientific Visualization Literacy
[arXiv] 2026-07-16 | Linear representations of grammaticality in neural language models
[arXiv] 2026-07-16 | Landscape analysis for shallow neural networks: Complete classification of critical points for cubic activation and affine target functions
[arXiv] 2026-07-16 | Nonlinear Gravitational Wave Interactions in an Expanding Universe
[arXiv] 2026-07-16 | Spectral study of the outburst decay of the accreting millisecond X-ray pulsar SRGA J144459.2-604207
[arXiv] 2026-07-16 | Assessing Physical Frailty and Fall-Risk Indicators with Social Robots: An in situ Evaluation with Older Adults
[arXiv] 2026-07-16 | The Effect of Heat Loss During the Early Stages of Flame Propagation and Tulip Flame Formation
[arXiv] 2026-07-16 | On the Grothendieck Ring of Finite-Dimensional Non-Degenerate Evolution Algebras
[arXiv] 2026-07-16 | Ultradifferentiable regularity properties of a class of hypoelliptic operators
[arXiv] 2026-07-16 | Absence of blow-up in the 3D Navier-Stokes equations with transport noise
[arXiv] 2026-07-16 | Swift gives a new BAT-GLIMPSE: Gamma-ray Localization using Imaging and Mosaic techniques for Pointing and Slew Epochs
[arXiv] 2026-07-16 | NIFA: Nonlinear IMC enhanced FPGA for efficient ML inference
[arXiv] 2026-07-16 | Growth-controlled suppression of electrically active defects in CrSBr
[arXiv] 2026-07-16 | Thermodynamic theory of voting and EU elections
[arXiv] 2026-07-16 | The order of long rainbow arithmetic progressions
[arXiv] 2026-07-16 | CoSimRec: Measuring Coordinated-Content Penetration in Recommender Feedback Loops
[arXiv] 2026-07-16 | A model with exposure in the epidemiological sense. Part 1 -- Base model
[arXiv] 2026-07-16 | AlphaWiSE: Adaptive Weight Interpolation for Continual Multimodal Representation Learning
[arXiv] 2026-07-16 | A magnetic monopole in a superfluid bubble
[arXiv] 2026-07-16 | Rubrics on Trial: Evolving Rubrics from a Single Query via Synthetic Pairwise Evidence
[arXiv] 2026-07-16 | On a character-twisted analogue of Schäffer's equation
[arXiv] 2026-07-16 | Residual-Based Time Discretization on Nonlinear Approximation Manifolds: Analysis and Gaussian Applications
[arXiv] 2026-07-16 | Investigation of hadronic effects on resonance productions in small collision systems using the EPOS4 model
[arXiv] 2026-07-16 | ANet Patu-1: The Value of Connection in the Agent Network
[arXiv] 2026-07-16 | NFSA: Non-Forward Secure Aggregation with One Server via Two Layer Secret Sharing
[arXiv] 2026-07-16 | Parameter-efficient Prompt Tuning of Vision Foundation Model With Adaptive Focal Loss for Interpretable MCI Screening
[arXiv] 2026-07-16 | Analysis of the Topology of a Plasmonic Target-Skyrmion Texture
[arXiv] 2026-07-16 | Weakly-Supervised RGB-D Salient Object Detection via SAM-driven Pseudo Annotation and State Space Interaction-based Diffusion
[arXiv] 2026-07-16 | Shifted S-templates and improved lower bounds for Schur numbers
[arXiv] 2026-07-16 | URVC: A Unified Real-Time Neural Video Coding Model with Temporal, Spatial, and Perceptual Adaptivity
[arXiv] 2026-07-16 | An asymptotic-preserving five-moment two-species plasma model coupled to an external magnetohydrodynamic solver
[arXiv] 2026-07-16 | cGAP: Generalized Association Plots with HOMALS-Guided Heatmaps for Visualization of High-Dimensional Categorical Data
[arXiv] 2026-07-16 | Quasi-Pfaffian Solutions to Integrable Systems via Sylvester-Moutard Transformations
[arXiv] 2026-07-16 | Flood risk estimation via geometric extremal graphical models
[arXiv] 2026-07-16 | Moral Attitudes of Sentient ASI towards Humanity and Implications for AGI Development
[arXiv] 2026-07-16 | Multimodal Semantic-Aware Contrastive Learning For False Negative Mitigation in 3D Medical Imaging
[arXiv] 2026-07-16 | OmniaBench: Benchmarking General AI Agents Across Diverse Scenarios
[arXiv] 2026-07-16 | 3-VASS Reachability is in EXPSPACE
[arXiv] 2026-07-16 | Scalable Fabrication of Diamond-on-Silica Heterostructures via High-Selectivity Deep ICP-RIE and Room-Temperature Bonding
[arXiv] 2026-07-16 | Parallel analog quantum simulation in homogeneous quantum gases
[arXiv] 2026-07-16 | Graph alignment in sparse inhomogeneous models via self-overlap
[arXiv] 2026-07-16 | DINE: Distance Is Not Enough -- Learning Global Deformation Priors for Robust Soft-Tissue Point Cloud Registration
[arXiv] 2026-07-16 | Frequency-Structured Field Learning for Light-Field Disparity Estimation
[arXiv] 2026-07-16 | Strong $O$-valued contextuality: ruling out discrete nondeterministic alternatives to quantum theory
[arXiv] 2026-07-16 | Spot Profile Analysis Low Energy Electron Diffraction of Plasma-Enhanced Chemical Vapor Deposition Grown Epitaxial Few-Layer Graphene on Sapphire
[arXiv] 2026-07-16 | Classical Symmetries and Painleve Analysis for the (1+3) Kudryashov-Sinelshchikov Equation
[arXiv] 2026-07-16 | Intrinsic Spatial Position Resolution of P-type Point-Contact Germanium Detector
[arXiv] 2026-07-16 | Finite-Sample Conformal Coverage Recovery via Fusion under Degraded Local Guarantees in Occupancy Map Estimation
[arXiv] 2026-07-16 | Global quadratic estimates for degenerate elliptic operators on cylinders
[arXiv] 2026-07-16 | FlashDecoder: Real-Time Latent-to-Pixel Streaming Decoder with Transformers
[arXiv] 2026-07-16 | Leveraging Instruction Tuning and Merging for Reasoning Model Adaptation
[arXiv] 2026-07-16 | Does generative AI supersede supervised XMLC? A Benchmark Study on Automated Subject Indexing with German Scientific Literature
[arXiv] 2026-07-16 | Second-order rigidity of coned polytope frameworks and the stress-flex conjecture from a vector-valued Schläfli formula
[arXiv] 2026-07-16 | Kernel method for Möbius transformations and hyperbolic representations of groups
[arXiv] 2026-07-16 | Asymmetric Peak-Aware Loss for Peak-Critical Time Series Forecasting
[arXiv] 2026-07-16 | Randomized routing strategies of fleets of CAVs may prove market efficient
[arXiv] 2026-07-16 | CAMB v2: cosmological power spectra for high-precision surveys
[arXiv] 2026-07-16 | LIVE-RIS: Real-Time In-Flight Actuation of UAV-Mounted RIS
[arXiv] 2026-07-16 | Thoughtseeds as Latent Causes: A Dual-Process Computational Phenomenology of Focused-Attention Meditation
[arXiv] 2026-07-16 | Spoofer or Spoofers? Estimating a Lower Bound on the Number of DRDoS Sources Using Anycast Honeypots
[arXiv] 2026-07-16 | A Unified Conceptual Framework for Gravitational Instabilities: From Latent System State to Failure
[arXiv] 2026-07-16 | AI Prototyper: A Figma Plugin for Decomposition-Based GUI Prototyping with LLMs
[arXiv] 2026-07-16 | SPH methods in the modelling of compact objects
[arXiv] 2026-07-16 | SevenNet-Polar for MultiTask Prediction of Energy, Forces, Stress, and Born Effective Charges: Development and Application to ZrO$_2$, Li$_3$PO$_4$, and Perovskites
[arXiv] 2026-07-16 | Fuelling the central region of galaxies with misaligned gas accretion
[arXiv] 2026-07-16 | Can LLMs Build a MaxSAT Solver from Papers? The CoreForge Experience
[arXiv] 2026-07-16 | No Universal Multiplicative FDR Bound for the Benjamini-Hochberg Procedure with Correlated Two-Sided Gaussian Tests
[arXiv] 2026-07-16 | RACiMo: Red Ambiental Ciudadana de Monitoreo: A Student-Centred Citizen Science Network for Environmental Monitoring, Data Literacy, and Climate Awareness in Colombia
[arXiv] 2026-07-16 | CrimeNER Demo: Named-Entity Recognition in the Crime Domain
[arXiv] 2026-07-16 | Ground-Side Mission Plan Compilation with Policy-as-Code Guardrails for Cloud-Native Satellite Platforms
[arXiv] 2026-07-16 | Robustness of periodicity in Grover walks under a magnetic vector potential
[arXiv] 2026-07-16 | Transcoders for Investigating Deception in Language Models
[arXiv] 2026-07-16 | Structure-preserving Lagrange-multiplier methods for mean curvature flow and their error bounds
[arXiv] 2026-07-16 | Ultraviolet direct absorption microscopy for single particle protein/nucleic acid quantification
[arXiv] 2026-07-16 | Aperiodicity and subword complexity in the binary expansion of powers of three
[arXiv] 2026-07-16 | ChronoQG: Towards a Temporally Expressive and Hop-Bounded Benchmark for Temporal Knowledge Graph Question Generation
[arXiv] 2026-07-16 | Rare Concept Generation via Counterfactual Inference in Diffusion Models
[arXiv] 2026-07-16 | Riesz potential estimates for non-linear elliptic obstacle problems
[arXiv] 2026-07-16 | FlowGuard: From Signals to Evidence for MCP Security Detection
[arXiv] 2026-07-16 | Orbital Dynamics and Gravitational-Wave Signatures of EMRIs in Self-Dual Loop Quantum Gravity Black Holes
[arXiv] 2026-07-16 | Enumerating Length-Bounded Simple Paths and Cycles in Directed Graphs with $O(k(n+m))$ Delay Using Edge-Consistent Node Barriers
[arXiv] 2026-07-16 | GeoDetect: Geometric Adversarial Detection for VLPs
[arXiv] 2026-07-16 | Hybrid Rigid-Soft Robotic Gripper with Shape Adaptation, Uniform Force Distribution, and Self-Locking Capabilities
[arXiv] 2026-07-16 | Counterfactuals for Feature-Weighted Clustering
[arXiv] 2026-07-16 | Different Singular Limits in a Gene Regulatory Network with Multiple Small Parameters
[ACM] 2026-7-16 | Neuroscience Inspired Graph Operators Towards Edge-Deployable Virtual Sensing for Irregular Geometries
[ACM] 2026-7-16 | Sleep-Inspired Replay-Driven Online Temporal Learning with Memristive Neuromorphic Hardware for Edge Systems
[ACM] 2026-7-16 | Open-source asynchronous periphery for mixed-signal neuromorphic chips
[ACM] 2026-7-16 | 8DNA: 8D Neural Asset Light Transport by Distribution Learning
[ACM] 2026-7-16 | VidSplat: Gaussian Splatting Reconstruction with Geometry-Guided Video Diffusion Priors
[ACM] 2026-7-16 | MAViD: A Multimodal Framework for Audio-Visual Dialogue Understanding and Generation
[ACM] 2026-7-16 | Computational Design of Terrestrial Robots with Anisotropic Friction
[ACM] 2026-7-16 | Autoregressive Modeling of Film with Applications in Video Montage
[ACM] 2026-7-16 | Broadband Hyperspectral 3D Imaging using Dispersed Structured Light
[ACM] 2026-7-16 | <i>C</i>
                    <sup>0</sup>
                    Generalized Coons Volumes over Arbitrary Polyhedra
[ACM] 2026-7-16 | ViewWeaver: Geometry-Grounded Generative Rendering for 3D-Aware Image Customization
[ACM] 2026-7-16 | Shellular Metamaterial Design via Compact Electric Potential Parametrization
[ACM] 2026-7-16 | GauSmoke: Hybrid Physics-Optical Gaussian Splatting for Sparse Smoke Reconstruction
[IEEE] 2026-7-16 | Remote Catheter System with Enhanced Haptic Feedback for Use in Endovascular Procedures
[IEEE] 2026-7-16 | Classification Iterative-Interpolated DFT Algorithm for Wideband Oscillation Detection
[IEEE] 2026-7-16 | A Unified On-Orbit Relative Radiometric Calibration Framework for Optical Remote Sensing Satellites Based on Side-Slither Observations
[IEEE] 2026-7-16 | Message from the AIST 2026 Chairs
[IEEE] 2026-7-16 | 2026 IEEE International Conference on Software Testing, Verification and Validation (ICST)
[IEEE] 2026-7-16 | Proceedings of the IEEE
[IEEE] 2026-7-16 | $\rm {M}^{2}\rm {C-EvDet}$: Multi-Domain Multi-Order Cross-Modal Knowledge Distillation for Event-based Object Detection
[IEEE] 2026-7-16 | Semantic-Driven Federated Multi-Task Learning for Low-Altitude UAV Networks
[IEEE] 2026-7-16 | Dual-Sphere Structured Fiber Optic Sensor Based on SPR and MZI Principles for Marine Parameter Detection
[IEEE] 2026-7-16 | The Expanding Influence of the PSMA Magnetics Workshop [PSMA Corner]
[IEEE] 2026-7-16 | Two-Scale Spatial Deployment for Cost-Effective Wireless Networks via Cooperative IRSs and Movable Antennas
[IEEE] 2026-7-16 | Physics-based self-supervised learning of a deep network for single-shot in-line hologram reconstruction_supp1-3694142.pdf
[IEEE] 2026-7-16 | FLEAT: Energy-Accuracy Trade-off in Federated Learning over Heterogeneous Edge Devices_supp1-3710334.pdf
[IEEE] 2026-7-16 | Dual-Stream Autoencoder with Spatial and High-Frequency Feature Interaction for Contactless Fingerprint Presentation Attack Detection
[IEEE] 2026-7-16 | Secure Bandwidth Allocation in UASNs via Spatially Correlated Shadowing Compensation and Geometric-Consistency Constraints
[IEEE] 2026-7-16 | Enabling Service Monitoring in Industrial IoT: A Knowledge-Integrated Service Status Perception Framework
[IEEE] 2026-7-16 | A Multidomain Survey of Biological Rhythm Analysis: Integrating Mathematical Modelling, Multiscale Complexity, and Data-Driven Methods
[IEEE] 2026-7-16 | M-wave Event Stream Transformer for Mechanical Anomaly Detection of GIS Circuit Breakers
[IEEE] 2026-7-16 | Interval observer for linear discrete-time system: An L
                    <sub>1</sub>
                    -gain characterization approach
[IEEE] 2026-7-16 | A Bilingual Hindi–English Speech Emotion Dataset with Benchmark Evaluation
[IEEE] 2026-7-16 | Early Warning of Performance Degradation in Object Detection Models via Explainable AI
[IEEE] 2026-7-16 | Event-Triggered Decentralized Distillation over Multiagent Networks
[IEEE] 2026-7-16 | LLM-Powered Real-Time Voice Agent for Task-Guided Practice in Serious Games for ASD
[IEEE] 2026-7-16 | Low Power VLSI Design using Clock Gating Techniques
[IEEE] 2026-7-16 | Isolating Feature Transition Errors in Dynamically Adaptive Systems
[IEEE] 2026-7-16 | A Comparative study of Lightweight Deep Learning Frameworks for Plant Disease Detection
[IEEE] 2026-7-16 | Hybrid Table-Assisted and RL-Based Dynamic Routing for NGSO Satellite Networks
[IEEE] 2026-7-16 | A Rapid Assessment Method for the Safe Load-Bearing Capacity of Pressure Vessels with Various Defect Types
[IEEE] 2026-7-16 | Decentralized Machine Learning Frameworks for Agile Team Collaboration in Digital Workspaces
[IEEE] 2026-7-16 | Geometry-Informed Maritime Anomaly Detection Using Probabilistic Roadmaps
[IEEE] 2026-7-16 | Adaptive Droop Control For Balanced Power Sharing In Islanded Microgrids Using Battery and Flywheel Energy Storage Systems
[IEEE] 2026-7-16 | Adversarial Robustness in Deep Learning-based Network Intrusion Detection Systems: A Defense-Centric Systematic Review
[IEEE] 2026-7-16 | PV-Integrated Dynamic Voltage Restorer for Disturbance Compensation
[IEEE] 2026-7-16 | Sampled Event-Triggered Distributed Secondary Frequency Control for Islanded Microgrids under Communication Delays
[IEEE] 2026-7-16 | SVN-NDT: Extending Stein Variational Newton to Probabilistic LiDAR Registration for Surface Vehicle Localization
[IEEE] 2026-7-16 | A Survey of ML Approaches for Anomaly Detection in cybersecurity With a Recommendation for Practical Deployment
[IEEE] 2026-7-16 | Lightweight Multi-Cue Fusion Network for Deepfake Audio Detection
[IEEE] 2026-7-16 | Topological Robustness in Formation Flight: A Sensitivity Study
                    <sup>*</sup>
[IEEE] 2026-7-16 | A Comprehensive Review on Machine Learning Approaches for Zero-Day Attack Detection
[IEEE] 2026-7-16 | XPJudge: Explanation-Aware Pairwise Judging for Cost-Effective Code LLM Selection
[IEEE] 2026-7-16 | Leveraging Large Language Models for Trustworthiness Assessment of Web Applications
[IEEE] 2026-7-16 | Improving Molecular Generation with SELFIES: A Variational Autoencoder Approach
[IEEE] 2026-7-16 | PEARL - Platform for Expert Annotation of Robotics Learning
[IEEE] 2026-7-16 | Diversity as a Security Primitive for ML-Based Network Intrusion Detection
[IEEE] 2026-7-16 | DroidCleaner: An Android Malware Detector
[IEEE] 2026-7-16 | Runtime and Memory Performance of Human-Written and LLM-Generated Code: An Empirical Study
[IEEE] 2026-7-16 | Assessing Vision–Language Models for Perception in Autonomous Underwater Robotic Software
[IEEE] 2026-7-16 | Temporal Defense: Early Detection of Blackhole Attacks in Wireless Sensor Networks using LSTM
[IEEE] 2026-7-16 | A Multimodal Approach for Alzheimer’s Disease Prediction Using Vision Transformer and CNN Models
[IEEE] 2026-7-16 | Agentic-VideoRAG: A Cost-Aware and Explainable Framework for Video Retrieval
[ACM] 2026-7-16 | Curvature Space Editing of Highly-Coiled Hair
[ACM] 2026-7-16 | Dichoptic Foveation
[ACM] 2026-7-16 | See-through: Single-image Layer Decomposition for Anime Characters
[ACM] 2026-7-16 | MoonSplat: Monocular Online Gaussian Splatting with Sim(3) Global Optimization
[ACM] 2026-7-16 | The Effects of Early Socio-Technical Decisions on UXDebt
[ACM] 2026-7-16 | gCDT: A Highly Parallel GPU Algorithm for Large-Scale Constrained Delaunay Triangulation
[ACM] 2026-7-16 | Robust In-Engine Texture Optimization from Inconsistent Generative Targets
[ACM] 2026-7-16 | VFAvatar: Feed-Forward 3D Avatar Reconstruction from Casual Image Collections
[IEEE] 2026-7-16 | Get Published in the IEEE Open Journal of Power Electronics
[IEEE] 2026-7-16 | 2026 Fourth International Conference on Secure Cyber Computing and Communications (ICSCCC)
[IEEE] 2026-7-16 | CVFL-Pro: A Collusion-Resistant Verification Federated Learning Framework with Adaptive Communication Optimization
