[2026-03-20 09:35:03] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-03-19
正在获取论文...
[arXiv] 2026-03-19 | Chain recurrent shifts on trees
[arXiv] 2026-03-19 | Two-body strong decays of the pseudoscalar hidden-charm tetraquark states via the QCD sum rules
[arXiv] 2026-03-19 | A divided difference identity for a class of multiple integrals
[arXiv] 2026-03-19 | RadioDiff-FS: Physics-Informed Manifold Alignment in Few-Shot Diffusion Models for High-Fidelity Radio Map Construction
[arXiv] 2026-03-19 | Pore-scale modeling of capillary-driven binder migration during battery electrode drying
[arXiv] 2026-03-19 | Confidential Databases Without Cryptographic Mappings
[arXiv] 2026-03-19 | Tursio Database Search: How far are we from ChatGPT?
[arXiv] 2026-03-19 | Mahler's method and Carlitz logarithm
[arXiv] 2026-03-19 | Phonon-modulated Kerr nonlinearity in ultrathin 2H-MoTe2
[arXiv] 2026-03-19 | Certifying ergotropy under partial information
[arXiv] 2026-03-19 | Measure preserving maps with bounded total variation
[arXiv] 2026-03-19 | ProRL Agent: Rollout-as-a-Service for RL Training of Multi-Turn LLM Agents
[arXiv] 2026-03-19 | Interplay between evolutionary and epidemic time scales challenges the outcome of control policies
[arXiv] 2026-03-19 | VesselTok: Tokenizing Vessel-like 3D Biomedical Graph Representations for Reconstruction and Generation
[arXiv] 2026-03-19 | Evolution of the early-type fraction in massive galaxies at $z<2$: how did early-type morphology form?
[arXiv] 2026-03-19 | Angularly-Resolved 3D Foliage Modeling and Measurements at 60 and 80 GHz: From Stochastic Geometry to Deterministic Channel Characterization
[arXiv] 2026-03-19 | ViTac-Tracing: Visual-Tactile Imitation Learning of Deformable Object Tracing
[arXiv] 2026-03-19 | Points-to-3D: Structure-Aware 3D Generation with Point Cloud Priors
[arXiv] 2026-03-19 | SRRM: Improving Recursive Transport Surrogates in the Small-Discrepancy Regime
[arXiv] 2026-03-19 | Physics-grounded Mechanism Design for Spectrum Sharing between Passive and Active Users
[arXiv] 2026-03-19 | Automatic Configuration of LLM Post-Training Pipelines
[arXiv] 2026-03-19 | On single-frequency asymptotics for the Maxwell-Bloch equations: mixed states
[arXiv] 2026-03-19 | Implicit Grading Bias in Large Language Models: How Writing Style Affects Automated Assessment Across Math, Programming, and Essay Tasks
[arXiv] 2026-03-19 | Reverse Mathematics and Dimension of Posets
[arXiv] 2026-03-19 | DA-Mamba: Learning Domain-Aware State Space Model for Global-Local Alignment in Domain Adaptive Object Detection
[arXiv] 2026-03-19 | The red-blue-yellow matching problem
[arXiv] 2026-03-19 | Direct observation of strain and confinement shaping the hole subbands of Ge quantum wells
[arXiv] 2026-03-19 | Automatic detection of Gen-AI texts: A comparative framework of neural models
[arXiv] 2026-03-19 | ROFT-VINS: Robust Feature Tracking-based Visual-Inertial State Estimation for Harsh Environment
[arXiv] 2026-03-19 | The edge of the Milky Way's star-forming disc: Evidence from a 'U-shaped' stellar age profile
[arXiv] 2026-03-19 | Green Architectural Tactics in ML-enabled Systems: An LLM-based Repository Mining Study
[arXiv] 2026-03-19 | Geometric blockade in a quantum dot coupled to two-dimensional and three dimensional electron gases
[arXiv] 2026-03-19 | Comment on "Association between quantum paradoxes based on weak values and a realistic interpretation of quantum measurements"
[arXiv] 2026-03-19 | Correlator of heavy-light quark currents in HQET in the large $β_0$ limit
[arXiv] 2026-03-19 | Origin of Reduced Coercive Field in ScAlN: Synergy of Structural Softening and Dynamic Atomic Correlations
[arXiv] 2026-03-19 | From ex(p) to poly: Gaussian Splatting with Polynomial Kernels
[arXiv] 2026-03-19 | A mathematical framework for time-delay reservoir computing analysis
[arXiv] 2026-03-19 | A more accurate rational non-commutative algorithm for multiplying 4x4 matrices using 48 multiplications
[arXiv] 2026-03-19 | Revisiting Label Inference Attacks in Vertical Federated Learning: Why They Are Vulnerable and How to Defend
[arXiv] 2026-03-19 | On-chip Parametric Amplification in a Double Quantum Dots Circuit
[arXiv] 2026-03-19 | Surface-related white light emission phenomenon in transparent solids
[arXiv] 2026-03-19 | Enhancing Multi-Corpus Training in SSL-Based Anti-Spoofing Models: Domain-Invariant Feature Extraction
[arXiv] 2026-03-19 | QuaQue: Design and SQL Implementation of Condensed Algebra for Concurrent Versioning of Knowledge Graphs
[arXiv] 2026-03-19 | Robust Discrete Pricing Optimization via Multiple-Choice Knapsack Reductions
[arXiv] 2026-03-19 | Meanings and Measurements: Multi-Agent Probabilistic Grounding for Vision-Language Navigation
[arXiv] 2026-03-19 | PhysVideo: Physically Plausible Video Generation with Cross-View Geometry Guidance
[arXiv] 2026-03-19 | Training-Free Sparse Attention for Fast Video Generation via Offline Layer-Wise Sparsity Profiling and Online Bidirectional Co-Clustering
[arXiv] 2026-03-19 | SwiftGS: Episodic Priors for Immediate Satellite Surface Recovery
[arXiv] 2026-03-19 | Reduced-order turbulent flow solver to simulate streamwise periodic fins with iso-thermal walls
[arXiv] 2026-03-19 | Topological superconductivity of a two-dimensional electron gas at the (001) LaAlO\textsubscript{3}/SrTiO\textsubscript{3} interface
[arXiv] 2026-03-19 | Learning to Self-Evolve
[arXiv] 2026-03-19 | Hierarchical Incentives and the Evolution of Local Cooperation in Wartime: A Continuous Strategy Approach
[arXiv] 2026-03-19 | Radiation damping of the soliton internal mode in 1D quadratic Klein-Gordon equation
[arXiv] 2026-03-19 | Improving Joint Audio-Video Generation with Cross-Modal Context Learning
[arXiv] 2026-03-19 | Design and implementation of a high-density sub-nanosecond timing system for a C-band photocathode electron gun test platform
[arXiv] 2026-03-19 | HAViT: Historical Attention Vision Transformer
[arXiv] 2026-03-19 | Model Reference Adaptive Control For Gust Load Allevation of Nonlinear Aeroelastic
[arXiv] 2026-03-19 | Higgs boson decay to massive bottom quarks at order $α_s^4$ induced by top-quark Yukawa couplings
[arXiv] 2026-03-19 | SpecForge: A Flexible and Efficient Open-Source Training Framework for Speculative Decoding
[arXiv] 2026-03-19 | Dark Matter and Strong CP Problem in Type IIA String Theory
[arXiv] 2026-03-19 | End-to-End QGAN-Based Image Synthesis via Neural Noise Encoding and Intensity Calibration
[arXiv] 2026-03-19 | Data-efficient pre-training by scaling synthetic megadocs
[arXiv] 2026-03-19 | When Names Change Verdicts: Intervention Consistency Reveals Systematic Bias in LLM Decision-Making
[arXiv] 2026-03-19 | OnlinePG: Online Open-Vocabulary Panoptic Mapping with 3D Gaussian Splatting
[arXiv] 2026-03-19 | Recovering Sparse Neural Connectivity from Partial Measurements: A Covariance-Based Approach with Granger-Causality Refinement
[arXiv] 2026-03-19 | NymeriaPlus: Enriching Nymeria Dataset with Additional Annotations and Data
[arXiv] 2026-03-19 | FILT3R: Latent State Adaptive Kalman Filter for Streaming 3D Reconstruction
[arXiv] 2026-03-19 | The Effect of Corneal Topography and Mucins on Tear Film Rupture
[arXiv] 2026-03-19 | EntropyCache: Decoded Token Entropy Guided KV Caching for Diffusion Language Models
[arXiv] 2026-03-19 | TexEditor: Structure-Preserving Text-Driven Texture Editing
[arXiv] 2026-03-19 | There are many 5-holes
[arXiv] 2026-03-19 | The Truncation Blind Spot: How Decoding Strategies Systematically Exclude Human-Like Token Choices
[arXiv] 2026-03-19 | CyberJustice Tutor: An Agentic AI Framework for Cybersecurity Learning via Think-Plan-Act Reasoning and Pedagogical Scaffolding
[arXiv] 2026-03-19 | AcceRL: A Distributed Asynchronous Reinforcement Learning and World Model Framework for Vision-Language-Action Models
[arXiv] 2026-03-19 | Simulating Quantum Error Correction beyond Pauli Stochastic Errors
[arXiv] 2026-03-19 | UT-ACA: Uncertainty-Triggered Adaptive Context Allocation for Long-Context Inference
[arXiv] 2026-03-19 | The influence of hypothetical exomoons on planetary thermal phase curves
[arXiv] 2026-03-19 | AS2 -- Attention-Based Soft Answer Sets: An End-to-End Differentiable Neuro-Soft-Symbolic Reasoning Architecture
[arXiv] 2026-03-19 | Halfway between Heaven and Hell
[arXiv] 2026-03-19 | MLOW: Interpretable Low-Rank Frequency Magnitude Decomposition of Multiple Effects for Time Series Forecasting
[arXiv] 2026-03-19 | AndroTMem: From Interaction Trajectories to Anchored Memory in Long-Horizon GUI Agents
[arXiv] 2026-03-19 | R&D: Balancing Reliability and Diversity in Synthetic Data Augmentation for Semantic Segmentation
[arXiv] 2026-03-19 | The Spillover Effects of Peer AI Rinsing on Corporate Green Innovation
[arXiv] 2026-03-19 | Graph-of-Constraints Model Predictive Control for Reactive Multi-agent Task and Motion Planning
[arXiv] 2026-03-19 | Accelerated Rydberg-EIT quantum memory via shortcuts to adiabaticity
[arXiv] 2026-03-19 | FlowMS: Flow Matching for De Novo Structure Elucidation from Mass Spectra
[arXiv] 2026-03-19 | RE-SAC: Disentangling aleatoric and epistemic risks in bus fleet control: A stable and robust ensemble DRL approach
[arXiv] 2026-03-19 | Where are the Hidden Gems? Applying Transformer Models for Design Discussion Detection
[arXiv] 2026-03-19 | A note on Fox colorings of virtual tangles
