[2026-02-13 09:37:54] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-02-12
正在获取论文...
[arXiv] 2026-02-12 | PLOT-CT: Pre-log Voronoi Decomposition Assisted Generation for Low-dose CT Reconstruction
[arXiv] 2026-02-12 | TreeGrad-Ranker: Feature Ranking via $O(L)$-Time Gradients for Decision Trees
[arXiv] 2026-02-12 | Device-Circuit Co-Design of Variation-Resilient Read and Write Drivers for Antiferromagnetic Tunnel Junction (AFMTJ) Memories
[arXiv] 2026-02-12 | QDBFT: A Dynamic Consensus Algorithm for Quantum-Secured Blockchain
[arXiv] 2026-02-12 | An optical transient candidate of $\lesssim$ 2-second duration captured by wide-field video observations
[arXiv] 2026-02-12 | Performance and pulse shape discrimination of glass scintillator SG101 for neutron detection
[arXiv] 2026-02-12 | Composite Optimization using Local Models and Global Approximations
[arXiv] 2026-02-12 | Gradient Compression May Hurt Generalization: A Remedy by Synthetic Data Guided Sharpness Aware Minimization
[arXiv] 2026-02-12 | Control the qubit-qubit coupling with double superconducting resonators
[arXiv] 2026-02-12 | LASER: An Efficient Target-Aware Segmented Attention Framework for End-to-End Long Sequence Modeling
[arXiv] 2026-02-12 | Online Electric Vehicle Charging Control with Battery Thermal Management in Cold Environments
[arXiv] 2026-02-12 | Analysis of Karin and Koronis2 asteroid families: new findings and challenges
[arXiv] 2026-02-12 | Brain4FMs: A Benchmark of Foundation Models for Electrical Brain Signal
[arXiv] 2026-02-12 | Finite-time flocking of an infinite set of Cucker-Smale particles with sublinear velocity couplings
[arXiv] 2026-02-12 | Enhanced and Tunable Superconductivity Enabled by Mechanically Stable Halogen-Functionalized Mo2C MXenes
[arXiv] 2026-02-12 | Differentially Private Perturbed Push-Sum Protocol and Its Application in Non-Convex Optimization
[arXiv] 2026-02-12 | Non-contractible loops of Legendrian tori from families of knots
[arXiv] 2026-02-12 | Switchable high-Q light absorbers based on phase-change resonant metasurfaces
[arXiv] 2026-02-12 | Eccentricity Evolution of Warm Jupiters: The Role of Distant Perturbers and Nearby Companions
[arXiv] 2026-02-12 | Unifying Stable Optimization and Reference Regularization in RLHF
[arXiv] 2026-02-12 | KuaiSearch: A Large-Scale E-Commerce Search Dataset for Recall, Ranking, and Relevance
[arXiv] 2026-02-12 | Calibration and Evaluation of Car-Following Models for Autonomous Shuttles Using a Novel Multi-Criteria Framework
[arXiv] 2026-02-12 | Human-Inspired Continuous Learning of Internal Reasoning Processes: Learning How to Think for Adaptive AI Systems
[arXiv] 2026-02-12 | Single-exposure holographic lithography of ultra-high aspect-ratio microstructures
[arXiv] 2026-02-12 | An Educational Human Machine Interface Providing Request-to-Intervene Trigger and Reason Explanation for Enhancing the Driver's Comprehension of ADS's System Limitations
