[2026-03-04 09:34:49] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-03-03
正在获取论文...
[arXiv] 2026-03-03 | Think, But Don't Overthink: Reproducing Recursive Language Models
[arXiv] 2026-03-03 | Real-Time Generative Policy via Langevin-Guided Flow Matching for Autonomous Driving
[arXiv] 2026-03-03 | Relativistic calculations of electron impact excitation cross-sections of neutral tungsten
[arXiv] 2026-03-03 | Rate-Fidelity Tradeoffs in All-Photonic and Memory-Equipped Quantum Switches
[arXiv] 2026-03-03 | Bayesian Optimization in Chemical Compound Sub-Spaces using Low-Dimensional Molecular Descriptors
[arXiv] 2026-03-03 | GPUTOK: GPU Accelerated Byte Level BPE Tokenization
[arXiv] 2026-03-03 | Tensegrity Robot Endcap-Ground Contact Estimation with Symmetry-aware Heterogeneous Graph Neural Network
[arXiv] 2026-03-03 | ExpGuard: LLM Content Moderation in Specialized Domains
[arXiv] 2026-03-03 | Nature of $K^*(1680)$ and $q\bar{q}$-hybrid mixing as the SU(3) partner of $η_{1}(1855)$ in the strange sector
[arXiv] 2026-03-03 | LiveAgentBench: Comprehensive Benchmarking of Agentic Systems Across 104 Real-World Challenges
[arXiv] 2026-03-03 | Neural Electromagnetic Fields for High-Resolution Material Parameter Reconstruction
[arXiv] 2026-03-03 | How Controllable Are Large Language Models? A Unified Evaluation across Behavioral Granularities
[arXiv] 2026-03-03 | An Augmented Rating System for Test cricket: adapting Glicko's model
[arXiv] 2026-03-03 | CAPT: Confusion-Aware Prompt Tuning for Reducing Vision-Language Misalignment
[arXiv] 2026-03-03 | Relevance Matters: A Multi-Task and Multi-Stage Large Language Model Approach for E-commerce Query Rewriting
[arXiv] 2026-03-03 | Give me scissors: Collision-Free Dual-Arm Surgical Assistive Robot for Instrument Delivery
[arXiv] 2026-03-03 | On Discriminative vs. Generative classifiers: Rethinking MLLMs for Action Understanding
[arXiv] 2026-03-03 | The solar-like latitudinal distribution of flaring activities revealed by TESS, APOGEE and GALAH
[arXiv] 2026-03-03 | Probing More-Than-Human Representation in Crisis Resilience Planning: An HCI Researcher Perspective
[arXiv] 2026-03-03 | Tree-Embedded Bayesian Factor Models for Multidimensional Categorical Distributions
[arXiv] 2026-03-03 | Recombination Rate Modifiers under Stochastic Transmission
[arXiv] 2026-03-03 | Probing Planck-Scale Physics with High-Frequency Gravitational Waves
[arXiv] 2026-03-03 | The Perceptual Gap: Why We Need Accessible XAI for Assistive Technologies
[arXiv] 2026-03-03 | A Decision Analysis Framework for High-fidelity and Low-fidelity Systems with Applications in Manufacturing Processes
[arXiv] 2026-03-03 | ModalPatch: A Plug-and-Play Module for Robust Multi-Modal 3D Object Detection under Modality Drop
[arXiv] 2026-03-03 | Scalar-Measurement Attitude Estimation on $\mathbf{SO}(3)$ with Bias Compensation
[arXiv] 2026-03-03 | Odin: Multi-Signal Graph Intelligence for Autonomous Discovery in Knowledge Graphs
[arXiv] 2026-03-03 | Proactive Guiding Strategy for Item-side Fairness in Interactive Recommendation
[arXiv] 2026-03-03 | Orthogonal polynomials in de Branges--Rovnyak spaces
[arXiv] 2026-03-03 | Resolving the Kohayakawa-Kreuter Conjecture for Families
[arXiv] 2026-03-03 | Safe and Robust Domains of Attraction for Discrete-Time Systems: A Set-Based Characterization and Certifiable Neural Network Estimation
[arXiv] 2026-03-03 | RAPO: Expanding Exploration for LLM Agents via Retrieval-Augmented Policy Optimization
[arXiv] 2026-03-03 | From Reachability to Learnability: Geometric Design Principles for Quantum Neural Networks
[arXiv] 2026-03-03 | On Simon's third gap conjecture for minimal surfaces in spheres
[arXiv] 2026-03-03 | Universal approximation by signatures for infinite-dimensional rough paths
[arXiv] 2026-03-03 | First-order transition into a topological superfluid state in an atom-cavity system
[arXiv] 2026-03-03 | Asymptotic Analysis of Laplacian Operator in Thin Domains on the Sphere with Highly Oscillatory Boundary
[arXiv] 2026-03-03 | BRIGHT: A Collaborative Generalist-Specialist Foundation Model for Breast Pathology
[arXiv] 2026-03-03 | MA-CoNav: A Master-Slave Multi-Agent Framework with Hierarchical Collaboration and Dual-Level Reflection for Long-Horizon Embodied VLN
[arXiv] 2026-03-03 | The Evolution of X-ray Spectra in Tidal Disruption Events
[arXiv] 2026-03-03 | Focused Weighted-Average Least Squares Estimator
